"","Overall","importance","pvalue"
"CSPP1",47.6417865555772,0,0.700586041555674
"DIP2B",43.8597434988033,-6.08571428571425e-06,0.846030900372936
"ABCD3",63.6336469426019,2.57326243386242e-05,0.0245071923281833
"RAD54B",47.6417865555772,0,0.700586041555674
"USP24",63.459071886116,2.54517142857142e-05,0.026638252530634
"ZNF106",47.6417865555772,0,0.700586041555674
"PPTC7",47.6417865555772,0,0.700586041555674
"ZMYM4",52.2704390628063,7.4479999999999e-06,0.135322322855621
"FEM1B",37.3969776697455,-1.64850000000001e-05,0.942994139584443
"TMEM50A",40.1691711092155,-1.20242424242425e-05,0.915290356952584
"SPESP1",48.0317154166815,6.27437500000161e-07,0.280767181672882
"SP1",50.0240593730287,3.83333333333336e-06,0.197655833777304
"PIM1",44.9211619466617,-4.37777777777759e-06,0.818859882791689
"SLC29A2",47.6417865555772,0,0.700586041555674
"SLC25A40",47.6417865555772,0,0.700586041555674
"STIL",43.3694392001754,-6.87466666666681e-06,0.857751731486414
"ZMYM6",74.16935123282,4.26857063492065e-05,0.00586041555673944
"TGS1",47.6417865555772,0,0.700586041555674
"ALG10B",47.6417865555772,0,0.700586041555674
"ATG10",47.6417865555772,0,0.700586041555674
"OMA1",47.6417865555772,0,0.700586041555674
"CDK19",76.7445388260663,4.68294603174602e-05,0.00372935535428875
"NR1D2",44.3393349681153,-5.31400000000004e-06,0.837506659563133
"STRN",58.8188631362133,1.7985119047619e-05,0.0495471497069793
"TMX2",47.6417865555772,0,0.700586041555674
"SH3GLB2",43.7749089388442,-6.22222222222235e-06,0.847629195524774
"APPL1",66.0271323898776,2.95840000000001e-05,0.0154501864677677
"VANGL1",47.6417865555772,0,0.700586041555674
"COPS5",47.6417865555772,0,0.700586041555674
"HAUS4",45.8200904266399,-2.93130511463846e-06,0.778369738945125
"TTC4",47.1584268534854,-7.77777777777988e-07,0.726158763985083
"ZFP91",25.3834865825748,-3.58160000000001e-05,0.988811933937134
"INPP5B",47.6417865555772,0,0.700586041555674
"ARFGEF1",47.6417865555772,0,0.700586041555674
"KIAA1551",47.6417865555772,0,0.700586041555674
"ATAD2",47.6417865555772,0,0.700586041555674
"PDIK1L",45.4587131764962,-3.51279999999998e-06,0.795950985615344
"TICRR",47.6417865555772,0,0.700586041555674
"CDC42EP5",47.6417865555772,0,0.700586041555674
"EXO5",47.6417865555772,0,0.700586041555674
"RB1CC1",47.6417865555772,0,0.700586041555674
"NUP54",50.1086473208947,3.96944444444447e-06,0.192328183271177
"BLOC1S6",46.0803620893563,-2.51249999999992e-06,0.772509323388386
"HBQ1",61.030853756084,2.15444500000002e-05,0.0351624933404369
"PARD6B",66.6088212656519,3.05200000000001e-05,0.0154501864677677
"THRAP3",50.9637859626795,5.34545454545454e-06,0.161960575386255
"FAM114A1",47.6417865555772,0,0.700586041555674
"FAM76A",47.7805058578355,2.23214285714146e-07,0.294619072988812
"POLD3",42.9301449056505,-7.58153846153831e-06,0.867874267448055
"PDE12",47.6417865555772,0,0.700586041555674
"SNRK",40.52402722817,-1.14532407407406e-05,0.911028236547683
"KIF23",40.285880506375,-1.18364444444445e-05,0.913692061800746
"ARHGAP11A",50.7043536280295,4.92799999999982e-06,0.169419286094832
"GNAI3",51.8185322670438,6.72083333333351e-06,0.143846563665424
"CENPC",47.6417865555772,0,0.700586041555674
"SMARCC1",47.6417865555772,0,0.700586041555674
"AHCYL1",55.407581632153,1.24960000000001e-05,0.08151305274374
"PLEKHF2",48.211460490185,9.16666666666455e-07,0.268513585508791
"CEP63",60.7451501938854,2.10847222222221e-05,0.0356952583910496
"JUN",46.9660496920532,-1.08733333333322e-06,0.734683004794885
"CTDSPL2",48.4918858411606,1.36790123456798e-06,0.257325519445924
"COA7",47.6417865555772,0,0.700586041555674
"LRRCC1",35.6102730566571,-1.93599999999998e-05,0.955780500799148
"FBXO45",74.5048127305552,4.32254999999999e-05,0.00532765050612682
"SLC26A5",47.6417865555772,0,0.700586041555674
"OTUD6B",47.6417865555772,0,0.700586041555674
"MSH6",55.3656773053266,1.24285714285712e-05,0.08151305274374
"AGO4",50.8178050552491,5.11055555555551e-06,0.166222695791156
"VCPIP1",37.0108719126116,-1.71062857142856e-05,0.944059669685669
"CSTF1",47.6417865555772,0,0.700586041555674
"TLR1",47.6417865555772,0,0.700586041555674
"DCLRE1B",47.6417865555772,0,0.700586041555674
"RRM1",42.3554713851128,-8.50624999999994e-06,0.879595098561534
"ERGIC2",47.6417865555772,0,0.700586041555674
"SNRNP200",52.7954860730826,8.29285714285732e-06,0.123601491742142
"APBA1",42.7555378528262,-7.86249999999988e-06,0.871070857751731
"WDR76",47.6417865555772,0,0.700586041555674
"RRS1",47.3793912887275,-4.22222222222102e-07,0.710708577517315
"MTFR1",49.3536331888289,2.75454545454545e-06,0.223228556206713
"ZNF34",47.9826198812261,5.48437499999999e-07,0.282898241875333
"DRAM2",47.6417865555772,0,0.700586041555674
"DPP4",47.6417865555772,0,0.700586041555674
"DBF4",47.6417865555772,0,0.700586041555674
"APOLD1",53.7855257333009,9.8859375e-06,0.103889184869473
"UBE3A",47.9747523389324,5.35777777777913e-07,0.283431006925946
"GANC",47.6417865555772,0,0.700586041555674
"UTP23",54.0117769152843,1.02499999999999e-05,0.101225359616409
"UNG",46.5853003495769,-1.70000000000003e-06,0.754395311667555
"PRKDC",47.6417865555772,0,0.700586041555674
"ARMC1",51.3567511230811,5.97777777777764e-06,0.156632924880128
"RAB11FIP1",47.6417865555772,0,0.700586041555674
"INO80",43.9225254573879,-5.9846913580246e-06,0.843899840170485
"DNAJC13",47.205876664241,-7.01425925925703e-07,0.724027703782632
"YBX3",47.355913817483,-4.59999999999905e-07,0.713905167820991
"NKTR",45.0913045617977,-4.10400000000011e-06,0.811401172083111
"LYPLA1",47.6417865555772,0,0.700586041555674
"SNIP1",45.7506417211437,-3.04305555555562e-06,0.782631859350027
"PARS2",48.4985899635046,1.3786888888887e-06,0.256259989344699
"EIF1AD",50.8267817354308,5.12500000000005e-06,0.165157165689931
"RBFA",18.4693252668271,-4.69416296296297e-05,0.997336174746937
"CCNB1",47.6417865555772,0,0.700586041555674
"KNTC1",47.2067628236946,-7.00000000000145e-07,0.723494938732019
"PTN",41.640944905496,-9.65599999999989e-06,0.894512519978689
"PRICKLE1",63.7497650274839,2.5919470833333e-05,0.0239744272775706
"ARID1A",47.6417865555772,0,0.700586041555674
"TMEM56",54.0494789720474,1.03106666666664e-05,0.101225359616409
"MTBP",39.4028772763096,-1.32572916666664e-05,0.924880127863612
"HOOK1",47.6417865555772,0,0.700586041555674
"CKAP2L",47.6417865555772,0,0.700586041555674
"TCERG1",63.0314070590857,2.47635555555554e-05,0.0287693127330847
"PTBP2",47.6417865555772,0,0.700586041555674
"NOM1",47.4750562297663,-2.68287037037185e-07,0.707511987213639
"DNAJC9",47.6417865555772,0,0.700586041555674
"FOXQ1",47.6417865555772,0,0.700586041555674
"NEK2",73.6863910423188,4.19085714285714e-05,0.00639318060735217
"PROSER2",40.1842368661638,-1.2e-05,0.914757591901971
"YTHDC1",48.8344420947951,1.91911111111098e-06,0.240809802876931
"SCMH1",73.1557212763247,4.10546666666669e-05,0.00692594565796478
"SNX15",47.6417865555772,0,0.700586041555674
"THUMPD3",34.9262888682159,-2.04606041666668e-05,0.961108151305274
"MAPK6",42.6966146012759,-7.95731385281373e-06,0.873734683004795
"RLF",36.0612994472479,-1.86342500000001e-05,0.952583910495472
"FAM60A",47.6417865555772,0,0.700586041555674
"PDCD4",47.6417865555772,0,0.700586041555674
"NOA1",47.6417865555772,0,0.700586041555674
"BUB1",50.5766776152915,4.72255555555567e-06,0.176345231752797
"RAD51AP1",52.7942754318991,8.29090909090913e-06,0.123601491742142
"MYB",44.0707078136778,-5.74625000000006e-06,0.842834310069259
"DNA2",65.4946387904494,2.87271604938271e-05,0.0165157165689931
"RAB22A",66.7858977908003,3.08049351851853e-05,0.014917421417155
"PDS5A",40.5015593718878,-1.14893939393936e-05,0.911561001598295
"CLSPN",48.6244740927758,1.58124999999987e-06,0.25039957378796
"CGNL1",47.6417865555772,0,0.700586041555674
"SHISA4",47.6417865555772,0,0.700586041555674
"CD58",47.6417865555772,0,0.700586041555674
"FANCD2",46.0415068744468,-2.57502222222206e-06,0.774107618540224
"CXCL3",67.370350640109,3.17453827160494e-05,0.0143846563665424
"ZFAND1",47.6417865555772,0,0.700586041555674
"AGO2",47.6417865555772,0,0.700586041555674
"AGO1",55.8662861532498,1.32341049382716e-05,0.0756526371870005
"TUBGCP4",50.5108716444209,4.61666666666671e-06,0.177410761854022
"TTC22",47.6417865555772,0,0.700586041555674
"TIMM10B",79.2886444175716,5.09231999999999e-05,0.00213106020245069
"BLM",47.6417865555772,0,0.700586041555674
"KIF15",52.9153395502337,8.48571428571421e-06,0.121470431539691
"EIF3J",31.7199179686797,-2.562e-05,0.974427277570591
"TLX1",36.4667613391684,-1.79818181818181e-05,0.950452850293021
"ALG10",83.2981960080847,5.7375e-05,0.00159829515183807
"MEAF6",52.7688519670488,8.24999999999987e-06,0.123601491742142
"SPATA12",53.1801082118656,8.91175555555557e-06,0.115077250932339
"MAPT",54.2707196128336,1.06666666666668e-05,0.0974960042621204
"AP3B1",47.6417865555772,0,0.700586041555674
"ADAM10",45.8090476851465,-2.94907407407408e-06,0.779968034096963
"ZNF684",63.5615589396851,2.56166269841271e-05,0.0261054874800213
"PRIM1",59.0717243795515,1.83920000000002e-05,0.0479488545551412
"NCAPH",48.0353794558519,6.33333333333486e-07,0.28023441662227
"SOX4",47.6417865555772,0,0.700586041555674
"RHOV",33.010606747069,-2.35431428571427e-05,0.968566862013852
"ACTR6",47.6417865555772,0,0.700586041555674
"RASA2",47.6417865555772,0,0.700586041555674
"CD320",47.6417865555772,0,0.700586041555674
"ZNF280D",47.6417865555772,0,0.700586041555674
"PAX8",45.5339929975277,-3.39166666666668e-06,0.792221630261055
"MSH2",47.6417865555772,0,0.700586041555674
"PNRC2",48.6361265141656,1.60000000000005e-06,0.248801278636121
"PAWR",47.6417865555772,0,0.700586041555674
"TBKBP1",47.6417865555772,0,0.700586041555674
"MRPL15",62.2474494108327,2.35020833333333e-05,0.0319659030367608
"RYR1",47.6417865555772,0,0.700586041555674
"ASTL",47.6417865555772,0,0.700586041555674
"AP4E1",48.9202236451908,2.05714285714276e-06,0.236014917421417
"REST",47.6417865555772,0,0.700586041555674
"SLAIN2",47.6417865555772,0,0.700586041555674
"FGD2",37.930464362371,-1.56265625000001e-05,0.938732019179542
"BTBD8",47.6417865555772,0,0.700586041555674
"BTF3L4",80.1960567371648,5.23833240740743e-05,0.00159829515183807
"AQR",47.6417865555772,0,0.700586041555674
"IL17RB",47.6417865555772,0,0.700586041555674
"ACSL3",47.6417865555772,0,0.700586041555674
"ATF1",47.6417865555772,0,0.700586041555674
"NDC1",52.1668101952472,7.28124999999991e-06,0.137986148108684
"FAM118A",47.6417865555772,0,0.700586041555674
"RNF157",47.9898055410831,5.59999999999894e-07,0.28236547682472
"SASS6",52.1074383338805,7.18571428571413e-06,0.140117208311135
"SMARCC2",70.9236122063227,3.74629629629628e-05,0.0101225359616409
"KIAA1143",46.4182823096577,-1.96875000000007e-06,0.760788492274907
"ZYG11B",50.1325799035469,4.00795454545455e-06,0.191795418220565
"KIF2C",51.3045310124089,5.89375000000003e-06,0.156632924880128
"PRR11",47.6417865555772,0,0.700586041555674
"CHRNA5",48.5729938183823,1.49841269841278e-06,0.254128929142248
"UBA6",58.0287569004573,1.67137530864199e-05,0.056473095364944
"BIN2",46.627559797817,-1.63199999999986e-06,0.752264251465104
"E2F7",47.6417865555772,0,0.700586041555674
"TCEANC2",39.0329776328606,-1.38525e-05,0.927543953116676
"CDCA4",47.6417865555772,0,0.700586041555674
"HSD17B2",36.5935647934834,-1.77777777777777e-05,0.949387320191795
"PHF23",56.9424533743308,1.49657738095237e-05,0.066595631326585
"DCK",47.7764367583027,2.16666666666754e-07,0.294619072988812
"ANLN",47.6417865555772,0,0.700586041555674
"SLC35A3",45.5909603909884,-3.30000000000008e-06,0.790623335109217
"NUP205",52.1318529310781,7.22500000000004e-06,0.139051678209909
"USP22",49.4277359191313,2.87378472222222e-06,0.2226957911561
"SEC61B",49.9998913879241,3.79444444444443e-06,0.198188598827917
"KRAS",62.1812463944926,2.33955555555554e-05,0.0319659030367608
"SSR4",47.6417865555772,0,0.700586041555674
"SPDYC",47.6417865555772,0,0.700586041555674
"TOE1",46.4670498510295,-1.89027777777784e-06,0.759190197123069
"ANKRD17",57.3792472878163,1.56686222222224e-05,0.0612679808204581
"IPO8",47.8389529238537,3.17261904761779e-07,0.292488012786361
"CHDH",45.4625507072739,-3.50662499999999e-06,0.795418220564731
"MED8",50.5046224939868,4.60661111111116e-06,0.177410761854022
"GJA4",47.6417865555772,0,0.700586041555674
"HNRNPR",47.6417865555772,0,0.700586041555674
"C11orf80",47.6417865555772,0,0.700586041555674
"FOXM1",48.2011027822831,8.99999999999901e-07,0.269579115610016
