"","Overall","importance","pvalue"
"LYPLAL1",46.9519303689611,1.46840000000001e-05,0.127780946948089
"CDR2L",49.8248248533978,3.36187738095239e-05,0.0758699372504278
"TNS4",43.4860000809314,-8.15937499999975e-06,0.831146605818597
"RNF168",44.7239881165825,0,0.714774671990873
"PAK2",44.7239881165825,0,0.714774671990873
"FBXO45",45.8644907940373,7.51686507936511e-06,0.176269252709641
"HAUS4",49.2433951735276,2.97866666666666e-05,0.0810039931545922
"CLU",54.426147608258,6.39453333333333e-05,0.0382201939532231
"ERP27",48.2685513754728,2.33616319444445e-05,0.094124358243012
"KCTD18",45.3872121136948,4.37120000000002e-06,0.210496292070736
"SART1",61.284067124366,0.00010914475,0.0131203650884198
"FAM111B",44.6125201985711,-7.3466666666655e-07,0.73531089560753
"RMI2",75.8086343924966,0.000204873777777778,0.00057045065601824
"GALNT2",44.7239881165825,0,0.714774671990873
"CTSB",44.7239881165825,0,0.714774671990873
"GPM6B",44.6944521528263,-1.94666666666787e-07,0.719908727895037
"PSEN2",41.753506972867,-1.9577951388889e-05,0.896748431260696
"AGPS",63.9906773118728,0.000126983571428571,0.00798630918425558
"MED4",42.5135322674038,-1.456875e-05,0.871648602395893
"PDIK1L",68.7088048810006,0.000158079972222222,0.00399315459212779
"MERTK",44.6739185889821,-3.30000000000163e-07,0.723901882487165
"TBKBP1",59.1989380242031,9.54020079365083e-05,0.0176839703365659
"ATP1B1",44.7239881165825,0,0.714774671990873
"CDCA4",44.7239881165825,0,0.714774671990873
"DGKH",44.4736404785803,-1.65000000000015e-06,0.750713063320023
"HMGB1",37.0921783035452,-5.03e-05,0.951511694238448
"MRPL11",73.1418167151948,0.000187297222222222,0.00171135196805472
"SMIM14",44.7824306628277,3.85185185185266e-07,0.274957216200799
"DPP4",41.5518559543326,-2.09069999999998e-05,0.901312036508842
"PRDX6",44.7239881165825,0,0.714774671990873
"ANKRD9",49.5319050215501,3.16881875000001e-05,0.0770108385624644
"MED19",44.7239881165825,0,0.714774671990873
