"","Overall","importance","pvalue"
"DCST1",44.3857330315782,7.12962962962971e-06,0.181922855497985
"TICAM1",67.2703159944208,7.8433015873016e-05,0.00518134715025909
"CDC42EP5",47.572651545553,1.70593750000001e-05,0.109959700633276
"OSBPL5",74.4493270819983,0.000100801253968254,0.00172711571675299
"TLDC1",49.1124790677477,2.1857142857143e-05,0.0863557858376511
"PHF2",48.8357772057524,2.09949999999999e-05,0.0892343120322395
"KHK",54.069414112258,3.7301875e-05,0.0408750719631549
"THEM5",39.2906779439172,-8.74545454545461e-06,0.835348301669545
"TRIM4",54.3733012734611,3.82487213403879e-05,0.0397236614853195
"E2F2",55.631408859199,4.21687111111111e-05,0.0339666090961428
"CMBL",53.5733776915944,3.57563333333333e-05,0.0454807138744963
"MESP1",48.5100163557979,1.99799999999999e-05,0.0944156591824986
"LRRC14B",60.4978412927362,5.73314567901235e-05,0.0166954519286125
"APH1A",44.5046021612824,7.49999999999984e-06,0.179044329303397
"KIAA0895",42.0975022847708,0,0.716177317213587
"WDYHV1",42.0975022847708,0,0.716177317213587
"OPN3",48.317448365677,1.938e-05,0.0972941853770869
"PNPLA2",60.6738943984369,5.78799999999999e-05,0.0166954519286125
"MCEE",42.1937862798313,2.99999999999967e-07,0.278065630397237
"TTC9",41.2142571034161,-2.75200000000009e-06,0.760506620610248
"RORC",46.543968498141,1.38542222222222e-05,0.125503742084053
"OSBPL3",42.2330767725246,4.22420634920595e-07,0.276338514680484
"LRAT",45.2843913709172,9.92965367965359e-06,0.152561888313184
"RASSF6",42.0975022847708,0,0.716177317213587
"ZNF517",60.4567500227803,5.72034253246756e-05,0.0166954519286125
"DSEL",42.0975022847708,0,0.716177317213587
"RBM38",44.4011860184398,7.17777777777795e-06,0.181347150259067
"PPP1R8",42.0975022847708,0,0.716177317213587
"EVA1B",45.3898647215813,1.02582857142857e-05,0.150834772596431
"ADAM15",62.1486442561131,6.24750000000001e-05,0.0138169257340242
"ELF4",42.0975022847708,0,0.716177317213587
"BOLA1",87.4360328066458,0.00014126500617284,0
"AAGAB",35.5501906206591,-2.04e-05,0.906735751295337
"PCMTD1",42.0975022847708,0,0.716177317213587
"TMEM102",45.07530870221,9.27819753086401e-06,0.159470351180196
"NCKIPSD",48.399915239518,1.96369488536154e-05,0.0961427748992516
"OCA2",42.0975022847708,0,0.716177317213587
"CSF1",59.4963210796817,5.42109374999999e-05,0.0184225676453655
"MRPL15",53.4144021175279,3.5261e-05,0.0454807138744963
"TGFA",52.0185984494127,3.09119791666665e-05,0.0535405872193437
"FNTA",42.0975022847708,0,0.716177317213587
"TMEM110",44.3575971331098,7.04196428571446e-06,0.181922855497985
"RIN1",42.0975022847708,0,0.716177317213587
"EFNB2",42.0975022847708,0,0.716177317213587
"COX19",45.3069687867864,1e-05,0.151986183074266
"PARP10",39.989524438603,-6.56800077160491e-06,0.810017271157168
"RHPN1",42.0975022847708,0,0.716177317213587
"THBS2",37.8182136154167,-1.33333333333334e-05,0.872769142199194
"EMC2",45.1785901267057,9.59999999999983e-06,0.157167530224525
"RHOV",48.295338707552,1.93111111111113e-05,0.0978698906160046
"TMEM56",63.8483777155805,6.7771e-05,0.00921128382268277
"CARD9",42.0975022847708,0,0.716177317213587
"SHPK",52.0926979624764,3.11428571428571e-05,0.0535405872193437
"OVOL1",78.3948725563164,0.000113094716049383,0.0011514104778354
"APOLD1",42.0975022847708,0,0.716177317213587
"TTC31",35.7788651089276,-1.96875000000001e-05,0.904432930339666
"DERL1",53.8349797778563,3.65714285714285e-05,0.0431778929188256
"ZDHHC23",40.3614726768624,-5.40909090909092e-06,0.793897524467473
"BID",65.0739812736573,7.15897142857143e-05,0.00863557858376507
"CRTC2",55.5693369845892,4.19753086419754e-05,0.0345423143350605
"ART3",54.504843833544,3.86585793650793e-05,0.0397236614853195
"MSANTD4",62.8373422763372,6.46208333333333e-05,0.0120898100172712
"PRG2",38.9522251127955,-9.80000000000003e-06,0.845135290731146
"LONRF3",42.0975022847708,0,0.716177317213587
"PDE9A",39.6618738171301,-7.58888888888887e-06,0.822682786413356
"CLN6",36.1296063064896,-1.85946666666668e-05,0.899251583189407
"C3",38.5987380383374,-1.09013888888889e-05,0.853770869314911
"RRS1",42.0975022847708,0,0.716177317213587
"WDTC1",66.1810821585754,7.50391999999998e-05,0.00633275762809438
"TREX1",42.0975022847708,0,0.716177317213587
"SPATA18",42.0975022847708,0,0.716177317213587
"CASP3",51.3243333420853,2.87488e-05,0.0610247553252734
"RIC8A",48.1509127149612,1.8861111111111e-05,0.0995970063327576
"DEDD",42.0975022847708,0,0.716177317213587
"C8orf76",68.5360620821313,8.23768055555556e-05,0.00460564191134138
"POMK",42.0975022847708,0,0.716177317213587
"DUOX1",45.4054914837897,1.03069753086422e-05,0.149683362118595
"ANO9",42.0975022847708,0,0.716177317213587
"POLR2L",42.0975022847708,0,0.716177317213587
"CACNB3",51.2295043051724,2.84533333333332e-05,0.0627518710420265
"TMEM65",42.1267084299392,9.10000000000633e-08,0.282671272308578
"NOXA1",41.0515626237203,-3.2589206349205e-06,0.764536557282671
"FAM81A",42.0975022847708,0,0.716177317213587
"MCM4",39.0718006647564,-9.42742857142842e-06,0.84168105929764
"FMO5",47.0695899593238,1.54919444444444e-05,0.115716753022453
"PLD2",56.2644796927955,4.41412222222222e-05,0.0287852619458837
"KLK10",50.1525092349215,2.50976507936509e-05,0.0736902705814623
"BOK",78.6303067357608,0.000113828277777778,0.000575705238917701
"PRKAR2A",39.9632070609304,-6.65000000000004e-06,0.811744386873921
"SYTL4",50.8118864861737,2.71521269841271e-05,0.0667818077144502
"PMVK",38.9201304477754,-9.90000000000002e-06,0.847438111686816
"EFCAB11",52.3816221696593,3.20430821709154e-05,0.051237766263673
"GJA1",33.465550428557,-2.68952857142857e-05,0.932642487046632
"DCAF12",44.7133458625735,8.15039999999989e-06,0.169833045480714
"TMEM126A",40.8729410391484,-3.81546666666677e-06,0.772596430627519
"H1FX",41.392505325712,-2.19661728395071e-06,0.748992515831894
"LYPLA2",42.0975022847708,0,0.716177317213587
"PML",43.2829875115724,3.6937142857143e-06,0.229706390328152
"LDLRAP1",34.1083266506476,-2.48925347222224e-05,0.92573402417962
"ASAP3",40.0320144566599,-6.4356111111108e-06,0.808290155440414
"B4GALNT2",40.287363177634,-5.64000000000009e-06,0.798503166378814
"RILPL2",42.0975022847708,0,0.716177317213587
"FUT4",42.0975022847708,0,0.716177317213587
"FZD6",53.5962986315296,3.58277499999999e-05,0.0454807138744963
"RRNAD1",42.0975022847708,0,0.716177317213587
"SPR",61.4967213728911,6.04437499999999e-05,0.0155440414507773
"FAM167A",62.2477938462646,6.27839285714287e-05,0.0138169257340242
"ATP8B4",42.0975022847708,0,0.716177317213587
"SDC2",46.8969919829932,1.49541666666666e-05,0.118595279217041
"DCST2",37.6122728482041,-1.39749999999998e-05,0.876799078871618
"FAM76B",42.0975022847708,0,0.716177317213587
"PELI3",43.4073069606867,4.08106666666663e-06,0.225100748416811
"RANBP3",44.2638921736313,6.75000000000003e-06,0.187679907887162
"GRASP",42.0975022847708,0,0.716177317213587
"SUPT4H1",80.633171759148,0.00012006876984127,0.000575705238917701
"AVEN",40.29613349061,-5.61267361111106e-06,0.797927461139896
"ATP10A",56.9706712866078,4.63415617283949e-05,0.0259067357512953
"KLHL38",42.0975022847708,0,0.716177317213587
"GTF3C2",43.3384959988835,3.86666666666668e-06,0.227403569372481
"AGTRAP",31.0727867351312,-3.43506172839505e-05,0.952216465169833
"ALKBH3",43.1960975740195,3.42298412698416e-06,0.233160621761658
"PIK3CD",72.0708258444956,9.33903611111111e-05,0.00230282095567069
"KLK6",42.0975022847708,0,0.716177317213587
"PGAP2",57.1852960097889,4.70102857142858e-05,0.0236039147956246
"IGSF9",42.0975022847708,0,0.716177317213587
"ARPIN",68.7413627390804,8.30164777777775e-05,0.00402993667242368
"HMG20B",39.6705037159466,-7.56200000000007e-06,0.822107081174439
"ARFGEF1",52.4047039559937,3.21149999999999e-05,0.051237766263673
"RAET1E",41.7588679080692,-1.05511111111123e-06,0.732872769142199
"DSCR3",48.5714547145507,2.01714285714285e-05,0.0938399539435809
"MAP1B",38.0111134485248,-1.27322993827159e-05,0.86873920552677
"STARD5",38.887714836105,-1.00010000000001e-05,0.848589522164652
"KMO",54.0430675125911,3.72197847222222e-05,0.0408750719631549
"ATP6V1B1",21.9206562087663,-6.28666666666666e-05,0.986758779504894
"MEF2D",45.3371377719053,1.0094e-05,0.150834772596431
"ISYNA1",49.2019139367633,2.21358024691358e-05,0.0857800805987334
"RTN4RL2",42.9312979081685,2.59792592592589e-06,0.243523316062176
"SMARCC2",50.2854932247129,2.5512e-05,0.0713874496257916
"IL1R2",42.0975022847708,0,0.716177317213587
"ISG20",47.7172246386916,1.75098333333332e-05,0.104778353483017
"TRPV6",38.5147289790494,-1.11631428571428e-05,0.856649395509499
"DAGLB",50.6426406193007,2.66247936507937e-05,0.0685089234312032
"DPP8",57.7440972413331,4.87513888888889e-05,0.0230282095567069
"CDC42EP4",42.0975022847708,0,0.716177317213587
"CGNL1",42.0975022847708,0,0.716177317213587
"SNAPIN",42.0975022847708,0,0.716177317213587
"KRCC1",40.9981530256137,-3.42533333333339e-06,0.76741508347726
"SPRY4",54.0559744712808,3.72600000000001e-05,0.0408750719631549
"IQCH",42.8589682715396,2.37256249999995e-06,0.246401842256765
"TAX1BP3",42.0975022847708,0,0.716177317213587
"IL6R",38.9593572605778,-9.77777777777789e-06,0.844559585492228
"TTC22",41.3486267676338,-2.3333333333333e-06,0.753022452504318
"CPTP",39.4015504230777,-8.39999999999996e-06,0.833045480713875
"GLI4",42.0975022847708,0,0.716177317213587
"KATNAL2",22.8939090951331,-5.98342222222221e-05,0.984455958549223
"COMMD4",41.8321863872708,-8.26666666666753e-07,0.728842832469776
"MON1A",42.0975022847708,0,0.716177317213587
"PRKAG2",42.0975022847708,0,0.716177317213587
"GPRIN2",37.4063320809914,-1.46166666666667e-05,0.877950489349453
"ATP6V1C2",42.0975022847708,0,0.716177317213587
"MTDH",55.13646142835,4.06265625e-05,0.0368451352907312
