"","Overall","importance","pvalue"
"KRT72",92.1139586957129,0.00016725137037037,0
"PCDHB5",92.2756051617359,0.000167673236507936,0
"RET",78.5268385587347,0.000131791604166667,0
"ZNRF2",38.5188923266878,2.73785714285715e-05,0.0137795275590551
"FADS2",28.0390067590222,2.80888888888331e-08,0.255905511811024
"ZNF669",28.2699816608735,6.30888888888848e-07,0.229658792650919
"WNT7B",45.0007440932466,4.42949559082892e-05,0.00262467191601046
"KIRREL2",28.9334831645788,2.36250000000005e-06,0.171916010498688
"TNNI3",26.6000646875075,-3.7272727272728e-06,0.856955380577428
"RIN3",93.5845830596608,0.000171089416666667,0
"TSC22D4",42.0607445537535,3.66221234567903e-05,0.00524934383202103
"GOLPH3",54.6894262657493,6.958055e-05,0.000656167979002586
"PPP1R1A",28.8592439687698,2.16875000000027e-06,0.181102362204724
"DDIT4L",50.9854938876959,5.99140000000002e-05,0.000656167979002586
"KREMEN2",32.0547406147702,1.05083806818185e-05,0.0649606299212598
"MDM4",38.9591760451712,2.85276271197941e-05,0.0137795275590551
"TMEM256",29.1264660471038,2.86614814814823e-06,0.162729658792651
"AHCTF1",27.913803818787,-2.98666666666669e-07,0.761154855643045
"UNC119",28.0282439382621,0,0.742125984251969
"CLEC11A",74.6113102558004,0.000121572829563492,0
"WDR91",34.0559876754024,1.573125e-05,0.0413385826771654
"C4orf33",31.255630470908,8.42285714285729e-06,0.0833333333333334
"NCF1",28.1747426179919,3.82333333333262e-07,0.236876640419947
"TLCD2",29.3679199400539,3.49629629629633e-06,0.149606299212598
"STRA8",52.4116524916593,6.36359992283952e-05,0.000656167979002586
"AMY1A",28.1048779468391,1.99999999999978e-07,0.242782152230971
"CPOX",34.1316744024846,1.59287777777777e-05,0.0413385826771654
"HIST1H3H",33.1478028293811,1.33610625e-05,0.05249343832021
"PLA2G15",28.3453384359744,8.27555555555692e-07,0.221128608923885
"PGAM1",28.0282439382621,0,0.742125984251969
"THRSP",28.0282439382621,0,0.742125984251969
"ELMOD2",84.2524163513846,0.000146734259259259,0
"RBP4",34.8152923334413,1.77128888888889e-05,0.031496062992126
"UBTD1",34.97639404925,1.81333333333333e-05,0.0308398950131233
"FZD9",32.5128980510293,1.17040833333333e-05,0.0577427821522309
"CTSA",28.0282439382621,0,0.742125984251969
"CHML",29.8246238282505,4.68820546737225e-06,0.125984251968504
"MSMO1",28.9838939733458,2.49406249999984e-06,0.16994750656168
"RALGPS2",32.4617519460456,1.15706018518518e-05,0.0583989501312336
"VSIG10L",37.2528498484812,2.40744444444445e-05,0.020997375328084
"FAM212A",23.2659876909725,-1.24285714285715e-05,0.94488188976378
"GFRA3",28.6815275741571,1.70494444444458e-06,0.192913385826772
"ACTR1A",54.5163659193383,6.91288958333334e-05,0.000656167979002586
"NIPAL4",52.1705111069926,6.30066666666667e-05,0.000656167979002586
"HTR6",32.4403192587394,1.15146666666666e-05,0.0583989501312336
"NAGLU",28.0282439382621,0,0.742125984251969
"SUFU",29.765281466009,4.53333333333328e-06,0.127952755905512
"NDUFB8",27.8006409327882,-5.93999999999983e-07,0.769685039370079
"BSCL2",37.7680539019774,2.54190277777777e-05,0.0164041994750657
"FAM109A",35.7016802018544,2.00261904761903e-05,0.0269028871391076
"PPP1R1B",26.616102676045,-3.68541666666666e-06,0.85498687664042
"ETHE1",28.0282439382621,0,0.742125984251969
"LMTK3",41.2525064794662,3.45127777777776e-05,0.0065616797900262
"RAB32",28.0282439382621,0,0.742125984251969
"NDUFB1",28.0282439382621,0,0.742125984251969
"CDH5",28.0282439382621,0,0.742125984251969
"S100A9",61.9162401017717,8.84411419753086e-05,0
"ZNF496",28.0282439382621,0,0.742125984251969
"GPR158",28.0282439382621,0,0.742125984251969
"CADM4",28.0282439382621,0,0.742125984251969
"OSGIN1",40.1991397966342,3.17636936507935e-05,0.0104986876640421
"PPA2",63.3999478304863,9.23133333333332e-05,0
"YKT6",41.8069200801684,3.59596904761905e-05,0.00590551181102361
"ACSS2",30.9786532684794,7.70000000000004e-06,0.09251968503937
"DERL2",45.0957071202298,4.45427911155203e-05,0.00262467191601046
"FAM196B",27.4694542923876,-1.45833333333334e-06,0.799868766404199
"GLDN",31.5759879960489,9.25892857142863e-06,0.071522309711286
"GTPBP6",18.1526017148599,-2.57735238095238e-05,0.98490813648294
"FUOM",28.0282439382621,0,0.742125984251969
"CREM",31.1180845896405,8.06388888888909e-06,0.089238845144357
"S1PR3",32.7795524700406,1.24e-05,0.0557742782152231
"PLA2G12A",40.5068788632359,3.25668333333333e-05,0.00853018372703407
"ZNF467",27.9521421103001,-1.98611111111191e-07,0.757217847769029
"DUSP15",32.2247222479426,1.09520000000001e-05,0.0610236220472441
"ACAA2",40.957027257695,3.37416339285714e-05,0.00853018372703407
"SPAG4",28.0282439382621,0,0.742125984251969
"IQCB1",35.5695017422195,1.96812301587304e-05,0.0269028871391076
"DCPS",37.5207495701319,2.47736111111112e-05,0.0190288713910761
"ASB1",34.3318168882184,1.64511111111112e-05,0.0380577427821522
"MLXIPL",31.2858461657183,8.50171428571422e-06,0.0807086614173228
"NAA20",28.0282439382621,0,0.742125984251969
"RPS17",42.3428317375538,3.73583166666667e-05,0.00524934383202103
"ASCC1",31.1605402696523,8.17469003527327e-06,0.0879265091863517
