"","Overall","importance","pvalue"
"RBM38",46.314649049898,2.99730625000001e-05,0.106320141760189
"PPP1R8",53.9162615773427,9.4963348765432e-05,0.0218546958062611
"CLDN12",55.390608192901,0.000107568333333333,0.0171293561724749
"HGH1",48.2906156203873,4.68666666666666e-05,0.0661547548730065
"AKR7A2",42.8088388668911,0,0.732427643236858
"EXOSC4",48.8947417284628,5.20316666666665e-05,0.0567040756054341
"BRAT1",61.1406347988083,0.000156728412698413,0.00649734199645602
"CYC1",42.8088388668911,0,0.732427643236858
"PPP1R16A",42.8088388668911,0,0.732427643236858
"AURKAIP1",97.9298646798869,0.000471259385281385,0
"KCNJ15",42.8790180856414,5.99999999999934e-07,0.259303012404017
"ARHGAP39",45.7015092984142,2.47310000000001e-05,0.119905493207324
"ATAD3B",70.4721681498768,0.000236508725308642,0.00236266981689304
"MRTO4",49.1039147887936,5.382e-05,0.0531600708800946
"NOC2L",41.7808432737153,-8.78888888888896e-06,0.80685174246899
"MIIP",45.4433032020364,2.25234567901236e-05,0.125812167749557
"MRPL20",42.8088388668911,0,0.732427643236858
"RILPL2",42.8088388668911,0,0.732427643236858
"NSMCE2",42.8088388668911,0,0.732427643236858
"ZC3H3",44.9287711192152,1.81244444444444e-05,0.143532191376255
"AVEN",42.6614625075155,-1.26000000000004e-06,0.744831659775546
"PSMG3",51.4540645841081,7.39126984126981e-05,0.03248670998228
"GLI4",42.8088388668911,0,0.732427643236858
"MFN2",41.9535296383717,-7.31250000000005e-06,0.800354400472534
"NCKIPSD",46.0370829294052,2.75999999999998e-05,0.113998818665092
"KIFC2",43.99148866435,1.0111111111111e-05,0.185469580626108
"KIAA2013",66.6774435706818,0.000204065577777778,0.00354400472533967
"LRRC14",54.0738900953258,9.6311e-05,0.0218546958062611
"ALKBH7",40.8265196150378,-1.69479166666666e-05,0.850561134081512
"CSRP2",44.2989776116893,1.274e-05,0.172474896633195
"TBRG4",45.6108091562552,2.39555555555555e-05,0.123449497932664
"FBXW5",36.8499300669036,-5.0945925925926e-05,0.942114589486119
"SSU72",42.8088388668911,0,0.732427643236858
"SRM",58.5762378742517,0.000134804,0.0100413467217956
"DAGLB",42.8088388668911,0,0.732427643236858
"MAF1",42.8088388668911,0,0.732427643236858
"LPCAT4",47.0636738880119,3.63768799102131e-05,0.0886001181334909
"MED30",42.8088388668911,0,0.732427643236858
"C8orf33",42.8088388668911,0,0.732427643236858
"NDUFB9",43.1418652521645,2.84722222222222e-06,0.242173656231542
"ATPIF1",42.8088388668911,0,0.732427643236858
"C11orf1",63.484751130733,0.000176769527777778,0.00472533963378619
"NUDC",42.8088388668911,0,0.732427643236858
"TTC31",53.4445754959871,9.093065e-05,0.0224453632604843
"SCRIB",42.8088388668911,0,0.732427643236858
"OSBPL3",43.31506496481,4.32799999999989e-06,0.22563496751329
"DPM3",42.8088388668911,0,0.732427643236858
"ACAP3",60.1596815613122,0.000148341714285714,0.00767867690490254
"ZMYND10",44.2228201631936,1.20888888888888e-05,0.175428233904312
"ILVBL",51.076782589381,7.06871111111114e-05,0.0378027170702895
"GPATCH3",45.4434837041422,2.25250000000001e-05,0.125812167749557
"RTN4R",77.2615986364482,0.000294555229166667,0.000590667454223315
"LRRC14B",66.7224986291196,0.000204450777777778,0.00354400472533967
"KCNH2",42.8088388668911,0,0.732427643236858
"POP7",42.8088388668911,0,0.732427643236858
"TSPAN18",46.8792335544089,3.47999999999999e-05,0.0933254577672771
"DNAJC11",42.8088388668911,0,0.732427643236858
"AP5Z1",40.2892316317335,-2.15414814814816e-05,0.87182516243355
"COX19",44.3037504483719,1.27808055555556e-05,0.171884229178972
"CEP85",43.4348374981438,5.35200000000002e-06,0.216774955699941
"FBXL6",44.1611144352998,1.15613333333335e-05,0.177790903721205
"PREB",47.7470580769387,4.22194999999999e-05,0.0744240992321323
"SUV39H1",42.7250136889393,-7.16666666666699e-07,0.743059657412876
"PDE9A",52.9746712592195,8.69131851851852e-05,0.0248080330773774
"SDHB",38.0901961365464,-4.03422222222223e-05,0.922622563496751
"NDUFAF1",42.8088388668911,0,0.732427643236858
"TRA2A",54.7309885174062,0.000101928888888889,0.0194920259893679
"RIMS2",42.8088388668911,0,0.732427643236858
"TCN1",42.8088388668911,0,0.732427643236858
"ACSM1",52.2156483520306,8.04238888888888e-05,0.0271707028942705
"BCL11B",42.8088388668911,0,0.732427643236858
"KRT6C",44.2007267054389,1.19e-05,0.175428233904312
"C8orf76",42.8088388668911,0,0.732427643236858
"CLPP",42.8088388668911,0,0.732427643236858
"WRAP73",39.3417222885556,-2.964225e-05,0.893089190785588
"POLR2L",46.6917146819081,3.31968e-05,0.0974601299468399
"MAPK8IP2",42.8088388668911,0,0.732427643236858
"ZNF593",46.6592049942889,3.29188571428571e-05,0.0980507974010632
"AGTRAP",42.8088388668911,0,0.732427643236858
"PIK3AP1",42.8088388668911,0,0.732427643236858
"LIG1",41.8968803417548,-7.79682539682547e-06,0.80330773774365
"ZNF696",81.9978503399792,0.000335048,0.000590667454223315
"SPATC1L",45.7007822359318,2.47247839506173e-05,0.119905493207324
"TRMT12",64.8398955996119,0.000188355388888889,0.00472533963378619
"MRPL34",42.8088388668911,0,0.732427643236858
"DCTN1",58.5222258681172,0.000134342222222222,0.0100413467217956
