"","Overall","importance","pvalue"
"UBE2D1",36.0946080633179,-1.96874999999985e-06,0.742919389978213
"SP2",36.5497693517528,0,0.708605664488017
"H1F0",51.3108024588824,6.38472222222222e-05,0.0157952069716776
"ZDHHC6",43.4300740851243,2.976e-05,0.0637254901960784
"FAM160B1",42.7919813074326,2.70000000000001e-05,0.0746187363834423
"NRBF2",43.7365699949059,3.10857142857144e-05,0.0599128540305011
"SCYL2",35.652101025777,-3.88276543209876e-06,0.766884531590414
"NHLRC2",36.5497693517528,0,0.708605664488017
"HNMT",37.6213077863406,4.63482142857141e-06,0.220043572984749
"RFFL",100,0.000274446981240981,0
"TMEM259",60.2640176632614,0.000102573368055556,0.00435729847494548
"SLC5A1",36.5497693517528,0,0.708605664488017
"MCMBP",39.5963797959653,1.3177777777778e-05,0.140522875816993
"BATF",36.5497693517528,0,0.708605664488017
"MRPL43",37.4563763262682,3.92142857142863e-06,0.231481481481482
"ZRANB1",36.7763556518505,9.80074074074189e-07,0.273420479302832
"SHOC2",36.5497693517528,0,0.708605664488017
"ZDHHC3",36.5497693517528,0,0.708605664488017
"NFE2L3",36.5497693517528,0,0.708605664488017
"TM9SF3",36.2147706434647,-1.44900000000003e-06,0.733660130718954
"CCDC6",36.5497693517528,0,0.708605664488017
"CERK",61.9940778841986,0.000110056552910053,0.00381263616557737
"THAP3",34.6681663010136,-8.13866666666674e-06,0.823529411764706
"ARL6IP5",37.2590021530444,3.06770833333325e-06,0.245098039215686
"WDR11",36.7948339692721,1.06000000000006e-06,0.271786492374728
"CD302",35.0208127443369,-6.61333333333336e-06,0.809368191721133
"CCDC186",49.4076544190828,5.56153650793652e-05,0.0201525054466231
"MLX",36.5497693517528,0,0.708605664488017
"BLOC1S2",34.8962510744888,-7.15211111111125e-06,0.815359477124183
"PRKRA",54.7633878732494,7.87809999999998e-05,0.00980392156862742
"TNKS2",36.6170465250529,2.91000000000041e-07,0.284313725490196
"MEF2C",57.6561521964636,9.12933333333332e-05,0.00653594771241828
"PGAP1",36.5497693517528,0,0.708605664488017
"SEC23IP",37.0415799906852,2.12727272727276e-06,0.255446623093682
"ABLIM1",33.9719156308624,-1.11502222222222e-05,0.845315904139434
"MCU",36.5497693517528,0,0.708605664488017
"LCOR",40.2557080820933,1.60296296296296e-05,0.124183006535948
"LHPP",42.0103802695406,2.36192708333331e-05,0.0893246187363834
"CHST10",26.2287613843396,-4.46423827160496e-05,0.968954248366013
"RGMB",40.987904987896,1.91966666666667e-05,0.110566448801743
"MICU3",36.5497693517528,0,0.708605664488017
"DHX32",36.5497693517528,0,0.708605664488017
"MICAL2",36.5497693517528,0,0.708605664488017
"CHUK",48.309274656572,5.08644444444442e-05,0.0223311546840959
"ANXA7",36.5497693517528,0,0.708605664488017
"LNX2",45.9824451958911,4.07999999999999e-05,0.0381263616557734
"TIAL1",36.5497693517528,0,0.708605664488017
"ASAP2",36.5497693517528,0,0.708605664488017
"UBE2G2",43.861249096137,3.1625e-05,0.0577342047930284
"DCLRE1A",36.5497693517528,0,0.708605664488017
"ERBB3",36.5497693517528,0,0.708605664488017
"ORMDL1",87.3357636202873,0.000219669222222222,0
"CRISPLD1",35.7440108180162,-3.48521975308658e-06,0.761437908496732
"VMP1",41.6257408844373,2.19555555555555e-05,0.0980392156862745
"ABCA2",37.870872411156,5.71428571428578e-06,0.201525054466231
"TNFSF13",30.0602469033528,-2.80697142857143e-05,0.929193899782135
"FAM69B",35.7888139895366,-3.2914285714285e-06,0.757080610021787
"MED16",53.8748959128143,7.49379259259257e-05,0.00980392156862742
"IPMK",36.5497693517528,0,0.708605664488017
"HDAC7",40.1599352968426,1.56153750000001e-05,0.126906318082789
"LASP1",27.2124477906576,-4.03875555555557e-05,0.961328976034858
"ARF6",36.5497693517528,0,0.708605664488017
"BASP1",50.8614209963323,6.19034722222223e-05,0.0157952069716776
"ESYT1",41.6185246647862,2.19243425925928e-05,0.0980392156862745
"GTPBP10",50.5754801657493,6.06666666666666e-05,0.0163398692810458
"FAM45A",36.5497693517528,0,0.708605664488017
"STK39",45.7904265359376,3.99694444444445e-05,0.0392156862745098
"CCDC148",35.4357271785269,-4.81866666666653e-06,0.784313725490196
"RPS6KB1",36.7478555444797,8.56799999999991e-07,0.276688453159041
"PRDX3",35.462674011208,-4.70211111111096e-06,0.782135076252723
"EGFR",36.5497693517528,0,0.708605664488017
"OLA1",36.5497693517528,0,0.708605664488017
"POMT1",35.4023711611423,-4.96294444444434e-06,0.785947712418301
"DCAF17",42.7798565171319,2.69475555555556e-05,0.0746187363834423
"STK11",42.7797714252508,2.69471875e-05,0.0746187363834423
"RPS21",42.3085566704205,2.49090000000001e-05,0.0844226579520697
"CTBP2",35.1163725323004,-6.19999999999998e-06,0.806100217864924
"NDUFB3",35.4749336641127,-4.64908333333325e-06,0.780501089324619
"OVOL2",28.8737682490454,-3.32016969696971e-05,0.948257080610022
"SGMS1",36.5497693517528,0,0.708605664488017
"PMPCA",35.5647549106618,-4.2605714285715e-06,0.7739651416122
"ERBB2",34.1042607995688,-1.05777777777778e-05,0.840958605664488
"JAGN1",48.9472623465204,5.36239898989896e-05,0.0206971677559913
"SHROOM3",36.120964069353,-1.85474999999991e-06,0.741830065359477
"DSC2",33.8433658811537,-1.170625e-05,0.849128540305011
"DSG2",44.1123504206916,3.27111111111111e-05,0.0528322440087146
"STX3",36.5497693517528,0,0.708605664488017
"CASP6",43.9248271808708,3.19e-05,0.0561002178649237
"EIF3A",35.7810525090627,-3.3249999999998e-06,0.758169934640523
"DTD1",36.5497693517528,0,0.708605664488017
"ZDHHC2",36.5497693517528,0,0.708605664488017
"MYZAP",29.7681069801501,-2.93333333333334e-05,0.935185185185185
"DNLZ",51.9009869020172,6.64e-05,0.0147058823529411
"TP53INP1",36.5497693517528,0,0.708605664488017
"ZNF433",46.3310737844933,4.23079545454546e-05,0.0354030501089324
"LPL",36.5497693517528,0,0.708605664488017
"SP1",39.2799279067388,1.1809e-05,0.149782135076253
"WIPF2",38.7070251429999,9.33097222222212e-06,0.169934640522876
"MAPK12",36.5497693517528,0,0.708605664488017
"STAT5A",36.5497693517528,0,0.708605664488017
"PPM1A",68.4901660924794,0.000138154666666666,0.00108932461873634
