"","Overall","importance","pvalue"
"HSPA1A",32.229423777435,0,0.751674107142857
"SH3BGRL",35.7160642091009,3.96691111111109e-05,0.0368303571428571
"ETFB",32.229423777435,0,0.751674107142857
"MERTK",49.8753486789306,0.0002007658,0.0022321428571429
"CYP4B1",37.168575514631,5.6195e-05,0.0279017857142857
"ESRRG",58.4701963546926,0.000298553333333333,0.0011160714285714
"KCTD18",29.9588524950986,-2.58333333333332e-05,0.948660714285714
"FBXL3",70.5129007820466,0.00043556871801948,0
"MX2",32.229423777435,0,0.751674107142857
"PLEKHA7",100,0.000771057001984127,0
"SMIM14",53.0717676016185,0.000237132927579365,0.0016741071428571
"SNAP47",32.229423777435,0,0.751674107142857
"FZD8",31.9087898146752,-3.64799999999987e-06,0.827566964285714
"EMD",43.7264415849676,0.000130806857142857,0.0083705357142857
"KLF3",53.2423392816205,0.0002390736,0.0016741071428571
"NME4",63.006655480762,0.000350166714365881,0.000558035714285698
"GALNT2",31.8887024476125,-3.87654320987663e-06,0.831473214285714
"CNPY2",31.7976415254281,-4.91258518518545e-06,0.844866071428571
"FGD1",33.7094867738833,1.68393571428576e-05,0.0719866071428571
"MRPS25",31.1908240141741,-1.18166269841269e-05,0.907924107142857
"GEM",31.2621597453031,-1.10050075757573e-05,0.900111607142857
"MSRA",32.229423777435,0,0.751674107142857
"TBKBP1",33.5653986222678,1.52000000000001e-05,0.0753348214285714
"PDZD11",48.6678743569081,0.00018702780952381,0.0027901785714286
"NOS1AP",33.0481955867409,9.31554329004314e-06,0.111607142857143
"TMLHE",32.229423777435,0,0.751674107142857
"MAP9",31.6044063061682,-7.11111111111107e-06,0.8671875
"TBX1",50.3150428545755,0.000205768402777778,0.0022321428571429
"SLC44A4",49.6744414040323,0.000198479985569985,0.0022321428571429
"RABGAP1",66.9418394146108,0.000394939111111111,0
"APOOL",38.777489691633,7.45003562610229e-05,0.0212053571428571
"NPHP1",57.0227070924467,0.000282084582539683,0.0011160714285714
"HSD17B10",33.9814258765798,1.99333333333334e-05,0.0636160714285714
"TMEM231",36.9568244783148,5.37858111111111e-05,0.0290178571428571
"MED19",52.8621755515118,0.000234748302469135,0.0016741071428571
"CCDC113",36.5571692636858,4.923875e-05,0.0329241071428571
"ACSL4",30.9461847817404,-1.45999999999999e-05,0.921875
"FUK",32.5213167024146,3.32099999999991e-06,0.178571428571429
"COL6A1",31.6338602545017,-6.77600000000012e-06,0.86328125
"DCTD",31.535507895859,-7.89499999999998e-06,0.873325892857143
"PTPN3",90.5827945811208,0.00066391312654321,0
"ARL14",32.229423777435,0,0.751674107142857
"AKR1B1",32.229423777435,0,0.751674107142857
"NR3C1",32.61364210687,4.37142857142869e-06,0.163504464285714
"RALGPS1",85.1903353265531,0.000602560638518117,0
"ARHGEF25",32.8007288097648,6.49999999999995e-06,0.138950892857143
"UXT",72.9136497612699,0.000462883142857143,0
"CDC42BPA",32.3366808039373,1.22031249999988e-06,0.226004464285714
"GPR160",32.229423777435,0,0.751674107142857
"GUK1",62.1138517412998,0.000340008875771605,0.0011160714285714
"PEMT",32.229423777435,0,0.751674107142857
"ZNF41",32.229423777435,0,0.751674107142857
"GPM6B",50.2962234459784,0.000205554285714286,0.0022321428571429
"ARV1",35.7050678079658,3.9544e-05,0.0368303571428571
"MCCC2",32.229423777435,0,0.751674107142857
"PDGFA",45.6915048854001,0.000153164285714286,0.0044642857142857
"SPIN2B",32.229423777435,0,0.751674107142857
"FAM3A",32.229423777435,0,0.751674107142857
"RAB14",32.4350599122271,2.33961684303341e-06,0.197544642857143
"DACT2",27.8538131836679,-4.97833333333335e-05,0.96875
"FADS3",38.450715846802,7.07825e-05,0.0223214285714286
"ABCB7",31.7630826166861,-5.30577777777785e-06,0.852120535714286
"GAS6",57.044570566325,0.000282333333333333,0.0011160714285714
"RIOK3",32.229423777435,0,0.751674107142857
"LYPLAL1",27.7030687878137,-5.1498421626984e-05,0.970982142857143
"ARHGEF4",32.5189216159329,3.2937500000001e-06,0.180245535714286
"ZNF319",32.6866848232542,5.20246913580258e-06,0.150669642857143
"ROR1",30.722277155608,-1.71474999999999e-05,0.9296875
"RASA3",32.229423777435,0,0.751674107142857
"UROS",32.229423777435,0,0.751674107142857
"MSRB2",34.7998349842392,2.92447499999999e-05,0.0479910714285714
"CXADR",44.6894986394664,0.000141764,0.0066964285714286
"EXOC6",32.229423777435,0,0.751674107142857
"PLGRKT",27.7632051821303,-5.08142222222221e-05,0.970424107142857
"FAM102B",49.8953314733777,0.000200993153439153,0.0022321428571429
"VOPP1",16.8730985222116,-0.000174715972222222,0.996651785714286
"FMNL3",33.4625930141424,1.40303333333334e-05,0.0803571428571429
"MLYCD",32.229423777435,0,0.751674107142857
"TFE3",38.9219992494973,7.6144507936508e-05,0.0212053571428571
"PFKM",31.0963912684456,-1.28910317460318e-05,0.916294642857143
"SPATA2L",33.776296485321,1.75994819444445e-05,0.0697544642857143
"AGPS",32.229423777435,0,0.751674107142857
"EML1",33.1259332127834,1.02000000000002e-05,0.104352678571429
"PDCL",32.3641931696769,1.53333333333339e-06,0.219308035714286
"RAB11FIP1",43.5486049313783,0.000128783527777778,0.0083705357142857
"BMP1",32.229423777435,0,0.751674107142857
"DEF8",32.9267088938171,7.93333333333335e-06,0.126116071428571
"EREG",32.229423777435,0,0.751674107142857
"RRAGB",31.7444859054414,-5.51736111111123e-06,0.853236607142857
"CLIP4",32.229423777435,0,0.751674107142857
"PSMB10",32.229423777435,0,0.751674107142857
