"","Overall","importance","pvalue"
"RCE1",42.1478005575345,2.66913580246908e-06,0.250411861614498
"VIL1",39.583610445763,-6.03022222222216e-06,0.787479406919275
"POLR2J",44.2004535513031,9.63303571428575e-06,0.172981878088962
"NIPSNAP3A",47.4604123046495,2.06928819444445e-05,0.101043382756727
"FBRS",41.3610561090085,0,0.705656232839099
"CHST14",41.3610561090085,0,0.705656232839099
"KCNK3",72.3910122443219,0.000105273277777778,0.00164744645799009
"C12orf66",36.7294529674958,-1.57133333333335e-05,0.873695771554091
"RPS6KB2",32.2669744096542,-3.0852888888889e-05,0.939044481054366
"ZSWIM3",42.9695830500877,5.45714285714261e-06,0.219110378912685
"ERP29",45.3975218273364,1.36942499999999e-05,0.14113124656782
"ANKRD40",41.3610561090085,0,0.705656232839099
"DLGAP4",41.3610561090085,0,0.705656232839099
"GFI1B",41.3610561090085,0,0.705656232839099
"RAD9A",35.6926806237729,-1.92307222222223e-05,0.893465129049973
"RHBDD3",41.3610561090085,0,0.705656232839099
"LRRC75B",41.3610561090085,0,0.705656232839099
"AIP",41.3610561090085,0,0.705656232839099
"SPNS1",41.3610561090085,0,0.705656232839099
"ATP6V0C",31.043390060597,-3.50040624999999e-05,0.945085118066996
"SAP130",41.3610561090085,0,0.705656232839099
"ZNF433",66.9626853098889,8.68569523809524e-05,0.00329489291598029
"LRP5",41.3610561090085,0,0.705656232839099
"MAP3K11",41.3610561090085,0,0.705656232839099
"TRIM37",43.8315345287237,8.38142857142854e-06,0.183964854475563
"C11orf84",41.3610561090085,0,0.705656232839099
"WDR31",41.3610561090085,0,0.705656232839099
"TRAK1",48.1699253857762,2.31000000000001e-05,0.0900604063701264
"NACC1",48.0398747193488,2.26587857142857e-05,0.0933552992861065
"NDUFS8",41.3610561090085,0,0.705656232839099
"ZNF57",26.5343666258662,-5.03015277777776e-05,0.970895112575508
"STYXL1",85.8440721208927,0.000150914583333333,0
"B3GNT4",42.6348241709888,4.32142857142859e-06,0.230642504118616
"KIAA0556",41.3610561090085,0,0.705656232839099
"BRD4",36.7702275814909,-1.55749999999999e-05,0.871499176276771
"TSPAN1",41.3610561090085,0,0.705656232839099
"CALR",41.3610561090085,0,0.705656232839099
"TSPAN6",41.3610561090085,0,0.705656232839099
"ZNF394",38.2138454210803,-1.06773333333334e-05,0.839099395936299
"PRSS36",41.3610561090085,0,0.705656232839099
"FXN",47.4298766687743,2.05892857142858e-05,0.101592531576057
"METTL18",40.6307238211076,-2.47774999999995e-06,0.748489840746842
"ZSWIM1",41.3610561090085,0,0.705656232839099
"HIGD2B",54.3859661632841,4.418875e-05,0.0362438220757826
"GZF1",58.8173943340157,5.9222962962963e-05,0.0203185063152114
"ACADS",41.3610561090085,0,0.705656232839099
"INPPL1",41.3610561090085,0,0.705656232839099
"PDAP1",41.3610561090085,0,0.705656232839099
"RAP2A",41.3610561090085,0,0.705656232839099
"RCOR2",45.0682599962649,1.2577185185185e-05,0.14717188358045
"YIPF2",47.7433475967916,2.1652777777778e-05,0.0982976386600769
"TARBP2",41.3610561090085,0,0.705656232839099
"CERCAM",74.2080059900784,0.000111437672161173,0.00164744645799009
"TESC",77.8309188884091,0.000123728888888889,0.000549148819329992
"ZNF256",35.8540269176257,-1.86833333333334e-05,0.890719384953322
"PABPC1L",41.3610561090085,0,0.705656232839099
"MED17",41.3610561090085,0,0.705656232839099
"ZNF341",49.9169947803626,2.90271666666666e-05,0.0647995606809445
"SDAD1",41.1519756786915,-7.09333333333451e-07,0.721032399780341
"PIGT",52.0632361832179,3.63085777777774e-05,0.0499725425590335
"FOXP4",75.7170435408199,0.000116557283950617,0.000549148819329992
"PPP1CA",65.5224191659236,8.19706567901235e-05,0.00439319055464027
"SNAP23",41.1300444104068,-7.83738095238018e-07,0.72158154859967
"ELN",60.8731475968505,6.61973809523808e-05,0.0137287204832509
"NMU",41.3610561090085,0,0.705656232839099
"NKD1",41.3610561090085,0,0.705656232839099
"LRWD1",65.8769155886487,8.31733333333333e-05,0.00384404173531028
"DDAH2",41.3610561090085,0,0.705656232839099
"TGFB3",51.9722809559191,3.6e-05,0.0505216913783635
"PCDHB13",41.3610561090085,0,0.705656232839099
"TPGS1",41.3610561090085,0,0.705656232839099
"PXN",48.8184710031556,2.53002777777778e-05,0.0812740252608457
"SSH3",41.3610561090085,0,0.705656232839099
"GPC5",27.3622398377567,-4.74928571428572e-05,0.968698517298188
"CASC4",45.9872974940508,1.56951428571428e-05,0.126853377265239
"PRIMPOL",26.0468316077263,-5.19555555555555e-05,0.973640856672158
"KIAA1671",41.4956068767432,4.56481481481585e-07,0.2833607907743
"AK8",28.96445057357,-4.20571428571428e-05,0.961559582646897
"PHF12",41.3610561090085,0,0.705656232839099
"COL1A1",53.9700732882079,4.27777777777778e-05,0.0384404173531027
"SOX13",41.3610561090085,0,0.705656232839099
"ELMSAN1",37.4300230622498,-1.33365555555554e-05,0.85722130697419
"CTSA",47.7871004770197,2.18012152777778e-05,0.0977484898407468
"SRCAP",20.659375200035,-7.02332222222224e-05,0.989566172432729
"GSTM2",45.3211652218755,1.34352e-05,0.14222954420648
"IL12RB2",36.9893051611427,-1.48317500000001e-05,0.866007688083471
"FAM53C",43.2118305760572,6.27900000000015e-06,0.208127402526085
"ZNF10",45.3729833698779,1.3611e-05,0.14113124656782
"B3GAT3",53.5197512460936,4.125e-05,0.0400878638110929
"TOB2",41.3610561090085,0,0.705656232839099
"FIZ1",56.2542002592227,5.0526984126984e-05,0.029104887424492
"AKNA",41.3610561090085,0,0.705656232839099
"ZNF547",49.430827103696,2.73777777777777e-05,0.0730367929708952
"MEN1",24.4849641124818,-5.72543999999999e-05,0.978034047226798
"DIRAS1",41.3610561090085,0,0.705656232839099
"STIP1",40.7988296242626,-1.90742857142867e-06,0.739703459637562
"TSPAN9",41.3610561090085,0,0.705656232839099
"ST6GALNAC4",33.0114195174326,-2.83272592592592e-05,0.931356397583745
"EIF4H",41.5313597176626,5.77777777777788e-07,0.28116419549698
"ULK1",66.0579450495786,8.37874999999999e-05,0.00384404173531028
"LRCH4",53.7067577086734,4.18844444444446e-05,0.0395387149917628
"COL10A1",41.3610561090085,0,0.705656232839099
"ZNF140",38.5622866043866,-9.49520000000015e-06,0.823723228995058
"EPHB4",41.3610561090085,0,0.705656232839099
"FBLN5",41.3610561090085,0,0.705656232839099
"FBXL15",33.7314544413038,-2.58844444444444e-05,0.922020867655135
"KDELR1",41.3610561090085,0,0.705656232839099
"CHKA",44.0282316877163,9.04875000000005e-06,0.180120812740253
"PIGQ",41.3610561090085,0,0.705656232839099
"ELOF1",36.2552304241494,-1.73221967592592e-05,0.881933003844042
"LMTK2",43.2050511824049,6.25600000000004e-06,0.208127402526085
"SCD5",41.3610561090085,0,0.705656232839099
"PHF6",41.3610561090085,0,0.705656232839099
"CNOT3",41.3610561090085,0,0.705656232839099
"CAMK2N2",35.8701683310833,-1.86285714285714e-05,0.890170236133992
"TMOD2",47.9618096122635,2.23939393939394e-05,0.0939044481054365
"PDIA3",38.8482591140109,-8.52499999999989e-06,0.817682591982427
"LRRC56",42.5867508309085,4.15833333333326e-06,0.233937397034596
"TFPI",48.812202884226,2.5279012345679e-05,0.0812740252608457
"PRKAB1",32.9687562800851,-2.84720000000003e-05,0.933003844041735
"ADAD2",44.2665105313769,9.85714285714301e-06,0.169686985172982
"FRMD7",41.3610561090085,0,0.705656232839099
"LRRC3",41.3610561090085,0,0.705656232839099
"USF2",45.8898595008137,1.53645714285713e-05,0.130148270181219
"RPS27",33.0268232604974,-2.82750000000001e-05,0.930807248764415
"E4F1",41.3610561090085,0,0.705656232839099
"TMEM164",41.3610561090085,0,0.705656232839099
"TMEM179B",36.8529361840476,-1.52944000000002e-05,0.869851729818781
"RNF10",62.879717634976,7.30049382716049e-05,0.00988467874794074
"CRTAC1",41.3610561090085,0,0.705656232839099
"RBMX2",45.9738094066573,1.56493827160493e-05,0.126853377265239
"PHF7",36.7096453477815,-1.57805333333334e-05,0.874244920373421
"EIF2B5",41.3610561090085,0,0.705656232839099
"SMAP1",41.3610561090085,0,0.705656232839099
"PRR18",41.3610561090085,0,0.705656232839099
"GGCX",30.4261889042671,-3.70979999999999e-05,0.951125755079627
"HCFC1R1",28.2810184491046,-4.43757777777778e-05,0.964854475562878
"TMEM132E",34.3618795675756,-2.3745642857143e-05,0.911037891268534
"ARRDC2",42.127422347952,2.59999999999994e-06,0.250961010433828
"RFXAP",41.3610561090085,0,0.705656232839099
"CD4",41.3610561090085,0,0.705656232839099
"PRDM13",41.3610561090085,0,0.705656232839099
"MMP2",37.6754240121815,-1.25040000000001e-05,0.85118066996156
"GTF3C1",41.3610561090085,0,0.705656232839099
"ZFP36L2",42.21148246248,2.88518518518521e-06,0.247116968698517
"NRROS",41.3610561090085,0,0.705656232839099
"ARID5B",38.4134936515333,-1e-05,0.832509610104338
"LAMA5",61.0567994526336,6.68204444444447e-05,0.0137287204832509
"THOC6",41.3610561090085,0,0.705656232839099
"PCDHGA12",47.3088134360901,2.01785624999999e-05,0.103239978034047
"DESI1",41.3610561090085,0,0.705656232839099
"C16orf74",41.3610561090085,0,0.705656232839099
"MBOAT7",39.2863978979676,-7.03855555555544e-06,0.800658978583196
"NDUFC2",41.3610561090085,0,0.705656232839099
"CLPTM1",46.7811518583121,1.83883999999999e-05,0.110928061504668
"NSUN5",41.9269881008437,1.92000000000014e-06,0.259747391543108
"DDRGK1",39.5220534695244,-6.23906249999995e-06,0.790774299835255
"PAK1",44.2791429419089,9.90000000000002e-06,0.169137836353652
"DPYSL2",42.3927029691248,3.50000000000006e-06,0.240527182866557
"PLBD2",71.335086699297,0.000101690909090909,0.00219659527732019
"YWHAG",40.1808521010354,-4.0039999999999e-06,0.763866007688083
"RTN4RL1",29.9420728246443,-3.87404285714286e-05,0.954969796814937
"LMBR1L",45.4303298350228,1.38055555555556e-05,0.14113124656782
"SAMD4B",41.3610561090085,0,0.705656232839099
"C16orf62",41.3610561090085,0,0.705656232839099
"ZNF335",41.7471400042321,1.30984126984135e-06,0.267984623833059
"LINGO1",41.3610561090085,0,0.705656232839099
"DISC1",34.9044794971582,-2.19048000000002e-05,0.903898956617243
"PRRX2",41.3610561090085,0,0.705656232839099
"PPP5C",41.3610561090085,0,0.705656232839099
"KCNQ5",41.3610561090085,0,0.705656232839099
"GJA4",41.3610561090085,0,0.705656232839099
"LANCL2",41.3610561090085,0,0.705656232839099
"RBP4",41.2957184745344,-2.21666666666787e-07,0.71224601867106
"PLCG1",42.2983809704856,3.17999999999996e-06,0.242723778143877
"CHCHD4",41.3610561090085,0,0.705656232839099
"ZNF688",41.3610561090085,0,0.705656232839099
"RFT1",38.7660221214474,-8.80399999999981e-06,0.819879187259747
"CELF6",43.3782941658431,6.84375000000004e-06,0.202086765513454
"CANT1",41.3610561090085,0,0.705656232839099
"COQ6",41.3610561090085,0,0.705656232839099
"VASN",41.3610561090085,0,0.705656232839099
"ACTR3B",52.2649186411503,3.69928124999999e-05,0.0494233937397035
"ROGDI",38.0982427492913,-1.10695308641975e-05,0.841295991213619
"DDTL",44.7035919357853,1.13399999999999e-05,0.157605711147721
"THAP1",63.4952851230087,7.50933333333332e-05,0.00768808347062055
"SEL1L",41.3610561090085,0,0.705656232839099
"TINF2",41.3610561090085,0,0.705656232839099
"C7orf43",45.4339631151354,1.38178819444446e-05,0.14113124656782
"POLD4",39.2650116948038,-7.11111111111129e-06,0.802306425041186
"ABHD10",41.3610561090085,0,0.705656232839099
"RERGL",41.3610561090085,0,0.705656232839099
"EFNB1",41.3610561090085,0,0.705656232839099
"ZNF337",56.9295368440155,5.28181538461536e-05,0.0263591433278418
"NR2C1",59.5889718321928,6.18406428571425e-05,0.0170236133992312
"PLAGL2",42.4830948844874,3.80666666666674e-06,0.237232289950577
"ZNF212",45.3528853606772,1.35428148148149e-05,0.14168039538715
"FRAT2",41.3610561090085,0,0.705656232839099
"KPTN",33.9765524473163,-2.50529166666671e-05,0.918176825919824
"TMED1",38.6492986481313,-9.2000000000001e-06,0.821526633717737
"MDM2",47.3033420232785,2.01600000000002e-05,0.103239978034047
"NXT1",42.2338293526669,2.96099999999999e-06,0.247116968698517
"POLR3C",39.4543150922154,-6.46887400793639e-06,0.794069192751236
"RAB28",41.3610561090085,0,0.705656232839099
"MXRA5",40.6610100253581,-2.37500000000002e-06,0.744645799011532
"PGAP3",43.3408355596126,6.7166666666667e-06,0.204283360790774
"ZNF555",39.7764465318699,-5.37599999999983e-06,0.780889621087315
"C3orf67",41.3610561090085,0,0.705656232839099
"CLCF1",41.3610561090085,0,0.705656232839099
"CDH11",41.3610561090085,0,0.705656232839099
"GHRL",41.3610561090085,0,0.705656232839099
"DBN1",41.3610561090085,0,0.705656232839099
"XYLT2",43.725656213783,8.02222222222215e-06,0.188907193849533
"CD2BP2",41.3610561090085,0,0.705656232839099
"TNFRSF21",40.7903276291743,-1.9362727272727e-06,0.740801757276222
"U2AF1L4",41.3610561090085,0,0.705656232839099
"SMO",41.3610561090085,0,0.705656232839099
"SLC6A16",60.0987945748315,6.35702847222221e-05,0.0153761669412411
"PFDN1",41.3610561090085,0,0.705656232839099
"SLC38A6",43.0070732373445,5.58433333333341e-06,0.216913783635365
"TMEM37",17.3907576895529,-8.13224444444445e-05,0.99560680944536
"RHOT2",54.0671344357974,4.31070707070707e-05,0.0378912685337727
"EPB41L1",55.9271565078894,4.94174444444444e-05,0.0296540362438221
"RBM48",41.3610561090085,0,0.705656232839099
"TUBA8",41.3610561090085,0,0.705656232839099
"POP5",41.3610561090085,0,0.705656232839099
"BMP6",41.3610561090085,0,0.705656232839099
"NNT",41.3610561090085,0,0.705656232839099
"CBX4",36.7500999407098,-1.56432857142856e-05,0.873146622734761
"OGG1",41.3610561090085,0,0.705656232839099
"SLC16A8",42.2479449017688,3.00888888888906e-06,0.246018671059857
"GANAB",50.2692448693779,3.02222222222222e-05,0.0637012630422844
"SYS1",48.6495741856743,2.47272727272727e-05,0.0840197693574959
"RAMP2",41.3610561090085,0,0.705656232839099
"CHRD",38.8371238780604,-8.56277777777792e-06,0.818780889621087
"ZNF530",38.4309110660547,-9.94090909090928e-06,0.831411312465678
"KAZALD1",41.3162531596548,-1.52000000000152e-07,0.71059857221307
"TTYH3",45.9456853980242,1.5553968253968e-05,0.129049972542559
"TIMP3",41.3610561090085,0,0.705656232839099
"GDF11",41.3610561090085,0,0.705656232839099
"CIPC",38.5430226461923,-9.56055555555557e-06,0.824272377814388
"LIME1",68.6628013861438,9.26248236331571e-05,0.00274574409665018
"TFRC",41.3610561090085,0,0.705656232839099
"SLC16A6",28.4453286807618,-4.38183333333335e-05,0.962657880285557
"MMP24",41.0935921082376,-9.07407407407357e-07,0.724876441515651
"GID8",41.3610561090085,0,0.705656232839099
"PGP",41.3610561090085,0,0.705656232839099
"VEGFB",41.3610561090085,0,0.705656232839099
"DYRK3",41.3610561090085,0,0.705656232839099
"VN1R1",45.7455552645028,1.4875e-05,0.132894014277869
"ARF5",54.4875342529646,4.45333333333333e-05,0.0345963756177924
"NR3C2",60.1485928822666,6.37392321428572e-05,0.0153761669412411
"AMMECR1L",51.2605428745208,3.35853333333334e-05,0.057660626029654
