"","Overall","importance","pvalue"
"LPL",45.906491713087,0.00193827197149471,0
"RPS17",9.66341154897819,0.000231207333333333,0
"TRIM24",4.95841551812778,9.60000000000005e-06,0.107538802660754
"SPDEF",12.4805386212855,0.00036389522808642,0
"NRP2",4.60351353113588,-7.11603597883603e-06,0.875831485587583
"GGCT",4.56757926050132,-8.80855555555571e-06,0.888580931263858
"PIP5K1B",9.10789189396992,0.000205042119047619,0.000554323725055483
"HNMT",9.71253494689334,0.000233521066468254,0
"ASAP2",4.6378061840512,-5.50083730158724e-06,0.8519955654102
"MBOAT2",5.87272541819074,5.26643888888887e-05,0.020509977827051
"TTLL11",6.53738555362758,8.39701666666668e-05,0.0077605321507761
"NET1",6.68322539280778,9.08392857142857e-05,0.00665188470066513
"IL12RB2",4.7796751094106,1.18124999999991e-06,0.210643015521064
"PCOLCE2",100,0.00448609943904321,0
"SPOPL",3.4496428762344,-6.14638392857145e-05,0.984478935698448
"GALNT1",6.02721483873013,5.99409069325731e-05,0.0160753880266076
"C11orf80",6.29616726760506,7.26086818181817e-05,0.011640798226164
"MYZAP",4.75459572021421,0,0.772172949002217
"FADS2",38.308296878829,0.001580393732209,0
"CHST10",6.17734283456669,6.70120000000001e-05,0.0138580931263859
"KLF11",4.75459572021421,0,0.772172949002217
"ZNF20",9.95321194763567,0.000244857056547619,0
"DSC1",4.63438371556129,-5.66203703703727e-06,0.856430155210643
"DISC1",4.75459572021421,0,0.772172949002217
"SCYL2",4.58522359127093,-7.97749999999997e-06,0.884146341463415
"FA2H",8.52600024837041,0.000177634772681177,0.00110864745011086
"MAPK12",15.3933174854019,0.000501088363305676,0
"VWDE",5.88344181547443,5.31691358024691e-05,0.0199556541019955
"NPL",4.80494406315119,2.37142857142869e-06,0.19290465631929
"KIDINS220",6.16616738965503,6.64856317460318e-05,0.0138580931263859
"SMAD2",4.81912349105664,3.0392857142858e-06,0.185144124168514
"ACAA2",7.69488862419822,0.000138489058311288,0.00221729490022171
"ADAMTS3",4.54027825909792,-1.00944444444446e-05,0.895232815964523
"TSPAN13",4.75459572021421,0,0.772172949002217
"EGFR",4.75459572021421,0,0.772172949002217
"TRPM4",4.75459572021421,0,0.772172949002217
"ZDHHC3",5.13374206318116,1.78579555555556e-05,0.0692904656319291
"ZC3H12C",83.2848144989531,0.00369880702460318,0
"SREBF2",12.8134380725578,0.000379574935185185,0
"SIVA1",8.64973183902478,0.000183462583730159,0.00110864745011086
"NR2F6",5.13732400740746,1.80266666666666e-05,0.0687361419068736
"ARL6IP5",4.65526389905842,-4.67857142857131e-06,0.841463414634146
"CALM1",4.75459572021421,0,0.772172949002217
"KLF15",10.3132647580832,0.000261815698522928,0
"RAB3D",13.1538012313103,0.000395606186111111,0
"EPHB4",15.1023620809548,0.000487384238822751,0
"RCOR1",4.75459572021421,0,0.772172949002217
"ASF1A",4.84947808238876,4.46899999999983e-06,0.161308203991131
"ZFYVE21",5.00064207348255,1.15888888888889e-05,0.0970066518847007
"SP2",5.87283930669665,5.26697530864197e-05,0.020509977827051
"MMP15",5.05447577119175,1.41244791666666e-05,0.085920177383592
"GPC6",6.21885836842076,6.89673994708997e-05,0.0138580931263859
"TMEM259",4.31176687891992,-2.08574285714285e-05,0.939024390243902
"C3orf18",5.2960430133716,2.55024000000001e-05,0.0515521064301552
"ANKRD9",4.75459572021421,0,0.772172949002217
"GRHL1",4.75459572021421,0,0.772172949002217
"VPS4B",4.96881032782137,1.00895999999999e-05,0.105321507760532
"ABCC5",4.75459572021421,0,0.772172949002217
"CASP6",4.60986950954295,-6.81666666666669e-06,0.871951219512195
"DSG2",4.85130927588564,4.5552499999999e-06,0.160753880266075
"PARD3B",4.1825615391197,-2.69430555555554e-05,0.951773835920177
"DYM",4.97115425549737,1.02e-05,0.104767184035477
"YY1",4.75459572021421,0,0.772172949002217
"CDCA4",4.75459572021421,0,0.772172949002217
"PALMD",6.17326584885206,6.68199722222222e-05,0.0138580931263859
"RALGPS2",4.75459572021421,0,0.772172949002217
"CHP1",4.63345976393109,-5.70555555555563e-06,0.857538802660754
"KIAA1324",5.56825729442471,3.83238095238094e-05,0.0327050997782705
"MPPED2",4.75459572021421,0,0.772172949002217
"C15orf62",6.51853592936055,8.30823412698414e-05,0.0077605321507761
"RAB40A",6.33192437951405,7.42928571428572e-05,0.011640798226164
"PPP4R2",4.75459572021421,0,0.772172949002217
"SHROOM3",4.75459572021421,0,0.772172949002217
"OVOL2",4.75459572021421,0,0.772172949002217
"CTH",7.64036583456368,0.000135921011507937,0.00221729490022171
"PLD6",4.81727030807263,2.95200000000007e-06,0.18569844789357
"THAP3",4.30466351632001,-2.11920000000001e-05,0.941241685144124
"AHR",4.75459572021421,0,0.772172949002217
"PPP1R13B",9.72709815874986,0.000234207,0
"GPR160",5.04068653030643,1.34749999999999e-05,0.0892461197339246
"HIST1H1A",6.18845223595707,6.75352575757575e-05,0.0138580931263859
"STYXL1",6.00804787945563,5.9038134920635e-05,0.0171840354767184
"MAP3K11",5.43249900321001,3.19295357142859e-05,0.0404656319290465
"ZNF433",4.75459572021421,0,0.772172949002217
"GALNT18",4.75459572021421,0,0.772172949002217
"PCDH1",4.73532016079851,-9.07887125220386e-07,0.786585365853659
"ACSS2",5.01113973668527,1.20833333333332e-05,0.0942350332594235
"CHCHD6",4.75459572021421,0,0.772172949002217
"TRAPPC8",4.75459572021421,0,0.772172949002217
"SPTSSB",6.12367087753915,6.44840277777778e-05,0.0149667405764967
"MICU3",16.8026704747801,0.000567469494268077,0
"CHD1L",4.75459572021421,0,0.772172949002217
"UGGT2",8.11900536445153,0.000158465138888889,0.00166297117516634
"PSMD1",4.75459572021421,0,0.772172949002217
"ZDHHC2",4.75459572021421,0,0.772172949002217
"CCDC117",5.43776948729486,3.21777777777779e-05,0.0404656319290465
"IER3IP1",4.13523935776012,-2.91719506172838e-05,0.956208425720621
"NPC1",4.86677209788071,5.28355555555549e-06,0.151884700665188
"FBXO36",5.02029747343876,1.25146666666667e-05,0.0914634146341463
"RPS23",4.59774673992682,-7.38765432098765e-06,0.879711751662971
"TMEM5",15.0443376495284,0.00048465126318743,0
"SLAIN2",7.03226515384205,0.000107279208333333,0.00443458980044342
"SRR",7.7378979243202,0.000140514814814815,0.00221729490022171
"RMI2",4.75459572021421,0,0.772172949002217
"NACC1",6.06605993778514,6.17705277777778e-05,0.0155210643015521
"AKT3",4.94512786502639,8.97414583333345e-06,0.111419068736142
"LASP1",4.75459572021421,0,0.772172949002217
"DUSP9",12.336857832396,0.000357127801234568,0
"EEF2",5.89668784815896,5.37930296296298e-05,0.0194013303769401
"DEGS2",5.46366038124221,3.33972500000002e-05,0.0382483370288248
"MCMBP",5.03252935734264,1.30907936507936e-05,0.0898004434589801
"CHRDL1",11.8228712878536,0.000332918814285714,0
"TACC2",4.66023470266164,-4.44444444444425e-06,0.838691796008869
"SNRPD3",10.1145777376337,0.000252457454545455,0
"ST6GALNAC4",4.75459572021421,0,0.772172949002217
"SETD3",5.13324315551225,1.78344567901236e-05,0.0692904656319291
"MPP7",5.78901354697443,4.87215238095238e-05,0.0227272727272727
"SKA1",4.05263720206609,-3.30625476190478e-05,0.960643015521064
"TUB",4.75459572021421,0,0.772172949002217
"ZNF341",5.30107693775548,2.57395e-05,0.0509977827050998
"AMT",4.75459572021421,0,0.772172949002217
"PLOD2",4.87402896563596,5.62535714285706e-06,0.144678492239468
"PI4K2B",5.74538640451626,4.66666666666666e-05,0.024390243902439
"STK39",3.11103648559844,-7.74123456790126e-05,0.989467849223947
"YWHAH",5.16029159703103,1.91084500000001e-05,0.0665188470066519
"LMTK2",4.75459572021421,0,0.772172949002217
"ADAMTSL3",5.01456032357156,1.22444444444445e-05,0.0931263858093127
"GOLPH3",4.75459572021421,0,0.772172949002217
"PDE3B",5.21755446258154,2.18055555555556e-05,0.0582039911308204
"TRIM46",4.75459572021421,0,0.772172949002217
"SPINT1",4.38259004614946,-1.7521626984127e-05,0.929046563192905
"SLC29A2",5.02502091637453,1.27371428571428e-05,0.0903547671840355
