"","Overall","importance","pvalue"
"PARD6A",39.7674769858473,-6.81266041666666e-05,0.889731917046029
"ANXA13",56.8421830073467,0.000128778555555555,0.0566514921598381
"LIMD2",91.7903385148134,0.000531799968253968,0
"NSUN5",45.6751014484561,0,0.693474962063733
"LHFPL1",46.0450870756882,4.26666666666664e-06,0.252908447142135
"GPR87",45.4929991475528,-2.09999999999999e-06,0.727870510875063
"PPP1R10",41.4895354636873,-4.82678611111111e-05,0.86848760748609
"IL20",54.2339095909112,9.86999999999998e-05,0.0773899848254932
"SRP14",36.8301325474386,-0.000102,0.927162367223065
"MTMR1",63.9728118111465,0.000211008820707071,0.0227617602427921
"CAMKK1",56.1214454653492,0.000120467025,0.0586747597369752
"LMAN1",30.2522288984404,-0.00017785625,0.967121901871522
"LGALSL",45.6751014484561,0,0.693474962063733
"RAC3",52.3980004414076,7.75283333333334e-05,0.097622660596864
"WIPF3",47.993506756135,2.67358024691358e-05,0.16236722306525
"PRELID2",54.8730019517005,0.00010607,0.0698027314112292
"EFNA5",45.6751014484561,0,0.693474962063733
"NEBL",45.6751014484561,0,0.693474962063733
"ITGB6",45.6751014484561,0,0.693474962063733
"NOTCH2",59.5823216137379,0.000160377777777778,0.0414769853313101
"TBC1D8",45.6751014484561,0,0.693474962063733
"ECSIT",39.6616956239391,-6.93464726631396e-05,0.892261001517451
"PTPRE",46.8281890620677,1.32973827160494e-05,0.205867475973697
"APLF",45.6751014484561,0,0.693474962063733
"IFNAR2",45.5043805413592,-1.96874999999985e-06,0.725341426403642
"IL12A",45.7202657095928,5.20833333333304e-07,0.29742033383915
"BNC1",56.6973755467197,0.000127108638888889,0.0566514921598381
"GUCY1A3",47.3335331173968,1.91249999999998e-05,0.183105715730905
"TYRO3",45.6751014484561,0,0.693474962063733
"SBK1",45.6751014484561,0,0.693474962063733
"ZAP70",45.382207859925,-3.37764285714282e-06,0.74405665149216
"CCDC136",43.6873022792589,-2.29232592592592e-05,0.828022255943349
"LY75",45.6751014484561,0,0.693474962063733
"DGAT2",55.7365632711542,0.000116028571428572,0.0591805766312595
"MAN1B1",45.6751014484561,0,0.693474962063733
"BGLAP",45.6751014484561,0,0.693474962063733
"BRD1",45.0197486397882,-7.55751515151526e-06,0.766312594840668
"ELOF1",45.7626839836524,1.00999999999996e-06,0.289327263530602
"TLCD1",45.6751014484561,0,0.693474962063733
"S100A3",45.6751014484561,0,0.693474962063733
"RNF128",46.0026928892345,3.77777777777766e-06,0.255437531613556
"PTPN14",49.6813520683287,4.61999999999998e-05,0.134041476985331
"ACSL5",45.6751014484561,0,0.693474962063733
"TOR1B",37.8767390255138,-8.99305555555554e-05,0.91704602933738
"KRT33A",45.6751014484561,0,0.693474962063733
"UBTF",47.9216368339331,2.59070000000001e-05,0.165402124430956
"OXNAD1",45.6751014484561,0,0.693474962063733
"SLC25A43",37.7471477055587,-9.14250000000001e-05,0.918563480020233
"DOLPP1",51.7851886222027,7.04613999999999e-05,0.105715730905412
"MRI1",50.9314988165934,6.06166666666668e-05,0.116337885685382
"TEX35",45.6751014484561,0,0.693474962063733
"GRAP2",61.6981769194715,0.000184777777777778,0.0313606474456247
"CXCL5",45.6751014484561,0,0.693474962063733
"CRIP1",44.0795384310176,-1.84e-05,0.815376833586242
"C11orf84",43.9431846877494,-1.99724285714287e-05,0.820435002529085
"PRDX2",61.1385351181134,0.000178324,0.0328780981284775
"MFGE8",43.1027860101672,-2.96638888888889e-05,0.844208396560445
"MAN1A1",45.6004587751705,-8.60777777777821e-07,0.708143651997977
"LIPE",43.4754212740527,-2.53666666666668e-05,0.833586241780475
"RUSC1",46.7723588625489,1.265355e-05,0.209408194233687
"C2orf88",40.6035181638987,-5.84853944444446e-05,0.880627212948913
"TIGD3",45.669139765986,-6.87499999998398e-08,0.693980778958017
"SLC41A2",38.1126833196478,-8.72096507936508e-05,0.915022761760243
"CAMK1G",46.4143500747421,8.52500000000012e-06,0.229640870005058
"RPAP1",45.6751014484561,0,0.693474962063733
"EMC7",45.6751014484561,0,0.693474962063733
"SPINK1",58.0880335972721,0.000143145679012346,0.0500758725341427
"TMA16",49.2787614576968,4.15573333333332e-05,0.137076378351037
"CA5B",45.6751014484561,0,0.693474962063733
"DYNLRB1",45.1055740936204,-6.56777777777773e-06,0.761760242792109
"ARAP2",45.293553770373,-4.39999999999996e-06,0.749114820435003
