"","Overall","importance","pvalue"
"KIAA1324",37.9559574423551,7.08200000000003e-05,0.00698893418753643
"C11orf80",34.5655079433141,5.23208402777775e-05,0.0151426907396622
"SYCP2",89.3007765383853,0.000350970466666667,0
"RAB1B",75.9457589241751,0.000278102074434824,0
"SMC1B",37.5481991888064,6.85951666666666e-05,0.00698893418753643
"KCTD10",39.4924237466582,7.92033531746033e-05,0.00524170064065232
"SH3RF1",41.5457563542579,9.04068611111111e-05,0.00291205591147348
"LRBA",39.3423702080446,7.8384622685185e-05,0.00524170064065232
"ACTN4",24.3554220557347,-3.38799999999995e-06,0.809551543389633
"CCDC15",33.3956844613906,4.59379841269838e-05,0.0203843913803144
"PPARG",66.6424841920566,0.000227341027777778,0
"SORT1",30.5856203530932,3.06055555555556e-05,0.0442632498543972
"DSG2",24.976360686204,0,0.753057658707047
"DSC3",34.4007477771655,5.14218666666666e-05,0.0163075131042516
"HIST1H1D",72.5982567003365,0.000259837246031746,0
"P2RX5",20.6684874836665,-2.35048581196582e-05,0.938846825859057
"FNBP1L",29.124632431889,2.26340317460316e-05,0.0646476412347117
"CDC42BPG",25.7140093874771,4.02480000000005e-06,0.182877111240536
"SDC4",24.976360686204,0,0.753057658707047
"MALL",24.976360686204,0,0.753057658707047
"PPP1CA",24.0888611946921,-4.84242424242431e-06,0.827606290040769
"NPTN",36.529980706401,6.30395061728395e-05,0.0104834012813046
"PACSIN2",34.4856961637134,5.18853667929293e-05,0.0151426907396622
"SERTAD4",27.760844720207,1.5192857142857e-05,0.0966802562609202
"KCNK5",36.3073753277202,6.18249142857144e-05,0.011648223645894
"TES",27.2416503770544,1.23599999999999e-05,0.114735002912056
"ZIC5",53.1618977680534,0.0001537875,0
"CD276",19.0993451626073,-3.20665e-05,0.958066394874782
"GRHL1",28.6720275438994,2.01645037037039e-05,0.0710541642399534
"LNX1",24.976360686204,0,0.753057658707047
"EPHB3",21.411188054489,-1.94524938271605e-05,0.924286546301689
"MDH1B",63.2553869322243,0.000208860158730159,0
"TMEM134",24.8680613114576,-5.90909090909086e-07,0.764705882352941
"ACTR3",17.4132354013033,-4.12663461538461e-05,0.972626674432149
"FADD",25.9817597168172,5.48571428571432e-06,0.163657542224811
"CTTN",31.0783880620036,3.32942222222221e-05,0.0396039603960396
"RBX1",37.2118492850416,6.67599555555556e-05,0.0081537565521258
"RHBDF1",32.8190900446398,4.27919375000001e-05,0.0238788584740827
"DSC2",45.191736955264,0.000110300263888889,0.00058241118229474
"CA13",32.7313123600676,4.2313e-05,0.0262085032032615
"MEMO1",25.5930500318044,3.36481481481465e-06,0.191030867792662
"CRTAP",100,0.000409348166666667,0
"RNF2",47.7874746504916,0.000124463272727273,0.00058241118229474
"IQGAP1",29.5743855862085,2.5088e-05,0.0559114735002912
"ARPC3",24.976360686204,0,0.753057658707047
"ETV4",51.3300716758776,0.000143792588271605,0
"TEAD3",31.41719822607,3.51428571428571e-05,0.0361094933022714
"HIST1H1A",25.5342707467151,3.04409999999988e-06,0.195107746068724
"ANLN",59.5891532572129,0.00018885625,0
"GSN",24.976360686204,0,0.753057658707047
"GDPD5",37.050070660846,6.58772499999998e-05,0.00873616773442054
"SCNM1",25.718942126471,4.05171428571438e-06,0.182877111240536
"GOLPH3L",34.7890963570064,5.35407958553795e-05,0.0145602795573675
"MMP15",28.6508126837313,2.00487500000002e-05,0.0722189866045428
"PLS3",27.3725617091655,1.30742857142856e-05,0.111240535818288
"DENND2D",25.0466927993807,3.83750000000127e-07,0.239953407105416
"PALM2",53.7001688014353,0.000156724444444444,0
"TTYH1",24.976360686204,0,0.753057658707047
"PHLPP1",36.1365945923837,6.0893090909091e-05,0.011648223645894
"DHCR7",24.0886182153256,-4.84375000000004e-06,0.828188701223064
"YWHAB",48.6497238085241,0.000129167924691358,0.00058241118229474
"SUMF2",57.4183969181068,0.000177012048148148,0
"SIPA1L3",14.2365095472252,-5.85993750000002e-05,0.987186953989517
"TWIST1",39.5898821424186,7.97351111111111e-05,0.00524170064065232
