"","Overall","importance","pvalue"
"ACAD9",30.3243652396117,0,0.705352112676056
"ARPC1A",51.6721801049622,8.69594074074076e-05,0.0028169014084507
"TFCP2L1",49.2316604973439,7.70180555555555e-05,0.00450704225352117
"MTG1",50.3360712627405,8.15168253968253e-05,0.00394366197183094
"PGRMC1",30.740386036622,1.69464285714271e-06,0.272112676056338
"KLK10",27.9185463418323,-9.80000000000003e-06,0.823661971830986
"POLR2J",42.8737548889119,5.11194000000001e-05,0.0276056338028169
"AANAT",45.7419674508556,6.28029407407407e-05,0.0118309859154929
"NDUFV1",26.5955096092032,-1.51893333333333e-05,0.865352112676056
"PPM1G",46.5557278346966,6.61177587301589e-05,0.00788732394366198
"LAPTM4A",29.5071723878843,-3.32880000000002e-06,0.746478873239437
"GPAA1",30.3243652396117,0,0.705352112676056
"TMSB10",29.0150760435413,-5.33333333333319e-06,0.772394366197183
"PRKACA",42.1282824444281,4.80827500000001e-05,0.0309859154929577
"PRICKLE1",30.3243652396117,0,0.705352112676056
"CGNL1",39.1509383549203,3.59546666666668e-05,0.0546478873239437
"C1orf122",14.4226388004629,-6.4775e-05,0.990422535211268
"BANF1",26.3246737869303,-1.62925714285715e-05,0.874366197183099
"EDN2",40.639563801708,4.20185185185185e-05,0.0388732394366197
"KRT83",47.5772252801922,7.02787847222224e-05,0.0056338028169014
"CBLC",30.3243652396117,0,0.705352112676056
"FAT2",36.7224933032213,2.60625000000001e-05,0.0822535211267605
"AP4M1",35.5024676257788,2.10927777777776e-05,0.103098591549296
"ATG101",30.3243652396117,0,0.705352112676056
"TTC22",30.3243652396117,0,0.705352112676056
"TEX261",30.3243652396117,0,0.705352112676056
"KAZN",36.952641794718,2.69999999999999e-05,0.0777464788732395
"PDAP1",35.8331995320778,2.24399999999998e-05,0.0980281690140845
"ARPC3",36.7422203167781,2.6142857142857e-05,0.0816901408450704
"ARF5",30.257688474997,-2.71604938271608e-07,0.708169014084507
"EIF1AD",44.7166406262216,5.86263159371494e-05,0.0174647887323943
"LCK",51.0401935975015,8.43850375000001e-05,0.00338028169014082
"CCDC115",30.3243652396117,0,0.705352112676056
"HVCN1",34.7524222160091,1.80374999999999e-05,0.117183098591549
"POLR2L",31.8341393438303,6.14999999999988e-06,0.218028169014085
"MLF2",27.9231493116622,-9.78125000000008e-06,0.823098591549296
"PSD4",26.8453259553564,-1.41717171717173e-05,0.859718309859155
"RAB1B",15.2889615602646,-6.12460714285716e-05,0.985915492957746
"ABRACL",43.3419730715416,5.30266666666668e-05,0.0230985915492957
"PCBP1",47.5968560941151,7.035875e-05,0.0056338028169014
"KRT14",30.3243652396117,0,0.705352112676056
"NXT1",48.4941994831034,7.40140397727269e-05,0.00450704225352117
"HDAC11",30.0113632911761,-1.27500000000014e-06,0.723380281690141
"TMPRSS3",60.559911427259,0.000123163199404762,0.000563380281690118
"SNX17",39.7262754875893,3.82982777777778e-05,0.0484507042253521
"ATP6V1B1",23.5064817874277,-2.77723555555556e-05,0.926197183098592
"PIK3R3",30.3243652396117,0,0.705352112676056
"FOXJ2",41.4686374137712,4.53957142857142e-05,0.0332394366197183
"TECR",28.6249487783997,-6.92249999999994e-06,0.793802816901408
"CC2D1A",59.5434600057052,0.000119022728174603,0.000563380281690118
"SULT1A4",30.3243652396117,0,0.705352112676056
"NARFL",30.0052259980695,-1.30000000000008e-06,0.724507042253521
"EIF4EBP2",48.3431304782315,7.33986666666666e-05,0.00507042253521128
"RAB15",34.8494736909536,1.84328350168352e-05,0.114366197183099
"SNX8",41.6882472962478,4.62902857142855e-05,0.0332394366197183
"FGFR1OP",31.2253965838214,3.67031249999994e-06,0.246760563380282
"LCT",38.6985501454387,3.41118827160496e-05,0.0569014084507042
"RPS6KB2",30.3243652396117,0,0.705352112676056
"CORO1A",25.6168159351406,-1.91759999999999e-05,0.890704225352113
"ACADS",30.3243652396117,0,0.705352112676056
