"","Overall","importance","pvalue"
"NME4",40.9772394873724,2.41932499999999e-05,0.122543352601156
"CNPY2",60.3546581013511,0.000194784722222222,0.0057803468208093
"CCDC113",52.8519080715018,0.000128733345679013,0.0236994219653179
"RAB11FIP1",35.4108532736255,-2.48111111111111e-05,0.880346820809249
"RALGPS1",38.2291376814864,0,0.713872832369942
"PTPN3",38.209713858362,-1.70999999999921e-07,0.717919075144509
"EMD",46.1423893392282,6.96652777777778e-05,0.0554913294797688
"MX2",38.2291376814864,0,0.713872832369942
"PHF23",50.6942450026731,0.000109738095238095,0.0323699421965318
"MED19",91.6201965984306,0.000470034710277377,0
"TBX1",54.4664108851546,0.000142946818452381,0.0190751445086705
"PLEKHA7",38.2291376814864,0,0.713872832369942
"HSPA1A",42.2894361153608,3.57453333333335e-05,0.0901734104046242
"UNC119",38.2291376814864,0,0.713872832369942
"SMIM14",38.2291376814864,0,0.713872832369942
"TBKBP1",38.2291376814864,0,0.713872832369942
"DIS3L2",38.2291376814864,0,0.713872832369942
"ESRRG",23.616970390644,-0.00012864,0.976300578034682
"MERTK",38.2291376814864,0,0.713872832369942
"MYB",56.3487880217486,0.000159518555555556,0.0150289017341041
"TMEM50A",39.4503521880007,1.07511111111112e-05,0.177456647398844
"KLF3",58.510562353283,0.00017855,0.00982658959537575
"ZNF512",38.2291376814864,0,0.713872832369942
"TMX2",38.7087382524614,4.22222222222213e-06,0.224277456647399
"HSD17B10",38.0096176487145,-1.93257142857117e-06,0.745086705202312
"FBXL3",38.2291376814864,0,0.713872832369942
"GAS6",47.9764292516403,8.58114722222223e-05,0.046242774566474
"NOS1AP",39.0145033368762,6.91406249999993e-06,0.200578034682081
"COLGALT2",40.1658405134894,1.705e-05,0.146242774566474
"WDR24",40.5335868723522,2.02875e-05,0.138728323699422
"MRPS25",38.23392692591,4.21626984128398e-08,0.285549132947977
"PDIK1L",38.2291376814864,0,0.713872832369942
"PDZD11",34.1101129280731,-3.62623376623379e-05,0.911560693641619
"USF1",35.540850270495,-2.36666666666667e-05,0.876300578034682
"B4GALNT3",26.4181848044986,-0.000103979166666667,0.963005780346821
"SNAP47",38.2291376814864,0,0.713872832369942
"MPG",54.5378288868146,0.000143575555555556,0.0184971098265896
"B4GALT2",38.2291376814864,0,0.713872832369942
"TCTEX1D4",38.2291376814864,0,0.713872832369942
"FAM3A",39.1334245580598,7.96099999999989e-06,0.193063583815029
"ZSCAN20",38.2199369231643,-8.09999999999977e-08,0.716184971098266
"ZNF319",52.3142491869627,0.000124,0.0254335260115607
"CHMP5",41.3301340048695,2.72999999999999e-05,0.113294797687861
"ARHGEF25",36.4578307858646,-1.55939166666665e-05,0.85028901734104
"SPIN2B",77.4636088736602,0.000345405460648148,0
"GUK1",38.2291376814864,0,0.713872832369942
"CNPY4",40.7136806730735,2.18729777777775e-05,0.13121387283237
"DEF8",33.7877839729048,-3.91000000000001e-05,0.913872832369942
"DPP4",32.7915456837959,-4.78705054945057e-05,0.921965317919075
"HHIPL1",36.4722850635991,-1.54666666666667e-05,0.849132947976879
"LRFN1",38.8936368936399,5.84999999999991e-06,0.209826589595376
"ZNF41",38.9097217431987,5.99160493827178e-06,0.208670520231214
"ETFB",49.7939797391582,0.0001018125,0.0375722543352601
"MSRB1",38.2291376814864,0,0.713872832369942
"DEGS1",38.2291376814864,0,0.713872832369942
"ZFP91",38.2291376814864,0,0.713872832369942
"KLHDC9",40.8873869514536,2.34022222222223e-05,0.125433526011561
"FAM102B",38.2291376814864,0,0.713872832369942
"BMP1",38.4144307310292,1.63124999999997e-06,0.260693641618497
"PORCN",46.563152150097,7.33695145903479e-05,0.0526011560693641
"ZNF671",75.9089565401371,0.000331718888888889,0.000578034682080952
"SLC6A8",40.500525985624,1.99964444444445e-05,0.139306358381503
"ORAI3",40.1138453207609,1.65922539682539e-05,0.146820809248555
"CNTRL",38.3432573752432,1.00466666666676e-06,0.269364161849711
"MAP9",43.2897450763424,4.4551675485009e-05,0.0797687861271676
