"","Overall","importance","pvalue"
"SNAPC1",36.2302812940249,0,0.718980169971671
"PNN",52.2244618458284,5.2340472222222e-05,0.0243626062322946
"TMBIM4",39.6637545779644,1.12359375e-05,0.126912181303116
"UGDH",60.188275776567,7.84018125000001e-05,0.00793201133144472
"HOXA10",48.2998023991346,3.94971428571429e-05,0.0402266288951841
"FST",41.4518536058356,1.70874374999996e-05,0.0929178470254958
"RWDD3",43.2305133162496,2.29080476190477e-05,0.0747875354107649
"SALL4",30.7087125764122,-1.80691666666666e-05,0.910481586402266
"FKBP3",42.0962023809604,1.91960493827161e-05,0.0849858356940509
"TSG101",45.4686801646027,3.0232380952381e-05,0.0623229461756374
"CDC5L",78.9898986365252,0.000139929554783951,0
"PBX3",38.8655233672718,8.62374999999993e-06,0.15014164305949
"PPFIBP1",51.1858416531624,4.89416190476191e-05,0.0294617563739377
"CWH43",42.6245344185581,2.09250000000001e-05,0.0793201133144475
"TBCC",44.8345297380972,2.81571428571428e-05,0.0651558073654391
"PREP",36.6489444443919,1.37006249999994e-06,0.245892351274788
"CALB2",48.8761837298798,4.13833333333331e-05,0.0385269121813031
"GTF2H1",36.2302812940249,0,0.718980169971671
"HOXA5",36.1304904559853,-3.26562499999739e-07,0.730311614730878
"SKAP2",39.1362630728954,9.50973750000017e-06,0.142209631728045
"RBM39",36.2302812940249,0,0.718980169971671
"SUPT16H",43.8317921086688,2.48757142857141e-05,0.0719546742209631
"C11orf58",37.1745562105065,3.09011111111124e-06,0.219830028328612
"SNW1",36.2302812940249,0,0.718980169971671
"CHAC2",35.186072147489,-3.41714285714301e-06,0.785269121813031
"RPRD1B",42.3449290847971,2.00099999999999e-05,0.081586402266289
"SNRNP48",36.2302812940249,0,0.718980169971671
"PRPF4B",50.3908399459182,4.63399999999998e-05,0.0328611898016997
"PRMT5",36.2302812940249,0,0.718980169971671
"APEX1",36.2302812940249,0,0.718980169971671
"PIAS1",43.6806939101551,2.438125e-05,0.0725212464589235
"PAPOLG",76.9344771129249,0.00013320325,0
"DAXX",35.0767183050111,-3.77500000000008e-06,0.791501416430595
"PNMA1",38.7043075296298,8.09617604617618e-06,0.154674220963173
"MTF2",37.6272166071162,4.57142857142845e-06,0.197167138810198
"PLXDC2",36.3626991205783,4.33333333333286e-07,0.26628895184136
"HOXA4",61.4329587824778,8.24750000000001e-05,0.00566572237960339
"ZNF644",40.3916812599115,1.36180555555556e-05,0.112747875354108
"DNAAF2",32.2405576449359,-1.305625e-05,0.885552407932011
"NEMF",44.3201135637269,2.64737314814814e-05,0.0696883852691218
"GEMIN2",36.2302812940249,0,0.718980169971671
"TRIM33",37.1853286630629,3.12536363636373e-06,0.218696883852691
"ESCO1",36.2302812940249,0,0.718980169971671
"MATR3",57.2182101358862,6.86823624999999e-05,0.0113314447592068
"TAF11",37.0431424312093,2.66006349206349e-06,0.225495750708215
"MGMT",56.749401373202,6.71481999999999e-05,0.0113314447592068
"PIK3C2A",36.8787231448584,2.12200634920645e-06,0.235694050991501
"PCDHB6",34.7293616085652,-4.91171428571424e-06,0.807932011331445
"COPB1",36.2302812940249,0,0.718980169971671
"ZNF326",58.5084310502924,7.29045714285714e-05,0.00963172804532575
"SASS6",37.2784193211288,3.43000000000004e-06,0.214730878186969
"IGSF8",36.2302812940249,0,0.718980169971671
"N4BP2",29.2141701472223,-2.29600115740742e-05,0.925779036827195
"CAPRIN1",43.9162571125303,2.51521234567902e-05,0.0713881019830028
"RICTOR",53.4573312292966,5.63750000000001e-05,0.0209631728045325
"HOXA6",50.6113811084725,4.70617142857141e-05,0.031728045325779
"LY6D",36.2302812940249,0,0.718980169971671
"AJUBA",95.428994833013,0.000193726,0
"RSBN1",52.2236993299224,5.23379769119767e-05,0.0243626062322946
"TEX29",44.3955719187773,2.67206666666668e-05,0.0691218130311615
"ZKSCAN4",21.1469778833746,-4.93596543209878e-05,0.971104815864023
"BAZ1A",39.4111017893165,1.04091388888889e-05,0.132011331444759
"UBTF",31.718704083482,-1.47640000000002e-05,0.894617563739377
"DGAT2",36.2302812940249,0,0.718980169971671
"CCDC88B",47.7136638632649,3.75790222222221e-05,0.0441926345609065
"SMAD3",36.5049498195857,8.98844444444658e-07,0.251558073654391
"EAPP",40.8096207808098,1.49857500000001e-05,0.103682719546742
"GPANK1",38.7500927955511,8.24600694444433e-06,0.153541076487252
"PARP2",25.6271930338328,-3.46982857142857e-05,0.949008498583569
"KLHDC2",36.2646589989955,1.1249999999996e-07,0.277053824362606
"SSX2IP",36.2302812940249,0,0.718980169971671
"CDC14A",41.6771765434481,1.78248000000001e-05,0.0912181303116147
"BRD3",36.2302812940249,0,0.718980169971671
"ZNF318",36.2302812940249,0,0.718980169971671
"RPF1",48.001589450461,3.85212500000001e-05,0.0413597733711049
"PRPF38B",48.2252991824364,3.92533333333334e-05,0.0407932011331444
"PTBP2",36.2302812940249,0,0.718980169971671
"ARID4A",34.7176622753181,-4.95000000000001e-06,0.809065155807365
"CTR9",38.4330518387416,7.20849999999995e-06,0.164872521246459
"FUBP1",37.2970318967492,3.49090909090899e-06,0.213597733711048
"ADCY6",56.8339858064097,6.74249999999998e-05,0.0113314447592068
"SLC2A9",35.4452909565245,-2.56885714285726e-06,0.773937677053824
"TRMT5",36.2302812940249,0,0.718980169971671
"SLC26A9",26.1461545026463,-3.29999999999999e-05,0.943342776203966
"IVL",38.1998029302611,6.44520000000015e-06,0.171104815864023
"CTNNBL1",36.2302812940249,0,0.718980169971671
"C12orf49",51.1469530112434,4.88143571428574e-05,0.0294617563739377
"SPTY2D1",35.3377036551613,-2.92093333333332e-06,0.778470254957507
"C14orf166",36.2302812940249,0,0.718980169971671
"DTD2",22.629806394224,-4.45071428571429e-05,0.96600566572238
"NENF",36.2302812940249,0,0.718980169971671
"ALKBH1",45.9135258479962,3.16881250000001e-05,0.0589235127478753
"DR1",36.206659091348,-7.73029439695705e-08,0.722379603399433
"SIX4",41.798620667042,1.82222222222224e-05,0.0895184135977337
"TRIM27",45.4380057933527,3.01319999999998e-05,0.0623229461756374
"G2E3",45.7965816265318,3.13054285714285e-05,0.0594900849858357
"INTS6",38.807456641293,8.43372839506151e-06,0.153541076487252
"SIKE1",36.1881113092609,-1.37999999999971e-07,0.723512747875354
"ABL1",35.9638349817777,-8.7193749999992e-07,0.747308781869688
"WDR33",45.6763578811489,3.09120000000001e-05,0.0600566572237961
"HPS5",52.5850542618422,5.35204999999996e-05,0.023229461756374
"PPIL1",36.2302812940249,0,0.718980169971671
"ACVR2A",38.4440085650567,7.24435555555547e-06,0.163172804532578
"HOXA9",36.2302812940249,0,0.718980169971671
"PRKAG1",59.1012166700268,7.48444444444443e-05,0.00793201133144472
"UBXN7",39.7594588951663,1.1549126984127e-05,0.125212464589235
"GTF2B",36.2302812940249,0,0.718980169971671
"RANBP10",68.1913813020063,0.000104591733333333,0.00169971671388103
"MIPOL1",35.9955961614255,-7.6799999999988e-07,0.743909348441926
"SRSF11",36.2302812940249,0,0.718980169971671
"MYLIP",36.2302812940249,0,0.718980169971671
"COG3",31.6902415264778,-1.48571428571429e-05,0.895750708215297
"CYP2D6",41.3807817933929,1.68548571428573e-05,0.0934844192634561
"N4BP1",36.2302812940249,0,0.718980169971671
"KLC4",27.102384042034,-2.98707677469137e-05,0.937677053824363
"MEX3B",35.9931243619965,-7.76088888888804e-07,0.744475920679887
"HOXA7",37.1960656189991,3.1604999999999e-06,0.218696883852691
"CTCF",37.7581792927186,5.00000000000012e-06,0.189235127478754
"TRMT13",40.3370266508338,1.34391999999999e-05,0.112747875354108
"DAD1",36.2302812940249,0,0.718980169971671
"SLC25A21",35.9664157348854,-8.63492063492011e-07,0.746742209631728
"FUT3",62.2885748710886,8.52749777777779e-05,0.00509915014164308
"POU2F1",36.2302812940249,0,0.718980169971671
"SNX6",39.6409316016089,1.116125e-05,0.126912181303116
"MNAT1",36.2302812940249,0,0.718980169971671
"CAPRIN2",42.4333774022771,2.02994444444444e-05,0.079886685552408
"IMPACT",45.0198617810557,2.87636363636365e-05,0.0634560906515581
"ZC3HC1",40.9539477234308,1.54580555555555e-05,0.0997167138810199
"MGST3",37.7500305033923,4.9733333333335e-06,0.190368271954674
"NUDT21",36.2302812940249,0,0.718980169971671
"FBXO33",37.8765722888924,5.38743750000004e-06,0.18356940509915
"SUPT3H",37.4163121155109,3.88125000000006e-06,0.207932011331445
"RBM12",36.2302812940249,0,0.718980169971671
"FAM184A",31.2798917782572,-1.62e-05,0.904249291784703
"PRMT3",37.1596313148176,3.04126984126984e-06,0.220396600566572
"FANCM",36.5859759481207,1.16399999999994e-06,0.248725212464589
"ABCF1",37.5710287645231,4.3875555555557e-06,0.2
"PPP1R10",51.167181895699,4.88805555555556e-05,0.0294617563739377
"SETX",37.2388297863182,3.30044444444444e-06,0.21699716713881
"TGM5",49.1401462984162,4.22471428571429e-05,0.0379603399433428
"NEK9",43.7225309640589,2.45181604938274e-05,0.0725212464589235
"PIK3C3",42.9924183033547,2.21288888888891e-05,0.0764872521246459
"MESP1",62.8008500211257,8.69513827160495e-05,0.00453257790368267
"SLC37A1",36.2302812940249,0,0.718980169971671
"MIS18BP1",40.0252767684152,1.24190079365079e-05,0.118413597733711
"DDAH1",36.2302812940249,0,0.718980169971671
"RC3H2",47.112581999921,3.5612e-05,0.0498583569405099
"FOXA1",46.3298062791602,3.30503901234569e-05,0.056657223796034
"SF3B2",37.0152541698337,2.56879999999993e-06,0.226628895184136
"PDF",36.3762017262254,4.77520202020409e-07,0.263456090651558
"EXOC2",36.2302812940249,0,0.718980169971671
"FOLH1",36.2302812940249,0,0.718980169971671
"EHMT2",22.0862843019197,-4.62858024691359e-05,0.9671388101983
"TTF1",36.2302812940249,0,0.718980169971671
"BCAS2",32.57621816094,-1.19578111111112e-05,0.879886685552408
"STRIP1",36.2302812940249,0,0.718980169971671
"BCL11A",54.5395604804963,5.99165625e-05,0.0158640226628896
"DST",36.2302812940249,0,0.718980169971671
"TRAPPC6B",37.5337616346705,4.26560000000009e-06,0.202266288951841
"NES",36.2302812940249,0,0.718980169971671
"BBS2",24.4986051140104,-3.83915555555556e-05,0.958073654390935
"TET1",52.2263304893332,5.23465873015874e-05,0.0243626062322946
"PRMT6",34.8678037186564,-4.45866666666661e-06,0.801699716713881
"AP5M1",36.2302812940249,0,0.718980169971671
"WDR5",36.3004772935077,2.29714285714167e-07,0.273087818696884
"VCAN",36.2302812940249,0,0.718980169971671
"ZNF281",36.178714736569,-1.68749999999829e-07,0.725779036827195
"PCDHB14",36.2302812940249,0,0.718980169971671
"DIO1",38.8228568156583,8.48412499999984e-06,0.152407932011331
"SP4",52.6599005145462,5.37654320987653e-05,0.023229461756374
"WARS",36.2302812940249,0,0.718980169971671
"ACOX2",36.2302812940249,0,0.718980169971671
"DDX20",36.2302812940249,0,0.718980169971671
"DLK1",26.1205076433825,-3.30839285714286e-05,0.943909348441926
"KANSL1",28.5646472681341,-2.50855555555556e-05,0.928611898016997
"RANBP9",34.3051298156707,-6.30000000000019e-06,0.826628895184136
"TAF8",38.131665470177,6.22222222222213e-06,0.173937677053824
"PADI3",40.9744045799687,1.55249999999996e-05,0.0997167138810199
"PSRC1",37.2643626595408,3.38400000000005e-06,0.21586402266289
"ZZZ3",36.2302812940249,0,0.718980169971671
"NALCN",51.2342922687949,4.9100172222222e-05,0.0294617563739377
"ERP27",38.7663785511836,8.29930158730141e-06,0.153541076487252
"AGL",41.3796031292224,1.6851e-05,0.0934844192634561
"LY6G5B",36.2302812940249,0,0.718980169971671
"LRCH3",39.4005483795684,1.03746031746033e-05,0.132011331444759
"BNIPL",41.5416367119839,1.73812499999999e-05,0.0923512747875355
"ZRANB2",36.181082978467,-1.60999999999856e-07,0.725212464589235
"MTA1",39.2029596402834,9.72800000000018e-06,0.139376770538244
"REV3L",36.2302812940249,0,0.718980169971671
"LRIG2",39.3182650092514,1.01053333333332e-05,0.135410764872521
"PHF3",56.7262401978373,6.70724057539687e-05,0.0113314447592068
"EPSTI1",38.37815664636,7.02885714285717e-06,0.1671388101983
"BEX1",34.0301081759059,-7.2000000000001e-06,0.835127478753541
"C14orf119",36.2302812940249,0,0.718980169971671
"ASTN1",38.888823811752,8.70000000000015e-06,0.147875354107649
"P2RY2",31.4858233256621,-1.55260952380953e-05,0.900849858356941
"RBM23",40.744826992108,1.47737142857143e-05,0.105382436260623
"NUP188",44.4677294482622,2.69568e-05,0.0679886685552408
"CERS4",36.2302812940249,0,0.718980169971671
"BMP5",49.1955947677239,4.24285962962965e-05,0.0379603399433428
"ST3GAL5",38.7433679222763,8.22400000000001e-06,0.153541076487252
"TAF7",38.337863793423,6.89699999999993e-06,0.168271954674221
"BOD1L1",46.6957120076219,3.42478055555557e-05,0.0538243626062322
"DHRS2",30.4534808535827,-1.89044047619049e-05,0.913881019830028
"KIF13A",33.0429405546546,-1.04304761904763e-05,0.868555240793201
"POLE2",36.2302812940249,0,0.718980169971671
"YEATS2",41.1287222778369,1.603e-05,0.0980169971671389
"MEGF9",48.542489897502,4.02913303571426e-05,0.0396600566572238
"ABCD4",38.910859496222,8.7721111111112e-06,0.147875354107649
"WDR77",36.2302812940249,0,0.718980169971671
"ZNF528",37.1546595832346,3.02500000000006e-06,0.220396600566572
"HOXA2",52.9063903096926,5.45720625000001e-05,0.023229461756374
"SRSF3",36.2302812940249,0,0.718980169971671
"SNAI1",61.4004363822199,8.23685714285714e-05,0.00566572237960339
"NAT10",39.4083091313078,1.04e-05,0.132011331444759
"FZD5",36.2302812940249,0,0.718980169971671
"DNMT3A",56.4337347363901,6.61151904761907e-05,0.0124645892351275
"KANSL1L",25.6983591272831,-3.44653968253967e-05,0.947308781869688
"OSBPL11",36.5494422093075,1.0444444444444e-06,0.24985835694051
"DCLRE1B",37.8345741926533,5.2500000000002e-06,0.184702549575071
"SYCP2L",36.2302812940249,0,0.718980169971671
"SLC38A2",36.1487934007612,-2.66666666666637e-07,0.728045325779037
"CMTR1",35.958654983146,-8.88888888888717e-07,0.748441926345609
"HNRNPR",46.3070741750097,3.29759999999999e-05,0.0572237960339943
"ZNF219",39.053979399424,9.24046666666656e-06,0.145042492917847
"LRRC40",34.7864176852593,-4.72499999999987e-06,0.805665722379603
"FRRS1",25.2395789535106,-3.59667410714288e-05,0.95070821529745
"ELOVL5",45.6871841298253,3.09474285714284e-05,0.0594900849858357
"WDFY1",36.2302812940249,0,0.718980169971671
"PIBF1",36.2302812940249,0,0.718980169971671
"PLEKHB1",36.2302812940249,0,0.718980169971671
"PCNP",36.2302812940249,0,0.718980169971671
"HIPK1",36.2302812940249,0,0.718980169971671
"TRPV6",16.9528941043727,-6.30846666666667e-05,0.985835694050991
"SPICE1",36.2302812940249,0,0.718980169971671
"FERMT2",68.6929443780376,0.000106233083333333,0.00169971671388103
"BICD1",36.2302812940249,0,0.718980169971671
"AK7",34.0263648258091,-7.21225000000003e-06,0.835694050991501
"MED21",36.2302812940249,0,0.718980169971671
"SLX4",40.0255799227801,1.24200000000001e-05,0.118413597733711
"FLOT1",36.2302812940249,0,0.718980169971671
"NR4A2",48.8295319109865,4.12306666666666e-05,0.0385269121813031
"PNISR",35.6496800545212,-1.90000000000001e-06,0.762606232294618
"RNF26",100,0.000208684476190476,0
"NELFE",37.429481275854,3.92434567901256e-06,0.207932011331445
"KREMEN1",36.2302812940249,0,0.718980169971671
"RBM43",36.3078888114188,2.53968253968173e-07,0.273087818696884
"POLR1C",36.2302812940249,0,0.718980169971671
"STRN3",36.6180778395909,1.26905246913589e-06,0.246458923512748
"KCTD20",36.2302812940249,0,0.718980169971671
"KIAA0586",48.1132242263797,3.88865714285711e-05,0.0413597733711049
"TMEM127",12.0229444684987,-7.92177777777778e-05,0.993201133144476
"AGT",49.4523286002207,4.326875e-05,0.0379603399433428
"ARHGEF26",43.6204183341067,2.4184e-05,0.0730878186968839
"ACTR1B",36.6312170887033,1.31205026455028e-06,0.246458923512748
"FANCF",30.846213210308,-1.76191999999999e-05,0.908781869688385
"MTHFD1",48.3645197929364,3.97089285714287e-05,0.0402266288951841
"LFNG",47.1570202530102,3.57574228395061e-05,0.0498583569405099
"USP33",36.2302812940249,0,0.718980169971671
"PCDHB13",36.7277998057824,1.62811428571441e-06,0.242492917847026
"CACNA2D1",44.335780177095,2.65249999999999e-05,0.0691218130311615
"C9orf78",53.8654231646491,5.77104685185184e-05,0.0198300283286119
"ZNF614",43.9846692169953,2.53760000000003e-05,0.0708215297450425
"OGDHL",36.2302812940249,0,0.718980169971671
"ASB3",41.6261379596339,1.76577777777778e-05,0.0912181303116147
"ZNF184",34.3583879744824,-6.12571428571429e-06,0.824929178470255
"SLC39A4",28.7360126036725,-2.45247676767677e-05,0.928045325779037
"TUBB4B",57.907872552644,7.0939261904762e-05,0.0107648725212465
"SRPK1",40.5002469010409,1.39733333333334e-05,0.110481586402266
"FGFR1OP2",36.2861587065485,1.8285714285704e-07,0.274220963172805
"CNPY3",36.2302812940249,0,0.718980169971671
"HINFP",36.2302812940249,0,0.718980169971671
"SYMPK",39.4204692591894,1.04397936507934e-05,0.131444759206799
"GSTT2B",36.2302812940249,0,0.718980169971671
"SDCCAG3",30.2413349448535,-1.95986458333333e-05,0.91728045325779
"PRPF4",36.2302812940249,0,0.718980169971671
"AZIN2",35.7617259077588,-1.53333333333316e-06,0.756373937677054
"RNF165",35.9896591863449,-7.87428571428439e-07,0.745609065155807
"YTHDC1",46.0045843245572,3.1986111111111e-05,0.0589235127478753
"RNF219",36.2302812940249,0,0.718980169971671
"ACADSB",36.2302812940249,0,0.718980169971671
"RXRB",36.2302812940249,0,0.718980169971671
"BAG5",43.0083423958299,2.2181e-05,0.0759206798866856
"SENP5",38.1585564749541,6.31022222222222e-06,0.173371104815864
"SMAD6",51.9971215371798,5.15965079365077e-05,0.0260623229461756
"HLTF",42.2463710408238,1.96874717813049e-05,0.0827195467422096
"KIF21A",34.938641596981,-4.22685185185201e-06,0.797733711048159
"ZBTB34",36.2302812940249,0,0.718980169971671
"RNF138",36.2302812940249,0,0.718980169971671
"SLC31A1",36.2302812940249,0,0.718980169971671
"AARS",36.2302812940249,0,0.718980169971671
"DNHD1",36.2302812940249,0,0.718980169971671
"SARS",36.2302812940249,0,0.718980169971671
"SLC19A3",34.2936705806806,-6.33749999999988e-06,0.827195467422096
"SETBP1",35.3701313095751,-2.81481481481483e-06,0.777337110481586
"DHX16",40.2409807999245,1.31248928571428e-05,0.113881019830028
"E2F3",36.8872774334632,2.1500000000001e-06,0.235694050991501
"RBM25",38.2260216599186,6.53099999999984e-06,0.169971671388102
"YY1",54.9687279296044,6.1321e-05,0.0158640226628896
"FAM46A",39.0327539253094,9.17100694444439e-06,0.145609065155807
"ZKSCAN3",43.2922937505649,2.31102222222221e-05,0.0736543909348442
"TYW3",41.7563609485861,1.80839285714287e-05,0.0895184135977337
"TTI1",43.9979313716239,2.54193999999999e-05,0.0708215297450425
"PWWP2A",37.6546896682738,4.66133333333341e-06,0.196033994334278
"ALG10",36.0207409970612,-6.85714285714178e-07,0.741643059490085
"RNF168",34.1717030913912,-6.73663492063503e-06,0.831161473087819
"RORC",36.2302812940249,0,0.718980169971671
"ACIN1",36.2302812940249,0,0.718980169971671
"KHDRBS1",37.3711117997161,3.73333333333314e-06,0.209631728045326
"EDC4",37.2978362908278,3.49354144620806e-06,0.213597733711048
"EMB",30.2569546366626,-1.95475308641975e-05,0.91671388101983
"CNNM4",24.8309399053707,-3.7304e-05,0.954674220963173
"FRYL",45.3569253395554,2.98666666666667e-05,0.0628895184135977
"AAR2",36.2302812940249,0,0.718980169971671
"TSTD2",36.7058395461183,1.55624999999993e-06,0.243626062322946
"EVA1B",63.5000067138587,8.92393518518517e-05,0.00396600566572236
"ZNF582",38.5699345227801,7.65644444444447e-06,0.159206798866856
"PTPN14",38.9397537450418,8.8666666666668e-06,0.147875354107649
"EPHA10",36.2302812940249,0,0.718980169971671
"LRIG3",25.6014758427564,-3.47824444444444e-05,0.95014164305949
"PGPEP1",36.7905105602126,1.83333333333335e-06,0.239093484419263
"SIAH1",42.3680658259202,2.00857142857143e-05,0.081586402266289
"PPP2R3C",34.0715142116705,-7.06450000000003e-06,0.83342776203966
"CD14",35.2853188234439,-3.09236111111089e-06,0.780736543909348
"ARL14EP",40.2042828727073,1.30048e-05,0.115580736543909
"GTF3C4",36.2302812940249,0,0.718980169971671
"RING1",43.9614451674151,2.53000000000001e-05,0.0708215297450425
"MIB1",32.1573534129204,-1.33285333333333e-05,0.887252124645892
"PEA15",36.2302812940249,0,0.718980169971671
"KRT33A",37.7310438242618,4.9112e-06,0.192634560906516
"RPL36AL",36.2302812940249,0,0.718980169971671
"FBXO9",35.5267691488486,-2.30222222222221e-06,0.767705382436261
"SPRY2",37.7040728406266,4.82293827160496e-06,0.192634560906516
"DHX35",38.3951429917296,7.08444444444445e-06,0.16657223796034
"DDX31",54.3190996538488,5.91951111111113e-05,0.0175637393767706
"DARS",35.1639358157698,-3.48958333333349e-06,0.786402266288952
"GNAI3",36.2302812940249,0,0.718980169971671
"C16orf87",36.2302812940249,0,0.718980169971671
"RRM2B",46.7558396443403,3.44445714285713e-05,0.0532577903682719
"RSF1",30.3287498091038,-1.93125833333332e-05,0.915580736543909
"STARD13",37.1500213214528,3.00982142857142e-06,0.220396600566572
"GJB1",37.855964764635,5.31999999999999e-06,0.184135977337111
"TEX2",36.2302812940249,0,0.718980169971671
"SMIM14",42.3287163893666,1.99569444444445e-05,0.081586402266289
"RALGAPA1",32.646172121978,-1.17288888888889e-05,0.877620396600567
"PKN2",36.915543546439,2.24249999999993e-06,0.23342776203966
"RGS10",28.2134004948788,-2.62350000000002e-05,0.930311614730878
"RSBN1L",48.7992431520886,4.11315476190477e-05,0.0390934844192634
"ACADM",36.2302812940249,0,0.718980169971671
"LRR1",40.0189281648262,1.23982323232323e-05,0.118980169971671
"SERHL2",36.2302812940249,0,0.718980169971671
"GFM2",36.2812112273146,1.66666666666648e-07,0.274787535410765
"TMED5",36.2302812940249,0,0.718980169971671
"SEC23A",36.2302812940249,0,0.718980169971671
"ACOX3",41.099129864515,1.59331597222223e-05,0.0985835694050992
"MSI2",38.9746305633586,8.98080000000001e-06,0.146175637393768
"QRICH2",69.9655488104114,0.000110397642857143,0.00169971671388103
"TPK1",54.1983617586631,5.88000000000002e-05,0.0181303116147309
"KPNA5",30.1803569601417,-1.97981944444443e-05,0.917847025495751
"BAG4",39.642077525108,1.11650000000001e-05,0.126912181303116
"SRSF1",36.2302812940249,0,0.718980169971671
"CAPN9",33.8238419460822,-7.87500000000008e-06,0.843626062322946
"GMFB",36.2302812940249,0,0.718980169971671
"RECQL5",32.8722670724958,-1.09889999999999e-05,0.873087818696884
"PSMA5",36.2302812940249,0,0.718980169971671
"TSC1",33.1880666121814,-9.9555555555555e-06,0.863456090651558
"IFT81",36.2302812940249,0,0.718980169971671
"SIX1",57.044848826498,6.81150428571429e-05,0.0113314447592068
"RGS16",48.269905315676,3.93993055555555e-05,0.0402266288951841
"CLDN7",32.9919431557389,-1.05973636363637e-05,0.870254957507082
"POLR2C",36.2302812940249,0,0.718980169971671
"YLPM1",48.8155703186073,4.11849777777777e-05,0.0385269121813031
"ZNHIT6",39.6015561611475,1.10323950617284e-05,0.126912181303116
"FCF1",37.0616518241078,2.72063492063501e-06,0.224929178470255
"PDHX",29.1793415782193,-2.3073987012987e-05,0.926345609065156
"RBBP4",33.1165383503165,-1.01896296296298e-05,0.865722379603399
"WDHD1",36.2302812940249,0,0.718980169971671
"SAV1",36.2302812940249,0,0.718980169971671
"PRPF39",50.5800742359558,4.69592634920635e-05,0.031728045325779
"TMEM42",36.2302812940249,0,0.718980169971671
"C1orf198",36.2302812940249,0,0.718980169971671
"ZBTB26",46.8077796879737,3.46145436507936e-05,0.0515580736543909
"MCM6",25.9278631496848,-3.37143518518517e-05,0.945042492917847
"SLC22A3",36.2302812940249,0,0.718980169971671
"PIKFYVE",36.2302812940249,0,0.718980169971671
"ZNF451",36.3829013274499,4.99444444444386e-07,0.262322946175637
"RBM15",49.6479950376784,4.39090625e-05,0.0362606232294618
"NUP50",35.3893262355439,-2.75199999999987e-06,0.775637393767705
"ATP5S",41.5442494175617,1.73898000000001e-05,0.0923512747875355
"EXTL2",36.2302812940249,0,0.718980169971671
"ZNF711",36.2302812940249,0,0.718980169971671
"HOXA13",33.9751038479529,-7.38000000000016e-06,0.837960339943343
"TNFSF12",36.2302812940249,0,0.718980169971671
"IPO4",36.2302812940249,0,0.718980169971671
"RBM27",36.2302812940249,0,0.718980169971671
"NINL",36.2302812940249,0,0.718980169971671
"BAG6",36.1691653740771,-1.99999999999978e-07,0.726345609065156
"GPR157",57.4375055158937,6.93999999999999e-05,0.0107648725212465
"CDC73",36.2302812940249,0,0.718980169971671
"SCNN1B",34.8368710598877,-4.55989285714264e-06,0.802832861189802
"EIF5",34.494045914887,-5.68177777777779e-06,0.819830028328612
"FKBP15",34.6792565785124,-5.07568148148163e-06,0.813031161473088
"HGD",35.1505667082813,-3.53333333333339e-06,0.788101983002833
"CAMKK1",36.2302812940249,0,0.718980169971671
"OAT",38.5889738295083,7.71875e-06,0.159206798866856
"CDC26",36.2302812940249,0,0.718980169971671
"BBOX1",39.6316463202526,1.11308641975307e-05,0.126912181303116
"NCAPD2",39.4971630019603,1.06907716049385e-05,0.129178470254958
"TLE4",28.4995948887593,-2.52984374999998e-05,0.929178470254957
"MAGI3",33.7897943425311,-7.98641975308634e-06,0.844192634560907
"BRD8",36.2302812940249,0,0.718980169971671
"PRDM10",36.2302812940249,0,0.718980169971671
"EIF6",47.7624188458797,3.77385714285714e-05,0.0436260623229462
"TMEM184A",36.2302812940249,0,0.718980169971671
"SRBD1",42.8768194809614,2.17505952380952e-05,0.0770538243626062
"HSPA5",36.2302812940249,0,0.718980169971671
"TPX2",32.1707779774474,-1.32846018518518e-05,0.886685552407932
"RPUSD4",13.6555883633251,-7.38749999999999e-05,0.990934844192635
"RIOK3",31.313963903628,-1.60885000000002e-05,0.903116147308782
"SLC41A2",32.0200734754022,-1.37777777777777e-05,0.888385269121813
"NCOA6",36.3358451557528,3.45454545454649e-07,0.269688385269122
"IGHMBP2",26.5610006364059,-3.16424285714285e-05,0.941076487252125
"CEP76",55.4845123406746,6.30088888888889e-05,0.0147308781869688
"VSIG8",36.2302812940249,0,0.718980169971671
"SLC5A6",33.1300373548573,-1.01454545454545e-05,0.865155807365439
"GPD1L",43.902270951174,2.51063541666665e-05,0.0713881019830028
"MBOAT1",36.2302812940249,0,0.718980169971671
"BPTF",32.5886128090383,-1.191725e-05,0.878753541076487
"UNC5CL",36.2302812940249,0,0.718980169971671
"GPATCH2L",36.2302812940249,0,0.718980169971671
"SETD9",36.2302812940249,0,0.718980169971671
"GLMN",36.2302812940249,0,0.718980169971671
"PPP1R14C",36.2302812940249,0,0.718980169971671
"KIF18A",35.263291627296,-3.16444444444453e-06,0.781869688385269
"ILDR1",32.6476389040568,-1.17240888888888e-05,0.877053824362606
"HNRNPA0",40.6248979127677,1.438125e-05,0.107082152974504
"NIPBL",33.313046546394,-9.54656249999997e-06,0.858923512747875
