"","Overall","importance","pvalue"
"ZNF85",73.3091752639075,0.000157154100529101,0.00116618075801744
"PPP1R14B",56.7402823935158,6.53346666666665e-05,0.0204081632653061
"GAL3ST2",66.9036740304162,0.000121656888888889,0.00291545189504372
"BCAR3",65.4883580859357,0.000113813666666666,0.00583090379008744
"STIP1",80.4756844227799,0.000196868571428571,0.000583090379008722
"PPARGC1B",44.9505876939753,0,0.724198250728863
"ELL2",76.2680160340396,0.000173551037037037,0.00116618075801744
"PAK1",57.6532833830165,7.03942222222222e-05,0.0169096209912536
"CARD9",41.0767770869152,-2.14674027777779e-05,0.911953352769679
"ZNF439",61.2490138935107,9.0320595238095e-05,0.0104956268221574
"TNFRSF21",54.6002959737296,5.34755555555555e-05,0.0291545189504373
"SPRY4",48.5796856749941,2.01112847222222e-05,0.0932944606413995
"ACAA2",51.7995387218548,3.79546666666668e-05,0.0518950437317784
"SLC13A3",46.0092325517941,5.86666666666669e-06,0.194752186588921
"DUSP6",51.9442352233257,3.87565277777779e-05,0.0507288629737609
"CD180",60.6080303062678,8.6768471957672e-05,0.0104956268221574
"RFX5",52.7641737107892,4.33003611111114e-05,0.043731778425656
"ZNF521",52.9618876680419,4.43960277777775e-05,0.0408163265306123
"DDAH2",47.3582027418329,1.33422222222221e-05,0.131778425655977
"KDELC2",56.5836065190194,6.44664197530864e-05,0.0215743440233236
"ENTPD5",44.9505876939753,0,0.724198250728863
"KIAA1257",27.0273091991713,-9.93249999999999e-05,0.991253644314869
"AKR7A3",44.9505876939753,0,0.724198250728863
"IFNGR2",44.9505876939753,0,0.724198250728863
"CMBL",44.9505876939753,0,0.724198250728863
"CHKA",48.3230131690723,1.8688888888889e-05,0.101457725947522
"CHD6",63.270810969861,0.00010152473931624,0.00816326530612244
"ATXN1",38.0122533559414,-3.84500000000001e-05,0.94868804664723
"BOLA1",44.9505876939753,0,0.724198250728863
"TRAK1",68.3610751180134,0.000129733333333333,0.00174927113702628
"GOLPH3L",43.260629487851,-9.36520061728419e-06,0.84198250728863
"DST",37.7732276162635,-3.97746031746031e-05,0.949854227405248
"FAM110D",44.9505876939753,0,0.724198250728863
"RTN4RL2",44.9505876939753,0,0.724198250728863
"NPC1",47.7100069471341,1.52918070987653e-05,0.121865889212828
"INHBB",59.6095107095848,8.12349999999999e-05,0.0122448979591837
"UBR1",45.7124009647188,4.22172222222228e-06,0.214577259475219
"PRR18",44.9505876939753,0,0.724198250728863
"PTP4A3",31.2411367852221,-7.59733333333332e-05,0.985422740524781
"FOXK1",47.1063134359848,1.19463333333332e-05,0.141107871720117
"PLCB2",58.9186714228541,7.74065925925929e-05,0.0145772594752187
"COQ6",74.317149541148,0.000162739967261905,0.00116618075801744
"ZNF98",55.0735971924486,5.60984375e-05,0.0291545189504373
"INHA",58.4562043548914,7.48437499999999e-05,0.0163265306122449
"MCAM",41.3511951773915,-1.99466666666666e-05,0.905539358600583
"TMEM2",47.6366612043214,1.48853487654319e-05,0.126530612244898
"NUDT22",44.9505876939753,0,0.724198250728863
"ECH1",44.9505876939753,0,0.724198250728863
"PHKB",41.4306829078522,-1.95061714285716e-05,0.903206997084548
"RNF39",54.3101439315905,5.18676269841272e-05,0.0309037900874636
"CNN3",44.7236707777184,-1.25750000000013e-06,0.745189504373178
"TMEM108",45.4260154755776,2.63466666666679e-06,0.235568513119534
"SCARB2",43.5717869770528,-7.64086666666652e-06,0.825655976676385
"MTERF1",84.1578248147844,0.0002172738,0.000583090379008722
"ACTR3B",45.771638961545,4.55000000000005e-06,0.210495626822157
"LAMB1",44.9237205706898,-1.48888888888754e-07,0.724781341107872
"THYN1",35.5119667828407,-5.2305777777778e-05,0.969679300291545
"RPP25",74.7599065929228,0.000165193583333333,0.00116618075801744
"RIN1",44.9505876939753,0,0.724198250728863
"HMGCS1",45.0392434722199,4.91301587301596e-07,0.26997084548105
"MET",55.7100222003212,5.96252986111112e-05,0.0262390670553936
"PRSS23",45.123018485211,9.55555555555598e-07,0.261807580174927
"ZNF433",38.5828037865343,-3.52881944444445e-05,0.944606413994169
"MGAT2",65.0601246405377,0.000111440535714286,0.00641399416909616
"PIGU",53.6075490849644,4.79740740740742e-05,0.0355685131195336
"P4HA1",44.8072871801602,-7.9412500000009e-07,0.734110787172012
"C16orf62",48.9425610120003,2.21222222222224e-05,0.0868804664723032
"C5orf15",90.4860701794848,0.000252342884656084,0
"ACTR10",60.6780051751006,8.715625e-05,0.0104956268221574
"GALM",42.5505916810793,-1.33000000000001e-05,0.867638483965015
"RRNAD1",47.4395259150017,1.3792888888889e-05,0.13002915451895
"MTMR2",44.9505876939753,0,0.724198250728863
"CYB5B",42.1111366288314,-1.57353174603172e-05,0.881049562682216
"LYSMD2",52.5114773887379,4.19000000000003e-05,0.0448979591836735
"FAM110C",57.2232490097117,6.80111111111115e-05,0.0186588921282799
"IGFBP4",51.326516951293,3.53333333333334e-05,0.0553935860058309
"ISG20L2",33.7724386228652,-6.19456790123458e-05,0.976093294460641
"IFNGR1",44.9505876939753,0,0.724198250728863
"CALHM2",44.9505876939753,0,0.724198250728863
"DUSP4",82.5923096210825,0.000208598222222222,0.000583090379008722
"SLC1A4",44.4242727788666,-2.91666666666668e-06,0.769096209912536
"TSPAN6",44.9505876939753,0,0.724198250728863
"IL1RAP",45.8950584167705,5.23395061728382e-06,0.20466472303207
"ACSM3",64.5939363709757,0.000108857071428571,0.00758017492711371
