"","Overall","importance","pvalue"
"BCAR3",46.8488804838983,2.8868999999998e-06,0.203290246768508
"ELL2",46.632739376968,2.06211805555556e-06,0.219741480611046
"UBR1",62.1494295795233,6.12729090909088e-05,0.00411280846063455
"FAM161B",53.2953933655178,2.74864197530864e-05,0.0352526439482961
"DUSP6",41.787097301598,-1.64285714285715e-05,0.925381903642773
"CHD6",65.965592480039,7.5835165674603e-05,0.000587544065804968
"NPC1",44.699066230502,-5.31666666666664e-06,0.837250293772033
"C14orf28",46.4824965158267,1.48879999999996e-06,0.231492361927145
"RNF39",62.6372769432725,6.31345063732562e-05,0.00352526439482959
"SPRY4",50.0269793716747,1.50143412698414e-05,0.0846063454759107
"KDM3B",73.2844805245675,0.000103763618518519,0.000587544065804968
"HMGCS1",73.7088677412699,0.000105383055555555,0.000587544065804968
"PAK1",47.0765190428941,3.75555555555551e-06,0.188601645123384
"ENTPD5",46.0923438431531,0,0.736192714453584
"C2CD4A",45.5646235687061,-2.01375000000015e-06,0.779083431257344
"TMEM2",49.5685496485104,1.32649999999999e-05,0.099882491186839
"ACAA2",46.0923438431531,0,0.736192714453584
"ATXN1",54.1809326632138,3.08655864197531e-05,0.0287896592244419
"CNN3",46.0923438431531,0,0.736192714453584
"CTNNAL1",52.2192361521986,2.33798661616162e-05,0.0417156286721504
"AKR7A3",48.0080745626827,7.31031746031752e-06,0.13924794359577
"KIAA1257",46.0923438431531,0,0.736192714453584
"INHBA",58.012190510099,4.54854444444444e-05,0.0105757931844889
"HS3ST3B1",61.6941486233016,5.95355833333333e-05,0.00411280846063455
"CARD9",46.7083430477247,2.3506172839507e-06,0.214453584018801
"RAB8B",51.4300855640713,2.03685132275135e-05,0.054641598119859
"LANCL2",45.113345107316,-3.73580246913585e-06,0.810810810810811
"SPIN4",46.0923438431531,0,0.736192714453584
"PYCR2",46.0923438431531,0,0.736192714453584
"MRPL24",54.6733965273043,3.27448000000001e-05,0.0246768507638073
"GALNT1",61.1921930655852,5.76201500000002e-05,0.00411280846063455
"SPTLC2",46.0923438431531,0,0.736192714453584
"CSNK1G3",47.6996358853336,6.13333333333332e-06,0.151586368977673
"ZNF521",59.0207298695554,4.93339722222221e-05,0.00646298472385431
"HSP90B1",57.5647986613372,4.37782230639732e-05,0.0117508813160987
"OSBPL1A",46.0923438431531,0,0.736192714453584
"LAMB1",36.39777408216,-3.69939166666666e-05,0.980023501762632
"NIPBL",57.5975120749774,4.39030555555557e-05,0.0117508813160987
"MAP4K5",53.6176686846638,2.87162037037039e-05,0.0340775558166863
"NCOA3",84.4889233800069,0.00014651912345679,0.000587544065804968
"PSEN1",53.7575545334435,2.925e-05,0.0323149236192715
"CDK17",46.0923438431531,0,0.736192714453584
"ZNF85",46.0923438431531,0,0.736192714453584
"CALHM2",55.6731604632183,3.65598412698411e-05,0.0205640423031728
"TMEM108",45.3113629692663,-2.98017777777781e-06,0.798472385428907
"PIGU",48.1797270301067,7.96533333333338e-06,0.13454759106933
"PPP1R14B",58.6414875651464,4.78868055555557e-05,0.00822561692126911
"IKZF3",50.2827773108003,1.59904513888889e-05,0.0804935370152762
