"","Overall","importance","pvalue"
"COX6B1",84.3612322540888,0.000150526666666667,0.000559597090095121
"TBCB",62.9524791940482,6.81623492063492e-05,0.012870733072188
"SHPK",77.1740629450325,0.000122876,0.000559597090095121
"LIN37",46.2935313319095,4.07160714285704e-06,0.170677112479015
"ZDHHC1",45.2352085707099,0,0.709569110240627
"PRDX5",45.2352085707099,0,0.709569110240627
"MAL",74.7969748575855,0.000113730804232804,0.000559597090095121
"GPAM",45.2352085707099,0,0.709569110240627
"U2AF1L4",41.5954787583108,-1.40028641975307e-05,0.897034135422496
"ASPN",94.6914601050024,0.000190269390764791,0
"STX6",45.3344536251271,3.81818181818261e-07,0.269725797425853
"HUS1",36.0142796754896,-3.54749999999999e-05,0.95747062115277
"DEDD",45.2352085707099,0,0.709569110240627
"H1FX",45.2352085707099,0,0.709569110240627
"TMEM126A",49.4414520250102,1.61823703703703e-05,0.0940123111359821
"POLR2I",45.4306957289889,7.52083333333431e-07,0.243984331281477
"ATF4",45.2222121945362,-5.00000000001055e-08,0.714045886961388
"ZNF565",34.1720086958685,-4.25626333333331e-05,0.968102965864577
"THEM5",45.0771726364381,-6.07999999999942e-07,0.74594292109681
"NODAL",45.2352085707099,0,0.709569110240627
"IGSF9",45.2352085707099,0,0.709569110240627
"OPN3",45.2352085707099,0,0.709569110240627
"TMEM107",73.4598077399773,0.000108586419753087,0.000559597090095121
"SNX27",45.2352085707099,0,0.709569110240627
"LIMD1",45.3425066523998,4.12800000000102e-07,0.267487409065473
"IMPDH2",43.3181894492551,-7.3752063492063e-06,0.862898712926693
"PYGO2",59.370912061647,5.43832500000001e-05,0.0179071068830442
"UBQLN4",45.2352085707099,0,0.709569110240627
"HSCB",42.8032441444182,-9.35631746031773e-06,0.878567431449356
"HDGF",45.2352085707099,0,0.709569110240627
"ATRIP",45.0445950534961,-7.33333333333253e-07,0.754896474538332
"CUEDC2",62.0113087932893,6.45414537037034e-05,0.0145495243424735
"PDIA5",45.2352085707099,0,0.709569110240627
"TTC9C",59.2067788015404,5.37517922077924e-05,0.0201454952434247
"TXNDC11",45.2352085707099,0,0.709569110240627
"SLC19A2",45.8994663533224,2.55554999999985e-06,0.197537772803581
"GAR1",100,0.000210692544973545,0
"DPY19L1",45.0889993387561,-5.62500000000021e-07,0.74258533855624
"ENOX2",39.967113048294,-2.02675555555556e-05,0.923894795747062
"RPL39",45.2352085707099,0,0.709569110240627
"PEMT",45.2352085707099,0,0.709569110240627
"KIAA0895",45.2352085707099,0,0.709569110240627
