"","Overall","importance","pvalue"
"PADI3",59.6377918741008,7.98097777777778e-05,0.00677966101694916
"PIK3AP1",57.930159299702,7.326725e-05,0.00903954802259888
"MTA1",37.7303937664313,-4.12499999999993e-06,0.775141242937853
"PHLDB3",38.1106635760412,-2.6680555555556e-06,0.757627118644068
"ZNF326",52.2812908947804,5.16244920634921e-05,0.0220338983050847
"CCDC88B",60.9556642064632,8.4859e-05,0.0050847457627119
"SMAD3",38.8070394618949,0,0.714124293785311
"FAM184A",59.6488120859332,7.9852e-05,0.00677966101694916
"RPA2",39.3145492173323,1.94444444444453e-06,0.251412429378531
"ZNF236",100,0.000234451280753968,0
"DCLRE1B",50.9721933025161,4.66088888888887e-05,0.0310734463276836
"STRIP1",38.8070394618949,0,0.714124293785311
"MAP2K5",34.5980203554259,-1.61262e-05,0.876271186440678
"PTBP2",44.9041166609323,2.336e-05,0.0870056497175141
"ATP5F1",58.5742544306062,7.57349999999999e-05,0.00847457627118642
"PCDHB6",44.8344226823742,2.3092978395062e-05,0.0875706214689266
"FUT6",52.3740802498215,5.19800000000001e-05,0.0220338983050847
"ANAPC2",44.1765361752586,2.05723888888889e-05,0.101129943502825
"TMED5",38.8070394618949,0,0.714124293785311
"ATXN7L2",54.6524671564667,6.07092839506174e-05,0.0169491525423728
"ZNF644",42.7959855825287,1.52830246913582e-05,0.133333333333333
"NCAPH2",49.2529076826919,4.00217142857142e-05,0.0412429378531074
"KCNJ2",87.2725390738323,0.000185688,0
"CHAC2",45.4832215425832,2.557875e-05,0.080225988700565
"DDX20",39.1183121118965,1.19259259259263e-06,0.261581920903955
"ZNF609",38.8070394618949,0,0.714124293785311
"TRAF2",47.0126746919874,3.14386111111111e-05,0.0581920903954802
"SCML2",47.5312127149675,3.34253086419753e-05,0.0514124293785311
"GPN2",38.8070394618949,0,0.714124293785311
"SLC2A9",47.3596518616406,3.27680000000001e-05,0.0531073446327683
"TRIM33",51.5672847414633,4.8888888888889e-05,0.0254237288135594
"DR1",38.8070394618949,0,0.714124293785311
"WDR77",34.9889089262942,-1.46285714285714e-05,0.863276836158192
"GLMN",38.9756052020937,6.45833333333234e-07,0.273446327683616
"KRT32",38.8070394618949,0,0.714124293785311
"CDT1",37.4717249053663,-5.11604938271604e-06,0.786440677966102
"TUBB4B",45.3849459035124,2.52022222222221e-05,0.0819209039548022
"RSBN1",32.8816709384704,-2.27021249999999e-05,0.911299435028249
"MAPK8IP2",37.579155859311,-4.7044444444444e-06,0.780790960451977
