"","Overall","importance","pvalue"
"NME3",22.4877486758537,0,0.710555555555556
"SART1",26.2853341926751,2.07686874999997e-05,0.0861111111111111
"APOOL",28.5516019458057,3.31627222222224e-05,0.0461111111111111
"MED19",30.8738545087628,4.58629333333334e-05,0.02
"FIBP",38.1169800391893,8.5475e-05,0.00111111111111106
"FGD1",22.4877486758537,0,0.710555555555556
"SPRY2",34.5696610751798,6.60749999999999e-05,0.0033333333333333
"ANKRD52",22.575700243982,4.80999999999954e-07,0.277222222222222
"VOPP1",22.7942788870192,1.67638888888888e-06,0.245555555555556
"TBX1",41.008166025131,0.000101286661904762,0.000555555555555531
"DACT2",24.5192693966397,1.11102222222224e-05,0.135
"UXT",22.4877486758537,0,0.710555555555556
"LRRN2",22.4877486758537,0,0.710555555555556
"TNS4",25.0154877149499,1.38239999999998e-05,0.12
"SLC44A4",19.6807750901289,-1.53511111111111e-05,0.889444444444444
"FBXL3",24.3247515269116,1.00464197530865e-05,0.138888888888889
"DNPEP",22.4877486758537,0,0.710555555555556
"RGR",19.3500170561422,-1.71599999999998e-05,0.9
"CYP4B1",22.4877486758537,0,0.710555555555556
"FZD8",28.970545191495,3.54538888888891e-05,0.0388888888888889
"PDCL",23.7997081380582,7.17499999999993e-06,0.164444444444444
"RAB14",100,0.000423908222222222,0
"EREG",22.4877486758537,0,0.710555555555556
"MERTK",30.6696936135986,4.47463939393937e-05,0.0222222222222223
"ARL14",22.4877486758537,0,0.710555555555556
"ADA",22.9137672584801,2.32986111111111e-06,0.234444444444444
"ARHGEF25",29.7293375839534,3.96036630036629e-05,0.0288888888888889
"ZDHHC1",21.4863066032034,-5.47680555555563e-06,0.814444444444444
"MBNL2",23.100440492794,3.35076190476169e-06,0.219444444444444
"RAB38",16.8712560955255,-3.07161428571428e-05,0.947222222222222
"PIGQ",14.3741905556231,-4.43723919753085e-05,0.977777777777778
"RABGAP1",25.4316577129956,1.61e-05,0.106666666666667
"SCEL",21.6919789783604,-4.35200000000013e-06,0.796111111111111
"TMEM126B",22.5475845914969,3.27237774571332e-07,0.28
"PLD1",22.4877486758537,0,0.710555555555556
"IDUA",21.7895099330381,-3.81861111111115e-06,0.789444444444444
"FAM76B",21.8914976619844,-3.26084848484864e-06,0.778888888888889
"RPS3",21.6636776306121,-4.50677777777764e-06,0.8
"MSTO1",35.1150382272814,6.90576234567901e-05,0.00277777777777777
"SETDB2",26.6169597836298,2.25823209876543e-05,0.0783333333333334
"MED31",22.4877486758537,0,0.710555555555556
"GALNT12",22.4877486758537,0,0.710555555555556
"PSMB10",22.6557434850384,9.18750000000079e-07,0.264444444444444
"GOLGA1",33.1544132065655,5.83351240740742e-05,0.00611111111111107
"EYA2",22.4877486758537,0,0.710555555555556
"PI4KB",25.3227373266863,1.55043232323231e-05,0.110555555555556
"FAM160B2",26.5998755848773,2.24888888888888e-05,0.0788888888888889
"PSEN2",21.7794406850816,-3.87367901234548e-06,0.790555555555556
"JMJD4",19.5871571574012,-1.58631e-05,0.892777777777778
"PEMT",21.4580117858656,-5.63154761904761e-06,0.817777777777778
"SAMD13",22.4877486758537,0,0.710555555555556
"PRKCI",22.4877486758537,0,0.710555555555556
"MSRA",23.6727888850905,6.48088888888898e-06,0.172222222222222
"ACYP1",21.6502436894419,-4.58024691358028e-06,0.801666666666667
"PDSS2",22.4877486758537,0,0.710555555555556
"SCAI",26.5301249963132,2.21074285714284e-05,0.0827777777777777
"EGF",22.9677338449529,2.6250000000001e-06,0.233333333333333
"SLC4A3",22.4877486758537,0,0.710555555555556
"MTA2",20.1509065954392,-1.278e-05,0.874444444444444
"SYNE2",29.0233634151822,3.57427474747474e-05,0.0383333333333333
"UNC119",31.7469588749191,5.06378703703703e-05,0.0127777777777778
"AGPAT4",36.0164735134646,7.39874999999999e-05,0.00222222222222224
"UPK3B",22.6827902683765,1.06666666666655e-06,0.262222222222222
"UROS",22.4877486758537,0,0.710555555555556
"SH3GL1",20.6438742205407,-1.0084e-05,0.862222222222222
"SULT1E1",22.4877486758537,0,0.710555555555556
"CHPT1",29.7169291839,3.95358024691357e-05,0.0288888888888889
"ZNF790",27.4627009479054,2.72076108906527e-05,0.0661111111111111
"EMD",25.133000274445,1.44666666666666e-05,0.117222222222222
"USF1",22.4877486758537,0,0.710555555555556
"CD27",20.9726777752357,-8.2857999999999e-06,0.848333333333333
"TBKBP1",22.4877486758537,0,0.710555555555556
"ZBTB43",22.4877486758537,0,0.710555555555556
"CEP57",27.9162437997461,2.96879999999999e-05,0.0572222222222222
"GALNT7",23.2367083911415,4.09599999999988e-06,0.207777777777778
"DGKQ",22.4877486758537,0,0.710555555555556
"CNTRL",34.6283490164906,6.63959595959598e-05,0.0033333333333333
"CYP27C1",24.9836715551697,1.36500000000002e-05,0.120555555555556
"MAP2K3",21.3907786111679,-5.99924040404054e-06,0.82
"WNT9A",20.6464341414426,-1.007e-05,0.861666666666667
"KHDC1L",22.4877486758537,0,0.710555555555556
"SHPK",21.2607796034326,-6.71019444444454e-06,0.831666666666667
"PAX9",24.8803238913316,1.30847999999999e-05,0.124444444444444
"MCPH1",32.914022073484,5.70204444444444e-05,0.00722222222222224
"KLF3",16.5580941799738,-3.24287999999999e-05,0.952222222222222
"SLC41A1",25.1343411853936,1.44740000000001e-05,0.117222222222222
"EEF1G",22.4877486758537,0,0.710555555555556
"B3GNT7",31.36258810596,4.85357777777777e-05,0.0161111111111111
"GTF2F2",23.3517219802323,4.72500000000009e-06,0.195555555555556
