"","Overall","importance","pvalue"
"DEGS1",24.6219645659316,1.57770833333333e-05,0.139589442815249
"PRDM13",27.58269700775,4.33824109347443e-05,0.0469208211143695
"ASB6",22.9298374831911,0,0.717888563049853
"SF3A2",23.4148558186287,4.52222222222232e-06,0.232258064516129
"PRPF4",50.1805032829085,0.000254080222222222,0
"CLEC7A",27.1426149845763,3.92791666666668e-05,0.0527859237536656
"PRRX2",34.9617294864689,0.000112183159722222,0.00703812316715546
"IFNGR1",21.3437004125777,-1.4788851851852e-05,0.852785923753666
"BMP6",20.2259234227624,-2.52108e-05,0.910263929618768
"PTGES2",28.9769874025023,5.63825194805194e-05,0.0334310850439883
"GTF3C5",31.2780815166458,7.78375e-05,0.0181818181818182
"RPL35",18.1698985231789,-4.43807999999999e-05,0.955425219941349
"MXRA5",22.9298374831911,0,0.717888563049853
"HES6",22.9298374831911,0,0.717888563049853
"USP9X",22.9298374831911,0,0.717888563049853
"DAZAP1",19.7551720148724,-2.95999999999998e-05,0.925513196480938
"PON2",22.0751714206686,-7.96874999999986e-06,0.802932551319648
"TPGS1",20.8893352132409,-1.90252698412698e-05,0.879178885630499
"RPRML",22.9298374831911,0,0.717888563049853
"MET",22.1415933112619,-7.34944444444441e-06,0.797067448680352
"GALR3",22.9298374831911,0,0.717888563049853
"SURF6",34.2499241148278,0.000105546416666667,0.00762463343108499
"NCL",22.1597440929768,-7.180209876543e-06,0.795894428152493
"PI3",23.1151737739675,1.72804166666696e-06,0.26158357771261
"AMN",22.9298374831911,0,0.717888563049853
"PLA2G6",22.9298374831911,0,0.717888563049853
"S100A9",38.5701272190562,0.0001458272,0.0046920821114369
"CLCF1",22.9298374831911,0,0.717888563049853
"TMEM248",20.2612683891504,-2.488125e-05,0.909090909090909
"UNC119",22.9298374831911,0,0.717888563049853
"C4orf33",22.9298374831911,0,0.717888563049853
"TMEM133",36.5672064645926,0.000127152333333334,0.00527859237536654
"CAV2",22.5397075628867,-3.63749999999996e-06,0.761290322580645
"ZFP36L2",26.4752891693346,3.30571428571427e-05,0.069208211143695
"TMEM45A",22.9369876306422,6.66666666666593e-08,0.282111436950147
"MED14",23.5233354723753,5.53366666666677e-06,0.221700879765396
"FOXI1",33.6038351833028,9.95224016754848e-05,0.00879765395894427
"SPEF2",42.151810262883,0.000179222157407408,0.00234604105571845
"PPP1R14B",24.8503141245197,1.79061728395062e-05,0.128445747800586
"BPI",24.8603772950065,1.8e-05,0.128445747800586
"FPGS",22.9298374831911,0,0.717888563049853
"GLE1",28.650363456508,5.33371375661376e-05,0.0375366568914957
"RAB5B",22.9298374831911,0,0.717888563049853
"CKB",34.4696838967394,0.000107595416666667,0.00762463343108499
"PPP2R3A",28.9137323282076,5.57927407407408e-05,0.0340175953079179
"LMBRD2",37.560564533071,0.000136414222222222,0.0046920821114369
"CX3CL1",22.2005224431719,-6.79999999999992e-06,0.790615835777126
"LPCAT2",22.9298374831911,0,0.717888563049853
"DLG5",32.0858187780638,8.53686944444447e-05,0.0164222873900294
"CPA4",26.9956258283489,3.79086666666668e-05,0.0551319648093842
"ZNF433",24.2794993160736,1.25840000000002e-05,0.158357771260997
"DCTN6",36.2185401169474,0.000123901432098765,0.00527859237536654
"LRSAM1",18.6138927173738,-4.02410793650794e-05,0.950733137829912
"EXTL3",62.3173542371203,0.000367242,0
"SEC23B",22.9298374831911,0,0.717888563049853
"NAA20",22.9298374831911,0,0.717888563049853
"WNT4",23.4898472460629,5.22142857142849e-06,0.224046920821114
"FMO4",22.4883158780814,-4.11666666666655e-06,0.763636363636364
"WDR91",23.4024979804506,4.40700000000005e-06,0.233431085043988
"CDK2AP1",35.7333138148369,0.000119377270833333,0.00586510263929618
"PTBP1",22.9298374831911,0,0.717888563049853
"FOXF2",22.5933283061599,-3.13754999999971e-06,0.756598240469208
"TSPAN31",32.6247019832375,9.03931428571429e-05,0.0129032258064516
"FZD7",22.9298374831911,0,0.717888563049853
"C16orf74",25.2595938610301,2.17222222222222e-05,0.106744868035191
"SLITRK5",22.9298374831911,0,0.717888563049853
"FBLN5",43.3420943160029,0.000190320148148148,0.00175953079178881
"PMPCA",22.6402565114188,-2.69999999999992e-06,0.751319648093842
"SMURF1",22.9298374831911,0,0.717888563049853
"RPL11",23.5428434580046,5.71555555555547e-06,0.218768328445748
"QSOX2",22.9298374831911,0,0.717888563049853
"CDH3",24.6401527535105,1.59466666666666e-05,0.13841642228739
"NUBP1",22.9298374831911,0,0.717888563049853
"AMY1A",19.1513420626212,-3.52300000000001e-05,0.937243401759531
"IDE",40.3796047561864,0.0001626984375,0.00351906158357773
"PRDX3",16.9722392915783,-5.55475555555556e-05,0.965982404692082
"CRABP1",22.9298374831911,0,0.717888563049853
"ATRN",29.1647660606098,5.81333333333334e-05,0.0328445747800586
"ZMYND19",24.842610261946,1.78343434343435e-05,0.128445747800586
"FAM45A",22.9298374831911,0,0.717888563049853
"DGKD",22.9298374831911,0,0.717888563049853
"TRUB2",24.3239017317453,1.29979999999998e-05,0.157184750733138
"GNS",26.2995069729053,3.14181818181818e-05,0.0709677419354838
"STX4",22.4497169987575,-4.47655555555548e-06,0.767155425219941
"TRIM38",22.4418399196488,-4.54999999999983e-06,0.76891495601173
"MRPS2",41.0270626075585,0.000168735216049383,0.00293255131964809
"ASCC1",22.9298374831911,0,0.717888563049853
"HOXC13",22.9298374831911,0,0.717888563049853
"ASB8",32.4484712775589,8.87499999999999e-05,0.0152492668621701
"ANKRD40",22.9298374831911,0,0.717888563049853
"SLC24A3",25.810325456376,2.68571428571427e-05,0.0844574780058651
"PRR18",24.4215595049145,1.39085432098764e-05,0.152492668621701
"IFNGR2",22.9298374831911,0,0.717888563049853
"BSCL2",21.1239461918918,-1.68378e-05,0.866862170087977
"RPL12",22.8646281384364,-6.07999999999942e-07,0.724340175953079
"ELN",22.9298374831911,0,0.717888563049853
"KLHDC8A",31.5730668081999,8.05878888888887e-05,0.0175953079178885
"FOXN4",22.0816664689621,-7.90819135802456e-06,0.802346041055718
"ZMIZ1",22.4106891105866,-4.84044444444454e-06,0.771260997067449
"THOP1",30.1766443350881,6.7567901234568e-05,0.0258064516129032
"S100A8",49.4327902325311,0.000247108682539683,0
"TRIM7",22.5954965883744,-3.11733333333342e-06,0.756011730205279
"NCS1",22.4924681772523,-4.07795138888889e-06,0.763049853372434
"LMNB2",22.3297153931182,-5.59542857142858e-06,0.779472140762463
"ECH1",22.9298374831911,0,0.717888563049853
"SDC4",22.9298374831911,0,0.717888563049853
"STIP1",29.7205572364855,6.33154285714286e-05,0.0275659824046921
"FTH1",13.344554100082,-8.93714285714284e-05,0.985923753665689
"SEMA4F",24.5367669177722,1.49827160493827e-05,0.145454545454546
"SEMA3C",34.2020753942896,0.000105100283950617,0.00762463343108499
"PLA2G7",23.5008959262911,5.32444444444469e-06,0.224046920821114
"DDIT4",22.9298374831911,0,0.717888563049853
"LAMC2",22.9298374831911,0,0.717888563049853
"KLHL17",36.9907388094399,0.000131101271428571,0.00527859237536654
"RAP2C",21.6070602047249,-1.23333333333333e-05,0.838709677419355
"TXN",22.9298374831911,0,0.717888563049853
"MNT",22.8936100694385,-3.37777777777548e-07,0.721994134897361
"NAMPT",21.2557615435366,-1.56087777777778e-05,0.858064516129032
"METTL9",22.9298374831911,0,0.717888563049853
"CETN2",22.9813185448395,4.80000000000036e-07,0.27683284457478
"SGK1",29.6062876657195,6.22500000000001e-05,0.0281524926686217
"ACTL10",29.9099544279706,6.50813333333333e-05,0.0263929618768328
"COQ4",22.9298374831911,0,0.717888563049853
