"","Overall","importance","pvalue"
"DUSP6",20.2733632035219,6.48526790123458e-05,0.0153301886792453
"TMOD2",17.0475610226931,2.50413333333335e-05,0.0554245283018868
"LYSMD2",34.3713176063091,0.000238843055555556,0
"ERC2",17.2050795516524,2.69853535353533e-05,0.0524764150943396
"INHBB",17.6762241192749,3.27999999999999e-05,0.0430424528301887
"SPRY4",15.0185317020361,0,0.772995283018868
"BCAR3",29.7241880129209,0.00018149035,0.000589622641509413
"TMEM108",17.1683860941211,2.65324999999998e-05,0.0530660377358491
"SETBP1",16.2331526982281,1.49902857142856e-05,0.0884433962264151
"RPP25",22.212547355384,8.87851851851853e-05,0.00648584905660377
"SPRED2",15.0185317020361,0,0.772995283018868
"STRN3",18.0415831655472,3.73090909090907e-05,0.0324292452830188
"CCDC183",15.0185317020361,0,0.772995283018868
"SLC19A2",25.9700340687019,0.000135158333333333,0.00117924528301883
"COQ6",15.3731895913679,4.37702222222214e-06,0.165094339622642
"JTB",16.9090540139092,2.33319444444444e-05,0.0613207547169812
"ZSWIM6",29.5535829117452,0.000179384821428572,0.000589622641509413
"FUT8",11.8026590554108,-3.96887999999997e-05,0.96875
"PKNOX2",29.3616844391141,0.0001770165,0.000589622641509413
"POGK",45.4464127237524,0.000375526712962963,0
"IER5",14.3298490312369,-8.49940025252494e-06,0.877358490566038
"FAM20B",14.0495627728493,-1.19585625e-05,0.899174528301887
"IMPDH2",14.9655902886604,-6.53378226711743e-07,0.79127358490566
"C1orf43",16.4725024257787,1.79442283950617e-05,0.0784198113207547
"PPP1R14B",15.4074622996808,4.80000000000014e-06,0.160377358490566
"SLC39A1",21.1027747087095,7.50888888888888e-05,0.0112028301886793
"NIPBL",30.2034355877874,0.000187405,0
"TMED10",14.6357085301825,-4.72462500000015e-06,0.838443396226415
"CALHM2",100,0.00104880163787694,0
"MCL1",13.2048726998248,-2.23833333333334e-05,0.9375
"GNA14",23.2003890592938,0.000100976666666667,0.00353773584905659
"RRNAD1",15.0185317020361,0,0.772995283018868
"ZNF563",14.3379031561578,-8.40000000000019e-06,0.873231132075472
"PAIP1",15.3218885651758,3.74388888888877e-06,0.173349056603774
"RFX5",14.9981128456597,-2.51999999999919e-07,0.78125
"ELL2",39.1317940386072,0.000297594634920635,0
"RASSF9",15.9406663424008,1.13805555555555e-05,0.106132075471698
"WDR70",34.4456555679932,0.0002397605,0
"CMBL",16.9793901318281,2.42e-05,0.0571933962264151
"ENTPD5",16.800567585631,2.19930555555556e-05,0.0630896226415094
"IER3",32.0051237846496,0.000209640595238095,0
"TUB",22.3444604000037,9.04131944444442e-05,0.00589622641509435
"GDE1",17.6911562761488,3.29842857142857e-05,0.0424528301886793
"DUSP4",15.0185317020361,0,0.772995283018868
"WDR31",17.6248168574103,3.21655555555556e-05,0.0430424528301887
"SULT1E1",16.3520080368179,1.64571428571429e-05,0.0843160377358491
"ISYNA1",21.1015227258106,7.50734374999997e-05,0.0112028301886793
"TICAM1",22.1225896488004,8.76749691358023e-05,0.00648584905660377
"NUDT4",15.094589241131,9.38666666666643e-07,0.204009433962264
"SLC45A3",15.3516435565003,4.11111111111118e-06,0.169221698113208
"MESP1",27.131810052395,0.000149496430555556,0.000589622641509413
"ZDHHC23",15.0185317020361,0,0.772995283018868
"PAK1",15.128728704702,1.35999999999981e-06,0.19811320754717
"UBE2Q1",15.0185317020361,0,0.772995283018868
"FAM161B",20.9680294630749,7.34259259259258e-05,0.0112028301886793
"ZNF433",15.0185317020361,0,0.772995283018868
"AKT3",47.5775480087854,0.00040182819047619,0
"COX5A",14.8922509057921,-1.55849867724878e-06,0.803655660377358
"FAM110C",24.3027792270315,0.000114581851851852,0.00294811320754718
"NEK5",18.4697602208434,4.25934523809526e-05,0.0265330188679245
"CD180",20.338454060153,6.56560000000004e-05,0.0153301886792453
"SYN3",24.5630256142554,0.000117793691358025,0.00235849056603776
"FOXK1",15.0185317020361,0,0.772995283018868
"PRSS23",18.6057476693073,4.42717460317461e-05,0.0241745283018868
"MRPL24",18.5924392719556,4.41075e-05,0.0247641509433962
"RIN1",15.4056634956667,4.77780000000005e-06,0.160966981132076
"ATXN1",15.0185317020361,0,0.772995283018868
"CARD9",14.938662025734,-9.85714285714367e-07,0.797759433962264
"LANCL2",18.7344394536999,4.586e-05,0.0224056603773585
"LAMB1",9.53912979283865,-6.76242222222223e-05,0.985259433962264
"CREB5",11.4410904455522,-4.4151111111111e-05,0.975825471698113
"RUNX2",15.0846499036356,8.15999999999928e-07,0.206957547169811
"CHKA",15.0185317020361,0,0.772995283018868
"COG2",15.0185317020361,0,0.772995283018868
"MDM2",38.4716946361382,0.000289447996031746,0
"ZNF350",19.3372818800492,5.32999999999999e-05,0.0194575471698113
