"","Overall","importance","pvalue"
"CARD9",61.5926960571214,0.000120801214285714,0.00250783699059565
"ENTPD5",42.978123730864,3.7911851851852e-05,0.0344827586206896
"BCAR3",34.4642096700368,0,0.752978056426332
"DUSP6",36.5656213694964,9.35743636363662e-06,0.135423197492163
"PIGU",48.4430747654375,6.2246888888889e-05,0.0100313479623825
"RFX5",33.5210101873208,-4.19999999999998e-06,0.815047021943574
"FBLN1",48.2741418920998,6.14946428571428e-05,0.0106583072100314
"GOLPH3L",37.876921548385,1.51965625000001e-05,0.100940438871473
"LANCL2",50.7880982412485,7.26891111111112e-05,0.00626959247648906
"C1orf194",63.1655052557617,0.000127804821428572,0.00125391849529777
"PAK1",55.2619687995244,9.26109375000002e-05,0.00376175548589341
"SPRY4",34.4642096700368,0,0.752978056426332
"SLC45A3",34.4642096700368,0,0.752978056426332
"GRASP",34.4642096700368,0,0.752978056426332
"COL21A1",34.4642096700368,0,0.752978056426332
"HS3ST3B1",38.7011216320787,1.88666666666666e-05,0.0821316614420062
"UBR1",23.6445545263675,-4.81791523809523e-05,0.976802507836991
"SALL4",33.5731107301756,-3.96799999999997e-06,0.810031347962382
"DCAF4",35.8864946042912,6.33333333333352e-06,0.156112852664577
"CLDN10",39.1599956661303,2.091e-05,0.077115987460815
"RNF39",39.2585375549435,2.13487999999999e-05,0.0758620689655173
"ACAA2",47.6812763192892,5.88546547619049e-05,0.012539184952978
"SPIN4",45.1538038074853,4.76000000000001e-05,0.0238244514106583
"TICAM1",52.6778782524452,8.11041666666665e-05,0.00564263322884018
"ATP2B4",34.4642096700368,0,0.752978056426332
"NUDT4",34.4642096700368,0,0.752978056426332
"COQ6",34.1978821375288,-1.18593750000007e-06,0.770532915360502
"C2CD4A",51.0892371332361,7.40300611111111e-05,0.00626959247648906
"AKR7A3",47.6022548456205,5.85027777777778e-05,0.012539184952978
"COG2",34.4642096700368,0,0.752978056426332
"FAM161B",34.4642096700368,0,0.752978056426332
"ZBTB18",33.3495220727541,-4.96362433862463e-06,0.825078369905956
"FZD5",42.7801011501241,3.70300714285714e-05,0.0351097178683386
"PTP4A3",5.70740486985731,-0.000128052,0.999373040752351
"PPP1R14B",34.4642096700368,0,0.752978056426332
"GSTM4",45.1406574745592,4.75414603174604e-05,0.0238244514106583
"FST",34.4642096700368,0,0.752978056426332
"HMGCS1",41.2686420744888,3.02996520061727e-05,0.0463949843260189
"RBX1",60.6308630970963,0.000116518240740741,0.00313479623824453
"MTA2",48.3274454955193,6.17319999999999e-05,0.0106583072100314
"NIPBL",38.5003174564926,1.79724999999999e-05,0.0865203761755486
"CALHM2",49.0867397933812,6.51130833333333e-05,0.00815047021943571
"BUD13",34.4642096700368,0,0.752978056426332
"LYSMD2",34.4642096700368,0,0.752978056426332
"ZNF85",66.3002720467487,0.000141763714285714,0.000626959247648884
"MCL1",39.8076094061941,2.37937777777777e-05,0.063949843260188
"DLK1",44.9741467631584,4.68e-05,0.0250783699059561
"ALG8",27.3929084053315,-3.1488e-05,0.956739811912226
"ZNF521",34.4642096700368,0,0.752978056426332
"DST",32.683078504015,-7.93125000000017e-06,0.855172413793103
"CYP51A1",34.4642096700368,0,0.752978056426332
"CCDC183",34.4642096700368,0,0.752978056426332
"ADAMTS3",46.2237613159209,5.23644444444447e-05,0.0181818181818182
"HOXA13",79.819680292091,0.000201964674603175,0
"AQP5",35.7000015186918,5.50289292929285e-06,0.164890282131661
"RRNAD1",38.4566217026791,1.77779259259259e-05,0.0871473354231975
"NEK5",37.8048682460648,1.48757142857145e-05,0.101567398119122
"WDR70",52.3105461364428,7.94684629629627e-05,0.00564263322884018
"FAM110C",47.7949154758893,5.93606818181818e-05,0.0119122257053291
"MESP1",47.1552955669393,5.65125e-05,0.0137931034482759
"PHF2",34.4642096700368,0,0.752978056426332
"HHIP",55.0956653264453,9.18703999999999e-05,0.00376175548589341
"SETBP1",44.541772143145,4.48746666666664e-05,0.0269592476489028
