"","Overall","importance","pvalue"
"FAM204A",71.3982162773369,9.38874999999999e-05,0.013646288209607
"NES",65.4741912561285,6.60886684303352e-05,0.0311135371179039
"ALCAM",57.3490028926585,2.79607499999999e-05,0.0987991266375546
"FAM8A1",44.3226431205696,-3.31661999999999e-05,0.914301310043668
"LY6D",62.8211095880421,5.36389285714287e-05,0.0524017467248908
"UROS",51.3904725063488,0,0.703602620087336
"PAAF1",80.4175682969278,0.000136211333333333,0.00382096069868998
"EEPD1",51.3904725063488,0,0.703602620087336
"ZBED6CL",59.6884340608751,3.89386666666667e-05,0.0715065502183406
"PSD4",58.8151369398643,3.48406691919194e-05,0.0807860262008734
"PCDHB2",55.9670940556469,2.14760625000001e-05,0.122270742358079
"EGF",56.9742231051242,2.6202074074074e-05,0.10589519650655
"NUP62CL",51.3904725063488,0,0.703602620087336
"LMX1B",50.3696464202217,-4.79028571428564e-06,0.770742358078603
"ATP6V1G1",51.3904725063488,0,0.703602620087336
"STX6",51.3904725063488,0,0.703602620087336
"DCST1",51.3904725063488,0,0.703602620087336
"TEX29",57.4601895821808,2.84825000000002e-05,0.0971615720524017
"RPL39",57.6557119351018,2.93999999999999e-05,0.0949781659388647
"BNIPL",56.8349830056664,2.55486818181818e-05,0.108624454148472
"TRUB1",51.9888668028093,2.80800000000014e-06,0.252729257641921
"UBQLN4",74.3266658274453,0.000107629419642857,0.00764192139737996
"OAT",53.8537581762355,1.15591111111111e-05,0.169759825327511
"KRT83",51.3904725063488,0,0.703602620087336
"GALNT12",51.3904725063488,0,0.703602620087336
"MAPK10",51.3904725063488,0,0.703602620087336
"PDCD4",48.4354389435809,-1.38666666666667e-05,0.84443231441048
"EFHD1",50.9636367915344,-2.00295138888906e-06,0.74235807860262
"SLC31A1",51.3904725063488,0,0.703602620087336
"ARAP3",55.8678354473865,2.10102857142858e-05,0.123908296943231
"ACYP1",51.3904725063488,0,0.703602620087336
"DPH1",57.6316738736201,2.92872e-05,0.0949781659388647
"SLC30A1",43.1074484841178,-3.88685714285715e-05,0.928493449781659
"GSTT2B",44.7029009206792,-3.1381818181818e-05,0.907751091703057
"DKK1",51.3904725063488,0,0.703602620087336
"DTNBP1",46.6553153598559,-2.22199999999999e-05,0.881004366812227
"GADD45A",56.106923911539,2.21322222222222e-05,0.120633187772926
"SHOC2",80.558997908069,0.000136875,0.00382096069868998
"ARHGAP30",51.3904725063488,0,0.703602620087336
"CES3",53.9161422181162,1.1851851851852e-05,0.167576419213974
"GMFB",51.3904725063488,0,0.703602620087336
"RC3H2",53.0692535928892,7.87777777777787e-06,0.200327510917031
"GUCY1A3",51.3904725063488,0,0.703602620087336
"PWWP2B",52.8143637341362,6.68169230769222e-06,0.210152838427948
"CDPF1",43.8997510022286,-3.51506458333333e-05,0.92085152838428
"RRM2B",49.138225483403,-1.05687999999999e-05,0.823689956331878
"ATG4C",51.3904725063488,0,0.703602620087336
"FANK1",51.3904725063488,0,0.703602620087336
"HINFP",54.2747069101241,1.35344374999999e-05,0.157751091703057
"SLC44A4",51.3904725063488,0,0.703602620087336
"RPF1",51.3904725063488,0,0.703602620087336
"PDIA5",61.8985503760835,4.93097658730159e-05,0.0562227074235808
"TGM5",51.3904725063488,0,0.703602620087336
"TMEM168",54.9137817542644,1.65333333333335e-05,0.139737991266376
"CLN5",50.7168527160669,-3.16099999999997e-06,0.75
"CUEDC2",50.2214482397593,-5.48571428571432e-06,0.779475982532751
"TRAPPC11",51.3904725063488,0,0.703602620087336
"KHDRBS1",62.5622673424096,5.24242962962962e-05,0.0529475982532751
"MEX3B",50.4942205686302,-4.20571428571415e-06,0.76146288209607
"CCDC84",51.3904725063488,0,0.703602620087336
"SPRY2",56.2626859090226,2.28631444444445e-05,0.116812227074236
"TIAL1",65.864141655433,6.79185333333332e-05,0.0311135371179039
"CBWD1",43.2016790787548,-3.84263888888887e-05,0.927401746724891
"PIM3",51.3904725063488,0,0.703602620087336
"EIF2S3",51.3904725063488,0,0.703602620087336
"KRT5",51.3904725063488,0,0.703602620087336
"PYURF",51.3904725063488,0,0.703602620087336
"PDZD8",54.4713385422565,1.44571428571429e-05,0.152838427947598
"MTCL1",48.5043356052183,-1.3543365079365e-05,0.842794759825327
"ACOT1",51.3904725063488,0,0.703602620087336
"SUPT3H",44.2941298880672,-3.33000000000001e-05,0.915393013100437
"THEG",51.3904725063488,0,0.703602620087336
"CHRNE",57.5988527957157,2.91331851851853e-05,0.0949781659388647
"SRSF11",56.3984019817126,2.35000000000001e-05,0.115174672489083
"MTG1",51.3904725063488,0,0.703602620087336
"HAPLN3",51.3904725063488,0,0.703602620087336
"EIF3D",48.8082353269957,-1.21172979797981e-05,0.835152838427948
"CAMP",53.5896359842447,1.03197023809523e-05,0.179039301310044
"NEBL",51.2013093520748,-8.87659090909043e-07,0.722707423580786
"NODAL",53.2287022788802,8.62600000000002e-06,0.192685589519651
"NEK6",47.4427323560885,-1.85250000000001e-05,0.870633187772926
"ACOX3",51.3265414917697,-2.99999999999967e-07,0.707969432314411
"ACADSB",52.3475004215634,4.4909090909091e-06,0.233078602620087
"RNF219",53.222380211883,8.59633333333343e-06,0.193231441048035
"ANKRD35",54.1790486496755,1.30855555555558e-05,0.158842794759825
"P2RY2",49.6461818616594,-8.1851851851853e-06,0.803493449781659
"BCCIP",62.5144690431144,5.22e-05,0.0540393013100436
"ZNF569",51.3904725063488,0,0.703602620087336
"KRT75",84.5280483965222,0.0001555,0.00272925764192145
"CDC26",51.3904725063488,0,0.703602620087336
"CCL22",51.3904725063488,0,0.703602620087336
"DIO1",22.8692721174738,-0.000133837389770723,0.99617903930131
"EIF4EBP2",48.240276836853,-1.47824761904762e-05,0.84825327510917
"TMEM102",51.3904725063488,0,0.703602620087336
"MSL3",52.6339791724993,5.83522727272712e-06,0.217248908296943
"SDC2",53.5383770100554,1.00791666666666e-05,0.181222707423581
"FBXW7",70.3121112131752,8.87908888888889e-05,0.0169213973799127
"LLPH",63.7504686583106,5.80000000000001e-05,0.0453056768558951
"ABCC4",49.0236930707846,-1.11062499999999e-05,0.827510917030568
"ARHGAP4",46.2930396105742,-2.39200000000002e-05,0.887554585152838
"UCHL1",35.2632525272369,-7.56779166666668e-05,0.97707423580786
"ACOT13",60.9538537818544,4.48767222222222e-05,0.0627729257641921
"SEMA4G",51.3904725063488,0,0.703602620087336
"VILL",56.2497167078057,2.28022857142856e-05,0.11735807860262
"PIBF1",51.3904725063488,0,0.703602620087336
"ID1",50.4994162320373,-4.18133333333315e-06,0.760371179039301
"CFAP36",51.3904725063488,0,0.703602620087336
"WNK2",51.3904725063488,0,0.703602620087336
"ANKRD10",54.8492298458811,1.62304197530865e-05,0.142467248908297
"TDRKH",51.2256843967327,-7.73277777777803e-07,0.720524017467249
"TMTC2",61.0109062928279,4.51444444444444e-05,0.0627729257641921
"PRKAR2A",54.840416475381,1.61890625000001e-05,0.142467248908297
"DSG1",51.3904725063488,0,0.703602620087336
"GPR89A",51.3904725063488,0,0.703602620087336
"DHX32",70.9373759152,9.17249798280419e-05,0.0152838427947598
"VIPR1",46.1523913785001,-2.458e-05,0.889192139737991
"GJB1",54.1288509641541,1.285e-05,0.159934497816594
"ERICH1",47.9609666315283,-1.60931555555557e-05,0.856986899563319
"SLC2A9",51.3904725063488,0,0.703602620087336
"USP33",51.1624222899913,-1.07013888888918e-06,0.724890829694323
"LRRC8B",51.3904725063488,0,0.703602620087336
"GRASP",51.3904725063488,0,0.703602620087336
"TAF8",61.2185873775958,4.6119e-05,0.0627729257641921
"TGDS",57.1087465881472,2.68333333333335e-05,0.104257641921397
"SALL4",51.3904725063488,0,0.703602620087336
"GTF2B",65.6908933415544,6.71055555555558e-05,0.0311135371179039
"KIT",59.8898199856384,3.98836818181818e-05,0.0698689956331878
"CDK5RAP2",32.5683826765757,-8.832375e-05,0.981986899563319
"EIF5A",51.3904725063488,0,0.703602620087336
"FAM107B",64.1721203373826,5.99786250000001e-05,0.0414847161572053
"NUDCD2",58.1529531596061,3.17333333333334e-05,0.0911572052401747
"SCAP",49.2570708716902,-1.00111111111112e-05,0.818777292576419
"FAM76B",51.3904725063488,0,0.703602620087336
"CYB5A",52.3575965402294,4.53828571428572e-06,0.233078602620087
"STX1A",62.841819515913,5.3736111111111e-05,0.0518558951965066
"CCDC110",51.3904725063488,0,0.703602620087336
"TRAPPC1",54.5078494093789,1.46284722222221e-05,0.152292576419214
"ATM",54.0415732901769,1.24404444444446e-05,0.163755458515284
"PPRC1",51.3904725063488,0,0.703602620087336
"THEM5",54.9419735558322,1.66656250000001e-05,0.138646288209607
"GLRX3",51.7109799927721,1.50399999999995e-06,0.266375545851528
"VOPP1",56.8503074348906,2.56205925925925e-05,0.108078602620087
"ZNF644",70.5476547194822,8.98961904761906e-05,0.0169213973799127
"HEY2",51.3904725063488,0,0.703602620087336
"SIX4",41.0385190789766,-4.85771428571429e-05,0.943231441048035
"ARL4C",51.3904725063488,0,0.703602620087336
"NDUFA8",64.9224236345415,6.34994668109667e-05,0.0343886462882096
"THOC3",48.9690997991476,-1.13624320987655e-05,0.82914847161572
"LCT",44.9415300696539,-3.0262037037037e-05,0.906113537117904
"CLDN10",51.3904725063488,0,0.703602620087336
"ITGB6",50.5654204005048,-3.87160493827143e-06,0.757096069868996
"PDCL",51.3904725063488,0,0.703602620087336
"TYW3",73.8166838066431,0.000105236299382716,0.00873362445414849
"U2AF1L4",56.959574220796,2.61333333333333e-05,0.10589519650655
"IGSF8",51.3904725063488,0,0.703602620087336
"C11orf54",53.6470952520702,1.05893333333333e-05,0.176310043668122
"PPA1",51.3904725063488,0,0.703602620087336
"FAM131C",51.3904725063488,0,0.703602620087336
"ACTR1B",60.6519454850429,4.34600000000001e-05,0.0655021834061136
"APH1A",51.3904725063488,0,0.703602620087336
"PIGM",50.34626593489,-4.8999999999999e-06,0.772379912663755
"CHCHD1",51.3904725063488,0,0.703602620087336
"CYP2D6",51.3904725063488,0,0.703602620087336
"CAPRIN1",60.5181376084383,4.28320987654323e-05,0.0665938864628821
"SLC7A5",51.3904725063488,0,0.703602620087336
"MAPKAPK2",51.3904725063488,0,0.703602620087336
"CWH43",56.6008527314916,2.44500119047621e-05,0.111353711790393
