"","Overall","importance","pvalue"
"HDAC11",47.9388635400519,3.2038380952381e-05,0.00220143093010461
"NUDT8",100,0.000114414916820988,0
"ACADS",27.5898128440499,-1.6000000000016e-07,0.788112272977435
"NINJ1",28.1543904641272,7.33333333333475e-07,0.154650522839846
"PARP10",41.4386963842339,2.17531415343917e-05,0.00385250412768301
"TAX1BP3",68.3620492814735,6.43540660714283e-05,0
"ATG101",46.6119859565055,2.99388574635238e-05,0.00220143093010461
"NME3",32.1843792223633,7.10999999999995e-06,0.0324711062190424
"ZKSCAN8",28.5594257517644,1.37422222222217e-06,0.113924050632911
"TMEM54",27.6909312237653,0,0.770500825536599
"FLII",24.1630233092541,-5.58222222222238e-06,0.957072096862961
"ZNF764",38.1465716863259,1.65439999999999e-05,0.00770500825536602
"PSMB6",45.1536696787014,2.76313580246914e-05,0.00220143093010461
"LAMTOR4",27.6909312237653,0,0.770500825536599
"ANKRD35",31.6665688529047,6.29066666666667e-06,0.0363236103467254
"HHIPL2",29.1010586283887,2.23125000000013e-06,0.0897083104017612
"ZNF70",27.2643380593415,-6.74999999999981e-07,0.840946615299945
"DNAJB2",27.6909312237653,0,0.770500825536599
"ADCK2",27.6909312237653,0,0.770500825536599
"ZBTB43",27.6909312237653,0,0.770500825536599
"S1PR1",46.9171164835897,3.0421666666667e-05,0.00220143093010461
"C20orf24",42.0571143585236,2.27316666666668e-05,0.0033021463951568
"TREX1",47.5415610024053,3.14097276234566e-05,0.00220143093010461
"DESI1",27.5218519885861,-2.67534722222074e-07,0.802421574023115
"PIP4K2C",38.4069515140928,1.6956e-05,0.00715465052283981
"ZNF670",38.4961042188752,1.70970666666668e-05,0.00715465052283981
"OSBPL5",27.6909312237653,0,0.770500825536599
"LCK",27.6909312237653,0,0.770500825536599
"FAM76B",25.7614836960974,-3.05297222222212e-06,0.925701706108971
"WDR5B",27.6909312237653,0,0.770500825536599
"POLD4",28.06617521099,5.93749999999948e-07,0.167859108420473
"YPEL2",27.6909312237653,0,0.770500825536599
"HEG1",27.6909312237653,0,0.770500825536599
"HOXA2",27.6909312237653,0,0.770500825536599
"LYPLA2",30.7360751151843,4.81834285714311e-06,0.0506329113924051
"NARFL",46.2241439764218,2.93251736111113e-05,0.00220143093010461
"GABARAP",27.6909312237653,0,0.770500825536599
"PPP1R7",27.6909312237653,0,0.770500825536599
"TTC14",27.6909312237653,0,0.770500825536599
"TMEM102",26.410383687245,-2.02621527777791e-06,0.906989543203082
"LRAT",28.1554072070946,7.34942129629879e-07,0.153549807374794
"IDH2",27.6909312237653,0,0.770500825536599
"NPM3",26.0686558534456,-2.56693253968265e-06,0.916895982388553
"TMEM11",22.105449866376,-8.83792857142862e-06,0.97853604843148
"SLC16A13",27.6909312237653,0,0.770500825536599
"SREBF1",29.7930467862501,3.32618551587327e-06,0.06989543203082
"KLF2",27.0027644729252,-1.08888888888892e-06,0.872317006053935
"SPR",36.0731232597274,1.32631746031744e-05,0.011557512383049
"PRSS36",27.6909312237653,0,0.770500825536599
"SLU7",27.6909312237653,0,0.770500825536599
"UNC93B1",56.9861195859331,4.63538888888888e-05,0
"TMEM110",15.6766054390405,-1.90103137626263e-05,0.994496422674739
"GPAA1",27.6909312237653,0,0.770500825536599
"SHMT1",26.4325691650862,-1.99111111111105e-06,0.905338470005504
"DCST1",31.7539038344328,6.42885714285746e-06,0.0357732526141993
"MRPS11",28.2123228691723,8.25000000000076e-07,0.145294441386902
"CBLC",27.6909312237653,0,0.770500825536599
"SETX",28.9125307142275,1.93294155844148e-06,0.0979636763896533
