"","Overall","importance","pvalue"
"WNT2B",33.5216698072184,0,0.710631040363843
"KRCC1",64.641376430519,5.29766527777775e-05,0.00113700966458219
"BID",39.5603786971415,1.02800000000001e-05,0.0938032973280273
"PIK3IP1",34.4101471609158,1.51250000000003e-06,0.247868106878908
"VPS13B",43.6330852255051,1.72131746031745e-05,0.0443433769187038
"PABPC1",63.7319977723697,5.14285714285714e-05,0.00227401932916427
"PROSER2",44.3502085189339,1.84339699074074e-05,0.0386583285957931
"ZNF750",59.1803083589536,4.36799999999999e-05,0.00739056281978401
"MPP7",17.8482439611132,-2.66816666666665e-05,0.982376350198977
"NEURL1B",35.7388393436119,3.77439999999996e-06,0.197839681637294
"BMP4",35.5124001465592,3.38892108585886e-06,0.20636725412166
"B3GNT8",34.6181928222499,1.86666666666668e-06,0.237635019897669
"KLRG2",33.5216698072184,0,0.710631040363843
"NIPAL2",40.8571150662567,1.24875e-05,0.0750426378624218
"MYO1G",48.1434685423516,2.48914285714286e-05,0.0216031836270608
"RORC",38.4220833767755,8.34222222222225e-06,0.114837976122797
"HDX",33.5216698072184,0,0.710631040363843
"GAS8",61.4435024908263,4.753275e-05,0.00284252416145536
"RARRES1",33.5216698072184,0,0.710631040363843
"SOWAHC",37.8458866400672,7.36133333333311e-06,0.131893121091529
"DIP2B",44.585619663499,1.88347222222223e-05,0.038089823763502
"OVOL1",57.7037838245055,4.11664375e-05,0.00852757248436609
"MED16",24.6868639429055,-1.50399375000001e-05,0.944855031267766
"DERL1",54.7432704036266,3.61266055555556e-05,0.0102330869812394
"RB1",33.5216698072184,0,0.710631040363843
"CPLX1",40.5560607563263,1.19750000000001e-05,0.0790221716884594
"SMARCC2",46.9774338004746,2.29064285714287e-05,0.0255827174530984
"C15orf62",33.5216698072184,0,0.710631040363843
"KLHL38",33.5216698072184,0,0.710631040363843
"FUT1",36.4178122687498,4.93024999999991e-06,0.179079022171688
"MICAL2",42.2625246984689,1.488e-05,0.0574189880613986
"ABCB6",87.9815622910004,9.27098333333329e-05,0
"CD82",33.5216698072184,0,0.710631040363843
"ANKRD23",53.1339394000184,3.33869598765431e-05,0.0119386014781125
"PIK3CB",27.108968246097,-1.09166666666669e-05,0.911313246162592
"NMRK1",42.5401443890928,1.53526060606062e-05,0.053439454235361
"GPRIN2",29.1369763733874,-7.4642857142857e-06,0.869812393405344
"TMOD3",53.4177669723302,3.38701339285716e-05,0.0119386014781125
"ABLIM1",33.7643897454415,4.1319444444432e-07,0.275724843661171
"GADD45B",66.3614198684611,5.59047698412696e-05,0.00113700966458219
"VPS18",33.5216698072184,0,0.710631040363843
"WDYHV1",57.3976379321012,4.06452698412696e-05,0.00852757248436609
"SNCA",43.9004885867856,1.76683888888889e-05,0.0409323479249574
"CHP1",46.4407659984245,2.19928317901232e-05,0.0272882319499715
"TRIP10",51.526068614063,3.06498e-05,0.0119386014781125
"PPFIBP2",34.2769280063471,1.28571428571411e-06,0.249573621375782
"PGD",33.5216698072184,0,0.710631040363843
"CGNL1",33.4865419092013,-5.97999999998322e-08,0.712336554860716
"ZNF148",47.330027489364,2.35066666666666e-05,0.0238772029562251
"LGR6",65.7051098175937,5.47875e-05,0.00113700966458219
"PLEKHF2",33.5216698072184,0,0.710631040363843
"ATF1",33.5216698072184,0,0.710631040363843
"KRT10",33.5216698072184,0,0.710631040363843
"RAB25",33.5216698072184,0,0.710631040363843
"POLR2K",60.842883407969,4.65102857142856e-05,0.00397953382603755
"GRHL2",33.5216698072184,0,0.710631040363843
"SAMD12",46.6213505389797,2.230025e-05,0.0267197271176804
"AFTPH",61.3449508790201,4.73649805996472e-05,0.00284252416145536
