"","Overall","importance","pvalue"
"PAX8",90.4018909095471,0.000206814444444445,0
"EIF2D",27.6666600088445,-4.3257499999998e-06,0.813193228254524
"TMX2",38.7031001131225,3.28182291666668e-05,0.0256859311150029
"ZNF486",46.6506394728194,5.95662777777779e-05,0.00817279626386458
"MYB",29.6389738128044,2.31222222222227e-06,0.222416812609457
"WNT2B",27.6989064279403,-4.21722222222232e-06,0.809690601284297
"DIP2B",33.2705897366364,1.4534702020202e-05,0.0939871570344425
"UTP23",39.267848408887,3.47189325396826e-05,0.0198482194979568
"ZNF280D",56.4666079127613,9.26026666666671e-05,0.00116754232340921
"MED19",45.7744103293809,5.6617261904762e-05,0.00817279626386458
"GAL3ST2",27.3163885112772,-5.50461538461544e-06,0.832457676590776
"UBE4B",24.1261319467016,-1.62416666666667e-05,0.911850554582604
"ZFP91",43.1586856081788,4.78138412698415e-05,0.010507880910683
"ARID1A",29.8168428981203,2.9108541666667e-06,0.208406304728546
"SNRNP200",34.4771196786461,1.85953703703701e-05,0.0718038528896673
"TUBG2",36.4048618389093,2.50833333333336e-05,0.042031523642732
"MTBP",28.9519525879423,0,0.712200817279626
"AMN",37.5091799538365,2.87999999999999e-05,0.0338587273788675
"MCM2",31.524299278557,8.65742857142848e-06,0.136602451838879
"ATAD2",53.7444389989694,8.34409999999999e-05,0.00233508464681842
"SPDYC",44.9233213427292,5.37528571428572e-05,0.00817279626386458
"ZNF106",37.0432564511934,2.7231898989899e-05,0.0367775831873906
"PROSER2",33.7345635110137,1.60962410714283e-05,0.0887332165791009
"SNIP1",28.9519525879423,0,0.712200817279626
"DNAJC13",38.9492687336032,3.36467283950617e-05,0.0221833041447752
"SLC51A",34.9194089485705,2.00839285714285e-05,0.0642148277875073
"CDC42EP5",42.6482208675846,4.60958333333332e-05,0.0122591943957968
"CHP2",35.6135163915308,2.24200000000001e-05,0.0525394045534151
"RARRES1",48.3631377922945,6.53298212121212e-05,0.00583771161704616
"PIM1",28.9519525879423,0,0.712200817279626
"ATP1B1",28.9519525879423,0,0.712200817279626
"YPEL1",28.9519525879423,0,0.712200817279626
"KLHDC9",29.6802082918939,2.45099999999998e-06,0.220665499124343
"MED30",19.126604636358,-3.30679563492067e-05,0.975481611208406
"SNX15",38.8687329282113,3.33756790123456e-05,0.0233508464681844
"THRAP3",37.1993766297565,2.77573333333334e-05,0.0356100408639813
"TMEM50A",32.3900653438918,1.15712301587301e-05,0.115002918855808
"PARS2",29.6268529605501,2.2714285714287e-06,0.224168126094571
"RTN4R",37.0535868301894,2.72666666666668e-05,0.0367775831873906
"PPARGC1B",28.9519525879423,0,0.712200817279626
"EXOSC10",43.0195266104468,4.73454910714286e-05,0.010507880910683
"RASA2",28.9519525879423,0,0.712200817279626
"NEURL1B",28.9519525879423,0,0.712200817279626
"FBXO45",52.2154061948471,7.82949237213406e-05,0.00233508464681842
"LRRC14B",28.9519525879423,0,0.712200817279626
"TLX1",100,0.000239117611111111,0
"PDIK1L",34.288334653618,1.796e-05,0.0747227086981903
"RNF220",28.9519525879423,0,0.712200817279626
"ABCA3",30.3966862533194,4.86236111111116e-06,0.176882661996497
"TMCC2",32.332585621382,1.13777777777777e-05,0.116754232340922
"GLS2",30.7067289288593,5.90583333333328e-06,0.163455925277291
"CTDSPL2",44.0112838060061,5.06833253968255e-05,0.00934033858727379
"AGO2",29.1516212264798,6.72000000000006e-07,0.270286047869235
"SRRM1",32.4008606253148,1.16075625000001e-05,0.114419147694104
"C1orf174",39.0456512563393,3.39711111111112e-05,0.0221833041447752
"TARDBP",46.5892565529065,5.93596888888888e-05,0.00817279626386458
"TRAK1",35.9245082194116,2.34666666666665e-05,0.0507880910683012
"MXRA7",42.9203387169805,4.70116666666669e-05,0.010507880910683
"CCDC77",38.7336996644764,3.2921214285714e-05,0.0256859311150029
"BID",29.1844088392707,7.82349206349231e-07,0.267950963222417
"OTUD6B",29.9766657087106,3.44875e-06,0.20373613543491
"IL1RN",35.3267898495833,2.1455e-05,0.0577933450087565
"NSMCE2",29.1217388452021,5.71428571428445e-07,0.272037361354349
"SLC26A5",27.5981724773224,-4.55624999999982e-06,0.818447168709866
"MOK",36.284545637473,2.46784e-05,0.0449503794512551
"LAMC1",28.9519525879423,0,0.712200817279626
"KLF13",31.9529432553813,1.01000625000001e-05,0.124927028604787
"SLC6A9",28.9519525879423,0,0.712200817279626
"RAB11FIP1",32.3750911392585,1.15208333333332e-05,0.115586690017513
"WDYHV1",53.7229716490672,8.336875e-05,0.00233508464681842
"FAM110D",45.9088834032731,5.70698412698412e-05,0.00817279626386458
"SLC12A6",32.7245112566992,1.26968333333333e-05,0.103911266783421
"HAUS4",21.6192803048248,-2.46786666666667e-05,0.955633391710449
"TMEM9",36.0389328377209,2.38517714285713e-05,0.049620548744892
"GTF3C5",28.9519525879423,0,0.712200817279626
"DNAJC9",32.0277367546145,1.03517857142859e-05,0.122591943957968
"FOXQ1",28.9519525879423,0,0.712200817279626
"SURF6",29.6171268019657,2.23869444444436e-06,0.224168126094571
"ITPRIP",33.3993741610434,1.49681358024694e-05,0.0939871570344425
"CENPC",28.9680634172423,5.42222222221778e-08,0.287799182720374
"CENPU",33.3949193679169,1.49531428571428e-05,0.0939871570344425
"RERE",29.9077737557562,3.21688888888882e-06,0.206071220081728
"SSU72",28.9519525879423,0,0.712200817279626
"MEAF6",32.8651060684226,1.31700158730157e-05,0.100992410974898
"LONRF3",29.3560438802206,1.36000000000003e-06,0.249854057209574
"E2F2",29.4594437108919,1.70800000000004e-06,0.235843549328663
"MMP25",27.5473082287217,-4.72743749999993e-06,0.820782253356684
"WDR76",47.935515250237,6.3890625e-05,0.00642148277875076
"TCTEX1D4",28.9519525879423,0,0.712200817279626
"ZCCHC4",29.0628442372151,3.73214285714241e-07,0.276707530647986
"MYO3A",30.5606110527222,5.41406249999987e-06,0.168709865732633
"APOLD1",28.9519525879423,0,0.712200817279626
"C8orf76",19.6407681234037,-3.13375e-05,0.971978984238179
"KIF1B",53.3088523559695,8.19750000000001e-05,0.00233508464681842
"TTC4",28.9519525879423,0,0.712200817279626
"JUN",26.1736736393874,-9.35050925925918e-06,0.869235259778167
"ANKRD17",28.9519525879423,0,0.712200817279626
"CBX5",34.1100590834952,1.73599999999998e-05,0.0799766491535319
"RRS1",47.972635360266,6.40155555555555e-05,0.00642148277875076
"EXO5",34.3253468786295,1.80845674603176e-05,0.0735551663747811
"ATG10",28.9519525879423,0,0.712200817279626
"POLR2K",28.9519525879423,0,0.712200817279626
"TCEANC2",46.0307191917118,5.7479888888889e-05,0.00817279626386458
"HBQ1",18.9777381683209,-3.35689777777779e-05,0.977816695855225
"GTPBP3",32.0787780336146,1.05235690235692e-05,0.121424401634559
"SPTBN5",33.9154003186181,1.67048611111111e-05,0.0858143607705779
"KLRG2",28.9519525879423,0,0.712200817279626
"SP1",37.1426715570454,2.75664880952382e-05,0.0361938120256859
"DSCC1",29.3127483846193,1.21428571428561e-06,0.25569176882662
"ARHGAP39",37.3441099815006,2.82444444444445e-05,0.0344424985405721
"USP24",30.3291313671409,4.63500000000017e-06,0.180385288966725
"RB1",31.702810662926,9.25822222222217e-06,0.131348511383538
"CASZ1",28.9519525879423,0,0.712200817279626
"DPP4",20.9889771224573,-2.68000000000002e-05,0.9620548744892
"RPRML",20.1485351490213,-2.96285714285716e-05,0.967892586106246
"SPESP1",35.8603740332508,2.32508181818181e-05,0.0507880910683012
"EIF1AD",28.9519525879423,0,0.712200817279626
"UBXN11",46.3480265967342,5.85478111111111e-05,0.00817279626386458
"ASCL2",30.7082970935965,5.9111111111112e-06,0.163455925277291
"DSEL",28.9519525879423,0,0.712200817279626
"RAD54B",29.0708029680241,3.99999999999956e-07,0.276707530647986
"ZC3H10",33.1760931800185,1.42166666666665e-05,0.0969060128429655
"TBC1D31",31.037776758379,7.02000000000003e-06,0.15061295971979
"RBM38",28.2510324714095,-2.359e-06,0.778166958552247
"ZMYM4",37.3193907531433,2.81612499999999e-05,0.0344424985405721
"MRPL34",27.1429012401212,-6.08850000000016e-06,0.837711617046118
"ADPRHL2",67.8550246556764,0.00013093125,0
"TMCC3",39.209780329833,3.45235000000002e-05,0.021015761821366
"TOPBP1",28.9519525879423,0,0.712200817279626
"SLC29A2",44.3770340599957,5.19142857142858e-05,0.00934033858727379
"ATF1",28.9519525879423,0,0.712200817279626
"INO80",31.7741185328326,9.49821428571429e-06,0.129013426736719
"PITPNM2",38.1545519613037,3.09720486111111e-05,0.028604786923526
"FOXA3",28.9519525879423,0,0.712200817279626
"PHKA1",36.9070046947551,2.67733333333333e-05,0.0385288966725044
"PLCB2",23.0790105771886,-1.97658333333335e-05,0.935201401050788
"PTMA",32.0814010026209,1.05323968253968e-05,0.121424401634559
"KATNBL1",28.9519525879423,0,0.712200817279626
"TJP1",28.9519525879423,0,0.712200817279626
"MTSS1L",64.2684668317476,0.000118860416666666,0
"LRRC20",32.8136127263667,1.29967111111111e-05,0.102159953298307
"ADORA2B",27.5220339525823,-4.81250000000011e-06,0.822533566841798
"RAD21",29.0729842498014,4.07341269841099e-07,0.276707530647986
"ZBED3",42.2356048903065,4.47071428571431e-05,0.0122591943957968
"HAUS2",35.5407205337307,2.21750000000001e-05,0.0525394045534151
"MTOR",28.9519525879423,0,0.712200817279626
"KLHL38",55.6713668140357,8.99262222222223e-05,0.00116754232340921
"UBR4",25.3333829800926,-1.21785714285716e-05,0.890251021599533
"DDB2",28.9519525879423,0,0.712200817279626
"GNA15",35.0137973736377,2.04016e-05,0.0630472854640981
"SAT2",28.8269710374593,-4.20634920635044e-07,0.724460011675423
"KAT7",28.9519525879423,0,0.712200817279626
"ZC4H2",28.9519525879423,0,0.712200817279626
"ALG10B",59.9985530866607,0.000104489696969697,0
"BOLA1",29.4038811582036,1.52100000000011e-06,0.243432574430823
"FAM111B",28.9519525879423,0,0.712200817279626
"PPM1E",25.3151309574372,-1.224e-05,0.890834792761238
"STIP1",28.9519525879423,0,0.712200817279626
"HSPBAP1",37.9017653974146,3.01212761904763e-05,0.031523642732049
"RMND5A",28.9519525879423,0,0.712200817279626
"YBX3",37.5403781786081,2.89050000000002e-05,0.0338587273788675
"FGD2",37.3027909040503,2.81053819444443e-05,0.0344424985405721
"SAMD12",38.8648996366314,3.33627777777776e-05,0.0233508464681844
"FAM76A",31.2038091476072,7.57879464285693e-06,0.145942790426153
"ZNF33A",28.9519525879423,0,0.712200817279626
"TROAP",25.0947175252854,-1.29818181818182e-05,0.897840046701693
"ITM2A",25.1516291498385,-1.27902777777777e-05,0.897256275539988
"CHRAC1",29.6056296783925,2.19999999999998e-06,0.224751897256276
"EIF3J",37.7521143753803,2.96176142857143e-05,0.0326911850554582
"FRZB",43.4516989579298,4.88e-05,0.00992410974897839
"CUZD1",22.5849679406996,-2.14285714285714e-05,0.942206654991243
"VPS13B",28.3195695239234,-2.12833333333307e-06,0.773496789258611
"OCA2",28.9519525879423,0,0.712200817279626
"ANK3",53.5015715486716,8.26236111111109e-05,0.00233508464681842
"NUDCD1",34.4108681574575,1.83723958333331e-05,0.0723876240513719
"DCUN1D1",41.4007045516559,4.1897222222222e-05,0.0140105078809106
"STIL",58.981241948794,0.000101065858906526,0
"PER2",28.9519525879423,0,0.712200817279626
"DDX23",46.4008014844119,5.87254290123458e-05,0.00817279626386458
"LIG1",27.4983210161718,-4.89230769230775e-06,0.824868651488616
"GPBP1L1",26.9953782058446,-6.58500000000006e-06,0.844716870986573
"TSPAN31",28.9519525879423,0,0.712200817279626
"LZIC",19.3234607183812,-3.24054222222223e-05,0.973146526561588
"HSD17B2",31.9562260844561,1.01111111111112e-05,0.124927028604787
"DCK",28.9519525879423,0,0.712200817279626
"CGNL1",27.7931613821442,-3.89999999999979e-06,0.80502043199066
"PPFIBP2",31.6988927271325,9.24503611111072e-06,0.131348511383538
"E2F7",54.4047990651568,8.5663492063492e-05,0.00175131348511381
"ZNF34",24.6354195811833,-1.45276203703706e-05,0.906012842965558
"MGAT2",51.4835168553774,7.58316944444444e-05,0.00291885580852302
"AGO4",28.9519525879423,0,0.712200817279626
"YTHDC1",42.2610822614652,4.47928888888889e-05,0.0122591943957968
"ZNF597",27.9608229530456,-3.33572222222256e-06,0.795680093403386
"NOM1",30.859204062306,6.41899999999995e-06,0.15820198482195
