"","Overall","importance","pvalue"
"SCYL2",30.7416955426088,1.0889999999999e-06,0.238326258338387
"MYZAP",34.1542788443934,8.18614285714281e-06,0.0903577926015767
"SLC29A2",61.0965341938807,6.42178989197528e-05,0
"LRRCC1",66.9854184227865,7.6465e-05,0
"REEP3",38.1874726892493,1.65739682539683e-05,0.0430563978168587
"PELI1",30.2180618367009,0,0.718010915706489
"SIVA1",41.5236753044204,2.35122623456789e-05,0.0212249848392966
"C11orf80",41.1177922507359,2.26681481481483e-05,0.0218314129775622
"DSC2",33.1998782408718,6.20127777777779e-06,0.115221346270467
"PCOLCE2",96.7427288812619,0.000138351220699054,0
"PPCS",52.1967891765864,4.57091165123455e-05,0.00545785324439052
"COPS5",30.2180618367009,0,0.718010915706489
"RCOR1",30.8351385945048,1.2833333333333e-06,0.231049120679199
"DSC1",30.2180618367009,0,0.718010915706489
"ACTR6",30.5615182881688,7.14285714285667e-07,0.250454821103699
"SP1",29.4640795211592,-1.5680555555555e-06,0.777440873256519
"HNMT",42.248654418717,2.502e-05,0.0200121285627654
"LRBA",32.8015327842359,5.37283950617273e-06,0.13280776228017
"KRT78",30.2180618367009,0,0.718010915706489
"PDCD4",29.1092470287821,-2.30599999999992e-06,0.799272286234081
"SREBF2",30.2180618367009,0,0.718010915706489
"TRPM4",51.3139470356952,4.38730714285716e-05,0.00667070952092175
"CDCA4",36.9352495481115,1.39697222222221e-05,0.0533656761673742
"FADS2",30.2180618367009,0,0.718010915706489
"POLR2K",28.7778527678898,-2.99519999999998e-06,0.815039417828987
"ACSL3",30.2180618367009,0,0.718010915706489
"PPOX",28.5894066085715,-3.38711111111123e-06,0.825348696179503
"MAPK12",32.9931041004483,5.77125000000001e-06,0.125530624620982
"OVOL2",27.9092831718494,-4.80156249999997e-06,0.859915100060643
"SPDEF",28.6678367973557,-3.22399999999989e-06,0.821103699211643
"TRIM24",31.5857817501018,2.84444444444443e-06,0.187386294724075
"HOOK1",30.2180618367009,0,0.718010915706489
"CHST10",29.7616769039904,-9.49142857142871e-07,0.758035172832019
"DSG2",26.8417475361913,-7.0217142857143e-06,0.894481503941783
"UGGT2",32.5318592589496,4.81200000000004e-06,0.140084899939357
"GTPBP10",30.0137052480775,-4.2500000000012e-07,0.737416616130989
"C15orf62",38.4765256388046,1.71751111111109e-05,0.0382049727107338
"DHCR24",42.2911775075609,2.51084351851849e-05,0.0200121285627654
"KLHL12",30.3556352264277,2.86111111110987e-07,0.269254093389933
"YY1",28.5615713712714,-3.44500000000014e-06,0.827774408732565
"SMARCC2",35.1803206475086,1.03200000000001e-05,0.0764099454214675
"TMEM109",50.0144273970683,4.1170462962963e-05,0.00788356579745297
"TBC1D13",30.2180618367009,0,0.718010915706489
"SLAIN2",48.5199974942944,3.80625000000001e-05,0.00848999393571859
"THUMPD3",33.4082685347084,6.63466666666657e-06,0.112189205579139
"KCTD10",63.248038276924,6.86923777777777e-05,0
"GRHL2",30.2180618367009,0,0.718010915706489
"UBE2D3",35.0126039931278,9.97120000000007e-06,0.0788356579745301
"SMNDC1",32.5837898744115,4.92000000000004e-06,0.13826561552456
"PLEKHF2",38.8283233118146,1.79067440476188e-05,0.0357792601576713
"SPOPL",29.7367419656139,-1.00100000000003e-06,0.759854457246816
"DHCR7",56.1563357287576,5.39437777777778e-05,0.000606428138265613
"LPL",37.390577398188,1.49166666666667e-05,0.0497271073377805
"SFN",42.2219801490268,2.49645255731918e-05,0.0200121285627654
"STK39",30.2180618367009,0,0.718010915706489
"ATP6V0A4",27.2458755698109,-6.18125000000003e-06,0.884172225591267
"GRHL1",48.1605283398225,3.73149126984127e-05,0.0090964220739842
"FAM86B2",32.4619773196242,4.6666666666666e-06,0.143117040630685
"ZNF341",39.852873941503,2.00374999999999e-05,0.0272892662219527
"REST",34.6097249961365,9.13333333333322e-06,0.0818677986658581
"VPS4B",37.2403819838696,1.46043055555554e-05,0.0509399636143117
"CDC42EP5",27.2689157734303,-6.13333333333332e-06,0.882352941176471
"LNX1",34.1154224711841,8.10533333333341e-06,0.0909642207398423
"NHLRC2",32.7572425377456,5.28072916666678e-06,0.134020618556701
"ZDHHC6",30.2180618367009,0,0.718010915706489
"FAM160B1",30.2180618367009,0,0.718010915706489
"LURAP1L",45.0172187121715,3.07777777777778e-05,0.0139478471801091
"ZFP91",30.9393203847833,1.49999999999983e-06,0.22680412371134
"KIF20B",30.2180618367009,0,0.718010915706489
"CORO7",44.6285672078732,2.99695e-05,0.0145542753183747
"SORL1",37.6742724271004,1.55066666666666e-05,0.0473013947847181
"ANLN",30.2180618367009,0,0.718010915706489
"C21orf91",33.7227773315918,7.28875000000007e-06,0.100060642813827
"TDRD1",30.1031112556003,-2.39062499999942e-07,0.728320194057004
"ZNF407",43.6946442412246,2.80272222222222e-05,0.0163735597331717
"GPR132",30.2180618367009,0,0.718010915706489
"DYM",44.3729611924167,2.94379166666667e-05,0.0145542753183747
"LGALS3",27.1022249089845,-6.48000000000004e-06,0.887204366282595
"HES1",38.6287621905293,1.74917171717173e-05,0.0369921164342025
"PDE12",34.1215724617669,8.11812345679019e-06,0.0909642207398423
"TTC9",33.3049282127359,6.41974999999984e-06,0.11340206185567
"ESYT1",29.9673844213229,-5.21333333333374e-07,0.742268041237113
"SRR",31.1190473296537,1.87377777777775e-06,0.213462704669497
"CIDEB",30.2180618367009,0,0.718010915706489
"TACC2",43.5932940585794,2.78164444444446e-05,0.0163735597331717
"RAB3D",37.2466225027889,1.46172839506173e-05,0.0509399636143117
"CHP1",26.3286083329671,-8.08888888888903e-06,0.909035779260158
"DNAJC10",29.6837962455287,-1.11111111111106e-06,0.762280169799879
"RPS17",36.9524796134268,1.40055555555556e-05,0.0527592480291086
"CAP1",27.3291046084586,-6.00815873015881e-06,0.879927228623408
"ANKRD9",30.2180618367009,0,0.718010915706489
"CALM1",30.2180618367009,0,0.718010915706489
"PPP1R15B",30.2180618367009,0,0.718010915706489
"MCU",28.1925274141694,-4.21249999999973e-06,0.845360824742268
"EHBP1L1",30.2180618367009,0,0.718010915706489
"FUT1",30.2180618367009,0,0.718010915706489
"ASAP2",32.7182229697192,5.19958024691358e-06,0.135839902971498
"PHACTR1",35.3286461322578,1.06284722222223e-05,0.0751970891449363
"NET1",30.2180618367009,0,0.718010915706489
"NPC1",47.0671957854993,3.50411111111111e-05,0.00970285021224981
"ZFYVE21",39.3151516519559,1.89192e-05,0.031534263189812
"PPM1A",27.4764051012018,-5.70181818181825e-06,0.872650090964221
"BMP8B",29.7345815291295,-1.00549305555564e-06,0.760460885385082
"NPR2",30.2180618367009,0,0.718010915706489
"MUCL1",37.5268151239369,1.51999999999999e-05,0.0485142510612493
"PI4K2B",30.6508169655505,9.00000000000123e-07,0.243784111582777
"VCPIP1",38.4758412700237,1.71736878306881e-05,0.0382049727107338
"ERBB3",30.2180618367009,0,0.718010915706489
"MKI67",30.2180618367009,0,0.718010915706489
"DIP2B",51.9414877667205,4.51781666666669e-05,0.00545785324439052
