"","Overall","importance","pvalue"
"LEPR",35.2860876228935,3.11231060606059e-05,0.0414201183431953
"ZSCAN20",100,0.00029605712962963,0
"IL12RB2",63.1508070558897,0.000145199229166667,0
"NRG2",27.481196946672,-8.29545454545722e-07,0.735341581495428
"ALPK3",33.6805127559092,2.45500000000001e-05,0.0559440559440559
"HP1BP3",33.7992523252034,2.5036111111111e-05,0.0543302850995159
"LDLRAP1",78.3521209488036,0.000207432296296296,0
"MAPRE2",27.9839771694341,1.22880000000003e-06,0.254975793437332
"NMU",27.5861195479029,-4.00000000000178e-07,0.724583109198494
"HMGCL",45.0166751819899,7.09594197530861e-05,0.00484131253362019
"GNG12",68.2630730569513,0.000166128472222222,0
"DEGS1",40.7465567059632,5.34778670634917e-05,0.0118343195266272
"SLC36A4",41.5306570866827,5.66879166666665e-05,0.00968262506724049
"MED18",27.6838252506365,0,0.7154384077461
"ARRDC2",39.2069915667764,4.7175e-05,0.0215169445938677
"CACNA1D",52.5605398782885,0.00010184345,0.00107584722969334
"PAFAH2",25.9837460230725,-6.95999999999986e-06,0.822485207100592
"PHF7",30.3653039812133,1.09777777777778e-05,0.137708445400753
"PCP2",33.0771800415293,2.20799999999999e-05,0.0677783754706832
"TMEM56",65.9419215418251,0.000156625847707231,0
"TMCC2",23.045136755189,-1.8990451388889e-05,0.921463152232383
"MAP7D1",28.2975015008304,2.51234567901237e-06,0.236686390532544
"ILDR2",47.4760083873107,8.10277499999998e-05,0.00430338891877358
"GJA4",27.6838252506365,0,0.7154384077461
"SLC16A8",29.2699362040566,6.4934222222226e-06,0.184507799892415
"NBL1",26.7960060984641,-3.6346666666669e-06,0.779451317912856
"IDH3A",17.2921258670451,-4.25428571428572e-05,0.970952124798279
"MAFF",26.0420204957743,-6.72142857142854e-06,0.817105970952125
"TMEM50A",27.6838252506365,0,0.7154384077461
"C8orf46",36.7351729899822,3.70555555555556e-05,0.034965034965035
"FES",60.7562707874348,0.000135396172839507,0
"PAQR7",27.6838252506365,0,0.7154384077461
"GUCA1B",18.82517486946,-3.62666666666664e-05,0.965034965034965
"SLC16A6",27.6838252506365,0,0.7154384077461
"VNN1",25.9642048825257,-7.04000000000016e-06,0.824636901559978
"ATRNL1",26.8197855391351,-3.5373153759819e-06,0.77891339429801
"NTN1",27.6838252506365,0,0.7154384077461
"MECR",33.7476854265385,2.48250000000001e-05,0.0543302850995159
"DPP4",23.4156890253651,-1.74734375000003e-05,0.913932221624529
"EN1",65.5836488601793,0.000155159105555556,0
"NRIP3",37.9753840433468,4.21328888888888e-05,0.0295857988165681
"KIAA1107",34.4858624306936,2.78470426587303e-05,0.0467993544916622
"IGF1R",29.5517140226455,7.64699999999996e-06,0.166756320602474
"NEURL1B",19.6218985318737,-3.30049382716051e-05,0.962883270575578
"OLFML2A",29.5631961389962,7.69400694444422e-06,0.166756320602474
"UPK3A",35.276954148788,3.10857142857144e-05,0.0414201183431953
"CCDC146",29.7231956730848,8.34903333333337e-06,0.160839160839161
"MTCH2",27.6838252506365,0,0.7154384077461
"GNB5",27.6838252506365,0,0.7154384077461
"MOB3C",24.4678878824045,-1.31658123456788e-05,0.884346422807961
"PPARGC1B",42.2009249925533,5.94319444444447e-05,0.0075309306078537
"PITHD1",27.1138753180241,-2.3333333333333e-06,0.761699838622916
"FOXQ1",28.0878522893974,1.65405714285716e-06,0.246369015599785
"TNIP1",25.2306735034378,-1.00430238095242e-05,0.854760623991393
"FCN3",27.6838252506365,0,0.7154384077461
"CA8",42.5530047783063,6.08733333333333e-05,0.0075309306078537
"OCA2",41.1772445098457,5.52410714285714e-05,0.0107584722969338
"PPCDC",29.0835197544571,5.73024691358026e-06,0.191500806885422
"PDE8A",27.6838252506365,0,0.7154384077461
"SDR16C5",27.4090279616984,-1.12500000000004e-06,0.741258741258741
"FAM81A",33.5054567051782,2.38333333333334e-05,0.057557826788596
"TPPP",27.6838252506365,0,0.7154384077461
"DPP8",39.6523233036469,4.89981555555559e-05,0.0166756320602475
"CXCL11",27.1514055033188,-2.17968750000019e-06,0.759548144163529
"CALML6",29.8170664269861,8.73333333333348e-06,0.159763313609467
"FAM76A",34.7992818243127,2.91301587301587e-05,0.0446476600322754
"FAM26F",29.3176817241256,6.68888888888874e-06,0.183431952662722
"VSTM2L",17.2004298404718,-4.2918253968254e-05,0.972565895642819
"DIS3L",20.9897632921031,-2.74050000000001e-05,0.952124798278644
"C8G",25.4040255201866,-9.33333333333342e-06,0.849381387842926
"RCC1",27.6838252506365,0,0.7154384077461
"KLHL31",28.8596034641194,4.81354999999994e-06,0.202797202797203
"TCP11L1",31.9977468884012,1.76608796296296e-05,0.085529854760624
"ART3",32.7608306884565,2.07848888888889e-05,0.0720817643894567
"LRP2",25.8587476668481,-7.47173412698432e-06,0.832167832167832
"DHDH",46.4873742519689,7.69803541666665e-05,0.00430338891877358
"LRRC75B",34.2633755224446,2.69361975308642e-05,0.048951048951049
"MARCO",25.1335900929777,-1.04404761904762e-05,0.857988165680473
"CRIM1",38.119337112041,4.27222222222221e-05,0.027972027972028
"ACO2",26.9440217567078,-3.02870138888878e-06,0.772458310919849
"IQGAP2",27.3907081424359,-1.19999999999987e-06,0.743410435718128
"CHAF1B",27.6838252506365,0,0.7154384077461
"SCIN",23.6580246123378,-1.64813333333333e-05,0.908015061861216
"TMOD2",26.6405726096989,-4.27100000000014e-06,0.786444324905863
"NCKIPSD",20.5599418832004,-2.91646574074076e-05,0.955890263582571
