"","Overall","importance","pvalue"
"EDC4",51.2062309521396,0.000149671037037037,0.0271049596309112
"RAC3",39.9531373872048,-6.70400000000004e-06,0.803344867358708
"SCAND1",42.453322517264,2.8039027777778e-05,0.13437139561707
"AAR2",29.673061948273,-0.0001495578,0.972895040369089
"FBXL8",40.4355720563742,0,0.70876585928489
"UQCC1",46.1803464945201,7.98304315476193e-05,0.0611303344867359
"MICB",50.7457441230392,0.000143272028218695,0.0288350634371396
"CAMK2N2",40.5794964803508,2e-06,0.242214532871972
"LRRC73",39.9689370906369,-6.48444444444429e-06,0.80161476355248
"CCDC136",100,0.000827718135642136,0
"SOGA1",45.8492372915441,7.52292777777779e-05,0.0657439446366782
"MAPK8IP2",40.437011300614,2.0000000000131e-08,0.29123414071511
"CCR10",47.9668243194085,0.000104655652667548,0.0438292964244521
"TTI1",40.4355720563742,0,0.70876585928489
"WIPF3",40.4355720563742,0,0.70876585928489
"ZNHIT2",41.4893722962882,1.46438e-05,0.163783160322953
"LAS1L",40.4355720563742,0,0.70876585928489
"TBCC",40.4355720563742,0,0.70876585928489
"MANBAL",40.5192281278106,1.16250000000018e-06,0.260668973471742
"GRAP2",53.7527191013959,0.0001850575,0.0201845444059977
"GPR87",40.4355720563742,0,0.70876585928489
"MAN1B1",51.2214606691625,0.000149882671957672,0.0271049596309112
"CCDC142",49.8059404796189,0.000130212345679012,0.0334486735870819
"CTNNBL1",40.4355720563742,0,0.70876585928489
"CNPY3",40.4355720563742,0,0.70876585928489
"KCTD3",40.4355720563742,0,0.70876585928489
"DNPH1",50.8117234449514,0.000144188888888889,0.0282583621683967
"CCL28",40.4560413077842,2.84444444444532e-07,0.28719723183391
"FAM69B",55.0499978885113,0.000203084722222222,0.0167243367935409
"MMP7",40.4355720563742,0,0.70876585928489
"RANBP10",40.5115321690285,1.05555555555559e-06,0.26239907727797
"PTPN14",55.4798001954127,0.000209057333333333,0.0155709342560554
"HOXA10",40.4355720563742,0,0.70876585928489
"DVL2",56.3635090090238,0.000221337511904762,0.013840830449827
"FNDC5",41.6198390758851,1.64567901234567e-05,0.160322952710496
"RPRD1B",41.1516440404656,9.95066666666666e-06,0.181084198385236
"TRABD",38.1977939911226,-3.10965714285716e-05,0.873125720876586
"TMEM198",60.6797320528111,0.000281316533179012,0.00288350634371393
"FBXL15",39.0283110219367,-1.95555555555555e-05,0.848327566320646
"TERF2IP",37.8447081425687,-3.60031166666668e-05,0.883506343713956
"AARS2",40.4405837104234,6.96428571427266e-08,0.29123414071511
"TM4SF1",40.4355720563742,0,0.70876585928489
"NKD2",40.4355720563742,0,0.70876585928489
"PIK3CB",40.4355720563742,0,0.70876585928489
"AARS",44.8739774093742,6.16768888888888e-05,0.0818915801614764
"WDR25",62.0277808198311,0.000300049264285714,0.00230680507497116
"DDX28",40.4355720563742,0,0.70876585928489
"THAP11",40.4355720563742,0,0.70876585928489
"VAC14",45.8148598434546,7.47515624999999e-05,0.066320645905421
"SLIT3",40.0113548167033,-5.89499999999976e-06,0.794117647058824
"POLR2C",40.4355720563742,0,0.70876585928489
"GRHL3",59.9355106835511,0.000270974697530864,0.00403690888119956
"DUS1L",34.4283880217831,-8.34769230769232e-05,0.941176470588235
"ANAPC2",37.044902527768,-4.71173611111111e-05,0.902537485582468
"NEBL",53.2476568141944,0.0001780390625,0.0213379469434832
"PHLDB3",40.4355720563742,0,0.70876585928489
"SNX18",42.926606391599,3.46158666666665e-05,0.118800461361015
"MED16",40.4355720563742,0,0.70876585928489
"CNST",40.4355720563742,0,0.70876585928489
"TBC1D8",40.1361569183488,-4.16072727272709e-06,0.776239907727797
"CHTF18",40.7948500628935,4.99259259259266e-06,0.214532871972318
"C2orf15",68.9829815521261,0.0003967,0.00115340253748564
"USP20",39.2507861981991,-1.6464e-05,0.840253748558247
"NSMF",40.4355720563742,0,0.70876585928489
"DPP7",40.4355720563742,0,0.70876585928489
"PRMT7",41.036856316543,8.35555555555567e-06,0.187427912341407
"PPP1R10",66.618878963887,0.000363848,0.0017301038062284
"MTHFSD",45.3456932071205,6.82319375e-05,0.0738177623990772
"C1orf35",41.646696084137,1.68299999999999e-05,0.159746251441753
"LHX2",40.4355720563742,0,0.70876585928489
"PARD6A",41.3710808122219,1.30000000000001e-05,0.168396770472895
"PKN3",40.4355720563742,0,0.70876585928489
"CDT1",47.9216965798868,0.000104028549382716,0.0438292964244521
"FXR2",40.4355720563742,0,0.70876585928489
"TMEM37",41.7498819003269,1.82638888888889e-05,0.154555940023068
"UNKL",49.4928160152328,0.000125861111111111,0.0346020761245674
"C11orf84",60.6438481028702,0.000280817883277217,0.00288350634371393
"COQ10A",48.2299253928017,0.00010831175308642,0.0415224913494809
"KIAA1755",41.6098074546917,1.63173888888888e-05,0.160899653979239
"SARDH",40.166913131618,-3.73333333333337e-06,0.773356401384083
"RNF187",40.526952643026,1.26984126984109e-06,0.255478662053056
"FAM192A",40.3695511689868,-9.17438271605064e-07,0.734140715109573
"CAMKK1",40.4355720563742,0,0.70876585928489
"HOXA5",53.0344862519945,0.000175076805555556,0.0213379469434832
"GSE1",39.3511734839228,-1.5069e-05,0.83679354094579
"EPB41L4B",66.7401592784913,0.000365533333333334,0.0017301038062284
"MPLKIP",40.4355720563742,0,0.70876585928489
"CBFA2T3",40.2824364692632,-2.12799999999991e-06,0.758938869665513
"UBE2S",40.4355720563742,0,0.70876585928489
"SKIV2L",40.4355720563742,0,0.70876585928489
"DXO",40.4355720563742,0,0.70876585928489
"FBXO31",41.3919618474005,1.32901666666667e-05,0.16724336793541
"ATP8B2",56.2031849109509,0.000219109619047619,0.0144175317185697
"MAGEF1",40.9854610824254,7.64135802469146e-06,0.189734717416378
"MOGAT2",45.2439971086663,6.68187499999999e-05,0.0743944636678201
"LBX2",41.6259686825697,1.65419682539683e-05,0.159746251441753
"MGAT4A",43.5928261535455,4.3873777777778e-05,0.100346020761246
"ZDHHC24",37.0687623987328,-4.67858000000001e-05,0.901960784313726
"ATP13A5",37.9751040704815,-3.41911111111113e-05,0.880046136101499
"ASH2L",41.1708499552652,1.02175555555557e-05,0.179930795847751
"BMP4",40.4355720563742,0,0.70876585928489
"WRAP53",40.4355720563742,0,0.70876585928489
"TRAPPC2L",35.1636204061126,-7.32600000000001e-05,0.931949250288351
"NSL1",40.1272859402164,-4.28400000000018e-06,0.77681660899654
"SGTA",59.6095036505856,0.000266444444444444,0.00403690888119956
"PABPC1",40.4355720563742,0,0.70876585928489
"RAB27B",40.4355720563742,0,0.70876585928489
"PPT2",40.4355720563742,0,0.70876585928489
"BRF2",40.4355720563742,0,0.70876585928489
"TTLL12",49.9930773234721,0.000132812833333333,0.0322952710495963
"AHCY",41.2697580177424,1.1592e-05,0.17358708189158
"NHLRC1",40.4931418259648,8.00000000000134e-07,0.268742791234141
"SRC",40.4355720563742,0,0.70876585928489
"SLC35D1",40.4355720563742,0,0.70876585928489
"KCNH2",58.263430985579,0.000247739173611111,0.00634371395617073
"TMEM208",40.4355720563742,0,0.70876585928489
"RALGAPB",33.0144689450825,-0.000103125,0.956170703575548
"TLR1",45.2910424047536,6.74725e-05,0.0738177623990772
"DHX38",49.18257892355,0.00012155,0.0351787773933102
"AMPD2",38.6024683500807,-2.54731428571429e-05,0.86159169550173
"SSC4D",40.4355720563742,0,0.70876585928489
"HOXA6",39.4856708581289,-1.32000000000001e-05,0.83275663206459
"MYLPF",40.4355720563742,0,0.70876585928489
"ARHGAP29",37.4406394655614,-4.16181285714288e-05,0.897347174163783
"IL12A",39.5305752784096,-1.25759999999999e-05,0.829296424452134
"ANXA3",42.9497878188208,3.49379999999999e-05,0.118223760092272
"NONO",40.9639037155261,7.34179292929293e-06,0.192041522491349
"DPYSL5",40.5918328595488,2.17142857142871e-06,0.240484429065744
"AMIGO1",40.4355720563742,0,0.70876585928489
"CRYL1",40.4157824480774,-2.75000000000025e-07,0.712226066897347
"RAVER1",40.4355720563742,0,0.70876585928489
"KIAA0895L",41.9899558353211,2.16000000000001e-05,0.14878892733564
"TERT",49.2487121963673,0.000122469,0.0351787773933102
"RBM23",40.4355720563742,0,0.70876585928489
"ECEL1",37.3381194457876,-4.30427654320991e-05,0.899077277970012
"NKD1",40.3618827512982,-1.02399999999991e-06,0.737024221453287
"ZNF689",50.8945919299566,0.000145340444444444,0.0282583621683967
"TIGD3",40.4355720563742,0,0.70876585928489
"RHOT2",40.4355720563742,0,0.70876585928489
"MRPL28",40.4355720563742,0,0.70876585928489
"NPB",41.7121816970464,1.77400000000001e-05,0.155132641291811
"WDR24",23.497946157712,-0.000235368333333333,0.989042675893887
"MED20",46.435413485096,8.33748888888888e-05,0.0594002306805075
"MFSD6L",40.4355720563742,0,0.70876585928489
"RNF166",44.8799049634284,6.17592592592593e-05,0.0818915801614764
"THTPA",34.3177805123822,-8.50139451659453e-05,0.942329873125721
"RPL15",44.7404175428743,5.98209166666668e-05,0.0836216839677048
"CLDN7",43.7768719094459,4.6431311111111e-05,0.0986159169550173
"DHX16",40.1123717717818,-4.49125000000006e-06,0.779123414071511
"ABCC10",40.6178763267445,2.53333333333328e-06,0.238754325259516
"FLT1",38.4288178212663,-2.7886222222222e-05,0.86562860438293
"NSUN5",40.4355720563742,0,0.70876585928489
"WDR77",30.3446708803172,-0.000140225,0.970588235294118
"CDCP1",40.4355720563742,0,0.70876585928489
"CFAP20",46.7469245744577,8.77037037037038e-05,0.0542099192618224
"DLL1",42.1725565214694,2.41374523809526e-05,0.141291810841984
"ADCY1",40.4985389918639,8.74999999999737e-07,0.268742791234141
"HEATR3",40.3516161423879,-1.16666666666676e-06,0.740484429065744
"MLYCD",37.7769795360471,-3.69442857142859e-05,0.884659746251442
"CLCN2",40.4355720563742,0,0.70876585928489
"ADAM33",60.7267569707104,0.00028197,0.00288350634371393
"SLC26A7",40.4355720563742,0,0.70876585928489
"MON1B",40.4588558298531,3.23555555555632e-07,0.283737024221453
"STOM",40.4355720563742,0,0.70876585928489
"C10orf10",40.4355720563742,0,0.70876585928489
"ZNF33B",34.7059407378671,-7.962e-05,0.938869665513264
"CCDC87",40.4355720563742,0,0.70876585928489
"ZNF319",40.4355720563742,0,0.70876585928489
"RBM39",35.3630356913335,-7.04888888888888e-05,0.929642445213379
"CES2",41.3060269725845,1.20960000000001e-05,0.172433679354095
"F2RL1",47.0784038450126,9.23099999999999e-05,0.0519031141868512
"CCDC94",40.4355720563742,0,0.70876585928489
"SOX12",40.4355720563742,0,0.70876585928489
"CDS1",23.4355480663742,-0.000236235428571429,0.98961937716263
"CCNE1",47.1643373871951,9.35041481481482e-05,0.0507497116493656
"ACKR3",40.4355720563742,0,0.70876585928489
"RHBDL1",40.5327370341611,1.35022222222214e-06,0.254901960784314
"HOXD11",40.4147829729109,-2.88888888888783e-07,0.713956170703576
"PDF",40.4355720563742,0,0.70876585928489
"ARL2",38.9940969880369,-2.00310000000001e-05,0.849480968858132
"PLEKHS1",40.4355720563742,0,0.70876585928489
"FGF18",24.6731157321518,-0.000219037962962963,0.98558246828143
"SURF2",62.413799089557,0.000305413444444445,0.00230680507497116
