"","Overall","importance","pvalue"
"TRIM24",84.4241036635668,0.000255992925925926,0
"ACAA2",50.0425454919904,9.06921626984127e-05,0.00241837968561065
"GALNT1",55.6450694143481,0.000117628157738095,0.000604594921402635
"FADS2",62.8342144958377,0.000152192361111111,0
"ZNF433",33.3430936418793,1.04040000000001e-05,0.133615477629988
"KIDINS220",72.8806153454698,0.000200493770833333,0
"RPS17",60.6089125692382,0.000141493482804233,0.000604594921402635
"IL12RB2",64.2132406520009,0.0001588224875,0
"DSC1",54.2210877601406,0.000110781892857143,0.00120918984280527
"ACSS2",88.9688077450511,0.00027784310064935,0
"NET1",41.7362618264781,5.07569444444445e-05,0.0181378476420798
"NPC1",49.5357690657074,8.82556666666665e-05,0.00241837968561065
"EPHB4",31.1791246181867,0,0.741233373639661
"MBOAT2",21.8528609220742,-4.48391111111111e-05,0.975816203143894
"DISC1",31.1791246181867,0,0.741233373639661
"PIP5K1B",43.1776021024953,5.76866666666669e-05,0.0139056831922612
"NAMPT",36.2267662920256,2.42682142857142e-05,0.0707376058041113
"YWHAG",31.1791246181867,0,0.741233373639661
"HNMT",32.0259571163363,4.07142857142873e-06,0.194074969770254
"PDE3B",100,0.000330879222222222,0
"EGFR",55.9699000404202,0.000119189888888889,0.000604594921402635
"STK11",44.5473915603674,6.42723845598847e-05,0.0108827085852479
"VWDE",47.3169994146126,7.75881944444443e-05,0.00665054413542931
"SPDEF",39.6670109351662,4.08083333333333e-05,0.032043530834341
"SEC23B",24.0012535101868,-3.451e-05,0.960701330108827
"PARD3B",31.1791246181867,0,0.741233373639661
"EEF2",68.5681319223948,0.000179760074074074,0
"MMP15",31.1791246181867,0,0.741233373639661
"C11orf80",32.4877532008535,6.29166666666658e-06,0.172309552599758
"TRAPPC8",36.9661228703442,2.78229166666666e-05,0.0592503022974608
"TOP1",24.9670387370238,-2.98666666666667e-05,0.949214026602177
"ASF1A",38.8379895281981,3.68225374999998e-05,0.0368802902055623
"GGCT",31.1791246181867,0,0.741233373639661
