"","Overall","importance","pvalue"
"AKR7A2",4.09276529304407,0,0.747061829330608
"PIK3AP1",5.93684357716811,0.000206604,0.00664282064384258
"TBX4",5.28038867862411,0.000133057118055556,0.0148185998978028
"TIMM21",6.23069180077667,0.000239525714285715,0.0051098620337251
"ATP5F1",5.21882730696969,0.00012616,0.0148185998978028
"RBM22",4.09276529304407,0,0.747061829330608
"STX16",4.96582558711215,9.78145833333335e-05,0.0240163515585079
"XRCC1",4.09276529304407,0,0.747061829330608
"PDCD7",4.09276529304407,0,0.747061829330608
"NBL1",7.58233429494916,0.000390958952380953,0.00153295861011749
"FUT6",4.03824137509014,-6.10866666666676e-06,0.816555952989269
"AAGAB",4.09276529304407,0,0.747061829330608
"MRTO4",5.00531843570216,0.000102239222222222,0.0235053653551354
"APOLD1",8.45751349252235,0.00048901093015873,0
"ABCD3",3.69511034678208,-4.45518518518517e-05,0.933060807358201
"RPA2",4.09276529304407,0,0.747061829330608
"LIG1",4.33504356909033,2.71440000000001e-05,0.0955544200306592
"CLPX",4.04032629730997,-5.87507936507925e-06,0.814001021972407
"PARP16",4.09276529304407,0,0.747061829330608
"PITHD1",4.08562476029882,-8.00000000000134e-07,0.758814512008176
"TRAF2",4.29519939637185,2.268e-05,0.107818088911599
"PPP1R8",4.41194710675666,3.576e-05,0.0771589167092489
"C1orf109",4.21486840298781,1.36800000000001e-05,0.140010219724067
"D2HGDH",6.98552453030007,0.0003240945,0.00357690342360761
"MTCH2",4.49852804977411,4.54602222222222e-05,0.0669391926417987
"PHLDB3",4.09276529304407,0,0.747061829330608
"CEP85",4.09276529304407,0,0.747061829330608
"C15orf61",3.91219014558267,-2.02310000000001e-05,0.885539090444558
"IRF2BP1",4.57485042741422,5.40111111111115e-05,0.0592743995912111
"GPN2",4.48769540823241,4.42465714285714e-05,0.0679611650485437
"CCDC85B",3.79826822310932,-3.29944087301586e-05,0.917731221257026
"KCNJ2",4.44241878929755,3.91739393939392e-05,0.0751149718957588
"DDTL",4.1768363883886,9.4190277777777e-06,0.160449667858968
"PARS2",3.82164819037293,-3.0375e-05,0.912621359223301
"ZNF609",4.09276529304407,0,0.747061829330608
"CCDC9",4.39250006417311,3.35812222222223e-05,0.0817577925396015
"NSMCE2",4.09276529304407,0,0.747061829330608
"BBS1",4.09276529304407,0,0.747061829330608
"KCNJ15",3.14243893051175,-0.0001064712,0.978027593254982
"SCAF1",4.09276529304407,0,0.747061829330608
"COL9A2",3.60771780807371,-5.43430023809524e-05,0.941236586612161
"FEM1B",4.09276529304407,0,0.747061829330608
"RSRP1",4.09276529304407,0,0.747061829330608
"NEURL1",3.71820354751155,-4.1964571428571e-05,0.929994890137966
"MED25",4.09276529304407,0,0.747061829330608
"RYR1",4.1684549401437,8.48000000000004e-06,0.168625447112928
"TRIM41",1.1702722186377,-0.000327425773809524,0.997445068983137
"SURF2",4.09276529304407,0,0.747061829330608
"MTFR1L",3.59179883329774,-5.61265079365081e-05,0.944813490035769
"ZC4H2",5.27874827759023,0.000132873333333333,0.0148185998978028
"MRPL41",4.46362340669819,4.15496296296296e-05,0.0710270822687787
"MED30",4.09276529304407,0,0.747061829330608
"PNKP",3.98432440241957,-1.21493333333333e-05,0.855901890648953
"ADPRHL2",5.84982874761232,0.000196855166666667,0.00766479305058765
"TMED5",4.09276529304407,0,0.747061829330608
"MYO1F",3.43685635658771,-7.34857142857144e-05,0.963719979560552
"TTC4",4.09276529304407,0,0.747061829330608
"OPA3",4.09276529304407,0,0.747061829330608
"NELFB",4.25272393733674,1.79212000000002e-05,0.122636688809402
"MED8",4.09276529304407,0,0.747061829330608
"TOMM22",4.54372602424713,5.05240432098764e-05,0.0623403168114461
"CSRP2",4.06638176835587,-2.95591666666684e-06,0.786407766990291
"PPP1R15A",4.06946930496269,-2.61e-06,0.780786918753194
"RCC2",5.67353820079126,0.000177104198148148,0.00919775166070513
"MAP7D3",3.81208393361518,-3.14465454545454e-05,0.915176290240164
"WDR77",4.09276529304407,0,0.747061829330608
"SAE1",4.94036884406984,9.49624999999998e-05,0.025038323965253
"PNRC2",4.19138839191748,1.10493827160494e-05,0.149718957588145
"CELSR2",4.5808171359154,5.46795999999998e-05,0.0577414409810935
"KRT6C",3.95195051621547,-1.57763888888889e-05,0.871231476750128
"CD58",4.09276529304407,0,0.747061829330608
"AGBL5",4.09276529304407,0,0.747061829330608
"MYPOP",4.21934730215227,1.41818e-05,0.13847726111395
"SNX24",3.92746195999157,-1.85200000000001e-05,0.880940214614205
"DRAP1",4.09276529304407,0,0.747061829330608
"DDAH1",3.13569112706749,-0.0001072272,0.978538579458355
"AMN",4.71749418653399,6.99924126984128e-05,0.0413898824731732
"TMCC2",4.09276529304407,0,0.747061829330608
"MCM2",4.53286726844227,4.93074666666666e-05,0.0628513030148186
"JADE1",4.09276529304407,0,0.747061829330608
"PRDX3",4.09276529304407,0,0.747061829330608
"ACIN1",4.13084813435206,4.26666666666664e-06,0.201839550332141
"DHRS4",4.09276529304407,0,0.747061829330608
"TXNL4A",7.70361369343693,0.000404546666666667,0.00102197240674506
"PABPN1",3.36395675931649,-8.16531269841272e-05,0.968829841594277
"USP48",4.09276529304407,0,0.747061829330608
"FAM114A1",4.09276529304407,0,0.747061829330608
"CSTF3",4.5379886667927,4.98812500000001e-05,0.0628513030148186
"TBC1D17",4.09276529304407,0,0.747061829330608
"PADI3",5.41292638102509,0.000147906172839506,0.0122636688809402
"MTA1",4.57563145151868,5.40986142857143e-05,0.0592743995912111
"SNIP1",4.0845965235835,-9.15200000000116e-07,0.761369443025038
"EEFSEC",6.87697713381265,0.000311933234126984,0.00408788962698003
"KCNS1",4.09276529304407,0,0.747061829330608
"PHF5A",4.09276529304407,0,0.747061829330608
"NUDT9",4.09276529304407,0,0.747061829330608
"RMND5A",4.09276529304407,0,0.747061829330608
"EYA3",4.1032643240474,1.17627425044087e-06,0.235053653551354
"FAM184A",4.05450004229343,-4.28710317460323e-06,0.799693408277977
"NPR3",8.86254846568264,0.000534389614087302,0
"EFHD2",5.02199557318943,0.000104107669642857,0.0235053653551354
"ATPIF1",4.78989252974066,7.81036666666668e-05,0.033214103219213
"HP1BP3",4.13293078973609,4.49999999999995e-06,0.198773633111906
"GNL2",4.09276529304407,0,0.747061829330608
"ARHGAP39",4.77302004590803,7.62133333333332e-05,0.0342360756259581
"IMMP1L",4.09276529304407,0,0.747061829330608
"ANAPC2",4.09276529304407,0,0.747061829330608
"ARRDC1",4.25068902186869,1.7693215277778e-05,0.123658661216147
"DLX5",4.09276529304407,0,0.747061829330608
"CISD2",3.52152267342422,-6.40000000000001e-05,0.954011241696474
"FTL",4.09276529304407,0,0.747061829330608
"RABL6",4.09276529304407,0,0.747061829330608
"NRARP",4.09276529304407,0,0.747061829330608
"GRPEL2",4.09276529304407,0,0.747061829330608
"SRRM1",4.10056398095396,8.73737373737304e-07,0.240163515585079
"ITFG2",4.01115920452695,-9.14285714285712e-06,0.838017373530915
"TTF2",5.13895096469404,0.0001172109375,0.0173735309146653
"YPEL1",4.09276529304407,0,0.747061829330608
"THAP7",4.09276529304407,0,0.747061829330608
"ACE",4.55778951285637,5.20996666666667e-05,0.0613183444047011
"PIN4",3.53678754564851,-6.22897777777778e-05,0.951967296882984
"ITGA2",3.52349375798411,-6.37791666666667e-05,0.953500255493102
"YDJC",4.08729513492316,-6.12857142856971e-07,0.755748594787941
"TMEM143",4.74196027806099,7.27335069444446e-05,0.0388349514563107
"ZNF326",4.09276529304407,0,0.747061829330608
"MUL1",4.09598845018602,3.61111111111034e-07,0.249361267245784
"SDHB",4.09276529304407,0,0.747061829330608
"CSNK1G1",4.14506672018103,5.8596666666666e-06,0.186509964230966
"PTBP2",4.02431758417208,-7.66863888888869e-06,0.827286663260092
"AP2A2",4.28495652174851,2.15324246031745e-05,0.111394992335207
"NEO1",4.09276529304407,0,0.747061829330608
"EVC2",4.29740956126919,2.29276190476193e-05,0.107307102708227
"LIN7C",7.56386014759086,0.000388889174338624,0.00153295861011749
"FAM96A",8.21445008949186,0.000461778967312008,0
"DHDDS",4.23671843318827,1.61280000000001e-05,0.127746550843127
"PHPT1",6.00887965167975,0.000214674666666667,0.00562084823709763
"GNAI3",4.01152137483501,-9.1022808641974e-06,0.83699540112417
"SARS",4.06744885876546,-2.83636363636353e-06,0.782319877363311
"AASDH",4.10982323237994,1.9111111111112e-06,0.227388860500766
"DPP4",4.09276529304407,0,0.747061829330608
"LAMTOR5",4.57462728576593,5.39861111111111e-05,0.0592743995912111
"RBM38",4.09276529304407,0,0.747061829330608
"EML6",3.82560206203248,-2.99320222222221e-05,0.912110373019928
"PIF1",4.02247567383303,-7.87499999999985e-06,0.82881962187021
"CDC42EP5",4.09276529304407,0,0.747061829330608
"NCBP2",3.93031817308967,-1.82e-05,0.879407256004088
"CHCHD3",4.09276529304407,0,0.747061829330608
"ABCA12",3.50937092235448,-6.53614391534392e-05,0.955033214103219
"ZFPL1",4.09276529304407,0,0.747061829330608
"EIF1AD",3.87592739631923,-2.42937499999998e-05,0.895247828308636
"PIH1D1",4.08750751795626,-5.89062500000015e-07,0.754726622381196
"BCKDHA",4.09276529304407,0,0.747061829330608
"RTFDC1",4.09276529304407,0,0.747061829330608
"SURF6",4.01115920452695,-9.14285714285712e-06,0.838017373530915
"ADD3",4.09276529304407,0,0.747061829330608
"SEC22A",3.59814740603002,-5.54152363315699e-05,0.942769545222279
"CTHRC1",5.87373741890514,0.00019953380952381,0.00766479305058765
