"","Overall","importance","pvalue"
"SEC61B",38.5212200076398,1.18875000000001e-05,0.0574525745257453
"ERAL1",25.6190395645142,-8.95999999999986e-06,0.922493224932249
"CDC37",35.2425282487925,6.58975000000006e-06,0.100813008130081
"PCGF1",49.9120286938771,3.0292907142857e-05,0.00650406504065038
"OASL",36.1237524998793,8.01364285714268e-06,0.0894308943089431
"PTEN",31.1642385941535,0,0.695392953929539
"TUBB3",43.0930179352941,1.92746666666666e-05,0.0254742547425474
"CMPK2",30.0966640041839,-1.72499999999998e-06,0.808672086720867
"PSMD7",31.923158249709,1.22627160493827e-06,0.21680216802168
"UGT8",100,0.00011122566005291,0
"RNF181",35.5631487479323,7.10781250000014e-06,0.0959349593495935
"PSMD3",27.759758698836,-5.50099999999976e-06,0.882384823848238
"SAMHD1",31.1642385941535,0,0.695392953929539
"MED31",31.1642385941535,0,0.695392953929539
"CDC123",31.61249958342,7.24305555555471e-07,0.246070460704607
"TMEM11",30.4597807147818,-1.1382716049384e-06,0.776151761517615
"ZNF830",26.7082750881933,-7.2000000000001e-06,0.905691056910569
"PSMA6",40.2274483176959,1.46444444444445e-05,0.0433604336043361
"SLC24A1",31.1642385941535,0,0.695392953929539
"DYNLRB1",56.3209817684768,4.06485714285714e-05,0.00162601626016257
"COPRS",31.1642385941535,0,0.695392953929539
"GADD45GIP1",35.1964336836229,6.5152698412696e-06,0.101355013550136
"VCP",53.7158001505935,3.64390873015872e-05,0.00271002710027102
"ATP5C1",31.1642385941535,0,0.695392953929539
"GRINA",35.6422068581676,7.23555555555544e-06,0.0937669376693767
"VAC14",31.1642385941535,0,0.695392953929539
"NDUFB1",42.9529232678453,1.90483000000001e-05,0.0265582655826558
"NKIRAS2",38.7459135146373,1.22505625e-05,0.0547425474254742
"SNRPB2",34.8077844680448,5.88728571428576e-06,0.110027100271003
"NNT",31.1642385941535,0,0.695392953929539
"NSUN5",36.0929605739327,7.96388888888888e-06,0.0894308943089431
"NECAB3",32.7400543303044,2.54622222222212e-06,0.173983739837398
"TMEM199",31.1642385941535,0,0.695392953929539
"RCOR2",34.0503983782167,4.66349206349204e-06,0.130623306233062
"ZC2HC1A",30.9686407447835,-3.16049382715899e-07,0.726287262872629
"FXR2",31.1642385941535,0,0.695392953929539
"CHMP5",38.0056062851548,1.10543650793649e-05,0.0607046070460705
"FLCN",52.658460474596,3.47306249999999e-05,0.00379403794037936
"MRPL53",31.7224718000391,9.0200000000018e-07,0.234146341463415
"NANS",40.7655196640144,1.55138666666668e-05,0.0395663956639566
"WRAP53",31.2049081023428,6.57142857143356e-08,0.299186991869919
"ALG10B",30.2571317375829,-1.4657142857144e-06,0.797831978319783
"COQ5",31.1642385941535,0,0.695392953929539
"CCDC94",53.2583909778725,3.57000000000001e-05,0.00325203252032524
"FARSA",33.0902050428407,3.112e-06,0.155013550135501
"PNPLA3",37.5035859037227,1.02431944444445e-05,0.0661246612466124
"SIRT6",34.6889156600713,5.69521604938283e-06,0.114363143631436
"CLDND2",30.3898911582288,-1.25120000000001e-06,0.785365853658537
"PHF23",48.2293410543403,2.7574e-05,0.010840108401084
"FBXL15",47.5432641335813,2.64654285714285e-05,0.0119241192411924
"KPNB1",52.6670131051679,3.47444444444445e-05,0.00379403794037936
"KRI1",31.1642385941535,0,0.695392953929539
"ARHGEF1",56.9781921796187,4.17104999999998e-05,0.00162601626016257
"KREMEN2",32.5429742159821,2.22777777777772e-06,0.181571815718157
"GNB1L",41.4262606599978,1.65815000000002e-05,0.035230352303523
"NOP10",31.1642385941535,0,0.695392953929539
"EIF2S2",31.2880153582079,1.99999999999978e-07,0.286720867208672
"FAM109B",31.2703943605474,1.71527777777847e-07,0.289430894308943
"GCDH",31.1642385941535,0,0.695392953929539
"PLIN2",55.0537987273081,3.86010416666667e-05,0.00216802168021679
"IFIT1",33.5036194347826,3.78000000000012e-06,0.142005420054201
"KCNH2",31.1642385941535,0,0.695392953929539
"FRA10AC1",33.8437763197026,4.32962962962979e-06,0.133875338753388
"IFIT3",31.0147136844931,-2.41604166666631e-07,0.717073170731707
"MRPL10",38.6955045679154,1.21691111111113e-05,0.0552845528455285
"TXNDC17",31.1642385941535,0,0.695392953929539
"TUBG1",25.5904161878266,-9.00624999999988e-06,0.923577235772358
"AGO4",39.1187523361126,1.2853e-05,0.051490514905149
"ZNF462",4.68166945285833,-4.2790857142857e-05,0.998915989159892
"EEF1A1",31.1642385941535,0,0.695392953929539
"SNX7",31.1642385941535,0,0.695392953929539
"MVD",31.1642385941535,0,0.695392953929539
"RPS3",30.1014087801392,-1.71733333333335e-06,0.808130081300813
"NFS1",31.1642385941535,0,0.695392953929539
"CKS2",31.1642385941535,0,0.695392953929539
"VAT1",31.1642385941535,0,0.695392953929539
"HINT2",43.6197912136493,2.01258333333334e-05,0.0238482384823848
"RNFT1",33.5083150929743,3.78758730158713e-06,0.141463414634146
"GOLGA1",31.1642385941535,0,0.695392953929539
"CDK6",25.7335330712645,-8.77499999999998e-06,0.920867208672087
"TTC7B",31.1642385941535,0,0.695392953929539
"DECR2",31.1642385941535,0,0.695392953929539
"TLX3",31.1642385941535,0,0.695392953929539
"EXOSC4",30.1795944361004,-1.5909999999999e-06,0.802168021680217
"CDK5RAP1",37.767233849402,1.06691999999999e-05,0.0644986449864499
"SP110",31.6043337552359,7.11111111111107e-07,0.24769647696477
"CARM1",31.1642385941535,0,0.695392953929539
"PTCD3",29.4158688802614,-2.82503703703707e-06,0.834688346883469
"GPT2",42.0018011238292,1.75114652777777e-05,0.0314363143631436
"TUBB4A",30.2823291502656,-1.42499999999979e-06,0.795663956639566
"AHSA1",31.1642385941535,0,0.695392953929539
"SLC2A4",48.7817980112366,2.84666666666666e-05,0.0102981029810298
"FAM171A2",31.7710110654491,9.80430335097093e-07,0.231436314363144
"ZDHHC11",34.1348809314602,4.79999999999992e-06,0.1289972899729
"MAEA",31.1642385941535,0,0.695392953929539
"CTBP1",31.1642385941535,0,0.695392953929539
"GATA2",28.9205096861908,-3.62544444444457e-06,0.856368563685637
"SCO1",31.1642385941535,0,0.695392953929539
"HEY2",30.8212738104193,-5.54166666666633e-07,0.742005420054201
"LRRC37B",34.4525746258666,5.31333333333328e-06,0.120867208672087
"PARP12",41.3700748503143,1.64907142857142e-05,0.035230352303523
"CLPP",30.3550011140096,-1.30757575757579e-06,0.787533875338753
"ZC3HAV1",31.1642385941535,0,0.695392953929539
"STAT1",31.1642385941535,0,0.695392953929539
"SOSTDC1",31.1642385941535,0,0.695392953929539
"LONP1",34.5990437966644,5.54999999999994e-06,0.117073170731707
"ZAP70",31.1642385941535,0,0.695392953929539
