"","Overall","importance","pvalue"
"RNF138",61.3462264120556,0.000132625714285714,0
"ZNF136",76.2269371647231,0.000191207827160494,0
"CCNT2",66.3592361371074,0.000152360840277778,0
"ZNF93",32.2512231312859,1.80850317460315e-05,0.0665150653780557
"ENG",52.1544162920222,9.64395624999999e-05,0.00227401932916427
"C3orf67",42.4106266953405,5.80803878968252e-05,0.0113700966458214
"SLC38A2",43.1027178923109,6.0805e-05,0.0102330869812394
"ZNF236",38.5816930290715,4.3006711111111e-05,0.0198976691301876
"ESCO1",37.3080103034801,3.79925000000001e-05,0.0272882319499715
"RANBP9",30.5011099415374,1.11952178030306e-05,0.102899374644684
"RIOK3",43.5902706533131,6.27243888888891e-05,0.00909607731665718
"TRAPPC8",47.439765954176,7.7879012345679e-05,0.00454803865832865
"ADAMTSL3",36.2347949759222,3.37674853146852e-05,0.030699260943718
"INTS6",27.6573614018405,0,0.743604320636725
"WDR33",35.7413245831237,3.18248000000001e-05,0.0329732802728823
"SAP130",27.0275322526237,-2.47950000000041e-06,0.805571347356453
"BAZ1B",44.5408788883366,6.64667261904766e-05,0.00795906765207499
"FBLN1",27.6573614018405,0,0.743604320636725
"RANGRF",27.7998477048809,5.60937499999969e-07,0.242183058555998
"ENTPD5",24.4098331660335,-1.27848104056436e-05,0.909039226833428
"LANCL2",27.6573614018405,0,0.743604320636725
"ZNF440",27.6573614018405,0,0.743604320636725
"DLK1",41.9819020812986,5.63925925925925e-05,0.0125071063104036
"ZNF69",59.4300130018902,0.000125082,0
"FCER1G",62.4479061526459,0.000136962787157287,0
"MFAP1",31.1287496582728,1.36660984848487e-05,0.0852757248436612
"COG3",27.6919073846166,1.35999999999914e-07,0.252416145537237
"MIB1",41.8468980364082,5.58611111111111e-05,0.0125071063104036
"HSF2",62.3891376988063,0.000136731428571428,0
"SPIN4",27.6573614018405,0,0.743604320636725
"PLXDC2",27.7363881598252,3.11111111111151e-07,0.2484366117112
"PSEN2",55.8377388223287,0.00011094,0
"NCOA6",28.6916240969648,4.0716666666667e-06,0.165434906196703
"CEP76",18.7849950270828,-3.49285714285712e-05,0.969869243888573
"REV3L",28.0805133134518,1.66585679012354e-06,0.213189312109153
"IMPACT",35.6258449369559,3.1370181818182e-05,0.0335417851051734
"DHPS",31.0992589504939,1.355e-05,0.0858442296759523
"RBM48",27.0536798783739,-2.37656250000007e-06,0.805002842524161
"ZNF100",27.6573614018405,0,0.743604320636725
"SLC27A5",56.4506834107847,0.000113353029166666,0
"EP300",10.564522798127,-6.72907777777776e-05,0.993177942012507
"UBXN4",26.7707997173896,-3.49019999999989e-06,0.822626492325185
"SULT1E1",27.6573614018405,0,0.743604320636725
"N4BP2",34.6773083136181,2.7636e-05,0.0392268334280841
"CKLF",39.8339798871352,4.79366913580248e-05,0.0170551449687323
"ASIC4",56.1050624093065,0.000111992394660894,0
"SF3B2",38.5504302488772,4.28836363636365e-05,0.0198976691301876
"ST6GALNAC4",27.6573614018405,0,0.743604320636725
"MED21",22.3278936108135,-2.09809523809523e-05,0.943149516770893
"ZNF44",57.7423923011517,0.000118438205357143,0
"FRYL",29.5142158160149,7.31003086419757e-06,0.131324616259238
"RNASEH1",54.9635718397514,0.000107498595238096,0.000568504832291095
"CTCF",29.2437586535457,6.24530000000001e-06,0.144968732234224
"CABLES1",29.4100619985717,6.89999999999991e-06,0.135304150085276
"RBM39",27.6573614018405,0,0.743604320636725
"IDUA",27.6573614018405,0,0.743604320636725
"ADAMTS3",48.9607174471347,8.38666666666665e-05,0.00341102899374646
"EREG",27.6573614018405,0,0.743604320636725
"SNAP23",26.9907001386344,-2.62450000000025e-06,0.80955088118249
"PPP4R2",23.9130957844031,-1.47403571428573e-05,0.92040932347925
"ZRANB3",41.7271442742193,5.53896666666667e-05,0.0130756111426947
"RBM25",31.91499213336,1.67613636363637e-05,0.0710631040363843
"SALL4",20.8148860094227,-2.69373333333331e-05,0.959067652075043
"BAG5",27.6573614018405,0,0.743604320636725
"FOLH1",27.6573614018405,0,0.743604320636725
"COL18A1",27.6573614018405,0,0.743604320636725
"POLR2D",20.8692169055371,-2.67234444444444e-05,0.957362137578169
"MYCN",27.6573614018405,0,0.743604320636725
"CYTH3",27.6573614018405,0,0.743604320636725
"CYP51A1",31.8438391858807,1.648125e-05,0.0722001137009665
"CCDC117",27.6573614018405,0,0.743604320636725
"SERINC1",27.6573614018405,0,0.743604320636725
"MCM6",67.4783781887541,0.000156766658459596,0
"PAM",27.6573614018405,0,0.743604320636725
"UGDH",37.2218570253558,3.76533333333333e-05,0.0272882319499715
"PDS5A",72.8814979285555,0.0001780375625,0
"TTC17",40.6177497113253,5.10222222222223e-05,0.0159181353041501
"PIK3C3",27.6573614018405,0,0.743604320636725
"CHCHD6",50.7340778963107,9.08480000000003e-05,0.00284252416145536
"CHAC2",48.4376210409367,8.18073501984129e-05,0.00454803865832865
"PIGU",36.2836965127092,3.396e-05,0.030699260943718
"FAM184A",39.0035576198832,4.46674999999999e-05,0.0187606594656055
"ZNF24",27.2323603724262,-1.67313636363642e-06,0.787379192723138
"SASS6",34.6275537119074,2.74401269841269e-05,0.0392268334280841
"SPOPL",17.8693329485972,-3.85333333333333e-05,0.97328027288232
"ZNF397",50.0828797706157,8.82843750000002e-05,0.00284252416145536
"LPAR5",63.9925029228056,0.000143043527777778,0
"KAT5",37.4346134789949,3.84909090909089e-05,0.0272882319499715
"TLE4",45.7650211774194,7.12859074074075e-05,0.00568504832291072
"ABHD3",27.6573614018405,0,0.743604320636725
"CBWD1",40.5578022706255,5.07862222222222e-05,0.0159181353041501
"TRIM24",27.6573614018405,0,0.743604320636725
"ODF3L1",27.6573614018405,0,0.743604320636725
"CALB2",26.893730073011,-3.0062500000001e-06,0.815804434337692
"FAM107B",27.6573614018405,0,0.743604320636725
"EIF5",18.3646952467187,-3.65832000000001e-05,0.972143263217737
"UROS",26.9175439398144,-2.9125000000001e-06,0.814098919840819
"CDC14A",27.6573614018405,0,0.743604320636725
