"","Overall","importance","pvalue"
"GALNT12",53.9988320684046,0.000108912403703704,0
"EGF",76.5396479375992,0.000185718015873016,0
"ACYP1",74.6203574021614,0.000179178222222222,0
"NES",31.39465335839,3.18908888888887e-05,0.0351787773933102
"UROS",23.7391620609954,5.8055555555554e-06,0.189734717416378
"ZBED6CL",50.9344855457854,9.84709444444445e-05,0
"CES3",27.7418500365873,1.94443209876543e-05,0.0790080738177624
"RPF1",75.4317089390902,0.000181942822751323,0
"LRRC8B",49.627249624043,9.40166666666664e-05,0
"RC3H2",100,0.000265656857142857,0
"FKBP15",15.2079111200971,-2.32638425925926e-05,0.934256055363322
"ALCAM",39.2076530761794,5.85129166666667e-05,0.00461361014994233
"FBXL3",24.2045778733142,7.3914141414142e-06,0.169550173010381
"EIF3D",46.2500672426093,8.250925e-05,0
"SEMA4G",22.0353548117585,0,0.715109573241061
"EIF5A",35.6982813392058,4.65550777777777e-05,0.00865051903114189
"EEPD1",25.8841191297888,1.31142857142856e-05,0.126297577854671
"MAPK10",44.9308459743702,7.80141333333333e-05,0
"ANKRD35",28.3744797370799,2.15999444444444e-05,0.0709342560553633
"CUEDC2",31.883248063935,3.35557272727272e-05,0.027681660899654
"ATP6V1G1",21.5423104938932,-1.6799999999999e-06,0.750288350634371
"CDK5RAP2",78.9914932425014,0.0001940724375,0
"CDC26",49.6215483862147,9.39972402597402e-05,0
"PAAF1",22.0353548117585,0,0.715109573241061
"ZBTB43",26.1711162023666,1.40921999999999e-05,0.115916955017301
"CHPT1",23.3747592665414,4.56388888888881e-06,0.200692041522491
"FAM8A1",27.4001987615066,1.82801778846151e-05,0.0865051903114187
"PCDHB2",26.160361836227,1.40555555555557e-05,0.116493656286044
"ATG4C",36.2936943096554,4.85838888888888e-05,0.00865051903114189
"SPRY2",22.0353548117585,0,0.715109573241061
"PIBF1",34.201251616003,4.14540962962964e-05,0.0167243367935409
"RNF219",22.0353548117585,0,0.715109573241061
"VOPP1",32.1682330918669,3.45267857142857e-05,0.0259515570934256
"GOLGA1",38.1745906026931,5.4992857936508e-05,0.00519031141868509
"TRAPPC1",38.1179619089517,5.47999012345679e-05,0.00519031141868509
"PDCL",75.3719220877969,0.000181739104938272,0
"CLN5",43.1033753351993,7.17872069444447e-05,0.000576701268742763
"SYNE2",17.5500210867337,-1.52833333333333e-05,0.892156862745098
"TEX29",26.6853627302502,1.58444444444443e-05,0.100922722029988
"PANX1",43.0958006134493,7.17613968253967e-05,0.000576701268742763
"ZNF644",21.9554633713636,-2.72222222222229e-07,0.724336793540946
"MERTK",28.4448005090029,2.18395555555555e-05,0.0697808535178778
"ABCC4",28.2237970270664,2.10865079365079e-05,0.0715109573241061
"DKK1",28.5070631568359,2.20517094017094e-05,0.0692041522491349
"SLC36A4",10.0654648630328,-4.07862222222224e-05,0.983275663206459
"ACOX3",18.3453747962128,-1.25732438271604e-05,0.868512110726644
"DEGS1",45.959743378652,8.152e-05,0
"SLC44A4",31.808224714834,3.33000925925926e-05,0.0282583621683967
"MEX3B",22.0353548117585,0,0.715109573241061
"DOCK7",32.6995577544229,3.63372222222222e-05,0.0213379469434832
"FZD8",14.9986797855365,-2.39767777777777e-05,0.93598615916955
"THEG",25.4806277594542,1.17394285714287e-05,0.137831603229527
"SRSF11",44.3502406378321,7.60357777777776e-05,0
"SIX4",31.1870008308658,3.11833333333333e-05,0.0369088811995386
"USP1",42.3839981590858,6.93359999999998e-05,0.000576701268742763
"P2RY2",24.1961783671982,7.36279365079362e-06,0.169550173010381
"SLC31A1",18.0012563271911,-1.37457936507939e-05,0.880046136101499
"CAPRIN1",33.3559486237427,3.85738095238095e-05,0.0201845444059977
"PPP1R26",59.7906147573098,0.000128647333333333,0
"ZRANB2",38.2611491998866,5.52877978395061e-05,0.00519031141868509
"C11orf54",24.4782161145606,8.32380952380962e-06,0.157439446366782
"SCAP",22.0353548117585,0,0.715109573241061
"CHRNE",20.0480214585873,-6.77164285714271e-06,0.82237600922722
"SCAI",31.4414329411565,3.20502857142857e-05,0.0340253748558247
"SSX2IP",29.7268275368855,2.62079365079366e-05,0.0576701268742791
"TCP11L1",12.0242160246743,-3.41119703703703e-05,0.974048442906574
"BNIPL",22.6565759783307,2.11674999999989e-06,0.240484429065744
"PDIA5",24.9282168808662,9.85714285714279e-06,0.147058823529412
"FAM107B",22.0353548117585,0,0.715109573241061
"FAM204A",22.0353548117585,0,0.715109573241061
"MAP2K3",15.144748240798,-2.34790638888889e-05,0.934832756632065
"ARHGAP4",22.0353548117585,0,0.715109573241061
"PKN2",22.0353548117585,0,0.715109573241061
"AGTPBP1",14.0815737983321,-2.71017261904765e-05,0.945790080738178
"CNTRL",23.1740524030188,3.87999999999988e-06,0.209919261822376
"WNT9A",50.7625537406748,9.78851037357704e-05,0
"RPS26",22.0353548117585,0,0.715109573241061
"SDHC",19.9322650502857,-7.16607142857151e-06,0.82641291810842
"OAT",22.7508839805426,2.43809523809535e-06,0.237024221453287
"NODAL",27.8290168516902,1.97413333333334e-05,0.077277970011534
"TYW3",23.7390595763489,5.80520634920645e-06,0.189734717416378
"RRM2B",16.4312311380696,-1.90954999999999e-05,0.919261822376009
"FBXW7",55.5673994910685,0.000114257142857143,0
"KANSL1",18.2451744444224,-1.29146666666666e-05,0.870242214532872
"CAMP",33.1581998397916,3.78999999999998e-05,0.0201845444059977
"STX6",22.0353548117585,0,0.715109573241061
"GPRC5B",34.382006271636,4.207e-05,0.0161476355247981
"KRT75",26.3682426250096,1.47638888888892e-05,0.110149942329873
"BCL10",24.3226549024507,7.79375000000004e-06,0.163783160322953
"CRABP1",33.8005922380686,4.00888888888888e-05,0.0184544405997693
"RABGAP1",22.0353548117585,0,0.715109573241061
"GMFB",22.5189390979863,1.64776587301563e-06,0.252595155709343
"SLC7A5",26.1859597059045,1.41427777777778e-05,0.115916955017301
"PIGQ",42.1121436588782,6.84096825396827e-05,0.00115340253748564
"TRUB1",26.9818306264093,1.68546296296297e-05,0.0940023068050749
"ANKS6",12.4126753818333,-3.27883333333334e-05,0.970011534025375
"RPL39",23.1310088514592,3.73333333333337e-06,0.213379469434833
"FUK",18.0752257854518,-1.34937499999999e-05,0.876585928489043
"PNN",25.0596534400931,1.0305e-05,0.145905420991926
"NEK6",22.0353548117585,0,0.715109573241061
"DTNBP1",41.4049530136105,6.60000000000001e-05,0.0017301038062284
"HINFP",22.0353548117585,0,0.715109573241061
"GJB1",19.7242095717647,-7.87500000000008e-06,0.83679354094579
"MIPOL1",22.0353548117585,0,0.715109573241061
"CDC42EP3",22.0353548117585,0,0.715109573241061
"PWWP2B",25.6810131938579,1.24222222222221e-05,0.132641291810842
"USMG5",41.2926339817628,6.56172839506171e-05,0.0017301038062284
"NME3",29.0149086226963,2.37821428571428e-05,0.0651672433679354
"TUBA4A",31.4366417839293,3.20339603174602e-05,0.0340253748558247
"PAOX",22.0353548117585,0,0.715109573241061
"VIPR1",69.6280507641237,0.000162167428571429,0
"GABARAP",22.0353548117585,0,0.715109573241061
"RANBP9",20.7788988677936,-4.28125000000001e-06,0.797001153402538
"SNX30",34.5860962930935,4.27654166666664e-05,0.0161476355247981
"ACADSB",26.8024514389572,1.62434126984128e-05,0.096885813148789
"TGM5",22.0353548117585,0,0.715109573241061
"DPH7",36.4684446072374,4.91793333333332e-05,0.00865051903114189
"CCL22",28.1185173446802,2.07277777777779e-05,0.0726643598615917
"USP48",22.0353548117585,0,0.715109573241061
"DOCK9",22.8981823680228,2.93999999999994e-06,0.228950403690888
"FAM76B",22.0353548117585,0,0.715109573241061
"PSD4",23.9613091784199,6.56250000000003e-06,0.181084198385236
"ZNF790",17.2390733522522,-1.63428571428572e-05,0.904267589388697
"KHDRBS1",13.9592888851244,-2.75184000000002e-05,0.948673587081892
"SDC2",47.8018000869163,8.7796626984127e-05,0
"PBX3",35.9446013238812,4.7394388888889e-05,0.00865051903114189
"ZNF326",24.0310103840705,6.79999999999992e-06,0.17762399077278
"CEP57",11.8419200620689,-3.47331259259258e-05,0.97520184544406
"USP33",35.4675972507221,4.57690444444445e-05,0.0103806228373703
"ZZZ3",36.840283419789,5.04463374999999e-05,0.00807381776239913
"SIX1",25.1950286706234,1.07662777777779e-05,0.144175317185698
"MAPKAP1",21.6962237994701,-1.15555555555558e-06,0.739907727797001
"ADORA1",22.0353548117585,0,0.715109573241061
"SLC35A3",22.4295713215785,1.34325396825408e-06,0.256055363321799
"TGDS",25.9577962738871,1.33653333333337e-05,0.125144175317186
"SYF2",23.8095673192284,6.04545454545447e-06,0.186851211072664
"CBWD1",22.0353548117585,0,0.715109573241061
"FANK1",22.7781495549234,2.53100000000006e-06,0.236447520184544
"IMPACT",35.3004824733889,4.51996172839506e-05,0.0115340253748558
"MTG1",18.950566949982,-1.05111111111111e-05,0.855824682814302
"DCST1",22.0353548117585,0,0.715109573241061
"TOMM40L",22.0353548117585,0,0.715109573241061
"MRPS24",37.4506201928263,5.25260000000001e-05,0.00692041522491349
"SEC16A",21.2853535345824,-2.55555555555542e-06,0.764705882352941
"CPNE5",28.6679748020896,2.26e-05,0.0680507497116494
"OAZ3",8.832770217295,-4.49865079365082e-05,0.987889273356401
"SP4",22.0353548117585,0,0.715109573241061
"DNAJC25",30.2550450512931,2.80077857142857e-05,0.0484429065743944
"LY6D",17.4405963080031,-1.56561874999999e-05,0.897923875432526
"CYB5A",21.7381892241939,-1.01256249999993e-06,0.737024221453287
"KRT83",34.1861255032882,4.14025555555555e-05,0.0167243367935409
"TMEM102",22.0353548117585,0,0.715109573241061
"RERGL",41.0821263769129,6.49e-05,0.0017301038062284
"CHCHD1",26.7657976498314,1.61185185185184e-05,0.0986159169550173
"UXT",25.3094478872069,1.11561500000001e-05,0.142445213379469
"ACADM",22.0353548117585,0,0.715109573241061
"SUPT3H",33.1141780256965,3.77499999999999e-05,0.0201845444059977
"PRPF4",30.4076516776263,2.85277777777777e-05,0.0467128027681661
"IRX3",54.8579933140777,0.000111839911111111,0
"LMX1B",26.2079409686328,1.42176767676767e-05,0.114763552479815
"DSG1",25.1168817984168,1.05000000000002e-05,0.144752018454441
"CAMSAP2",25.6678748315636,1.23774545454545e-05,0.132641291810842
"RAI1",25.2515885495478,1.09589999999999e-05,0.143598615916955
"MKNK2",22.0353548117585,0,0.715109573241061
"CRY1",24.6835420659179,9.02343750000001e-06,0.150519031141868
"GTF3C4",22.0353548117585,0,0.715109573241061
"TMEM256",22.0353548117585,0,0.715109573241061
"SMIM14",28.8323229080447,2.31600000000001e-05,0.0668973471741637
"PNPO",22.0353548117585,0,0.715109573241061
"DIO1",26.7133475605143,1.59398000000002e-05,0.0991926182237601
"WDR5",22.0353548117585,0,0.715109573241061
"MTCL1",33.20783035909,3.80691111111111e-05,0.0201845444059977
"EIF2S3",24.7793812236875,9.34999999999997e-06,0.14878892733564
"MIS18BP1",22.0353548117585,0,0.715109573241061
"KIAA0586",18.4666530824476,-1.21599999999999e-05,0.866205305651672
"TMEM168",28.899888240493,2.33902222222224e-05,0.0657439446366782
"ATM",25.6510131427709,1.23200000000001e-05,0.133217993079585
"KIAA0368",30.8182091949459,2.99267121212121e-05,0.0420991926182238
