"","Overall","importance","pvalue"
"SFXN4",42.0656147095123,0,0.700460829493088
"VIL1",48.6975782295293,2.34259999999999e-05,0.0271377368151562
"TMEM11",41.1003763827741,-3.40949900793652e-06,0.87916026625704
"MRPL53",42.2373636722948,6.06666666666644e-07,0.231950844854071
"PPAN",42.4969531073429,1.52361111111099e-06,0.169482846902202
"ACADS",54.6913575198443,4.45977499999999e-05,0.0102406554019457
"TSSC4",41.9783334524286,-3.08302469135935e-07,0.734767025089606
"C10orf95",42.4259478081325,1.27280000000018e-06,0.184331797235023
"DESI1",40.282067788309,-6.29999999999997e-06,0.911930363543267
"HHIPL2",44.3597816489036,8.1036565656567e-06,0.0727086533538146
"PREB",41.1503968077341,-3.23281249999985e-06,0.877624167946749
"NME3",42.0656147095123,0,0.700460829493088
"ELOF1",59.6708663901592,6.21868055555557e-05,0.0040962621607783
"RPL15",42.0656147095123,0,0.700460829493088
"PRSS36",42.0656147095123,0,0.700460829493088
"THAP1",40.1318055934823,-6.83076923076942e-06,0.918074756784434
"UVRAG",42.0656147095123,0,0.700460829493088
"SOX15",42.0656147095123,0,0.700460829493088
"PAOX",42.0656147095123,0,0.700460829493088
"IL17RA",42.021576513927,-1.55555555555686e-07,0.721454173067076
"SLC25A22",60.227922826837,6.4154488888889e-05,0.00358422939068104
"ATP5J2",42.0656147095123,0,0.700460829493088
"GFI1B",42.0656147095123,0,0.700460829493088
"MFSD3",41.5594365438699,-1.78796666666647e-06,0.84331797235023
"GLI4",52.6905122724514,3.75301898989899e-05,0.0138248847926268
"NAA38",42.0656147095123,0,0.700460829493088
"TRABD",41.9594512022978,-3.75000000000014e-07,0.741935483870968
"MEPCE",42.0656147095123,0,0.700460829493088
"ATP13A1",42.0656147095123,0,0.700460829493088
"FXR2",41.8447946145061,-7.80000000000003e-07,0.780849974398361
"PCGF1",41.9397912935544,-4.44444444444247e-07,0.74910394265233
"GBA",45.4955358638415,1.21154666666667e-05,0.0512032770097286
"NPM3",44.5113944225041,8.63919642857147e-06,0.0706605222734255
"TBRG4",42.5767094251333,1.80533333333344e-06,0.156169994879672
"ZNF33B",42.0656147095123,0,0.700460829493088
"ATP2A1",42.0656147095123,0,0.700460829493088
"TMEM208",41.5716005226075,-1.74500000000011e-06,0.841269841269841
"LAMTOR4",100,0.000204640888888889,0
"CCDC142",43.0847843787712,3.59999999999983e-06,0.11879160266257
"FBXL15",65.4374400471082,8.25559999999999e-05,0.00102406554019452
"GPC5",42.0656147095123,0,0.700460829493088
"RAVER1",42.0656147095123,0,0.700460829493088
"HDAC11",42.0120906079583,-1.89062500000059e-07,0.724014336917563
"POP7",41.6455883207124,-1.48365384615379e-06,0.830005120327701
"GRPEL1",62.494304524437,7.216e-05,0.00204813108038915
"USP5",44.0282670692177,6.93265185185177e-06,0.0803891449052739
"CLDN11",44.7582358110113,9.51111111111103e-06,0.0660522273425499
"KAT2A",42.3310234775485,9.37500000000035e-07,0.205325140809012
"KCNH2",42.0656147095123,0,0.700460829493088
"WFDC3",52.9531778040574,3.84580000000001e-05,0.0133128520225294
"C12orf57",42.1496395866889,2.96799999999875e-07,0.268817204301075
"MRPL4",42.0656147095123,0,0.700460829493088
"OASL",50.0351622004778,2.81507307692308e-05,0.0199692780337941
"RAC3",42.0656147095123,0,0.700460829493088
"THSD1",42.0656147095123,0,0.700460829493088
"BLOC1S4",42.0656147095123,0,0.700460829493088
"DDX56",53.6515355096485,4.09248e-05,0.0128008192524321
"NSUN5",41.2642502754873,-2.83064935064958e-06,0.873015873015873
"C1orf35",42.0656147095123,0,0.700460829493088
"RPS3",42.0656147095123,0,0.700460829493088
"POLR2L",49.7602408595711,2.71796296296298e-05,0.0204813108038915
"ATN1",37.4844612013273,-1.61819500000002e-05,0.962109575012801
"SNX17",42.6149300352779,1.94033950617278e-06,0.150537634408602
"GADD45GIP1",56.0526567850199,4.94062500000001e-05,0.0066564260112647
"TAS1R3",42.8321152316008,2.70750000000009e-06,0.129032258064516
"SCAND1",42.0233380417504,-1.49333333333335e-07,0.719918074756784
"AUP1",42.1502624125979,2.99000000000049e-07,0.268817204301075
"KIFC2",41.9252523978404,-4.95799999999935e-07,0.753712237583205
"COMMD4",41.4427888005207,-2.19999999999998e-06,0.859703020993344
"GET4",41.8632375312097,-7.1485432098739e-07,0.775217613927291
"LEAP2",41.8139678775964,-8.88888888888939e-07,0.789554531490015
"USP21",41.8855299454226,-6.36111111110838e-07,0.771121351766513
"TSPAN18",42.0656147095123,0,0.700460829493088
"ZC3H3",40.9849586756582,-3.81718749999993e-06,0.886328725038402
"AAMP",42.8638384603491,2.81955555555546e-06,0.127496159754224
"MOGS",42.1080801123981,1.50000000000094e-07,0.280081925243216
"TLCD1",42.0656147095123,0,0.700460829493088
"PPP1R16A",42.0656147095123,0,0.700460829493088
"GPR87",42.0656147095123,0,0.700460829493088
"PARP10",42.4301094176153,1.28749999999989e-06,0.183819764464926
"MLF2",42.0656147095123,0,0.700460829493088
"HSD11B2",42.109566401499,1.5524999999994e-07,0.279569892473118
"ABCB8",43.0544923913794,3.49299999999997e-06,0.119815668202765
"MEF2D",46.5244820125204,1.57500000000002e-05,0.0399385560675883
"NOC4L",42.4562964160615,1.37999999999994e-06,0.177675371223758
"BRAT1",43.1725462114018,3.90999999999986e-06,0.110087045570917
"EIF3G",39.6771088043834,-8.43688888888883e-06,0.928827444956477
"HEXIM2",44.599870190678,8.95171825396846e-06,0.0691244239631337
"DUS1L",46.8957947769756,1.70615833333332e-05,0.0363543266769073
"RASL10A",42.0656147095123,0,0.700460829493088
"NFS1",42.0656147095123,0,0.700460829493088
"LRRC14",50.6981233594789,3.04925e-05,0.017921146953405
"STK11IP",42.0501325313768,-5.46875000000391e-08,0.709677419354839
"RRP9",39.7419889997331,-8.20771340388005e-06,0.92831541218638
"AP5Z1",41.779003802255,-1.01239204545434e-06,0.802867383512545
"LHB",42.0656147095123,0,0.700460829493088
"NECAP1",41.8532876950833,-7.50000000000028e-07,0.778801843317972
"DRD4",54.6127257488342,4.43200000000001e-05,0.0102406554019457
"RUSC1",48.112688080449,2.136e-05,0.0286738351254481
"NECAB3",42.0656147095123,0,0.700460829493088
"CLPS",42.1080801123981,1.50000000000094e-07,0.280081925243216
