"","Overall","importance","pvalue"
"EEFSEC",54.0839237226348,2.10472098765433e-05,0.0644361833952912
"SPSB4",49.6436578657663,0,0.738537794299876
"PDE9A",51.995536274022,1.11480888888889e-05,0.103469640644362
"PIP4K2A",60.39091750491,5.09428571428572e-05,0.0154894671623296
"RTN4RL2",71.7422458691441,0.000104749047619048,0.0018587360594795
"BOLA1",49.5836494864015,-2.84444444444532e-07,0.750309789343247
"FAM110D",64.3928232062835,6.9912205357143e-05,0.00619578686493183
"ADPRHL2",48.9685635979121,-3.19999999999987e-06,0.821561338289963
"TLE4",52.5043847088292,1.35600705467371e-05,0.0941759603469641
"SPRY4",60.2701019333381,5.03701818181819e-05,0.0154894671623296
"COX19",48.9474669020416,-3.29999999999986e-06,0.823420074349442
"SYTL4",59.0494634477828,4.45842592592594e-05,0.0185873605947955
"PAX8",49.6436578657663,0,0.738537794299876
"DLK1",49.6436578657663,0,0.738537794299876
"FAM81A",49.6436578657663,0,0.738537794299876
"THBS2",60.0333586480429,4.9248e-05,0.0161090458488228
"OSBPL3",49.9681853245276,1.5382857142856e-06,0.208798017348203
"LAMC1",49.6436578657663,0,0.738537794299876
"SPATA18",49.6436578657663,0,0.738537794299876
"PEX10",51.3604600941567,8.1377777777778e-06,0.125154894671623
"FOXH1",49.6436578657663,0,0.738537794299876
"TOMM40L",59.9735043080447,4.89642857142858e-05,0.0161090458488228
"MBD6",49.6436578657663,0,0.738537794299876
"LRRC14B",51.3961838324973,8.30711111111104e-06,0.123296158612144
"KHK",55.8293734848186,2.93207792207792e-05,0.0415117719950434
"PPARGC1B",49.6436578657663,0,0.738537794299876
"GNB4",50.4312678449296,3.73333333333337e-06,0.174101610904585
"DSEL",49.6436578657663,0,0.738537794299876
"RTN4R",54.6344797670642,2.36568888888888e-05,0.0576208178438662
"FMO5",49.6436578657663,0,0.738537794299876
"TRAK1",57.975375965881,3.9493e-05,0.0241635687732342
"KIAA1257",48.1182966413062,-7.23033234126991e-06,0.866790582403965
"GAL3ST2",49.6436578657663,0,0.738537794299876
"CHCHD6",50.318939659806,3.20088888888881e-06,0.178438661710037
"LRRC20",49.6436578657663,0,0.738537794299876
"HTR1D",49.4263618983007,-1.02999999999986e-06,0.77819083023544
"BCAR3",54.1694349190782,2.14525396825398e-05,0.0644361833952912
"FIS1",74.895194320604,0.000119694271604938,0.00123915737298641
"ADD3",58.3702357902561,4.13646666666665e-05,0.0210656753407683
"LINGO4",53.9731686738453,2.05222222222223e-05,0.0656753407682775
"COMMD3",46.1137160170295,-1.67322023809524e-05,0.915117719950434
"THEM6",49.0204785852385,-2.95391887125218e-06,0.817224287484511
"PELP1",49.6436578657663,0,0.738537794299876
"SFXN2",74.2194520455977,0.0001164912,0.00123915737298641
