"","Overall","importance","pvalue"
"PHF12",29.7454560017712,-4.59375e-05,0.982219827586207
"KCTD12",55.9989085752664,5.56708968253972e-05,0.0118534482758621
"COL18A1",70.2783613942418,0.000110936477777778,0.00161637931034486
"EFNA5",43.9461954202917,9.02343750000001e-06,0.153556034482759
"ZC3H12C",57.528020793093,6.15889999999999e-05,0.00969827586206895
"LYZ",39.6855025917698,-7.46666666666651e-06,0.828125
"ZNF433",32.3706991379879,-3.57770555555557e-05,0.968211206896552
"INTS6",41.6147307396391,0,0.701508620689655
"PIGU",37.5302791465786,-1.5808e-05,0.900862068965517
"DGKE",40.0492193660111,-6.05897835497871e-06,0.808728448275862
"C18orf8",58.4201198213275,6.50416792929291e-05,0.00862068965517238
"PLXDC2",41.6147307396391,0,0.701508620689655
"STX1A",42.256543603832,2.48400000000015e-06,0.244612068965517
"PEX1",41.8937798110274,1.08000000000019e-06,0.267241379310345
"NCOA6",37.7426377866052,-1.49861111111111e-05,0.897090517241379
"ACAA2",54.2274616788655,4.88148888888888e-05,0.015625
"CEP41",41.6147307396391,0,0.701508620689655
"LANCL2",50.8630296922422,3.57935714285713e-05,0.0317887931034483
"SLC41A2",42.533410810053,3.55555555555553e-06,0.227370689655172
"SMARCE1",46.8985410550484,2.04498624999998e-05,0.0754310344827587
"KALRN",41.6147307396391,0,0.701508620689655
"ESCO1",43.4833515217519,7.23209876543196e-06,0.17510775862069
"TMEM245",43.0318091026287,5.48450000000011e-06,0.200431034482759
"SIDT1",41.6147307396391,0,0.701508620689655
"TRAK1",46.0640131556627,1.722e-05,0.0915948275862069
"MMP11",43.1808505896772,6.06133333333325e-06,0.191271551724138
"HOXA9",49.3943376636647,3.0109311728395e-05,0.0425646551724138
"CLDN10",41.6147307396391,0,0.701508620689655
"CHST4",44.0457304584676,9.40866666666662e-06,0.150323275862069
"TRAPPC8",40.7702012749085,-3.2685714285714e-06,0.768318965517241
"PDLIM2",41.6147307396391,0,0.701508620689655
"TSTD2",42.825881223095,4.68750000000018e-06,0.210129310344828
"MFGE8",41.6147307396391,0,0.701508620689655
"SHISA2",46.2659244197749,1.80014545454545e-05,0.0883620689655172
"TMOD2",37.8975789222309,-1.43864444444446e-05,0.892241379310345
"HMGCR",43.9162234829944,8.9074375e-06,0.156788793103448
"PSEN2",27.7004279120401,-5.38523456790123e-05,0.98760775862069
"NSUN5",42.3166023134353,2.7164444444443e-06,0.240840517241379
"ARPIN",33.912459611784,-2.98100000000001e-05,0.95635775862069
"UBR1",38.0788172748724,-1.36849999999999e-05,0.886314655172414
"ENTPD5",44.6050343688365,1.15733333333332e-05,0.132543103448276
"CHCHD6",43.5052020720378,7.31666666666664e-06,0.17510775862069
"ASB1",40.0174801626693,-6.18181818181829e-06,0.810883620689655
"KIDINS220",41.9996505119544,1.48974999999996e-06,0.260237068965517
