"","Overall","importance","pvalue"
"BIRC5",66.4030531772864,0.000346719444444444,0
"EGFL7",31.4199930612912,-1.47702222222221e-05,0.777971014492754
"MUL1",30.051512543839,-2.89111111111111e-05,0.828985507246377
"THRA",45.012445355522,0.000125684358730159,0.0428985507246377
"ARG2",32.8493771338464,0,0.717101449275362
"MTA1",37.9255335161282,5.24533323412699e-05,0.117101449275362
"TRIP13",39.391624488381,6.76028571428571e-05,0.0979710144927536
"POLR3H",32.8493771338464,0,0.717101449275362
"MAPK8IP2",61.2241716026624,0.000293204624188312,0.00173913043478258
"GINS4",69.1018316900752,0.000374606671626984,0
"PPFIA3",30.3936431272611,-2.5375780864197e-05,0.819130434782609
"AMIGO1",34.7679716087866,1.98253690476189e-05,0.201159420289855
"RRP7A",42.4021169561465,9.8711111111111e-05,0.0608695652173913
"MTHFSD",32.8493771338464,0,0.717101449275362
"PSRC1",48.3964842362391,0.000160652571428572,0.0214492753623189
"SAP30L",32.8493771338464,0,0.717101449275362
"EIF2S1",32.8493771338464,0,0.717101449275362
"CCNB2",36.1047576384351,3.36387499999999e-05,0.156521739130435
"SCML2",31.0387006771188,-1.87102222222222e-05,0.79304347826087
"CBWD5",41.6454031872873,9.08917777777778e-05,0.0666666666666667
"ACOT2",39.8936087693564,7.27900000000001e-05,0.0886956521739131
"PIK3AP1",38.1521823030287,5.4795357142857e-05,0.114202898550725
"AURKA",37.9198373447768,5.23944722222223e-05,0.117101449275362
"CENPM",49.0665347101018,0.000167576388888889,0.0173913043478261
"LSM11",48.3818951334786,0.000160501818181818,0.0214492753623189
"GPR3",27.4299929933249,-5.6e-05,0.888115942028985
"FBXL8",15.7514369322124,-0.000176677760141094,0.984927536231884
"ARHGAP19",28.4993536139099,-4.495e-05,0.868405797101449
"TTC33",19.2146332899068,-0.000140891591269841,0.96463768115942
"DBF4B",40.6522150215662,8.06288888888891e-05,0.0776811594202899
"FAM98A",39.5752199511007,6.94999999999999e-05,0.0933333333333334
"MTMR4",38.0764161483646,5.40124444444445e-05,0.114782608695652
"HOOK3",38.6168430335068,5.95968253968253e-05,0.107826086956522
"CCDC134",32.8493771338464,0,0.717101449275362
"RPA2",32.8493771338464,0,0.717101449275362
