"","Overall","importance","pvalue"
"PRDX5",45.0858408635404,3.54812499999999e-05,0.0225927918235611
"SHPK",31.3812783023321,0,0.697686928456159
"TBCB",47.8955269815734,4.27555555555557e-05,0.0161377084454007
"COX6B1",33.2182653023751,4.75597777777792e-06,0.175901022054868
"MAL",31.3812783023321,0,0.697686928456159
"H1FX",28.1882946699633,-8.26666666666664e-06,0.870360408821947
"BTBD2",57.4530196553442,6.74999999999999e-05,0.00215169445938679
"KCNK6",31.5940866558945,5.50962962962975e-07,0.280258203335126
"LIMD1",31.3812783023321,0,0.697686928456159
"USP21",98.3554746785381,0.000173396866522366,0
"C19orf33",31.0264129339162,-9.18749999999857e-07,0.728886498117267
"MCRS1",30.9332305990804,-1.16000000000005e-06,0.739107046799355
"MRPL44",36.8230837402942,1.4088888888889e-05,0.0887573964497042
"PTS",27.4444095943218,-1.01925925925925e-05,0.886498117267348
"GATAD2B",35.6246419669892,1.09861111111114e-05,0.108122646584185
"WDR3",31.3812783023321,0,0.697686928456159
"DENND4B",28.4646765865285,-7.55111111111106e-06,0.86336740182894
"RGS9BP",31.3812783023321,0,0.697686928456159
"FIBP",31.3812783023321,0,0.697686928456159
"LIN37",42.1611858765189,2.79092888888888e-05,0.0376546530392684
"PSMD8",31.3812783023321,0,0.697686928456159
"DHODH",25.4840220740675,-1.52680555555555e-05,0.918235610543303
"PLEKHO1",31.6984492359983,8.21158730158755e-07,0.274341043571813
"IMP3",36.7346758601506,1.386e-05,0.0898332436793975
"PYGO1",32.2155740256286,2.16000000000016e-06,0.232383001613771
"GEMIN4",31.3812783023321,0,0.697686928456159
"DPY19L1",59.6735595225808,7.32490000000001e-05,0.00215169445938679
"HIST1H2AH",30.2225342421983,-2.99999999999989e-06,0.792361484669177
"ZNF565",49.2132819263332,4.61672363315697e-05,0.0134480903711673
"PPP1CC",33.9696611649121,6.70134920634902e-06,0.147391070467993
"DDX56",37.0593626216917,1.47006172839503e-05,0.085529854760624
"CAPNS1",47.6778225767199,4.21919166666667e-05,0.0172135556750941
"CSNK1G2",29.1305490991092,-5.82716049382714e-06,0.841850457235073
"ETNPPL",21.2196921150707,-2.63084486131151e-05,0.958579881656805
"MECR",31.3812783023321,0,0.697686928456159
"SNRPA",31.2070375288453,-4.5111111111118e-07,0.716514254975793
"DNAJC14",28.7658274237442,-6.77142857142865e-06,0.853146853146853
"GZMM",31.3812783023321,0,0.697686928456159
"BMI1",28.6732123694,-7.01120987654336e-06,0.856374394835933
"WDR35",31.3812783023321,0,0.697686928456159
"SNX27",32.850451326724,3.80370370370353e-06,0.193114577729962
"POGZ",24.8098166180914,-1.70135802469136e-05,0.92845615922539
"NUDT22",31.3812783023321,0,0.697686928456159
"P2RY4",38.0977935571637,1.73891253968255e-05,0.0704679935449166
"SCLY",31.3812783023321,0,0.697686928456159
"GPC4",27.986641016165,-8.7887499999999e-06,0.875739644970414
"UTP15",27.0484583700487,-1.12177142857144e-05,0.893491124260355
"SETD6",31.7451525481786,9.42074074073984e-07,0.270037654653039
"SIPA1L3",31.3812783023321,0,0.697686928456159
"AGPAT5",31.3812783023321,0,0.697686928456159
"UPK3B",31.3812783023321,0,0.697686928456159
"PFAS",36.030135331088,1.20359375000001e-05,0.101129639591178
"CDK10",30.5766464269751,-2.08320000000017e-06,0.763851533082302
"RRP15",32.5499789780938,3.02577777777779e-06,0.207638515330823
"DAP",31.3812783023321,0,0.697686928456159
"TRIM45",31.3812783023321,0,0.697686928456159
"SETDB1",35.2933484569074,1.01283888888888e-05,0.115115653577192
"URB2",46.3331537404928,3.87105555555554e-05,0.0193652501344809
"REXO1",35.8689974852255,1.16187499999998e-05,0.103281334050565
"MGLL",30.2482841102013,-2.93333333333323e-06,0.790747713824637
"CLK2",34.8459230421324,8.96999999999992e-06,0.123184507799892
"PEX19",23.0918807948145,-2.14613333333333e-05,0.944593867670791
"ISG20L2",34.526440751267,8.14285714285723e-06,0.130715438407746
"POLR2I",31.6690330772654,7.44999999999996e-07,0.277568585260893
"TBX1",33.774943115442,6.19722222222219e-06,0.152232383001614
"LRRK2",31.3812783023321,0,0.697686928456159
"GIGYF1",32.7588962404912,3.5666666666665e-06,0.197955890263583
"HIST2H2AC",29.783599131123,-4.13640740740773e-06,0.811188811188811
"ARNT2",31.3812783023321,0,0.697686928456159
"ATP5L",32.4476318360714,2.76080000000012e-06,0.21624529316837
"RALB",31.3812783023321,0,0.697686928456159
"WDR48",28.6461595103912,-7.08124999999993e-06,0.857988165680473
"SLC1A3",31.3812783023321,0,0.697686928456159
"ZNF589",33.3125184025553,5.00000000000012e-06,0.172135556750941
"ORC5",60.9198102174781,7.64755555555556e-05,0.00107584722969334
"NCLN",30.4209035957026,-2.4864197530865e-06,0.777837547068316
"PALB2",31.3812783023321,0,0.697686928456159
"BARX1",26.8042392648034,-1.18499999999999e-05,0.898332436793975
"SKIV2L2",31.3812783023321,0,0.697686928456159
"DIMT1",35.2624673912493,1.00484375000001e-05,0.115115653577192
"ADRA1B",31.4723224784855,2.35714285714339e-07,0.291554599246907
"TGIF2",20.277669546208,-2.87473544973547e-05,0.963421194190425
"CDK7",38.1213062521108,1.745e-05,0.0699300699300699
"SPINT2",40.7782634655511,2.43288888888888e-05,0.0441097364174288
"GAR1",56.610998971647,6.532e-05,0.00215169445938679
"RP9",45.6805018777341,3.70208333333333e-05,0.0204410973641743
"PCBP2",35.3467579747903,1.02666666666666e-05,0.113501882732652
"ATG3",31.3812783023321,0,0.697686928456159
"ZDHHC1",30.7236481317595,-1.70261111111114e-06,0.749865519096288
"OGFOD3",31.3812783023321,0,0.697686928456159
"HCFC1",31.6847834131939,7.85777777777774e-07,0.275416890801506
"YAF2",38.1013903385773,1.73984375e-05,0.0704679935449166
"GPAM",29.7503801757762,-4.22241161616177e-06,0.814416352877891
"BCL9",22.2630097103774,-2.36072888888887e-05,0.953200645508338
"YAE1D1",31.7023469689942,8.31249999999839e-07,0.273803119956966
"AES",31.3812783023321,0,0.697686928456159
"HDGF",38.8518300073551,1.9341333333333e-05,0.0629370629370629
"PIDD1",25.983304861904,-1.39754074074074e-05,0.911242603550296
"PCP2",35.967007920312,1.18725000000002e-05,0.101667563206025
"ZBTB37",66.0948041064827,8.98736666666669e-05,0
"SARNP",31.3812783023321,0,0.697686928456159
"CAPN15",31.3812783023321,0,0.697686928456159
"NSUN3",35.1753926032305,9.82299999999992e-06,0.116191500806885
"PASK",31.3812783023321,0,0.697686928456159
"SLC19A2",31.3812783023321,0,0.697686928456159
"GTF3C3",34.9519266654113,9.24444444444439e-06,0.121032813340506
"IFT81",31.3812783023321,0,0.697686928456159
"RBMX",31.3812783023321,0,0.697686928456159
"RFWD3",19.0522415025078,-3.19199999999999e-05,0.969876277568585
"SFXN4",39.0461556778843,1.98444444444443e-05,0.0602474448628295
"MAZ",34.236423666502,7.39200000000006e-06,0.1382463690156
"USF1",31.3812783023321,0,0.697686928456159
"COX8A",31.3812783023321,0,0.697686928456159
"OPN3",29.1300041283577,-5.82857142857152e-06,0.842388380849919
"THEM5",49.516260842389,4.69516517857145e-05,0.0129101667563206
"B4GALT6",31.3812783023321,0,0.697686928456159
"SRA1",31.3812783023321,0,0.697686928456159
