"","Overall","importance","pvalue"
"CYP26B1",37.9717484782636,0.000156415361111111,0.000575705238917701
"PDPR",100,0.000690447405313051,0
"B3GNT3",23.5043979015001,3.18587499999998e-05,0.026482440990213
"TXNL4B",68.4283491014202,0.000418631372222222,0
"DDX19A",19.8039784610875,0,0.753022452504318
"TERF2IP",24.8886873368569,4.37767857142857e-05,0.0161197466896948
"DAPL1",17.5520982875134,-1.93875555555554e-05,0.948762233736327
"DHX38",69.4332911669424,0.000427283417901234,0
"POLR2C",46.7486137876695,0.000231979756493507,0
"COQ9",19.6519370580978,-1.309e-06,0.788140472078296
"PECR",29.7771088954114,8.58636363636365e-05,0.00460564191134138
"ACTRT3",32.6501954831802,0.000110599466666667,0.00287852619458839
"MT1F",28.3493590722113,7.35714285714286e-05,0.00633275762809438
"NONO",19.2737408205785,-4.56507936507933e-06,0.84398388025331
"TSHZ2",23.380204370851,3.07895061728396e-05,0.0270581462291307
"GNL3L",33.355034700225,0.000116667777777778,0.00287852619458839
"TTC30A",32.7045557804028,0.000111067481481481,0.00287852619458839
"FBXO31",40.2420219203965,0.000175961273456791,0
"MT3",24.9342562472938,4.41691111111111e-05,0.0161197466896948
"C1orf54",26.0819294401529,5.40500000000002e-05,0.0115141047783535
"NPHP1",19.8039784610875,0,0.753022452504318
"ISLR2",27.5791164459546,6.69400270061729e-05,0.00690846286701208
"F2RL1",19.462826955525,-2.93714285714297e-06,0.823834196891192
"DEF8",22.1098761333727,1.98526190476191e-05,0.0489349453080024
"MAP2K5",21.0749337490286,1.09422857142858e-05,0.0949913644214162
"CRYL1",29.3999807908949,8.26167530864197e-05,0.00575705238917679
"CLCN5",18.33789719637,-1.26222222222223e-05,0.917098445595855
"LAS1L",21.2805677887039,1.27126913580247e-05,0.082901554404145
"NID1",19.8039784610875,0,0.753022452504318
"DDX28",53.4320127547523,0.000289520459722222,0
"LSM1",18.828311703934,-8.39999999999996e-06,0.887737478411054
"ARMCX1",19.8039784610875,0,0.753022452504318
"ATF2",19.8039784610875,0,0.753022452504318
"ZNF629",44.5394795823082,0.000212960222222222,0
"LARP6",19.8039784610875,0,0.753022452504318
"ACKR3",18.9642855789786,-7.22933333333331e-06,0.876799078871618
"COG8",27.3445259672056,6.49203209876545e-05,0.00748416810592978
"PINX1",28.3678661767524,7.37307654320989e-05,0.00633275762809438
"RFWD3",42.5023163593747,0.000195421271604938,0
"ANXA3",21.781807264448,1.7028111111111e-05,0.0644789867587795
"ATP8B2",18.8675457863709,-8.0622142857143e-06,0.882556131260794
"KLHDC4",40.3225643525017,0.000176654703282829,0
"SSC4D",24.6629889766649,4.18336363636362e-05,0.0189982728842832
"RNF166",38.7325330208232,0.000162965333333333,0.000575705238917701
"ANKRD45",19.8039784610875,0,0.753022452504318
"SLC26A7",12.6324037533896,-6.17436507936509e-05,0.991364421416235
"TLE1",9.65094626945842,-8.74125000000001e-05,0.995970063327576
"EDC4",22.9632803413943,2.72000000000001e-05,0.0316637881404721
"PSCA",20.1210701571624,2.7299999999999e-06,0.181347150259067
"NME4",63.0666568260612,0.000372469898765432,0
"TSEN15",19.8039784610875,0,0.753022452504318
"SLC35D1",22.6342901016043,2.43675595238095e-05,0.0385722510074842
"CNTNAP3",23.5419088037885,3.21817e-05,0.026482440990213
"DLL1",25.8581713682544,5.21235555555557e-05,0.0115141047783535
"TRO",19.8039784610875,0,0.753022452504318
"COL5A2",21.9179231015869,1.82e-05,0.0581462291306851
"FLT1",31.3551235317764,9.94495486111109e-05,0.00287852619458839
"AEBP1",19.8039784610875,0,0.753022452504318
"AZGP1",54.0851687432044,0.000295143804232805,0
"RASEF",17.9231775227663,-1.61927499999999e-05,0.932642487046632
"CDK10",69.6489201523409,0.000429139875,0
"NUAK1",51.8647131620849,0.000276026798611111,0
"COLGALT2",29.9675995500201,8.75036650793648e-05,0.00402993667242368
"ADAM22",18.4663982420809,-1.15158928571426e-05,0.907311456534254
"TTC21B",20.090770570774,2.4691358024691e-06,0.185952792170409
"CLGN",19.8039784610875,0,0.753022452504318
"NPR2",28.5451008326175,7.52566666666667e-05,0.00633275762809438
"NSL1",24.2359229271817,3.81568125e-05,0.0213010938399539
"LAMTOR5",19.5384909081206,-2.28571428571422e-06,0.811744386873921
"PGAP1",25.9114200592599,5.25820000000001e-05,0.0115141047783535
"DOK4",22.3128358366252,2.16000000000001e-05,0.0426021876799079
"BIN1",19.8039784610875,0,0.753022452504318
"GPR173",28.7087653052583,7.66657354497353e-05,0.00575705238917679
"MLLT11",19.8039784610875,0,0.753022452504318
"ZMYM3",22.2574827188924,2.11234375e-05,0.0449050086355786
"SFRP2",19.8039784610875,0,0.753022452504318
"C4orf19",26.0714758677548,5.396e-05,0.0115141047783535
"NDUFB11",19.8039784610875,0,0.753022452504318
"EPB41L3",20.3799659983397,4.9589629629625e-06,0.152561888313184
"PRMT7",19.8039784610875,0,0.753022452504318
"UQCC1",19.6356991756394,-1.44879999999992e-06,0.795048934945308
"NAP1L3",21.3662067805774,1.345e-05,0.0805987334484743
"KIF12",19.8301123920827,2.25000000000142e-07,0.242371905584341
"NUP133",19.8039784610875,0,0.753022452504318
"FAM229B",22.0718229174474,1.95249999999998e-05,0.0506620610247553
"ANKRD53",22.7165473535887,2.50757530864196e-05,0.0368451352907312
"PPIG",19.924162279553,1.03472222222223e-06,0.219919401266552
"MYLPF",26.823552326394,6.0435e-05,0.00978698906160047
"RNF187",23.0562009849327,2.8e-05,0.029936672423719
"SOX7",19.8039784610875,0,0.753022452504318
"CRISPLD1",20.3383857311089,4.60097777777779e-06,0.155440414507772
"GDAP1",29.7448741140829,8.55861111111111e-05,0.00518134715025909
"SCN1A",19.8039784610875,0,0.753022452504318
"AARS2",16.689628785756,-2.68129841269844e-05,0.967184801381693
"CLDN7",19.8039784610875,0,0.753022452504318
"ACTA1",31.315658289545,9.91097727272727e-05,0.00287852619458839
