"","Overall","importance","pvalue"
"CAV1",29.8120186740314,-4.5464444444443e-06,0.826113483831605
"TSPAN6",55.8528071760879,7.22181746031747e-05,0.00183038438071992
"CAV2",40.8103143496111,2.78750000000001e-05,0.0231848688224527
"EXTL3",35.1492388246739,1.11869375e-05,0.0982306284319707
"SPEF2",31.7395628739741,1.13568749999993e-06,0.236119585112874
"PI3",30.2952528061121,-3.1219375e-06,0.805369127516778
"RPRML",39.3407500403631,2.35429290123459e-05,0.0335570469798657
"IFNGR1",31.3543046865586,0,0.73215375228798
"MAFB",31.3543046865586,0,0.73215375228798
"KIAA0556",72.544428087801,0.000121422749206349,0
"CLEC7A",27.4976944674796,-1.13687499999999e-05,0.903599755948749
"C16orf74",31.5578421142835,6.00000000000156e-07,0.250762660158633
"PRDM13",31.3543046865586,0,0.73215375228798
"ELN",44.8365617070639,3.97438166666666e-05,0.00976205003050645
"LRP5",56.5541766905933,7.42857142857143e-05,0.00183038438071992
"B3GNT4",26.2281768771909,-1.51111111111111e-05,0.929225137278828
"CRTAC1",31.3543046865586,0,0.73215375228798
"CAPN7",31.3543046865586,0,0.73215375228798
"CDH11",31.3543046865586,0,0.73215375228798
"CLCF1",50.7466586358701,5.71659595959595e-05,0.0030506406345332
"GZF1",31.3543046865586,0,0.73215375228798
"ACTR3B",36.8918042526281,1.63237777777778e-05,0.0640634533251982
"MAOA",32.5924530131022,3.64988888888895e-06,0.184258694325808
"COL1A1",31.3543046865586,0,0.73215375228798
"CHRD",41.6964654255684,3.04872500000002e-05,0.0176937156802929
"GSTM2",31.3543046865586,0,0.73215375228798
"DEGS1",57.9946099896848,7.85319111111111e-05,0.000610128126906639
"TRAK1",31.5413046982808,5.51250000000003e-07,0.25320317266626
"USP9X",31.3543046865586,0,0.73215375228798
"PPP2CB",31.3543046865586,0,0.73215375228798
"DCTN6",42.1527303773241,3.18322555555557e-05,0.015863331299573
"ECH1",62.6022045289564,9.21144583333331e-05,0.000610128126906639
"MET",24.8504600287788,-1.91724285714285e-05,0.951799877974375
"BPI",33.766600126261,7.11111111111107e-06,0.137888956680903
"ATRN",31.8744558907444,1.53333333333316e-06,0.226357535082367
"ZNF772",31.3543046865586,0,0.73215375228798
"PPFIA1",40.9180559177514,2.81926071428571e-05,0.0225747406955461
"STC1",43.1511769470092,3.47755370370371e-05,0.0152532031726662
"PLOD3",31.3543046865586,0,0.73215375228798
"TSPAN1",41.0288343935435,2.85191666666669e-05,0.0213544844417327
"FBLN5",30.5474241695064,-2.37857142857134e-06,0.787675411836486
"CLCN3",76.0631758691153,0.000131795527777778,0
"ZFP36L2",31.3543046865586,0,0.73215375228798
"MFSD8",56.5677774420247,7.43258074074073e-05,0.00183038438071992
"TMEM164",31.3543046865586,0,0.73215375228798
"ANKRD40",51.7672542352463,6.01745333333332e-05,0.0030506406345332
"DLGAP4",32.6416789169186,3.79500000000021e-06,0.181208053691275
"COG7",32.3503945791113,2.93633432539697e-06,0.197681513117755
"FRMD6",31.3543046865586,0,0.73215375228798
"CALR",31.3543046865586,0,0.73215375228798
"RRAGB",30.0902901452417,-3.72613888888895e-06,0.818181818181818
"IFNGR2",24.8043697500613,-1.93082962962967e-05,0.952410006101281
"TNFRSF21",49.3518043842154,5.30541234567901e-05,0.0030506406345332
"C11orf24",60.8807254842843,8.70397777777778e-05,0.000610128126906639
"C16orf62",31.4956501224787,4.16666666666732e-07,0.256253813300793
"PDIA3",49.0190515016946,5.20732142857143e-05,0.0030506406345332
"ZSWIM3",31.3543046865586,0,0.73215375228798
"G0S2",38.5844064247419,2.13133333333335e-05,0.0408785845027456
"CBX4",35.7209363535825,1.28722222222222e-05,0.0866381940207444
"FADD",30.4451708427207,-2.68000000000002e-06,0.796217205613179
"RPS6KB2",72.4482286533433,0.000121139166666667,0
"SNED1",43.8236105828457,3.67577777777779e-05,0.0152532031726662
"TMEM140",43.2596665241706,3.50953492063488e-05,0.0152532031726662
"SARAF",40.3300571094612,2.64592685185185e-05,0.0256253813300793
"DCTN5",31.3543046865586,0,0.73215375228798
"LRRC75B",30.4723091664174,-2.59999999999994e-06,0.793776693105552
"CTSA",26.9934776054365,-1.2855111111111e-05,0.913361805979256
"RTN4RL1",32.4935489000743,3.35833333333335e-06,0.188529591214155
"DDAH2",31.9899947910752,1.87392592592595e-06,0.223917022574741
"UNC119",40.0242452653143,2.5557777777778e-05,0.0286760219646126
"ZNF140",35.6285906687814,1.25999999999999e-05,0.0902989627821843
"STX4",40.2312051371942,2.61678666666665e-05,0.028065893837706
"VPS35",31.3543046865586,0,0.73215375228798
"STIP1",31.3543046865586,0,0.73215375228798
"GLTP",33.0122489577847,4.88738888888895e-06,0.169005491153142
"DPYSL2",39.2337473573585,2.32274999999997e-05,0.0335570469798657
"NR3C2",33.8400997529395,7.32777777777782e-06,0.134228187919463
"TXN",31.3543046865586,0,0.73215375228798
"PI15",31.4372273422984,2.44444444444492e-07,0.259914582062233
"GTF3C5",31.3543046865586,0,0.73215375228798
"TTYH3",31.5778566280098,6.58999999999965e-07,0.24954240390482
"MXRA5",68.4121809268653,0.000109241459876543,0
"GSTA1",32.1684543974582,2.39999999999996e-06,0.210494203782794
"FOXP4",41.9672832807911,3.12855833333332e-05,0.0164734594264796
"LMBRD2",30.7301232415356,-1.83999999999984e-06,0.776082977425259
"CKB",31.3543046865586,0,0.73215375228798
"GLCE",41.0258755624182,2.85104444444444e-05,0.0213544844417327
"LCAT",35.8830124534375,1.335e-05,0.0811470408785845
"ELMO2",46.7438190677405,4.53661458333332e-05,0.00610128126906651
"NCL",31.3543046865586,0,0.73215375228798
"SCARB1",33.3939193268851,6.01249999999998e-06,0.152532031726663
"TMEM248",49.0034873499792,5.20273333333332e-05,0.0030506406345332
"ZNF394",35.4017918207451,1.19314285714285e-05,0.0933496034167175
"BRAF",24.6860308639525,-1.96571428571428e-05,0.953630262355095
"BMP6",21.1920995719742,-2.9956765873016e-05,0.9816961561928
"COL16A1",43.99480009795,3.72624206349208e-05,0.0140329469188529
"PHF6",52.1428613562973,6.12817708333335e-05,0.0030506406345332
"TMEM134",41.5172368429046,2.99589090909089e-05,0.0183038438071995
"RAD9A",50.542264854686,5.65634351851851e-05,0.0030506406345332
"TPGS1",46.0422156601923,4.32979166666667e-05,0.00793166564978642
"P4HA1",31.3543046865586,0,0.73215375228798
"LPCAT2",33.9267916203038,7.58333333333328e-06,0.131787675411836
"PPP1R14B",31.9309940651125,1.70000000000003e-06,0.225747406955461
"XRRA1",40.8357565280766,2.79499999999999e-05,0.0225747406955461
"ZNF547",50.7565979327055,5.71952592592593e-05,0.0030506406345332
"ZNF561",31.3543046865586,0,0.73215375228798
"ELP3",28.285864887257,-9.04533333333335e-06,0.886516168395363
"NUBP1",26.4306373873087,-1.45142857142857e-05,0.926784624771202
"ZNF337",30.8831155413753,-1.38900000000031e-06,0.769981696156193
"PCDHB3",32.0921278620613,2.17500000000004e-06,0.216595485051861
"CHKA",31.3543046865586,0,0.73215375228798
"CHPF2",79.0308309880176,0.000140543761904762,0
"TSPAN31",31.3543046865586,0,0.73215375228798
"TRAFD1",34.1707067275566,8.30236111111127e-06,0.122635753508237
"PGAP3",46.6975590623211,4.52297777777777e-05,0.00610128126906651
"RBMX2",57.3275205248393,7.65654242424243e-05,0.00122025625381328
"SEMA4F",31.3543046865586,0,0.73215375228798
"CLPTM1",51.4182516232958,5.91457222222223e-05,0.0030506406345332
"COL14A1",31.3543046865586,0,0.73215375228798
"WWP2",31.3543046865586,0,0.73215375228798
"EPAS1",31.3543046865586,0,0.73215375228798
"TYW1",25.7815912608869,-1.64275833333332e-05,0.936546674801708
"GJA4",31.3543046865586,0,0.73215375228798
"SEMA3C",31.3543046865586,0,0.73215375228798
"DLG5",29.6010323418335,-5.16840277777764e-06,0.834045149481391
"MED14",32.2249925718262,2.56666666666661e-06,0.207443563148261
"RBP4",27.7720459586004,-1.05600000000001e-05,0.896278218425869
"GLG1",31.3543046865586,0,0.73215375228798
"PLA2G7",22.3768521921629,-2.64642800925925e-05,0.974984746796827
"PIGT",31.3543046865586,0,0.73215375228798
"ACOX1",31.3543046865586,0,0.73215375228798
"EPS8",32.4479791315337,3.22399999999989e-06,0.192190359975595
"SGK1",47.2546970017198,4.6872142857143e-05,0.00610128126906651
"DCUN1D3",33.0287769507584,4.93611111111125e-06,0.167785234899329
"RAP2A",40.8736454809291,2.80616913580247e-05,0.0225747406955461
"RAB5B",29.8684814641668,-4.38000000000005e-06,0.824283099450885
"PDGFA",39.9535348552379,2.53493333333332e-05,0.0311165344722392
"ZNF439",44.3213161318074,3.82249444444445e-05,0.012202562538133
"MKL1",27.5982334760495,-1.10723749999999e-05,0.901769371568029
"LAMC1",29.5797127385821,-5.23125000000002e-06,0.835265405735204
"ZNF433",41.8716060840654,3.10035402777777e-05,0.0176937156802929
"SDC4",40.4932469216082,2.69403293650796e-05,0.024405125076266
"NFKBIZ",49.5155535952304,5.35368333333333e-05,0.0030506406345332
"CD81",31.3543046865586,0,0.73215375228798
"GNPTG",67.2635838335046,0.000105855555555556,0
"ITFG1",31.3543046865586,0,0.73215375228798
"TIMP3",40.5474118387997,2.70999999999999e-05,0.024405125076266
"CACNA1C",43.977757876819,3.72121825396825e-05,0.0140329469188529
"FRZB",60.305807635194,8.53450000000002e-05,0.000610128126906639
