"","Overall","importance","pvalue"
"DIRAS1",57.736407109572,0.000345559281746032,0
"ELAC2",19.5556439974558,-1.24969444444423e-06,0.807053941908714
"KMT2E",19.6932248872874,0,0.759336099585062
"LMTK2",19.6932248872874,0,0.759336099585062
"DGKE",19.6932248872874,0,0.759336099585062
"GHRL",20.316331241919,5.6598888888888e-06,0.131224066390041
"GSTM4",19.6932248872874,0,0.759336099585062
"CRKL",20.8012581530204,1.00646464646463e-05,0.0912863070539419
"WDR63",20.4940435864897,7.27411111111098e-06,0.114626556016598
"CHST14",25.6640073716695,5.42346666666667e-05,0.0119294605809128
"MPC1",40.5496736019803,0.000189446282267115,0
"CASC4",19.5189577115268,-1.58292857142861e-06,0.817427385892116
"RBM48",19.6932248872874,0,0.759336099585062
"ZNF350",19.6932248872874,0,0.759336099585062
"SPCS2",20.2936829485563,5.45416666666654e-06,0.133298755186722
"PSMB4",20.7249406699588,9.37142857142859e-06,0.0964730290456431
"CCDC117",19.7836572920185,8.21428571428751e-07,0.20746887966805
"SNAP23",19.0693723560988,-5.66666666666671e-06,0.869294605809129
"CYP2J2",19.263103031838,-3.90694444444462e-06,0.849066390041494
"ARID2",21.7594244705837,1.87680000000001e-05,0.0518672199170125
"RRNAD1",20.1461732796797,4.11428571428574e-06,0.148340248962656
"RSBN1L",19.6932248872874,0,0.759336099585062
"PDE5A",23.6295141758406,3.57546666666668e-05,0.024896265560166
"ALG8",20.0381786398269,3.13333333333321e-06,0.158195020746888
"KCNRG",100,0.000729454002168973,0
"UBR1",19.6932248872874,0,0.759336099585062
"TIMM17A",19.2475848700192,-4.047901234568e-06,0.851141078838174
"SLC37A3",19.6932248872874,0,0.759336099585062
"PAK1",19.6932248872874,0,0.759336099585062
"RALGAPA2",18.6237634052499,-9.71428571428579e-06,0.906639004149378
"SPRED1",19.6932248872874,0,0.759336099585062
"HMGXB4",13.9565389877662,-5.21082870370371e-05,0.987033195020747
"RUNX2",23.0993496159535,3.09390000000001e-05,0.0280082987551867
