"","Overall","importance","pvalue"
"SLC29A2",61.4906020317648,0.000131521197530865,0.00116279069767444
"ALG10B",45.4264608428189,4.81983641975308e-05,0.0296511627906977
"GNA15",81.3102219082733,0.000234323262345679,0
"HES1",43.4678130460045,3.80390857142858e-05,0.0436046511627907
"ZFP91",78.8138556684795,0.000221374900793651,0
"PDCD4",53.7038711355492,9.11323293650792e-05,0.0058139534883721
"SP1",45.8717447361004,5.0508e-05,0.0267441860465116
"LRRCC1",35.3243713330734,-4.19999999999998e-06,0.794186046511628
"ERMAP",46.4402972619495,5.34570158730161e-05,0.0238372093023256
"INSR",52.6464611503585,8.56476666666666e-05,0.00697674418604655
"GSTA4",52.8037752009452,8.64636363636364e-05,0.00639534883720927
"DIP2B",32.7588796085463,-1.75069074074075e-05,0.898837209302326
"SULT1A4",34.2222303378554,-9.91667724867718e-06,0.848837209302326
"CTSB",36.7124880345027,2.99999999999989e-06,0.223255813953488
"SLX1B",35.2376140392341,-4.65000000000004e-06,0.798255813953488
"SLX1A",39.9097743227955,1.95839523809522e-05,0.0930232558139535
"HABP4",33.8505684155066,-1.18444444444443e-05,0.868023255813953
"SMARCC2",49.4316471345104,6.89728000000001e-05,0.0133720930232558
"NKAIN1",30.9743330779714,-2.67631428571427e-05,0.933139534883721
"CD320",33.1483912958128,-1.54865555555557e-05,0.888372093023256
"NOM1",50.6158263572213,7.5115e-05,0.0110465116279069
"PPM1H",52.4244267427919,8.44959999999999e-05,0.00697674418604655
"MYO5C",36.1341060755739,0,0.725581395348837
"OGFR",38.139163533194,1.04e-05,0.147093023255814
"EIF1AD",53.156869662129,8.82950962962963e-05,0.00639534883720927
"FABP5",45.7269839943799,4.97571428571428e-05,0.0267441860465116
"BCL2L14",39.5341529832093,1.76356481481481e-05,0.101162790697674
"TCEA2",49.0954101380756,6.72287777777778e-05,0.013953488372093
"ZNF486",43.8477435479505,4.00097410714286e-05,0.0401162790697674
"EHBP1L1",37.1976862333819,5.51666666666639e-06,0.18953488372093
"GRHL2",36.1341060755739,0,0.725581395348837
"ZNF148",33.9396017494621,-1.13826388888887e-05,0.863953488372093
"TUBB4A",36.1341060755739,0,0.725581395348837
"OMA1",36.7680127025599,3.28799999999996e-06,0.222093023255814
"RNF157",40.3003603179982,2.160987654321e-05,0.0877906976744186
"SNRNP200",56.1993329947344,0.000104076,0.00406976744186049
"TLR1",43.3107161598994,3.72242424242424e-05,0.0453488372093023
"RHBDL2",71.4857593090727,0.000183364916666667,0.000581395348837166
"HYAL3",74.417019903435,0.000198569024691358,0
"KLRG2",36.1341060755739,0,0.725581395348837
"UNG",38.0293780687676,9.83055555555534e-06,0.152325581395349
"MTF1",28.7552987773236,-3.82730158730158e-05,0.956976744186047
"ATP7B",35.5914267067023,-2.81481481481483e-06,0.775
"TUBB3",43.6022310534076,3.87362962962963e-05,0.0418604651162791
"ARHGDIG",36.1341060755739,0,0.725581395348837
"TMEM259",32.619214646501,-1.82313333333333e-05,0.900581395348837
"`PMF1-BGLAP`",38.1734332380521,1.05777529761903e-05,0.145348837209302
"HOXD11",36.0915950015926,-2.20499999999957e-07,0.731395348837209
"RASA2",37.7788797712779,8.5312500000001e-06,0.165116279069767
"HIBCH",34.3989601987873,-8.9999999999999e-06,0.837790697674419
"SLC26A5",39.1345588845106,1.5563e-05,0.111046511627907
"CHP2",81.2726247007702,0.000234128249999999,0
"CSPP1",60.3820811537158,0.000125771428571428,0.00116279069767444
"LCT",42.632829865347,3.3708125e-05,0.0511627906976744
"TIAL1",72.3292490653429,0.00018774,0
"ANKRD17",38.2852652259442,1.11578125e-05,0.13953488372093
