"","Overall","importance","pvalue"
"GGT7",39.3033220880988,7.73796296296303e-06,0.213631156930126
"CHD6",32.5282178358208,-2.18039682539681e-05,0.891752577319588
"SALL4",60.929613699565,0.0001020365,0.00343642611683848
"EIF2B2",37.5287087295688,0,0.711912943871707
"ACOT4",37.5287087295688,0,0.711912943871707
"WIF1",37.5287087295688,0,0.711912943871707
"TRAPPC6B",65.302747722392,0.000121104962962963,0.00229095074455898
"NIPBL",37.5287087295688,0,0.711912943871707
"ACOT2",39.5110731031981,8.64383333333341e-06,0.203321878579611
"ENTPD5",46.2083545274328,3.78464285714286e-05,0.0589919816723941
"CDK2AP2",65.0312503176411,0.000119921135030864,0.00229095074455898
"CYP2D6",41.7006639861235,1.81912499999999e-05,0.128293241695304
"CDC14A",51.9789639338485,6.30083950617284e-05,0.0217640320733105
"PHF1",56.3060028860985,8.18758666666666e-05,0.00973654066437568
"TM9SF1",46.8548026208521,4.06651785714287e-05,0.0504009163802979
"FOLH1",36.1971791865565,-5.80595555555541e-06,0.7737686139748
"STRN3",43.6444039223011,2.66666666666666e-05,0.0939289805269187
"SLC2A9",37.5287087295688,0,0.711912943871707
"CNN3",36.8664936094808,-2.88749999999993e-06,0.744558991981672
"KLC4",51.9437845297885,6.28550000000001e-05,0.0217640320733105
"AQP5",36.5518963029519,-4.25925925925919e-06,0.755441008018328
"SETBP1",29.6286244700929,-3.44472552910053e-05,0.93127147766323
"KDM3B",66.0623128183188,0.000124416944444445,0.00229095074455898
"DLGAP4",47.6522100975734,4.41421666666668e-05,0.0463917525773195
"SETD3",37.5287087295688,0,0.711912943871707
"TEF",37.5287087295688,0,0.711912943871707
"TINF2",29.0091376130799,-3.71484444444443e-05,0.940435280641466
"FAM161B",37.5287087295688,0,0.711912943871707
"GSTM3",48.2268943302155,4.6648e-05,0.0400916380297823
"SNAPC1",52.2643234040775,6.42526666666665e-05,0.0217640320733105
"FAM69A",42.3743050813819,2.11285714285714e-05,0.11454753722795
"RNF40",40.1686106720411,1.15109375000002e-05,0.176975945017182
"PNMA1",43.0246437398233,2.39642857142857e-05,0.100229095074456
"ARID4A",35.4271334724299,-9.16363636363626e-06,0.801260022909507
"DAD1",51.7848245875637,6.21618765432101e-05,0.0229095074455899
"LAMB1",37.5287087295688,0,0.711912943871707
"TRAM2",49.9823027070361,5.43022222222223e-05,0.0303550973654066
"ZNF521",75.923241343368,0.000167414197530864,0
"WWP2",56.548202253175,8.29319444444445e-05,0.00859106529209619
"CDH11",43.1346607279868,2.44439999999997e-05,0.0996563573883161
"SKAP2",33.7914073972901,-1.62959999999999e-05,0.859106529209622
"FST",37.5287087295688,0,0.711912943871707
"HEXA",37.5287087295688,0,0.711912943871707
"C1orf194",37.5287087295688,0,0.711912943871707
"MNAT1",52.6878268021531,6.60992962962963e-05,0.0211912943871707
"WARS",47.8914611899257,4.51853888888887e-05,0.0435280641466208
"FKBP3",34.1296244529957,-1.482125e-05,0.850515463917526
"C14orf28",38.1843112542297,2.85866666666679e-06,0.256013745704467
"ANXA5",37.5287087295688,0,0.711912943871707
"SMAD6",41.8567874308971,1.88720052910054e-05,0.124284077892325
"HSPA5",33.5449930138092,-1.73704567901236e-05,0.865406643757159
"PPFIBP1",91.220397168535,0.000234115388888889,0
"RNF26",37.5287087295688,0,0.711912943871707
"ATP5S",37.5287087295688,0,0.711912943871707
"SPRY4",39.1742129673633,7.17499999999993e-06,0.218785796105384
"COQ6",37.5287087295688,0,0.711912943871707
"ARSJ",52.1595717382513,6.3795911111111e-05,0.0217640320733105
"PDLIM7",43.51355352724,2.60961111111113e-05,0.0979381443298969
"SCD5",56.0898436395114,8.09333333333333e-05,0.0103092783505154
"OSBPL1A",38.6967873998332,5.09325000000005e-06,0.234822451317297
"RING1",38.0266707166159,2.17129629629631e-06,0.264604810996564
"RSPH1",37.5287087295688,0,0.711912943871707
"MKL1",65.8492700280736,0.000123488,0.00229095074455898
"DST",67.7842568755067,0.00013192525,0.000572737686139746
"FZD5",50.9771224583872,5.864e-05,0.0246277205040092
"FERMT2",37.5287087295688,0,0.711912943871707
"WNT3",62.5845080776867,0.000109252444444444,0.00286368843069873
"NEMF",37.5287087295688,0,0.711912943871707
"CGRRF1",49.7611762782522,5.33380301587301e-05,0.0309278350515464
"MAGI3",37.5287087295688,0,0.711912943871707
"ITFG1",48.6652440637441,4.85593650793652e-05,0.0389461626575028
"RWDD3",37.5287087295688,0,0.711912943871707
"ELMSAN1",37.4886318145089,-1.74750000000001e-07,0.714203894616266
"XRCC6",37.5287087295688,0,0.711912943871707
"GSS",37.5287087295688,0,0.711912943871707
"IGFBP4",37.2840809218595,-1.06666666666655e-06,0.721649484536082
"KCNK17",43.0860636019276,2.42320987654321e-05,0.0996563573883161
"AMIGO1",69.4511815177285,0.000139193650793651,0.000572737686139746
"SLC1A4",37.1938016118716,-1.46031746031738e-06,0.729095074455899
"PIGK",38.2657375948857,3.21371527777781e-06,0.253722794959908
"CCDC88A",33.3751722268954,-1.81109374999999e-05,0.871706758304696
"MCAM",63.6633600291923,0.000113956633333333,0.00286368843069873
"AQP11",31.3439061811586,-2.69680000000001e-05,0.907216494845361
"BCAR3",42.9697662963528,2.3725e-05,0.100229095074456
"ASTN1",40.0080829104797,1.08109777777776e-05,0.185567010309278
"HSP90B1",80.0064701790068,0.000185218567901235,0
"DLK1",37.5287087295688,0,0.711912943871707
"SRF",33.5116143422226,-1.75159999999999e-05,0.867124856815578
