"","Overall","importance","pvalue"
"HMGCS1",47.7496764392249,3.3344e-05,0.045822102425876
"STK11",64.5419112005544,8.42454642857142e-05,0.00431266846361189
"REXO2",36.5850584671545,-4.98749999999992e-07,0.719676549865229
"TRIM43",53.5491223800165,5.09235714285716e-05,0.0199460916442048
"LYSMD1",50.6359443293237,4.20929999999999e-05,0.0280323450134771
"NPC1",37.3827033280207,1.91911111111098e-06,0.254986522911051
"MDM4",58.8877641848622,6.71063302469135e-05,0.00916442048517518
"GNA14",36.7495945410128,0,0.709973045822102
"VWDE",35.7766186469452,-2.94933333333325e-06,0.755795148247978
"NUCKS1",49.4124745848482,3.8384357142857e-05,0.032345013477089
"TSEN15",67.5296564510437,9.33020675505052e-05,0.00323450134770886
"INSIG1",36.7495945410128,0,0.709973045822102
"SPTSSB",46.6288334280434,2.99464444444444e-05,0.0528301886792453
"URB2",36.7495945410128,0,0.709973045822102
"RNF39",36.7495945410128,0,0.709973045822102
"C1orf131",37.2774295649194,1.60000000000005e-06,0.259838274932615
"MTA2",36.7495945410128,0,0.709973045822102
"TRIM24",47.9019945461236,3.38057142857142e-05,0.0404312668463612
"RPP25L",36.7495945410128,0,0.709973045822102
"SLC6A4",52.9310369926473,4.905e-05,0.0221024258760107
"VPS37C",40.3234775153799,1.08333333333333e-05,0.159568733153639
"AGFG2",88.5119486733501,0.000156904644179894,0
"PAIP1",36.7495945410128,0,0.709973045822102
"TRAF3IP1",29.8965364806264,-2.07733333333333e-05,0.905121293800539
"PPP1R15B",38.5869882592315,5.56960000000006e-06,0.211859838274933
"PEX19",36.7495945410128,0,0.709973045822102
"ELL2",47.4593877946319,3.24640624999999e-05,0.0463611859838275
"SC5D",37.5850419199454,2.53245000000013e-06,0.249056603773585
"GPR89B",36.7495945410128,0,0.709973045822102
"MYCN",45.399765909356,2.62208333333334e-05,0.0684636118598383
"ADCY3",37.7453176111107,3.01828571428553e-06,0.24366576819407
"MSMO1",36.7495945410128,0,0.709973045822102
"WFDC3",49.8491193009788,3.97079365079365e-05,0.0312668463611859
"TMEM45B",28.3708562985628,-2.53980516273851e-05,0.928301886792453
"DUSP2",35.3640276032582,-4.19999999999998e-06,0.773045822102426
"ZBTB37",50.7175335903108,4.23403174603176e-05,0.0274932614555256
"PRCC",34.6712441343809,-6.29999999999997e-06,0.796765498652291
"USP20",48.917873908917,3.68850987654323e-05,0.0345013477088949
"ISG20L2",52.5832116322178,4.79956543209876e-05,0.0231805929919138
"PRSS3",52.3771149139786,4.73709236111113e-05,0.0231805929919138
"SPATA17",36.7495945410128,0,0.709973045822102
"MSTO1",56.5358746670491,5.9977164772727e-05,0.012398921832884
"GORAB",36.7495945410128,0,0.709973045822102
"ARHGEF11",31.686504313585,-1.53474930555557e-05,0.870619946091644
"SCLY",36.7495945410128,0,0.709973045822102
"NAMPT",58.2190055588149,6.50791555555557e-05,0.0102425876010782
"PUS1",39.5336603746078,8.43919999999998e-06,0.184905660377358
"ACPP",26.2359639346246,-3.18694444444445e-05,0.953099730458221
"CD180",47.0555733827879,3.12400000000002e-05,0.0501347708894879
"FAM86B2",38.38699324434,4.96336507936501e-06,0.216711590296496
"RAB6A",36.7495945410128,0,0.709973045822102
"SFXN4",36.7495945410128,0,0.709973045822102
"FCGR2A",34.254843567084,-7.56221428571413e-06,0.808625336927224
"DHCR7",73.4562370306013,0.000111267015873016,0.000539083557951514
"PLA2G6",33.6541275127932,-9.38313492063481e-06,0.825876010781671
"HNMT",36.7495945410128,0,0.709973045822102
"CRIPAK",36.7495945410128,0,0.709973045822102
"RBX1",37.6734524536893,2.80044444444449e-06,0.245822102425876
"SLC25A22",48.4013864361898,3.5319496031746e-05,0.0366576819407008
"PNP",36.3743368287043,-1.13750000000001e-06,0.732614555256065
"KIAA0907",39.7675401638117,9.14814814814813e-06,0.176819407008086
"USP21",29.2933383449732,-2.26017777777778e-05,0.916981132075472
"PRKCH",41.1346049479506,1.32920634920635e-05,0.143935309973046
"GPR132",36.7495945410128,0,0.709973045822102
"GPX4",16.8480148271372,-6.03266666666666e-05,0.988140161725067
"SH3BP5L",36.7495945410128,0,0.709973045822102
"STK39",36.7495945410128,0,0.709973045822102
"IER3",36.2829883798795,-1.41440000000004e-06,0.737466307277628
"GOLPH3L",37.2208758123579,1.42857142857133e-06,0.262533692722372
"ACAA2",39.2549121646912,7.59424444444434e-06,0.191374663072776
"MITF",43.1236960781788,1.93214962962964e-05,0.102964959568733
"ADAMTS3",37.1718625601381,1.27999999999995e-06,0.266307277628032
"IL1RAP",39.498735290526,8.3333333333333e-06,0.184905660377358
"SRR",35.6382543930222,-3.36874999999992e-06,0.759029649595687
"GPATCH2",33.4173720350909,-1.01008e-05,0.831805929919137
"DENND4B",49.3759970871675,3.82737847222221e-05,0.0328840970350405
"HS3ST1",36.7495945410128,0,0.709973045822102
"COQ6",31.314778919861,-1.64742857142857e-05,0.879245283018868
"MARS2",36.7495945410128,0,0.709973045822102
"FADS2",49.9468394725922,4.00041507936508e-05,0.0312668463611859
"DNAJB6",36.7495945410128,0,0.709973045822102
"GNL3L",36.7495945410128,0,0.709973045822102
"COPA",25.7017142489693,-3.34888888888889e-05,0.95633423180593
"CTC1",39.0104191648938,6.85312500000013e-06,0.196765498652291
"BTBD2",36.4770172356986,-8.26250000000028e-07,0.726145552560647
"SGMS1",74.4840316639572,0.000114382518518518,0
"VMP1",36.7495945410128,0,0.709973045822102
"KIF5B",36.7495945410128,0,0.709973045822102
"SLC41A1",43.0078416359827,1.89703125e-05,0.106199460916442
"ALG8",36.6103047430375,-4.22222222222324e-07,0.718059299191375
"NAT9",41.4850626470121,1.43543884479718e-05,0.134770889487871
"STARD10",49.613194732886,3.89927901234568e-05,0.032345013477089
"IMP3",38.8975898466325,6.51111111111113e-06,0.201617250673854
"CHODL",67.4345472933781,9.30137679012346e-05,0.00323450134770886
"TMEM255A",37.0554989298677,9.27272727272665e-07,0.273315363881402
"SMG5",34.9041094470111,-5.59412698412687e-06,0.788679245283019
"POTEH",30.9609494069431,-1.75468314814815e-05,0.885714285714286
