"","Overall","importance","pvalue"
"CDK13",55.7803463012005,0,0.695408163265306
"MYLIP",57.4658873601202,1.78577777777789e-06,0.229081632653061
"MTA1",65.2379180217935,1.00199999999999e-05,0.0801020408163265
"CCDC117",65.3405638226533,1.012875e-05,0.0785714285714286
"RALA",67.1354326787376,1.20303571428573e-05,0.0596938775510204
"HOXC8",56.7289350815593,1.00499999999992e-06,0.258163265306122
"RCOR1",58.8258983389695,3.22666666666649e-06,0.187244897959184
"NRDE2",55.7803463012005,0,0.695408163265306
"STX1A",62.9679120349645,7.61499999999993e-06,0.107142857142857
"PPM1A",51.3170756794783,-4.72869494949513e-06,0.845918367346939
"PANK1",59.4378403548231,3.87500000000007e-06,0.172448979591837
"RP9",68.9945183659014,1.4e-05,0.048469387755102
"AS3MT",60.2666925556571,4.75314285714301e-06,0.153061224489796
"BTBD7",55.7803463012005,0,0.695408163265306
"SREBF2",55.7803463012005,0,0.695408163265306
"LYZ",55.7803463012005,0,0.695408163265306
"NUDCD3",53.0620023336049,-2.87999999999999e-06,0.805612244897959
"YY1",79.2876825471785,2.49052839506174e-05,0.00765306122448983
"SERPINF1",53.6841696016512,-2.22083333333334e-06,0.787755102040816
"STK17A",79.5574660671449,2.51911111111112e-05,0.00765306122448983
"LANCL2",55.7803463012005,0,0.695408163265306
"MAP3K11",49.6168789024508,-6.52999999999992e-06,0.878571428571429
"TIMM17A",55.360848775337,-4.4444444444447e-07,0.718877551020408
"HOXC9",55.4484638300244,-3.51619047619156e-07,0.713775510204082
"NSMCE4A",59.4131948751785,3.84888888888879e-06,0.173469387755102
"SLK",55.7803463012005,0,0.695408163265306
"MPLKIP",72.1915389746162,1.73871428571428e-05,0.0260204081632653
"NSUN5",54.0513662734778,-1.83179999999994e-06,0.771428571428571
"CRNKL1",60.9428027109129,5.46946031746032e-06,0.138265306122449
"SUMF2",55.2979990567301,-5.11031746031509e-07,0.723469387755102
"ADO",56.8590542248495,1.14285714285711e-06,0.251020408163265
"TECPR2",55.7803463012005,0,0.695408163265306
"SAV1",55.7803463012005,0,0.695408163265306
"RBBP9",52.7977188923108,-3.16000000000005e-06,0.808673469387755
"HOXC10",55.7803463012005,0,0.695408163265306
"MFSD8",44.8104859998695,-1.16222222222222e-05,0.937755102040816
"ATG14",36.5225364119463,-2.04030443322112e-05,0.983163265306122
"DDTL",64.0448670582377,8.75599999999999e-06,0.0923469387755103
"CEP41",67.4109152057667,1.23222222222223e-05,0.0581632653061225
"ELMSAN1",56.7416947979711,1.01851851851853e-06,0.258163265306122
"HOXC6",55.7803463012005,0,0.695408163265306
"HOXA4",55.7803463012005,0,0.695408163265306
"KAZALD1",58.895115430737,3.29999999999986e-06,0.185714285714286
"SETD3",54.9187822825822,-9.12799999999825e-07,0.739285714285714
"CHCHD6",60.7639769084591,5.27999999999995e-06,0.141326530612245
"RSPH1",56.0098953473529,2.43199999999888e-07,0.29234693877551
"PLA2G4A",47.8085299428347,-8.44588888888875e-06,0.902551020408163
"AREL1",55.7803463012005,0,0.695408163265306
"ERP27",55.7803463012005,0,0.695408163265306
"ZNF236",56.2522810177971,5.00000000000167e-07,0.277551020408163
"CWF19L1",55.2970851514057,-5.12000000000068e-07,0.723979591836735
"XRN2",64.9780393045212,9.74466666666673e-06,0.0821428571428572
"SCRN3",55.7803463012005,0,0.695408163265306
"EGFR",54.9958020283304,-8.31200000000143e-07,0.735204081632653
"SLX4IP",55.7803463012005,0,0.695408163265306
"RTN4RL1",55.7803463012005,0,0.695408163265306
"PCDHB11",55.7803463012005,0,0.695408163265306
"FAM161B",56.2973835564759,5.47784722221944e-07,0.275
"SPTLC2",65.7796418722382,1.05939393939394e-05,0.0739795918367347
"SLC25A29",40.2143662321273,-1.64916666666666e-05,0.972448979591837
"ANKRD9",40.8071978051358,-1.58635802469136e-05,0.969387755102041
"VPS41",52.1425686312936,-3.854111111111e-06,0.827040816326531
