"","Overall","importance","pvalue"
"ZNF18",48.6788098247986,5.39127500000001e-05,0.0644104803493449
"GEMIN6",51.6618635722453,7.1804e-05,0.0436681222707423
"MEPCE",51.791964364017,7.25842962962964e-05,0.0431222707423581
"CCDC142",42.0109574442893,1.39214444444444e-05,0.158296943231441
"TRMT2B",39.6897995028447,0,0.699235807860262
"AGBL5",56.0638501972031,9.82054831349208e-05,0.0251091703056768
"UQCC1",71.2352687442375,0.000189198024691358,0.00327510917030571
"SLC35D1",48.6580099391006,5.37879999999999e-05,0.0649563318777293
"HEXIM2",38.7080782444102,-5.88799999999989e-06,0.787117903930131
"PAOX",40.3866357027719,4.17936507936512e-06,0.231986899563319
"TRIB2",37.9437391803913,-1.04722222222222e-05,0.821506550218341
"USP21",39.6897995028447,0,0.699235807860262
"GEMIN4",75.7268913361322,0.000216137111111111,0.0016375545851528
"ZBTB37",39.6897995028447,0,0.699235807860262
"CLCN5",39.6897995028447,0,0.699235807860262
"TIMM8A",39.5712341334686,-7.11111111111107e-07,0.715065502183406
"GPR89B",39.6429059729645,-2.81250000000011e-07,0.706331877729258
"SFXN4",39.7601976909118,4.22222222222324e-07,0.29203056768559
"SCAND1",39.6897995028447,0,0.699235807860262
"KCNH2",61.2968612976271,0.000129591142857143,0.0141921397379913
"PEX19",39.6897995028447,0,0.699235807860262
"IL17RA",39.6897995028447,0,0.699235807860262
"TYW5",39.6897995028447,0,0.699235807860262
"KRT13",39.6897995028447,0,0.699235807860262
"SOX12",39.6897995028447,0,0.699235807860262
"CEACAM6",39.7564925231188,3.99999999999956e-07,0.292576419213974
"FBXL8",38.8219962747546,-5.20476190476171e-06,0.781659388646288
"INO80B",39.2904565181147,-2.39511111111113e-06,0.745633187772926
"MLPH",53.1789352621715,8.09028333333333e-05,0.0365720524017468
"BLZF1",39.6897995028447,0,0.699235807860262
"TBX3",42.0981585682977,1.44444444444445e-05,0.152292576419214
"ULBP1",29.6682700720143,-6.01054166666666e-05,0.944868995633188
"CDC42BPA",36.7422061960884,-1.76785714285714e-05,0.862991266375546
"GNL3L",44.4833126971728,2.87497142857143e-05,0.108078602620087
"C1orf131",39.6897995028447,0,0.699235807860262
"RPP25L",39.6897995028447,0,0.699235807860262
"NUCKS1",58.5284551984373,0.00011298726984127,0.0185589519650655
"FAM136A",50.1254045918422,6.2588888888889e-05,0.0518558951965066
"RBMS1",41.8253655895377,1.28083333333333e-05,0.164847161572052
"FGF18",39.6897995028447,0,0.699235807860262
"MYLPF",35.4479328619265,-2.54411428571431e-05,0.884279475982533
"SNAP47",10.3417829424208,-0.000176018518518519,0.996724890829694
"MLYCD",40.1343387979807,2.66618181818168e-06,0.249454148471616
"RPL15",72.9403420888794,0.000199424422222222,0.00327510917030571
"NPHP1",44.7452971721709,3.0321e-05,0.102620087336245
"DRD4",82.9348136056095,0.000259367555555555,0
"MSRA",39.6897995028447,0,0.699235807860262
"IDH3G",39.6897995028447,0,0.699235807860262
"TSACC",39.6897995028447,0,0.699235807860262
"RBBP5",60.2102537964351,0.000123074074074074,0.0141921397379913
"ETFB",39.8398587984614,8.99999999999901e-07,0.283296943231441
"SPIN2B",43.0071103312776,1.98960000000001e-05,0.131004366812227
"MED31",40.0480139672075,2.14843750000004e-06,0.258733624454148
"BRSK1",39.6897995028447,0,0.699235807860262
"PREB",47.2660571340844,4.54395833333334e-05,0.0796943231441049
"SKIV2L",41.9543050317521,1.35816642857145e-05,0.161572052401747
"PINX1",45.5549001538782,3.51766984126984e-05,0.0960698689956332
"C1orf35",43.4092229289329,2.23077222222221e-05,0.123362445414847
"MSTO1",41.3675014042797,1.00622337662339e-05,0.181222707423581
"AP5Z1",39.6897995028447,0,0.699235807860262
"GET4",39.2865151458749,-2.41874999999991e-06,0.74617903930131
"XPA",39.6897995028447,0,0.699235807860262
"B9D1",44.2530841567092,2.7368888888889e-05,0.110807860262009
"WRAP53",62.5988519669921,0.0001374,0.0120087336244541
"EPB41L3",39.4347728036522,-1.52955555555545e-06,0.729257641921397
