"","Overall","importance","pvalue"
"DEPTOR",60.2020170111406,8.81001919191919e-05,0.00289855072463763
"RPS17",77.9164934855665,0.000152899973214286,0
"NACC1",78.6902891870708,0.000155730527777778,0
"DNAJB1",60.0455651163359,8.75278888888888e-05,0.00289855072463763
"MXRA5",63.953929641933,0.000101824736263736,0.000579710144927525
"STYXL1",28.0191901401231,-2.9625e-05,0.929855072463768
"KLF10",100,0.000233681722222222,0
"TRPM4",54.3095499787908,6.65454722222223e-05,0.0110144927536232
"RNF181",41.7435427306451,2.05788571428571e-05,0.102608695652174
"SIVA1",75.0606229374225,0.000142453162257496,0
"JUND",71.9932419218123,0.000131232643308081,0.000579710144927525
"NDUFV2",35.1203135035522,-3.64900000000001e-06,0.786666666666667
"NOP10",56.3512976546529,7.40142113095237e-05,0.00753623188405794
"LPL",53.3744262785061,6.31247777777779e-05,0.0115942028985507
"POP7",27.4919717989825,-3.15535714285713e-05,0.935072463768116
"MRPL35",40.8316172882574,1.72430222222222e-05,0.111304347826087
"MIF",36.1178496582009,0,0.736811594202899
"MDM4",41.8434842354447,2.09444444444444e-05,0.100289855072464
"TRIM45",36.1178496582009,0,0.736811594202899
"TTLL11",69.5274709973321,0.000122212821759259,0.000579710144927525
"ATP6V0A4",44.2282565989457,2.96679722222222e-05,0.0701449275362319
"SUSD1",42.9958555214329,2.51598333333334e-05,0.0817391304347826
"IL12RB2",54.1686745621699,6.6030148148148e-05,0.0110144927536232
"MPP7",36.1178496582009,0,0.736811594202899
"YWHAG",36.1178496582009,0,0.736811594202899
"NIPSNAP1",40.5028472837756,1.60403773448776e-05,0.117101449275362
"POLR2K",58.4116655758165,8.15510634920635e-05,0.00579710144927537
"SPAG4",36.1178496582009,0,0.736811594202899
"EMC4",57.2830980894497,7.74227492063493e-05,0.00753623188405794
"RAB3D",67.6973753896971,0.000115518308641975,0.000579710144927525
"GCDH",36.1178496582009,0,0.736811594202899
"DNASE2",65.1561377849239,0.000106222429012346,0.000579710144927525
"DNAJC17",55.9178815993878,7.24287698412698e-05,0.00811594202898547
"USE1",39.3984560226461,1.20004999999996e-05,0.137971014492754
"COPE",35.6113512148293,-1.8527777777777e-06,0.76695652173913
"DEFB1",55.915861951761,7.24213819444444e-05,0.00811594202898547
"RAB15",36.1178496582009,0,0.736811594202899
"TTF2",20.7124147400615,-5.63532777777778e-05,0.985507246376812
"C21orf91",36.1178496582009,0,0.736811594202899
"AEN",41.149488725132,1.84058e-05,0.106666666666667
"EEF2",50.8065431744849,5.37314285714288e-05,0.0173913043478261
"TMEM5",36.1178496582009,0,0.736811594202899
"SNRPD3",43.7956927534374,2.80856481481482e-05,0.0753623188405798
"FADS2",36.2887985780987,6.25333333333478e-07,0.253333333333333
"TIMM21",60.2292847072553,8.81999375e-05,0.00289855072463763
"DSC1",27.0273036832536,-3.32533333333334e-05,0.942608695652174
"TECR",35.1214069934449,-3.64500000000012e-06,0.786086956521739
"SWSAP1",36.1178496582009,0,0.736811594202899
"ASF1A",40.2809218926895,1.52285714285714e-05,0.121159420289855
"ABCB6",57.0403901971148,7.65349206349206e-05,0.00753623188405794
"RALGPS2",64.6054015160731,0.000104207828703704,0.000579710144927525
"NRP2",58.8561579351751,8.31770222222221e-05,0.00521739130434784
"CHP1",35.6234556790622,-1.80849949294548e-06,0.766376811594203
"NR2F6",93.937632271424,0.000211505503607504,0
"MATN4",36.1178496582009,0,0.736811594202899
"HNMT",53.938667063158,6.51887777777778e-05,0.0110144927536232
"TXNL4A",60.3840045773834,8.87659047619047e-05,0.00289855072463763
"BABAM1",83.2509659540403,0.000172413541666667,0
"MRPL13",38.0105812543552,6.92363636363646e-06,0.179710144927536
"RFXANK",42.8671122739229,2.4688888888889e-05,0.0840579710144927
"MAN1A2",45.9055656813057,3.58035902777778e-05,0.0504347826086956
"CD101",34.8141667083053,-4.76888888888882e-06,0.800579710144928
"AKT3",53.4534504498615,6.34138492063492e-05,0.0115942028985507
"MXD1",38.8644923242109,1.00472539682543e-05,0.156521739130435
"NDUFAF1",33.8391382206155,-8.33555555555554e-06,0.834202898550725
"IER3IP1",37.6487355080316,5.60000000000005e-06,0.190724637681159
"EPHB4",36.2348096842676,4.278412698413e-07,0.257391304347826
"SRR",44.2440945758487,2.97259077441074e-05,0.0695652173913044
"RFXAP",13.0275087993934,-8.44647619047618e-05,0.995942028985507
"ACSS2",36.1178496582009,0,0.736811594202899
