"","Overall","importance","pvalue"
"ZNF326",43.0074660072453,-3.80277777777782e-06,0.758601240834743
"RAB11FIP1",50.6645408297142,0.000107663492063492,0.0355329949238579
"MERTK",82.7274728013553,0.0005744129375,0.000564015792442141
"FZD8",41.556839390494,-2.49199722222224e-05,0.877044557247603
"RIOK3",43.2595351821447,-1.33333333333319e-07,0.708403835307389
"PLEKHA7",40.4371236910227,-4.122e-05,0.916525662718556
"SH3BGRL",64.2267793298331,0.000305092950617284,0.00789622109419064
"CPNE5",43.2686943951615,0,0.70614777213762
"ARL14",39.0424808556671,-6.15222222222223e-05,0.939086294416244
"ACYP1",51.4983400723804,0.000119801350649351,0.0315848843767625
"SMIM14",42.6217367230174,-9.41795138888879e-06,0.813874788494078
"RABGAP1",43.2686943951615,0,0.70614777213762
"NME4",45.175092992475,2.7752e-05,0.111675126903553
"HSPA1A",48.139119655656,7.09002000000001e-05,0.0541455160744501
"ZNF644",43.2686943951615,0,0.70614777213762
"UNC119",43.2582630692257,-1.51851851851958e-07,0.710095882684715
"PRPF4",43.2686943951615,0,0.70614777213762
"MX2",43.2686943951615,0,0.70614777213762
"MSRB2",43.9418965518952,9.80000000000003e-06,0.183869148336153
"DIS3L2",42.3767086931246,-1.29848958333334e-05,0.838691483361534
"GPD1L",44.0257033509987,1.102e-05,0.173716864072194
"P2RY2",41.5818726645705,-2.45555555555557e-05,0.875352509870276
"FBXL3",49.2172368810421,8.65946666666666e-05,0.0434292160180485
"SART1",38.8590103699247,-6.41930555555552e-05,0.943034404963339
"ORAI3",44.8492859078725,2.30091313131311e-05,0.129159616469261
"UROS",42.7864999932154,-7.01944444444447e-06,0.798082346305697
"SEMA4G",53.8954499502373,0.000154696777777778,0.024252679075014
"FAM102B",43.2686943951615,0,0.70614777213762
"DACT2",40.0632805983002,-4.66621428571428e-05,0.923293852227862
"GPM6B",43.2686943951615,0,0.70614777213762
"DEGS1",47.86854737573,6.69614004629631e-05,0.0552735476593345
"PDIK1L",44.5876210695784,1.91999999999999e-05,0.141003948110547
"C1orf21",43.6271526864093,5.21818181818201e-06,0.225042301184433
"EIF3D",45.1978601791167,2.80834285714284e-05,0.111111111111111
"ROR1",43.4659037004292,2.87083333333338e-06,0.249294980259447
"CYP4B1",44.2537677551167,1.434e-05,0.156232374506486
"ETFB",40.8092101775346,-3.58034285714286e-05,0.906373378454597
"PDZD11",75.0865707063143,0.000463182098765432,0.00169204737732653
"TUBB4B",55.5664644056969,0.000179022222222222,0.0197405527354766
"SNX30",48.3986271292153,7.46779259259258e-05,0.0530174844895657
"CXADR",43.2989197981169,4.39999999999996e-07,0.283699943598421
"NOS1AP",51.6218966664686,0.0001216,0.0310208685843204
"KLF3",43.2686943951615,0,0.70614777213762
"CNPY2",52.8034351456337,0.0001388,0.0276367738296672
"B4GALT2",37.3252810685704,-8.65199999999999e-05,0.956570783981952
"PDCL",47.3313778189188,5.91416666666666e-05,0.0626057529610829
"ESRRG",43.2686943951615,0,0.70614777213762
"SLC25A29",43.2686943951615,0,0.70614777213762
"PRKAG1",40.8576765893659,-3.50978888888889e-05,0.905245346869712
"PTPN3",65.3714257922815,0.000321755902777778,0.0073322053017485
"SYNE2",49.3209327415966,8.81041975308641e-05,0.0428652002256064
"PEMT",43.6928804480013,6.17500000000004e-06,0.211505922165821
"GEM",43.4291819243402,2.33626373626361e-06,0.257191201353638
"B4GALNT3",42.8349402358667,-6.31428571428572e-06,0.790750141003948
"NELFB",43.2686943951615,0,0.70614777213762
"AKR1B1",40.6475508855752,-3.81567500000002e-05,0.910885504794134
"SEC16B",43.2686943951615,0,0.70614777213762
"SEC61A1",42.9864475215412,-4.10874999999988e-06,0.761421319796954
"MAP9",42.1695888331474,-1.6e-05,0.851099830795262
"FAM184A",48.0976095934187,7.02959259259259e-05,0.0541455160744501
"OAZ3",41.3773169071956,-2.75333333333334e-05,0.88663282571912
"SLC30A1",49.2680552479302,8.73344444444444e-05,0.0428652002256064
"SLC35A3",55.9898616758348,0.00018518573968254,0.0186125211505922
"CCDC113",41.7849018864425,-2.15999999999998e-05,0.866892272983644
"MYB",43.6858049559459,6.07199999999986e-06,0.211505922165821
"SCAI",43.2686943951615,0,0.70614777213762
"RPS26",67.1420280846472,0.000347531076388889,0.00564015792442185
"CALB2",43.2740849736558,7.84722222222367e-08,0.29385222786238
"ARL4D",43.2686943951615,0,0.70614777213762
"CRABP1",43.6380488192763,5.37679999999985e-06,0.223350253807107
"MED19",43.1989208188587,-1.01571428571434e-06,0.724760293288212
"GAS6",43.9946597250138,1.05680888888888e-05,0.176536943034405
"CUEDC2",43.2686943951615,0,0.70614777213762
"ERP27",46.1545162629004,4.20097500000001e-05,0.0817822899041173
"FAM107B",60.9270337743639,0.000257057592857143,0.011844331641286
"TBKBP1",42.8548124569656,-6.02499999999995e-06,0.787930062041737
"TMEM55A",43.2686943951615,0,0.70614777213762
"FOXI1",43.2686943951615,0,0.70614777213762
"SLC44A4",45.6920633997103,3.52776888888888e-05,0.0947546531302876
"TMEM50A",43.2686943951615,0,0.70614777213762
"GALNT2",18.1506975982584,-0.00036565,0.99492385786802
"DPP4",43.2686943951615,0,0.70614777213762
"EGF",68.6706520990674,0.000369783701683502,0.00507614213197971
"CES3",76.0998190352182,0.00047793225,0.00169204737732653
"SET",43.2686943951615,0,0.70614777213762
"RALGPS1",49.7653140110631,9.45731851851852e-05,0.038917089678511
"SPRY2",45.1333269811184,2.71439999999998e-05,0.115059221658206
"NUP188",43.2686943951615,0,0.70614777213762
"PER2",57.4871055792515,0.000206981555555556,0.0163564579808234
"EREG",43.2686943951615,0,0.70614777213762
"ACP1",40.6165265048415,-3.86083809523809e-05,0.912577552171461
"EIF5",48.4411233333874,7.52965555555556e-05,0.0530174844895657
"RASSF4",40.9124868465938,-3.43e-05,0.904117315284828
"CNTRL",43.2686943951615,0,0.70614777213762
"CLU",43.2686943951615,0,0.70614777213762
"SLC25A25",53.2281860166096,0.000144983222222222,0.0265087422447828
"SASS6",43.2686943951615,0,0.70614777213762
"LRRC8B",47.1137320196075,5.59733333333334e-05,0.065989847715736
"MAPKAP1",43.2686943951615,0,0.70614777213762
"GUK1",43.9187431715964,9.46294949494941e-06,0.18556119571348
"ABCD3",43.7058464589282,6.36375e-06,0.20868584320361
"ZADH2",43.6213240963077,5.13333333333343e-06,0.226170332769318
"RANBP9",43.7597220947946,7.14803333333336e-06,0.200225606316977
"KCNK3",43.2686943951615,0,0.70614777213762
"RPF1",43.2686943951615,0,0.70614777213762
"LRRC8A",43.2686943951615,0,0.70614777213762
"BAG5",43.2686943951615,0,0.70614777213762
"EXOC6",43.2686943951615,0,0.70614777213762
"KCTD18",43.2686943951615,0,0.70614777213762
"FUK",41.5364582333622,-2.52166666666669e-05,0.878172588832487
"PARL",51.9867997130573,0.000126912,0.029892836999436
"GALNT12",47.0512585541555,5.5063888888889e-05,0.0671178793006204
"TBX1",43.2686943951615,0,0.70614777213762
"SMC5",43.2686943951615,0,0.70614777213762
"FGD1",28.8020471668197,-0.0002105952,0.984207557811619
