"","Overall","importance","pvalue"
"SH3BGRL",63.0416194442362,0.000286143,0.00463231036479439
"RAB11FIP1",61.165538609229,0.000248574603174603,0.00521134916039379
"NME4",48.7922348832859,7.99999999999912e-07,0.259409380428489
"HSPA1A",66.9125005609409,0.000363657142857143,0.00347423277359582
"ARL14",47.4828747371874,-2.5419851851852e-05,0.918934568616097
"MERTK",48.6153828737627,-2.74145000000003e-06,0.768384481760278
"MX2",79.6272127623996,0.000618268428571428,0.00115807759119857
"CNPY2",48.7719629351419,3.94055555555717e-07,0.265778807180081
"FZD8",56.6780949625154,0.000158713835714286,0.0156340474811812
"ESRRG",89.2351809850061,0.000810667367965368,0.000579038795599285
"PDZD11",65.8856028708039,0.000343093583333333,0.00347423277359582
"ETFB",48.7522846912407,0,0.726693688477128
"CYP4B1",48.7522846912407,0,0.726693688477128
"UNC119",54.513147328128,0.0001153609,0.0243196294151709
"PLEKHA7",55.011029212278,0.000125330952380952,0.0220034742327736
"RABGAP1",67.0546606242812,0.000366503888888889,0.00347423277359582
"CCDC113",48.5188257564764,-4.67499999999998e-06,0.797336421540243
"MAP9",47.8637928164862,-1.77919920634919e-05,0.893456861609728
"TBKBP1",48.5225710869807,-4.60000000000016e-06,0.795020266357846
"GAS6",49.5166095459948,1.53055555555555e-05,0.11696583671106
"B4GALNT3",48.7522846912407,0,0.726693688477128
"FBXL3",50.174272342129,2.84752103174601e-05,0.074116965836711
"SMIM14",50.2816279804719,3.06250000000001e-05,0.0665894614939201
"PTPN3",52.4074184420529,7.31938158730159e-05,0.0324261725535611
"KLF3",48.5198245112776,-4.65500000000008e-06,0.796178343949045
"RALGPS1",48.7522846912407,0,0.726693688477128
"ORAI3",47.6485179567341,-2.21028571428572e-05,0.909669947886508
"NOS1AP",61.6844548243545,0.000258965866666667,0.00521134916039379
"HSD17B10",69.9020590392393,0.000423522857142857,0.00289519397799654
"DIS3L2",48.7522846912407,0,0.726693688477128
"GEM",48.7522846912407,0,0.726693688477128
"FIGN",76.1826922757826,0.00054929212962963,0.00173711638679797
"MSRB2",48.3434216023315,-8.18745679012345e-06,0.835552982049797
"CPNE5",61.8719594653937,0.000262720634920635,0.00521134916039379
"EMD",48.2355178598602,-1.03482222222222e-05,0.852924145917777
"RIOK3",56.9849317387556,0.000164858222222222,0.0156340474811812
"AKR1B1",59.0259482098816,0.000205729444444445,0.0104226983207875
"ROR1",92.5406775656145,0.000876859722222222,0.000579038795599285
"CHMP5",48.8932200909558,2.82222222222206e-06,0.231036479444123
"BTN3A3",48.7522846912407,0,0.726693688477128
"ZNF326",47.8304340097972,-1.84600000000001e-05,0.899247249565721
"MED19",58.4488066507727,0.000194172222222222,0.0110017371163867
"DACT2",52.1179793799515,6.73978174603176e-05,0.034163288940359
"TBX1",48.7522846912407,0,0.726693688477128
"GPM6B",48.7522846912407,0,0.726693688477128
"SART1",48.8699158122628,2.35555555555567e-06,0.237405906195715
"C1orf21",48.6483517697481,-2.08125000000003e-06,0.760277938621888
"SEC61A1",49.0374760035948,5.71093749999996e-06,0.192240880138969
"SNAP47",49.1553758867595,8.07187499999995e-06,0.165605095541401
"TCTEX1D4",48.7522846912407,0,0.726693688477128
"NPHP1",48.6531027908507,-1.98611111111102e-06,0.759119861030689
"PORCN",50.2846408907887,3.06853333333332e-05,0.0665894614939201
"PDCL",50.6979963726283,3.896275e-05,0.0538506079907354
"MRPS25",49.3145466533587,1.12592592592591e-05,0.140706427330631
"TMLHE",48.7522846912407,0,0.726693688477128
"KCTD18",49.774888726561,2.04775793650793e-05,0.0926462072958888
"ARL4D",51.4996649468285,5.50161111111109e-05,0.04169079328315
"GPD1L",64.7936987275483,0.000321228273809524,0.0040532715691951
"PDIK1L",49.3273000431765,1.15146450617285e-05,0.138969310943833
"RNF25",58.0416931090083,0.0001860198,0.0110017371163867
"TMEM231",61.494342680255,0.000255158883333333,0.00521134916039379
"RRAGB",48.7522846912407,0,0.726693688477128
"GUK1",59.431889879346,0.0002138584,0.00926462072958889
"FAM102B",49.6379138652299,1.77346666666669e-05,0.107122177185871
"SLC25A29",50.0417029010329,2.5820515873016e-05,0.0804863925883034
"COLGALT2",54.7885922501405,0.000120876666666667,0.0225825130283729
"SEMA4G",72.8078836192354,0.000481711805555556,0.00231615518239725
"RAB14",49.7583446703453,2.01462857142858e-05,0.0943833236826868
"ACSL4",65.6197551501346,0.00033777,0.00347423277359582
"FIBIN",49.0256327830346,5.4737777777778e-06,0.194557035321366
"PKDCC",48.7522846912407,0,0.726693688477128
"KCTD14",48.7522846912407,0,0.726693688477128
"BTN3A1",49.9997572691154,2.49805573192241e-05,0.0839606253618993
"COL6A1",49.0707447935441,6.37714285714264e-06,0.18355529820498
"FADS3",49.4812235048582,1.45969523809522e-05,0.118123914302258
"PEMT",48.7522846912407,0,0.726693688477128
