"","Overall","importance","pvalue"
"TRAK1",39.1549317349966,5.57191597222224e-05,0.0557491289198606
"DYNLRB1",58.0947679669157,0.000229569774603175,0.00116144018583042
"GAL3ST2",53.8582262830029,0.000190682142857143,0.00232288037166084
"CHRNA10",54.8652190842265,0.000199925428571429,0.00174216027874563
"SCD5",33.0847101206428,0,0.724738675958188
"FRAT2",34.0815400808977,9.14999999999999e-06,0.195121951219512
"ACAA2",34.3325451331848,1.14540000000001e-05,0.182926829268293
"NNT",30.07787876512,-2.76000000000001e-05,0.883275261324042
"SLC16A6",34.4878980865535,1.288e-05,0.177700348432056
"PHF12",43.3207725687603,9.39578214285715e-05,0.0232288037166086
"TMEM9",28.3852057005016,-4.31372121212121e-05,0.921022067363531
"RPN2",39.9741790403632,6.32391111111112e-05,0.0493612078977933
"CHST4",33.0847101206428,0,0.724738675958188
"ST6GALNAC4",43.3523182918956,9.42473827160493e-05,0.0226480836236934
"THBS2",33.0847101206428,0,0.724738675958188
"PPARGC1B",32.9325383076938,-1.39679999999998e-06,0.745644599303136
"SPSB4",33.0847101206428,0,0.724738675958188
"TRIM46",35.3604117906843,2.0888888888889e-05,0.136469221835075
"PRIMPOL",31.2254134370345,-1.70666666666668e-05,0.844367015098722
"ARL17A",35.782148939807,2.47600555555554e-05,0.123112659698026
"KCTD12",23.6002997428811,-8.70583333333335e-05,0.9732868757259
"SPDYC",37.7840179295502,4.31354074074073e-05,0.0795586527293844
"PAX8",33.0847101206428,0,0.724738675958188
"PLSCR4",51.2152737450473,0.000166422222222222,0.00348432055749126
"GSR",49.9879351785309,0.000155156361111111,0.00464576074332168
"MAP3K15",33.0847101206428,0,0.724738675958188
"SAP130",22.7487636504215,-9.48746666666664e-05,0.977932636469222
"C18orf8",39.4365339291193,5.83040138888891e-05,0.054006968641115
"CDH13",50.5742279522704,0.000160538,0.00348432055749126
"TCTEX1D4",33.0847101206428,0,0.724738675958188
"MAN1A1",32.7316888728786,-3.24041666666663e-06,0.77061556329849
"NCOA6",33.0847101206428,0,0.724738675958188
"ERGIC3",31.306696386412,-1.63205625e-05,0.839140534262485
"BACH2",26.1652628087099,-6.35142857142856e-05,0.951800232288037
"FOXD2",36.4731149117714,3.11025e-05,0.106271777003484
"BBS2",39.526277374433,5.91277777777777e-05,0.0534262485481998
"CARM1",71.9759209528039,0.00035698623968254,0
"LINGO4",33.0847101206428,0,0.724738675958188
"MAP7D1",15.9261616244529,-0.0001575,0.996515679442509
"FBXL12",36.2324465850632,2.88933818181818e-05,0.111498257839721
"MOB3C",37.9954322286699,4.50759999999999e-05,0.0737514518002322
"TFAP2E",33.2991919768452,1.96875000000007e-06,0.24390243902439
"BGLAP",31.9921658082324,-1.00285714285713e-05,0.807200929152149
"FAM81A",30.7241890437719,-2.16674545454545e-05,0.866434378629501
"RCOR2",34.497037207622,1.2963888888889e-05,0.177700348432056
"NSUN5",45.7329954438205,0.000116099851851852,0.0150987224157956
"IER5",33.0847101206428,0,0.724738675958188
"LRRC56",30.156862559785,-2.6875e-05,0.881533101045296
"TPPP",36.3717370713639,3.0171942857143e-05,0.10801393728223
"PRDX2",35.1747418710735,1.91846064814818e-05,0.145180023228804
"KIDINS220",37.6809133111556,4.2189e-05,0.0830429732868757
"YWHAG",33.0847101206428,0,0.724738675958188
"NEBL",33.0847101206428,0,0.724738675958188
"LTBP4",37.2681276587615,3.84e-05,0.091753774680604
"HEY2",36.998674140642,3.59266597222221e-05,0.0975609756097561
"BRD4",33.0847101206428,0,0.724738675958188
"TBC1D8",33.0289312201346,-5.11999999999846e-07,0.734610917537747
"MYCN",54.5286434605021,0.000196835967901234,0.00232288037166084
"KLHL31",33.0847101206428,0,0.724738675958188
"TRPC4AP",34.6831242383324,1.4672e-05,0.169570267131243
"CAMK1G",32.7151658261786,-3.39208333333341e-06,0.773519163763066
"CCDC114",46.7719117627089,0.000125636166666667,0.0116144018583043
"PLK3",38.8428717122721,5.28547301587303e-05,0.062137049941928
"IL12A",34.9777065566416,1.73760000000001e-05,0.153310104529617
"SLC6A7",22.8383784822765,-9.40520833333334e-05,0.977351916376307
"SPATA18",33.0847101206428,0,0.724738675958188
"CALR",40.2020760368625,6.5331e-05,0.0464576074332171
"MADCAM1",38.0960957131809,4.59999999999998e-05,0.0725900116144018
"NKPD1",43.4127440891355,9.4802037037037e-05,0.0226480836236934
"TMA16",33.0847101206428,0,0.724738675958188
"EDEM2",37.6134169680059,4.15694444444445e-05,0.0836236933797909
"ANXA13",33.0847101206428,0,0.724738675958188
"TMCC3",40.1163861851485,6.45444444444443e-05,0.0476190476190477
"SCARB2",43.2362863660946,9.31823142857144e-05,0.0232288037166086
"SMARCE1",51.8150151201988,0.000171927307142857,0.00290360046457605
"TLX1",43.0856926727079,9.18000000000001e-05,0.0238095238095238
"RAB9B",33.0847101206428,0,0.724738675958188
"MYOM2",33.0847101206428,0,0.724738675958188
"NRARP",33.0847101206428,0,0.724738675958188
"ADPRHL2",31.1040507511631,-1.81806666666666e-05,0.849593495934959
"ILDR2",33.0847101206428,0,0.724738675958188
"TSSK3",36.9437191228195,3.54222222222225e-05,0.0981416957026713
"DISC1",33.0847101206428,0,0.724738675958188
"EEFSEC",33.1089197128773,2.22222222222124e-07,0.272357723577236
"KALRN",46.5639085663141,0.000123726884920635,0.0133565621370499
"C12orf66",33.0847101206428,0,0.724738675958188
"CYP27A1",33.0847101206428,0,0.724738675958188
"ARMC3",33.0847101206428,0,0.724738675958188
"TRPV2",33.0847101206428,0,0.724738675958188
"DLK1",24.535395242938,-7.84750000000001e-05,0.966898954703833
"TLCD1",30.4373912098021,-2.43e-05,0.875725900116144
"BTNL9",33.0683686458846,-1.50000000000094e-07,0.727642276422764
"TRAPPC12",59.8357142912013,0.000245550091710759,0.00058072009291521
"ZNF24",40.7939097810247,7.07635e-05,0.0389082462253194
"SLC41A2",38.3917872709888,4.8714181818182e-05,0.0679442508710801
"SCGB1A1",42.2107548390499,8.37688597883597e-05,0.0290360046457607
"MOGAT2",33.8786072089242,7.28725925925922e-06,0.20267131242741
"SRC",41.1599406584159,7.41233333333333e-05,0.0371660859465738
"MCL1",34.4383410512495,1.24251111111111e-05,0.180603948896632
"SHISA2",38.1338384674744,4.63464444444446e-05,0.0725900116144018
"ZMYND12",35.0045307848374,1.76222222222222e-05,0.152729384436701
"CBX5",35.236205234275,1.97487847222222e-05,0.141695702671312
"FAM110D",54.0287309825972,0.000192247222222222,0.00232288037166084
"SRP14",30.1563178439598,-2.68799999999998e-05,0.882113821138211
"ZAP70",32.6470094965315,-4.017696969697e-06,0.776422764227642
"LAMC1",47.2367246934432,0.00012990273015873,0.00987224157955868
"PCDHB13",21.6854101619263,-0.00010463529265873,0.981416957026713
"CD164",33.0847101206428,0,0.724738675958188
"TMED1",33.0847101206428,0,0.724738675958188
"ASIC4",33.0847101206428,0,0.724738675958188
"ALDH1A2",36.3707083366195,3.01624999999999e-05,0.10801393728223
"EFHD1",44.2899867336161,0.000102854333333333,0.0197444831591173
"CNTF",37.0150583457236,3.6077051948052e-05,0.0975609756097561
"NDRG3",33.7474477080618,6.08333333333322e-06,0.209059233449477
"PLPPR1",41.14148949062,7.39539682539683e-05,0.0371660859465738
"GPR45",33.0847101206428,0,0.724738675958188
"HIGD2B",32.7288291147959,-3.26666666666675e-06,0.771196283391405
"PLEKHG4",26.102361100315,-6.40916666666667e-05,0.952380952380952
"BATF3",33.0847101206428,0,0.724738675958188
"PHF20",33.0847101206428,0,0.724738675958188
"SLC1A4",34.3299764954487,1.14304222222221e-05,0.183507549361208
"ACSL5",36.4773092236261,3.11410000000001e-05,0.106271777003484
"DGAT2",33.0847101206428,0,0.724738675958188
"TMEM199",41.1617903341447,7.41403116883117e-05,0.0371660859465738
"CRIM1",33.0847101206428,0,0.724738675958188
"EMC7",74.3024191700577,0.000378341395061728,0
"SNRPB2",40.5010160817739,6.80750000000001e-05,0.0423925667828107
"KRT2",49.1695789374685,0.000147644588888889,0.0058072009291521
"STIP1",33.0847101206428,0,0.724738675958188
"RWDD2A",33.0847101206428,0,0.724738675958188
"TOP1",35.8390596387522,2.52824444444444e-05,0.121951219512195
"PRR18",44.7217544355786,0.000106817571428572,0.0174216027874564
"CTNNBL1",50.4740360144154,0.000159618328373016,0.00348432055749126
"HSD17B2",33.0847101206428,0,0.724738675958188
"ZMAT3",33.0847101206428,0,0.724738675958188
"AHSA1",41.0321114175329,7.29499761904757e-05,0.0383275261324042
"MUM1L1",33.7644541900568,6.23943750000011e-06,0.207897793263647
"LRP11",32.9661799570628,-1.0880000000002e-06,0.739837398373984
"CYP27B1",44.8104748094633,0.000107631944444444,0.0174216027874564
"CXorf57",36.5400241723095,3.17166666666666e-05,0.105110336817654
"ANO7",46.0564555185501,0.000119068923611111,0.0145180023228804
"AGO4",40.7820894476162,7.06549999999999e-05,0.0389082462253194
"NPR3",33.0847101206428,0,0.724738675958188
"JPH1",33.0847101206428,0,0.724738675958188
"SMAD7",33.0847101206428,0,0.724738675958188
"LANCL2",33.079154019225,-5.10000000000232e-08,0.725900116144019
"CABLES1",33.0847101206428,0,0.724738675958188
"MAPRE1",32.7615846930892,-2.96600000000002e-06,0.766550522648084
"SMPDL3A",27.39242974651,-5.22499999999999e-05,0.937862950058072
"GSS",48.3319597291048,0.000139956,0.00871080139372826
"PTPRR",33.0847101206428,0,0.724738675958188
"NAF1",30.8441274903366,-2.05665277777778e-05,0.862369337979094
"DLGAP4",31.2555108021004,-1.67904000000001e-05,0.843205574912892
"JUN",24.7758466422675,-7.62678730158732e-05,0.964576074332172
"LIPE",44.9552784330158,0.000108961111111111,0.0174216027874564
"ADRA2A",33.0847101206428,0,0.724738675958188
"RNF138",33.0847101206428,0,0.724738675958188
"ZNF561",33.0847101206428,0,0.724738675958188
"PIGU",36.0115529834229,2.68657777777779e-05,0.119047619047619
"ZNF433",33.0847101206428,0,0.724738675958188
"MFGE8",33.0847101206428,0,0.724738675958188
"SLC16A8",33.0847101206428,0,0.724738675958188
"SLC3A1",33.0847101206428,0,0.724738675958188
"ATOH7",33.0847101206428,0,0.724738675958188
"SMPD1",39.8264763181406,6.18833333333335e-05,0.0493612078977933
"TMEM220",39.2701012161266,5.67763116883115e-05,0.0551684088269454
"DNMT1",33.0847101206428,0,0.724738675958188
"ATP13A1",33.0847101206428,0,0.724738675958188
"LEFTY1",32.0194880623256,-9.77777777777766e-06,0.806039488966318
"MAP1LC3A",28.4231154765274,-4.27892345679013e-05,0.9198606271777
"TMEM11",33.0847101206428,0,0.724738675958188
"IL12RB2",33.0847101206428,0,0.724738675958188
"GSTM2",33.0847101206428,0,0.724738675958188
"VEPH1",45.3230913093211,0.000112337301587301,0.0156794425087108
"EIF4H",30.817433388699,-2.08115555555555e-05,0.862950058072009
"REM2",34.5992622108321,1.39022222222223e-05,0.175377468060395
"ABHD3",42.4973995814099,8.64e-05,0.0272938443670151
"DNAH5",33.0847101206428,0,0.724738675958188
"AEN",31.8922424455411,-1.09457777777777e-05,0.814750290360046
"CORT",33.0847101206428,0,0.724738675958188
"ADAM17",33.0847101206428,0,0.724738675958188
"NFS1",41.2496926779602,7.49471759259259e-05,0.0365853658536586
"KLHL38",33.0847101206428,0,0.724738675958188
"CHST14",36.7400892163362,3.35530833333333e-05,0.100464576074332
"DNTTIP1",28.7148787223186,-4.01111111111112e-05,0.912311265969802
"LRRC3",43.6988870588756,9.74285714285714e-05,0.021486643437863
"AQP7",31.8788454624384,-1.106875e-05,0.815331010452962
"DHX29",38.9400161596261,5.37464285714284e-05,0.0603948896631823
"KCNJ9",38.5808927976764,5.04500000000001e-05,0.0638792102206737
"PLXDC2",31.2171821756748,-1.71422222222224e-05,0.846109175377468
"CHCHD6",50.5596295681531,0.000160404,0.00348432055749126
"SEC22A",49.4615846826752,0.000150324938271605,0.00522648083623689
"PABPC3",33.0847101206428,0,0.724738675958188
"GALNT1",33.5420444489474,4.1979166666668e-06,0.221835075493612
"FADS2",38.9624843904763,5.39526666666665e-05,0.0598141695702671
"SIM1",33.985452209319,8.26800000000016e-06,0.200348432055749
"TRAPPC8",33.8446976400677,6.97599999999987e-06,0.204994192799071
"FOSB",33.0847101206428,0,0.724738675958188
"THOC6",28.292866794324,-4.39848e-05,0.923925667828107
"PLCG1",33.0847101206428,0,0.724738675958188
"VILL",33.0847101206428,0,0.724738675958188
"FOXN4",32.1439253664108,-8.63555555555551e-06,0.801393728222996
"RNF25",33.0847101206428,0,0.724738675958188
"TLE4",37.7523333375039,4.28445714285712e-05,0.0801393728222997
"CCL28",32.0465301768515,-9.52955555555568e-06,0.805458768873403
"RASSF9",33.0847101206428,0,0.724738675958188
"GNB4",32.8666292491663,-2.00178571428578e-06,0.75725900116144
"TEX19",38.4447138413574,4.92000000000001e-05,0.0679442508710801
"ZNF136",33.0847101206428,0,0.724738675958188
"AK5",39.4493922055634,5.84220412698411e-05,0.054006968641115
"MAFK",35.8415723926796,2.53055092592593e-05,0.121951219512195
"RASL11B",44.4386578395281,0.000104219,0.019163763066202
"OPA1",33.0847101206428,0,0.724738675958188
"ZC3H12C",48.4843747836088,0.000141355032738095,0.00813008130081305
"SAMHD1",39.2685662650969,5.67622222222224e-05,0.0551684088269454
"LYZ",29.7233413916421,-3.08543333333333e-05,0.8931475029036
"WIPF3",32.7651435031477,-2.93333333333323e-06,0.764808362369338
"TCEAL2",34.0505525593873,8.86556250000003e-06,0.198025551684088
"LSM10",30.4718328132688,-2.39838571428572e-05,0.872822299651568
"PDIA4",33.9199410527325,7.66666666666671e-06,0.20267131242741
"CYP2W1",33.8691009090401,7.2000000000001e-06,0.203252032520325
"ZNF85",34.3339250799422,1.14666666666667e-05,0.182926829268293
"SPTBN5",26.0005514429216,-6.50261874999998e-05,0.953542392566783
"AKNA",33.0847101206428,0,0.724738675958188
"WDR49",31.394861668932,-1.55112847222223e-05,0.835656213704994
"TUBA8",33.0847101206428,0,0.724738675958188
"ACSS2",33.2118104798739,1.16666666666676e-06,0.259581881533101
"DLX4",37.1406918237524,3.72302539682539e-05,0.09465737514518
"SRD5A1",17.009540876946,-0.000147555555555556,0.994192799070848
"TMEM60",27.3230830988109,-5.28865396825398e-05,0.938443670150987
"EPB41L1",33.1765613135805,8.43111111111128e-07,0.263066202090592
"SMO",33.0847101206428,0,0.724738675958188
"DNAJC17",48.667183727452,0.000143033053968254,0.00638792102206731
"RNASEH1",33.0847101206428,0,0.724738675958188
"WDR31",33.0847101206428,0,0.724738675958188
"TMOD2",30.8922289239075,-2.01249999999999e-05,0.861788617886179
"RASA4",24.3153905735071,-8.04944444444449e-05,0.969221835075494
"NTN1",36.0090559369096,2.68428571428572e-05,0.119047619047619
