"","Overall","importance","pvalue"
"KIAA1143",55.9690619770041,2.10300582499998e-05,0.13132999443517
"KCNK3",71.4699653435787,0.000102903675,0.00612131329994436
"TMEM45B",64.0714140482886,6.38255555555556e-05,0.0217028380634391
"PRKCI",51.9874997391702,0,0.690595436839176
"MRAS",48.560310990517,-1.81019345454545e-05,0.856427378964942
"MTG1",56.1154050886789,2.18030222222223e-05,0.128547579298831
"ZNF324B",55.0268325375641,1.60533333333333e-05,0.158597662771286
"DGCR6",76.9280647322216,0.000131732597222222,0.001669449081803
"GALNT2",59.0477174529905,3.72910885e-05,0.0667779632721202
"ADORA1",57.8998541957275,3.12282343434345e-05,0.0868113522537562
"DHX15",51.9874997391702,0,0.690595436839176
"ABHD3",80.9402165638995,0.000152924225454545,0.00111296605453537
"TMEM117",51.9874997391702,0,0.690595436839176
"WNK2",57.1589269253367,2.73147594999998e-05,0.10016694490818
"NUP210",51.9874997391702,0,0.690595436839176
"ACOT13",53.7616177002638,9.37064444444458e-06,0.204785754034502
"ZNF367",55.526189236524,1.8690866e-05,0.140233722871452
"GJB1",50.9142719479978,-5.66863999999989e-06,0.757373400111297
"KCTD18",51.5017205434861,-2.56581818181822e-06,0.719532554257095
"RANBP9",46.1118797487271,-3.10342080000001e-05,0.913188647746244
"DAGLA",51.2828422733313,-3.72190277777795e-06,0.737340011129661
"SH3BGRL",51.9874997391702,0,0.690595436839176
"RIOK3",64.0407054754754,6.36633571428571e-05,0.0222593210907067
"TRMT2A",51.9874997391702,0,0.690595436839176
"AK5",43.2328461331662,-4.62408633333331e-05,0.955481357818587
"ETFB",58.9010005094821,3.651615e-05,0.0712298274902615
"SMC2",62.3519027664729,5.4743336e-05,0.0278241513633835
"A1BG",53.5641864450533,8.32783999999998e-06,0.213132999443517
"RHOD",60.2566472253035,4.36764875000002e-05,0.0489705063995548
"ANKH",49.3761171157316,-1.379296e-05,0.830272676683361
"PPP1R12C",52.634461402882,3.41716157142824e-06,0.269894268224819
"TBC1D24",52.0686201599455,4.28466785714843e-07,0.304396215915415
"BGLAP",52.1371273991929,7.90312499999946e-07,0.299387868670006
"TGFBR1",62.7780601389751,5.69942399999996e-05,0.0261547022815805
"NENF",51.9874997391702,0,0.690595436839176
"HAUS1",63.5318347608192,6.09755727678571e-05,0.0233722871452421
"CRY1",62.6064247460705,5.60876857142858e-05,0.0267111853088481
"EXOC6",43.0083168802038,-4.74267956349208e-05,0.957707289927657
"CHODL",45.2622703021273,-3.55217269898991e-05,0.924318308291597
"POC1B",49.0518223826066,-1.55058396990742e-05,0.837506956037841
"FIS1",51.9874997391702,0,0.690595436839176
