"","Overall","importance","pvalue"
"PHLDB3",31.0506597848524,1.10818722222221e-05,0.0422133485453509
"SCML2",39.4140895775971,2.27954946031748e-05,0.00741585852823734
"CCDC134",23.1382943962062,0,0.719908727895037
"RNF40",26.71178028687,5.00493999999985e-06,0.103251568739304
"STRIP1",16.2684363641873,-9.62176102292789e-06,0.949229891614375
"SNX1",22.6371507237949,-7.01889999999983e-07,0.762122076440388
"SMAD3",36.5940710665303,1.88458432323235e-05,0.0108385624643468
"CTSF",43.2921039446674,2.82269499999999e-05,0.00399315459212779
"PKM",43.2555475668483,2.81757499999999e-05,0.00399315459212779
"PSRC1",43.9265151980032,2.91154914285714e-05,0.00285225328009131
"GINS4",23.1382943962062,0,0.719908727895037
"SCAF1",23.1382943962062,0,0.719908727895037
"CCDC9",23.1382943962062,0,0.719908727895037
"HIPK1",48.8774254749398,3.60496195151516e-05,0
"PDLIM7",23.1382943962062,0,0.719908727895037
"MTA1",23.8364196670573,9.77777777777744e-07,0.221334854535083
"C3orf70",25.7459350811859,3.65219999999988e-06,0.128351397604107
"TMED5",23.1382943962062,0,0.719908727895037
"SAE1",23.1382943962062,0,0.719908727895037
"FNTB",56.5097444101318,4.6739265284091e-05,0
"OPA3",13.8827661327608,-1.29630744444444e-05,0.970336565887051
"NFATC2IP",35.6696285839079,1.75510909090908e-05,0.0125499144324016
"DDTL",17.3779199880628,-8.06784444444442e-06,0.935539075869937
"GGT7",22.6653664879377,-6.62371666666717e-07,0.759840273816315
"RBM23",22.5046372258285,-8.874852777776e-07,0.775812892184826
"U2AF2",36.7553680638709,1.90717520000001e-05,0.0108385624643468
"TBC1D17",23.4267375450451,4.03986666666745e-07,0.258414147176269
"INPPL1",24.3439265926475,1.68857999999994e-06,0.189960068454079
"IRF2BP1",26.79935851545,5.12760000000001e-06,0.102110667427267
"FASTK",32.278459838616,1.28015000000001e-05,0.0319452367370222
"GPN2",23.1382943962062,0,0.719908727895037
"PCDHB4",24.734894197456,2.23616000000004e-06,0.173987450085568
"RSBN1",26.457287522761,4.64850344091694e-06,0.106674272675414
"GPR3",29.5237201244479,8.94327657142879e-06,0.0559041642897889
"PDCD7",34.9757718586695,1.65792915555556e-05,0.0142612664004563
"AARS2",19.0692934681273,-5.69894666666659e-06,0.909868796349116
"PFDN1",23.1382943962062,0,0.719908727895037
"ZNF609",26.5486263092784,4.77643038961051e-06,0.105533371363377
"HEXA",66.9538202652716,6.13669914343435e-05,0
"BBS1",35.368978105291,1.71300069444444e-05,0.0131203650884198
"KCNB1",39.060476938422,2.23002330864197e-05,0.00798630918425558
"XRCC1",34.4150404970889,1.57939444444444e-05,0.0165430690245294
"PPP5C",30.8840133160795,1.08484711111112e-05,0.0427837992013691
"PCDHB6",31.468186636268,1.16666504761906e-05,0.0399315459212778
"GLMN",23.1382943962062,0,0.719908727895037
"FERMT2",25.7513685584361,3.65981000000004e-06,0.127780946948089
"DLX5",23.1382943962062,0,0.719908727895037
"EFNB1",14.4424510594635,-1.21791929453263e-05,0.964632059326868
"HDAC4",28.2203163451471,7.11776000000008e-06,0.0730176839703366
"CDC14A",21.2000606470721,-2.71464444444436e-06,0.843696520250998
"MDFI",20.4985708884099,-3.69713444444453e-06,0.87564175698802
"LRIG2",40.5060248204307,2.43248333333335e-05,0.00513405590416427
"EMB",42.6591636418441,2.73404687500001e-05,0.00456360524814603
"FAM219B",28.6305004430287,7.69225416666663e-06,0.0701654306902453
"TOB2",22.4362205922891,-9.83307999999905e-07,0.779235596120936
"MAGI3",26.9278339449031,5.30753965432096e-06,0.0981175128351398
"IGHMBP2",23.1382943962062,0,0.719908727895037
"PIAS1",23.4467388340551,4.3200000000021e-07,0.256702795208214
"TEF",25.0232326275042,2.63999999999998e-06,0.159726183685111
"AIP",23.1382943962062,0,0.719908727895037
"BAG4",20.8498569848239,-3.20513142857148e-06,0.859669138619509
"AMPD2",24.4577511581149,1.84800000000007e-06,0.185966913861951
"PTBP2",23.1382943962062,0,0.719908727895037
"TPCN2",26.7695332948943,5.08582749999986e-06,0.102110667427267
"DBT",32.4035868935534,1.297675e-05,0.0296634341129492
"ARG2",23.1382943962062,0,0.719908727895037
"CIPC",24.3672415967214,1.72123444444439e-06,0.189389617798061
"MYO9A",24.3821374480261,1.74209722222218e-06,0.189389617798061
"SMG9",26.4799741372773,4.68027777777769e-06,0.106674272675414
"CELSR2",23.1382943962062,0,0.719908727895037
"NEO1",26.9439594863366,5.33012470707095e-06,0.0981175128351398
"AMIGO1",17.2040709291374,-8.31133333333334e-06,0.939532230462065
"EDC3",30.4169984392197,1.01943810966809e-05,0.0467769537934969
"BCAS2",23.7713602335647,8.8665707070712e-07,0.224757558471192
"ANG",26.6739089444873,4.95189829166676e-06,0.103251568739304
"RRP7A",23.1382943962062,0,0.719908727895037
"BCL2L2",23.1382943962062,0,0.719908727895037
"ZNF395",14.6244782202381,-1.19242500000001e-05,0.962350256702795
"CCNB3",45.3626376388178,3.1126890625e-05,0.00228180262407307
"ZNF576",23.7194307959116,8.13925925925885e-07,0.229891614375357
"SIX5",35.9001258928586,1.787392e-05,0.0119794637763834
"TRAPPC6A",22.6248946586706,-7.19055555555626e-07,0.764403879064461
"QRICH2",26.0290685113455,4.04874999999993e-06,0.116371933827724
"CES2",26.1294490583244,4.18934062499976e-06,0.112949229891614
"FBXL22",26.4839524957262,4.68584977272735e-06,0.106103822019395
"RING1",23.1382943962062,0,0.719908727895037
"RPA2",26.7274289461475,5.02685714285711e-06,0.102681118083286
"ZNF444",22.7090425535332,-6.0120000000019e-07,0.756417569880205
"RWDD3",30.6376462176108,1.05034151675487e-05,0.0456360524814603
"HOOK3",27.6043921516419,6.2551111111111e-06,0.0827153451226469
"SGSM3",37.8956630335429,2.06688222222222e-05,0.0102681118083285
"RABAC1",26.2960800076935,4.42271999999999e-06,0.108385624643468
"SMC1B",29.1925726017915,8.47947916666669e-06,0.0598973188819167
"RNF152",23.1382943962062,0,0.719908727895037
"CUL9",27.8455793595618,6.59291222222236e-06,0.0787221905305191
"SRSF6",21.9730598532219,-1.63200000000008e-06,0.808328579577867
"EDC4",23.1382943962062,0,0.719908727895037
"BRPF3",41.3933108167095,2.55675451587298e-05,0.00456360524814603
"DOK4",10.4519434634023,-1.77682037037037e-05,0.988020536223617
"CLASRP",40.9428823752669,2.49366857142856e-05,0.00456360524814603
"EIF2B2",23.2976573557614,2.23199999999979e-07,0.264118653736452
"PIK3AP1",27.9362015729874,6.71983555555555e-06,0.0787221905305191
"MTF2",24.2787177257293,1.59725000000011e-06,0.19281232173417
"LIG1",33.8963324886906,1.506745425e-05,0.0216771249286937
"AAR2",31.4936001235819,1.17022440067345e-05,0.0393610952652595
"GID8",23.1382943962062,0,0.719908727895037
"PCDHGA12",21.6533728785438,-2.0797460317461e-06,0.821448944666286
"CNIH2",100,0.000107650690842152,0
"AGBL4",23.0914565371254,-6.560000000011e-08,0.72561323445522
"MTHFSD",23.1382943962062,0,0.719908727895037
"RAP1A",35.2556846873564,1.69713308571429e-05,0.0131203650884198
"NAB2",50.1418378349748,3.78205256249999e-05,0
"ALKBH4",23.1382943962062,0,0.719908727895037
"PADI3",23.1382943962062,0,0.719908727895037
"MED25",24.0593437592268,1.29000000000001e-06,0.203080433542499
"AGBL5",23.1382943962062,0,0.719908727895037
"TTPAL",43.0045157159553,2.78241607142857e-05,0.00399315459212779
"MSRB3",30.666730552093,1.05441500000001e-05,0.0456360524814603
"WDR24",63.7434633121301,5.68706412539681e-05,0
"MEA1",23.1382943962062,0,0.719908727895037
"PPP2R1A",23.1382943962062,0,0.719908727895037
"TGFBR3",36.4761669602976,1.86807095238093e-05,0.0108385624643468
"SLC39A7",17.5855091239987,-7.77709999999998e-06,0.930975470621791
"CHAC2",25.6216319374741,3.47810395061732e-06,0.13405590416429
"SKAP2",66.4397951214435,6.0647059949495e-05,0
"HENMT1",23.1382943962062,0,0.719908727895037
"GRWD1",19.3324010162276,-5.33044444444442e-06,0.902452937820879
"LIME1",23.0263761887228,-1.5675000000015e-07,0.731317741015402
"CHTF18",61.4260325655852,5.36249024444446e-05,0
"MUL1",16.7303634311222,-8.97479687500002e-06,0.944666286366229
"SUMF2",30.7173606346509,1.06150612987013e-05,0.0456360524814603
"MTFR1L",23.1382943962062,0,0.719908727895037
"ZNF528",23.1382943962062,0,0.719908727895037
"HNRNPA0",19.6577344442145,-4.87479012345693e-06,0.896748431260696
"ALDH16A1",14.7178177672821,-1.17935208333333e-05,0.961209355390759
"MRGBP",36.7449666608425,1.90571840404039e-05,0.0108385624643468
"ACIN1",35.0759509310585,1.67195999999998e-05,0.0136908157444381
"SLC30A7",27.7132603110162,6.40758928571428e-06,0.0815744438106104
"RPL19",17.3149026431078,-8.15610505050501e-06,0.937250427837992
"XRCC6",28.7319732636685,7.83437460437697e-06,0.0678836280661723
"NAPG",7.43162493211838,-2.19983905555554e-05,0.990872789503708
"LIN7B",21.7634922574682,-1.92551542857133e-06,0.816314888762122
"CAPZA1",28.1383500917557,7.00295999999989e-06,0.0747290359383913
"NCAPH2",23.1382943962062,0,0.719908727895037
"MAP2K5",25.7731886564409,3.69037071428568e-06,0.126069594980034
"DR1",15.7257478097162,-1.03818378042329e-05,0.953793496862521
"KDELR1",23.1382943962062,0,0.719908727895037
"CALM3",23.1382943962062,0,0.719908727895037
"E4F1",32.1310602075658,1.25950555555556e-05,0.0330861380490588
"SYMPK",25.9616327609404,3.95430107954553e-06,0.118083285795779
"SRF",35.714580090683,1.76140489285717e-05,0.0125499144324016
"DHRS4",23.1382943962062,0,0.719908727895037
"GSTM3",24.1210066834601,1.37636363636373e-06,0.201369081574444
"MYLIP",20.505798534384,-3.68701157407414e-06,0.873930405019966
"ZSWIM5",23.1382943962062,0,0.719908727895037
"PNKP",23.1382943962062,0,0.719908727895037
"MYPOP",27.1028274255748,5.55263139329809e-06,0.0929834569309754
"PPFIA3",22.9214236847943,-3.03743999999995e-07,0.739304050199658
"MED29",23.1382943962062,0,0.719908727895037
"ATP5F1",24.4075057733867,1.77762749999988e-06,0.187678265830006
"AGL",23.1382943962062,0,0.719908727895037
"PPP1R37",23.1382943962062,0,0.719908727895037
"WWP2",65.8120106783869,5.97677998750001e-05,0
"C7orf43",23.1382943962062,0,0.719908727895037
"ZNF428",23.1382943962062,0,0.719908727895037
"TXN2",23.1382943962062,0,0.719908727895037
"C16orf58",28.3141254211016,7.24914677777755e-06,0.0718767826583001
"CD58",24.8014043143464,2.3293124999999e-06,0.16999429549344
"ZW10",25.946513214757,3.93312500000009e-06,0.118653736451797
"TCHP",21.6734154078183,-2.05167493827152e-06,0.819167142042213
"MEPCE",22.3644771949198,-1.08379010912696e-06,0.784940102681118
"TRIM33",23.1382943962062,0,0.719908727895037
"AP4B1",23.1382943962062,0,0.719908727895037
"ZNF221",23.1382943962062,0,0.719908727895037
"ADPGK",23.1382943962062,0,0.719908727895037
"AKR7A2",22.1922553217858,-1.32500000000002e-06,0.798060467769538
"RBM15",24.036070584973,1.2574041414144e-06,0.206503137478608
"PIGT",46.4154124809891,3.26013822222224e-05,0
"ARHGAP33",23.1382943962062,0,0.719908727895037
"SH3PXD2A",40.7125854556519,2.46141372839506e-05,0.00456360524814603
"ACOT2",12.1659918407109,-1.5367548e-05,0.982316029663434
"GEMIN7",25.7146525060974,3.60838636363647e-06,0.128921848260126
"MARK4",25.131316784266,2.79138011904756e-06,0.154592127780947
"DMWD",28.5211478459158,7.53909750000004e-06,0.0707358813462635
"DOK7",23.1382943962062,0,0.719908727895037
"NEDD8",22.1405894504625,-1.39736200000007e-06,0.799201369081574
"CENPM",27.6321920993277,6.29404706172831e-06,0.0821448944666286
"KIAA1755",32.0447703374402,1.24742e-05,0.033656588705077
"SLC2A4RG",48.5533525004296,3.55957305555554e-05,0
"KLHL25",19.6583382520561,-4.87394444444456e-06,0.896177980604678
