"","Overall","importance","pvalue"
"HNMT",64.1222077592837,0.000773624237481481,0
"MBOAT2",27.9471714066218,0.000234182721637807,0
"IL12RB2",34.1484598275013,0.000326656227215829,0
"MYZAP",14.3972351397589,3.21263065972224e-05,0.0644609241300628
"GGCT",12.4421760972164,2.97249999999982e-06,0.215059897318882
"SPOPL",15.5336955920188,4.907318518739e-05,0.0393610952652595
"CASP6",26.0151844479303,0.000205372965555555,0
"ZNF20",43.8650389520273,0.000471549686911376,0
"PIP5K1B",19.5162749394082,0.0001084613394709,0.00741585852823734
"SPDEF",15.4245025001238,4.74448996913579e-05,0.0410724472333143
"TRIM24",24.5664731604854,0.000183769807916667,0
"ASAP2",19.9668664418731,0.000115180552155203,0.00627495721620075
"RPS17",16.6810857247897,6.61830469841274e-05,0.0211066742726754
"SP2",12.2428397606534,0,0.74500855675984
"GALNT1",22.8788988090587,0.000158604728402778,0.00114090131203648
"C11orf80",18.9135646006584,9.94737333333333e-05,0.0096976611523103
"NRP2",29.8868705284764,0.000263107481363636,0
"FADS2",84.1002557805378,0.00107153654372274,0
"GRHL1",12.5305991142995,4.29106250000011e-06,0.203080433542499
"TTLL11",23.9021742010299,0.000173863793333333,0.00057045065601824
"KLF11",14.6355148082585,3.56795288888891e-05,0.0570450656018254
"TRPM4",79.3946290576505,0.00100136631949291,0
"NET1",22.3964863538629,0.000151411002222222,0.00114090131203648
"EPHB4",14.3861991390987,3.19617379464285e-05,0.0656018254420992
"TMEM259",46.3587093404451,0.000508735256574074,0
"ADAMTS3",20.7788865607883,0.000127289382111111,0.00456360524814603
"DMRTA1",15.3856495571125,4.68655252777781e-05,0.0433542498573873
"VWDE",39.9907300139518,0.000413776059097222,0
"RAB3D",29.13832808299,0.000251945229375,0
"NR2F6",19.9751152243798,0.000115303557857143,0.00627495721620075
"DISC1",21.0391896280893,0.000131171016944444,0.00285225328009131
"PALMD",13.758757114212,2.26053333333334e-05,0.0878494010268112
