"","Overall","importance","pvalue"
"KRT72",54.7889712483946,3.54486753412697e-05,0.00918032786885248
"PCDHB5",85.8068197710128,0.00010713742082702,0
"ZNRF2",61.0877955550972,5.00065777777778e-05,0.00196721311475412
"RET",39.4512549218964,0,0.737704918032787
"ZNF669",50.8868045211029,2.6429950617284e-05,0.018360655737705
"KIRREL2",61.5685265375067,5.11176477805841e-05,0.00196721311475412
"WNT7B",48.44483665399,2.07860513383837e-05,0.0262295081967213
"TNNI3",69.1712089713054,6.86890394781143e-05,0.000655737704918002
"FADS2",58.847188610567,4.48280657716049e-05,0.00262295081967212
"TSC22D4",73.4305842448739,7.85333479797981e-05,0.000655737704918002
"PPP1R1A",40.3116334462662,1.98851499999986e-06,0.171803278688525
"RIN3",49.7683191855744,2.3844896709055e-05,0.019672131147541
"DDIT4L",45.7171232969794,1.44817343749999e-05,0.0432786885245902
"KREMEN2",76.2424353915084,8.50321250000001e-05,0.000655737704918002
"GOLPH3",59.1579765178063,4.55463617283951e-05,0.00196721311475412
"MDM4",38.4516051617971,-2.31039999999982e-06,0.836065573770492
"TMEM256",48.2302873140098,2.02901828703705e-05,0.0268852459016393
"AHCTF1",67.7555348363671,6.541712e-05,0.000655737704918002
"CLEC11A",37.1108978025771,-5.40905555555549e-06,0.897704918032787
"TLCD2",35.4894818381326,-9.15648749999987e-06,0.933770491803279
"C4orf33",39.8135673855875,8.37379999999888e-07,0.217704918032787
"CPOX",40.6927653313116,2.86939062500013e-06,0.148852459016393
"AMY1A",48.8252740720744,2.16653219047618e-05,0.0236065573770492
"WDR91",37.2422580332356,-5.10545454545452e-06,0.893114754098361
"UNC119",61.9856210733697,5.2081640625e-05,0.00196721311475412
"THRSP",44.7409262299656,1.22255384615386e-05,0.0498360655737705
"PGAM1",39.5781070402357,2.93181818181942e-07,0.245901639344262
"RBP4",63.4550219361694,5.54777338257575e-05,0.00196721311475412
"FZD9",39.2349179758915,-4.99999999999945e-07,0.765901639344262
"RALGPS2",52.0817211609372,2.91916532804233e-05,0.0150819672131147
"ELMOD2",61.7924081474413,5.1635085079365e-05,0.00196721311475412
"HIST1H3H",37.790171775594,-3.83911111111113e-06,0.868852459016393
"ACTR1A",39.4512549218964,0,0.737704918032787
"UBTD1",73.6151260925622,7.89598628472219e-05,0.000655737704918002
"CTSA",39.4512549218964,0,0.737704918032787
"HTR6",38.7548595321771,-1.609515625e-06,0.815081967213115
"NDUFB8",39.8958543880547,1.02756250000002e-06,0.209836065573771
"SUFU",63.5615000620051,5.5723827079365e-05,0.00196721311475412
"STRA8",70.7688689392888,7.23815663383835e-05,0.000655737704918002
"FAM212A",59.1589866816182,4.55486964285712e-05,0.00196721311475412
"PLA2G15",41.3978028411813,4.49887999999987e-06,0.11672131147541
"FAM109A",39.4512549218964,0,0.737704918032787
"BSCL2",39.3072286000937,-3.32874999999788e-07,0.75672131147541
"RAB32",40.1022887507305,1.50467555555545e-06,0.187540983606557
"NCF1",40.8960673453369,3.33926416666674e-06,0.142295081967213
"ETHE1",39.4512549218964,0,0.737704918032787
"LMTK3",71.8903909207308,7.49736385714284e-05,0.000655737704918002
"S100A9",40.1121489079808,1.52746444444452e-06,0.187540983606557
"GFRA3",54.2977348134677,3.43133250370369e-05,0.00983606557377048
"YKT6",39.8553896439892,9.34039999999969e-07,0.213114754098361
"CHML",45.9824475009128,1.50949541898147e-05,0.041311475409836
"ZNF496",40.8442672664238,3.2195433333333e-06,0.144262295081967
"OSGIN1",39.4512549218964,0,0.737704918032787
"NDUFB1",39.4512549218964,0,0.737704918032787
"GPR158",41.5092382424429,4.75643055555563e-06,0.112131147540984
"NIPAL4",73.3443103382357,7.8333950909091e-05,0.000655737704918002
"DERL2",65.2122548292279,5.95390671428571e-05,0.00196721311475412
"ZNF467",52.0276282938509,2.90666333333334e-05,0.0150819672131147
"SPAG4",39.2850308841697,-3.84178571428473e-07,0.76
"CADM4",39.4512549218964,0,0.737704918032787
"CREM",51.8644530274598,2.86895011111112e-05,0.0150819672131147
"NAGLU",37.4047074126902,-4.7299999999999e-06,0.887213114754098
"GLDN",76.6219899698898,8.5909355138889e-05,0.000655737704918002
"IQCB1",39.4512549218964,0,0.737704918032787
"S1PR3",39.4512549218964,0,0.737704918032787
"DUSP15",43.3291352422114,8.96259374999997e-06,0.0695081967213115
"ACAA2",38.8435465841858,-1.40454126984135e-06,0.805245901639344
"NAA20",39.4512549218964,0,0.737704918032787
"MSMO1",53.1137861507956,3.15769716666667e-05,0.0131147540983606
"ASCC1",52.1271031164442,2.92965404861112e-05,0.0150819672131147
"RPS17",40.6744790821943,2.82712727272738e-06,0.15016393442623
"RPL12",39.4512549218964,0,0.737704918032787
"PPP1R1B",41.8378841102224,5.51600000000008e-06,0.100983606557377
"MAPKAP1",59.9532723047816,4.7384456888889e-05,0.00196721311475412
"RAPGEF1",39.9216233633781,1.08712e-06,0.208524590163934
"MUCL1",31.3690785536093,-1.86796026234568e-05,0.969180327868852
"ALX4",25.5950070716079,-3.20246913580247e-05,0.988196721311475
"ABCG8",49.3974623556732,2.29877688888889e-05,0.0209836065573771
"ASB1",40.9926075873044,3.56238888888893e-06,0.139016393442623
"PPA2",39.4512549218964,0,0.737704918032787
"NICN1",47.6854354751286,1.90309161363638e-05,0.0308196721311476
"TNFRSF1B",39.4512549218964,0,0.737704918032787
"ZBTB34",39.4512549218964,0,0.737704918032787
"RASAL3",39.4512549218964,0,0.737704918032787
"SEMA4G",70.0989857542952,7.08333259722225e-05,0.000655737704918002
"WNT9A",44.4227861095617,1.14902499999998e-05,0.0531147540983606
"EEF2",46.2325148522129,1.56729122222221e-05,0.0386885245901639
"WFS1",44.8011499092986,1.23647279999999e-05,0.0498360655737705
"TRAF5",39.4512549218964,0,0.737704918032787
"ATP6AP1",39.4857195607644,7.96549999999563e-08,0.258360655737705
"ACSS2",40.5164595841229,2.46191111111105e-06,0.16
"CALR",36.8564134417599,-5.99722222222243e-06,0.906229508196721
"YBX2",39.4512549218964,0,0.737704918032787
"DSTN",43.8701379283533,1.02129642857143e-05,0.0629508196721311
"DSC1",38.3060744328718,-2.64675199999975e-06,0.845245901639344
"RALA",35.3435544253699,-9.4937563194446e-06,0.935081967213115
"DEFB1",39.4512549218964,0,0.737704918032787
"CDK2AP1",39.4512549218964,0,0.737704918032787
"SREBF1",40.8171609853822,3.15689503968253e-06,0.144918032786885
"ZBTB4",34.7365337172177,-1.08967083333333e-05,0.942950819672131
"FUOM",43.2895122291467,8.87101666666679e-06,0.0701639344262295
"SYNGR1",43.4093716949359,9.14803700000011e-06,0.0668852459016394
"SERTAD3",79.3588893202403,9.2234902857143e-05,0
"LIMK1",41.9122548521603,5.68788636363649e-06,0.0990163934426229
"SMURF1",31.5491802836685,-1.82633497979798e-05,0.967868852459016
"SCRN2",39.4512549218964,0,0.737704918032787
"AKT3",100,0.000139940833492064,0
"SDHA",60.9132899483041,4.96032587654323e-05,0.00196721311475412
"WNT4",52.48611499517,3.01262921428571e-05,0.0144262295081967
"VRTN",50.776298540753,2.61745481481481e-05,0.018360655737705
"FUBP3",37.1007368339544,-5.43253968253965e-06,0.899016393442623
"RABEPK",32.7974703351413,-1.53782900000001e-05,0.96
"RAET1G",51.6561513206706,2.82080722321427e-05,0.0150819672131147
"ZFP36L2",39.4512549218964,0,0.737704918032787
"ATIC",54.9656186302526,3.58569444444445e-05,0.00852459016393448
"MSX2",39.4512549218964,0,0.737704918032787
"SRR",47.6852496548033,1.90304866666668e-05,0.0308196721311476
"SMAD7",45.3163604566112,1.35554874999997e-05,0.0478688524590164
"ACTR3B",44.0048231298803,1.052425e-05,0.060983606557377
"HIF1AN",39.4512549218964,0,0.737704918032787
"ACAA1",56.4516236513946,3.92914133333333e-05,0.00590163934426224
"CASP7",40.1677628870645,1.65599999999988e-06,0.181639344262295
"MAPK10",41.2053389175425,4.05405555555549e-06,0.129180327868852
"DEGS2",36.0406603531849,-7.88259849206341e-06,0.921967213114754
"DCPS",51.098255470474,2.69186580555556e-05,0.0170491803278688
"STK17A",95.980079683023,0.000130649955555555,0
"CRABP1",46.4790274669909,1.6242654513889e-05,0.0373770491803279
"SEC23B",39.4512549218964,0,0.737704918032787
"TMEM184C",44.9016505355869,1.2597006e-05,0.0491803278688525
"ZNF670",39.4512549218964,0,0.737704918032787
"MRRF",50.6426151280892,2.58655777777779e-05,0.018360655737705
"VSIG10L",44.7145468371001,1.21645701587301e-05,0.0498360655737705
"IRS2",30.954454337404,-1.96378860416666e-05,0.971147540983607
