"","Overall","importance","pvalue"
"RBM38",70.0000146039,0.000158735983714286,0.00647058823529412
"PPP1R8",100,0.000419802778968254,0.000588235294117667
"CLDN12",67.0338715428168,0.000132923922375,0.00882352941176467
"HGH1",58.5484332062016,5.908168e-05,0.0417647058823529
"EXOSC4",60.3120996671695,7.44295124999999e-05,0.0305882352941177
"BRAT1",50.9812404127887,-6.76977777777776e-06,0.792941176470588
"PPP1R16A",67.9007744045595,0.000140467911111111,0.00764705882352945
"AKR7A2",57.4620772267515,4.96279595959597e-05,0.0547058823529412
"AURKAIP1",50.8556455606566,-7.86273316137542e-06,0.804117647058823
"KCNJ15",89.6028468398482,0.000329324353080808,0.00117647058823533
"CYC1",64.473962132392,0.000110647,0.0152941176470588
"ARHGAP39",52.770970181062,8.80486363636379e-06,0.190588235294118
"NOC2L",51.7591763209942,0,0.71
"ATAD3B",59.452761738327,6.69513555555554e-05,0.0370588235294118
"MRPL20",50.3045217828828,-1.26587394444444e-05,0.837647058823529
"RILPL2",48.5981357497299,-2.75081044444447e-05,0.901176470588235
"NSMCE2",51.5308681800418,-1.98679012345671e-06,0.733529411764706
"ZC3H3",51.7591763209942,0,0.71
"GLI4",53.7225609198852,1.70858258201059e-05,0.138823529411765
"PSMG3",63.9112111281278,0.000105749810909091,0.0176470588235295
"AVEN",54.2417673524031,2.16040800000001e-05,0.122352941176471
"KIFC2",51.7591763209942,0,0.71
"ALKBH7",55.7108709771226,3.43885587301589e-05,0.0794117647058824
"MIIP",62.5766439637042,9.41360995e-05,0.0211764705882352
"LRRC14",51.7591763209942,0,0.71
"FBXW5",48.2295773576303,-3.07153846153845e-05,0.911764705882353
"SRM",59.3741890624677,6.6267598e-05,0.0370588235294118
"C8orf33",51.7591763209942,0,0.71
"MED30",72.851230817856,0.000183547925111111,0.00294117647058822
"TBRG4",52.601735622128,7.33214545454541e-06,0.201176470588235
"DAGLB",57.3143882451941,4.83427360000002e-05,0.0564705882352942
"SSU72",60.2322528613712,7.37346671717172e-05,0.0305882352941177
"MAF1",86.2831852651459,0.000300435892063492,0.00117647058823533
"CSRP2",53.0607545598368,1.13266341666665e-05,0.172352941176471
"NDUFB9",51.7591763209942,0,0.71
"C11orf1",51.9643715830191,1.78565651785689e-06,0.270588235294118
"NUDC",71.1911054883401,0.000169101131428571,0.00529411764705878
"MRTO4",48.7252343247315,-2.64020633174604e-05,0.894117647058824
"SCRIB",61.8225895648335,8.75741441269839e-05,0.0247058823529411
"KIAA2013",53.014159770178,1.09211555555555e-05,0.177058823529412
