"","Overall","importance","pvalue"
"SH3BGRL",72.4154673674849,0.000336681319047619,0
"ETFB",32.8002297910548,-8.61509090909096e-06,0.847729789590255
"ESRRG",33.7886237136819,0,0.689922480620155
"KCTD18",33.7886237136819,0,0.689922480620155
"NME4",33.7886237136819,0,0.689922480620155
"CNPY2",46.6281648470263,0.000111912681333333,0.0116279069767442
"CYP4B1",33.7886237136819,0,0.689922480620155
"MERTK",48.7064354909066,0.000130027412839506,0.00941306755260241
"FGD1",32.9873938658935,-6.98372159090943e-06,0.824473975636766
"TBKBP1",53.0621403389894,0.000167992835714286,0.00442967884828349
"SNAP47",45.832444022279,0.000104976977777778,0.0132890365448505
"TBX1",36.3624562002301,2.24341736111111e-05,0.0775193798449613
"PDZD11",33.7886237136819,0,0.689922480620155
"TMLHE",35.5723846337651,1.55477104166668e-05,0.106866002214839
"GALNT2",33.7886237136819,0,0.689922480620155
"MRPS25",33.7886237136819,0,0.689922480620155
"HSD17B10",33.7886237136819,0,0.689922480620155
"CCDC113",36.0862257365538,2.00264791666667e-05,0.0852713178294574
"HSPA1A",34.3853968170696,5.20162499999999e-06,0.198228128460687
"TMEM231",52.9003324779318,0.000166582477555555,0.00442967884828349
"FUK",33.7886237136819,0,0.689922480620155
"RABGAP1",46.0461297324296,0.000106839516363636,0.0127353266888151
"NOS1AP",34.6300303361506,7.33391249999982e-06,0.169988925802879
"PTPN3",33.2527638153576,-4.67069012962962e-06,0.787929125138427
"ARL14",33.7886237136819,0,0.689922480620155
"UXT",53.4181502993499,0.000171095908388889,0.00442967884828349
"SMIM14",34.5340780322521,6.49756800000012e-06,0.180509413067553
"SLC44A4",72.2364816792198,0.000335121234611111,0
"GEM",61.9781137743226,0.000245706710648148,0.0022148394241418
"KLF3",31.647976273283,-1.86584234090912e-05,0.910852713178295
"RALGPS1",67.2022063378623,0.000291241220039683,0.000553709856035423
"PEMT",34.8839568398998,9.54719999999987e-06,0.142303433001107
"APOOL",33.7886237136819,0,0.689922480620155
"ACSL4",33.2482251824091,-4.71025000000003e-06,0.789590254706534
"ARHGEF25",63.8666879664774,0.000262168,0.00166112956810627
"MED19",33.4102389459955,-3.29809714285712e-06,0.762458471760797
"GPM6B",31.9440718798491,-1.60775793650794e-05,0.897563676633444
"SPIN2B",55.1246381557152,0.000185970087277778,0.00276854928017722
"RAB14",39.5900175152757,5.05664126984127e-05,0.0370985603543743
"ARHGEF4",33.7886237136819,0,0.689922480620155
"ZNF41",78.737935828333,0.00039178955,0
"DACT2",36.4111639006491,2.28587222222223e-05,0.0769656699889258
"ABCB7",33.7886237136819,0,0.689922480620155
"EXOC6",33.7886237136819,0,0.689922480620155
