"","Overall","importance","pvalue"
"VIL1",50.0344564733659,0,0.689967982924226
"RCE1",54.2736702622779,1.5295168e-05,0.122198505869797
"POLR2J",46.3721465038139,-1.32136875e-05,0.862326574172892
"KCNK3",50.373143623315,1.2219899999999e-06,0.27854855923159
"C12orf66",50.0344564733659,0,0.689967982924226
"ERP29",46.9940615608816,-1.09698055555556e-05,0.844717182497332
"GFI1B",48.9158958427588,-4.03578909090929e-06,0.769477054429029
"ZSWIM3",50.0344564733659,0,0.689967982924226
"RPS6KB2",52.0023812804669,7.10031199999994e-06,0.192636072572038
"AIP",50.0344564733659,0,0.689967982924226
"DLGAP4",50.0344564733659,0,0.689967982924226
"ANKRD40",75.4151312343102,9.15739813446967e-05,0.00586979722518677
"ATP6V0C",49.4244302855827,-2.20098666666657e-06,0.73906083244397
"NIPSNAP3A",61.1518404364556,4.01117433333331e-05,0.0416221985058698
"RAD9A",61.6193540168085,4.17985416666664e-05,0.0384204909284952
"TRIM37",51.8225313119271,6.45140972222236e-06,0.197972251867663
"FBRS",56.0488356040422,2.16999999999998e-05,0.0816435432230523
"SAP130",50.8157611744993,2.81896296296291e-06,0.250800426894344
"LRRC75B",50.0344564733659,0,0.689967982924226
"LRP5",54.8599083333778,1.74103266666665e-05,0.108858057630736
"TRAK1",46.3653349037936,-1.32382638888888e-05,0.862860192102455
"C11orf84",50.0344564733659,0,0.689967982924226
"ZNF57",50.0344564733659,0,0.689967982924226
"SPNS1",50.0344564733659,0,0.689967982924226
"TSPAN1",39.0982537288674,-3.94580378787879e-05,0.957310565635005
"NDUFS8",54.4766886016085,1.60276622222222e-05,0.117929562433298
"KIAA0556",54.2123890049825,1.5074064e-05,0.12273212379936
"TSPAN6",82.2261965344072,0.000116148440952381,0.003735325506937
"HIGD2B",47.9910399831817,-7.37268749999998e-06,0.810565635005336
"CALR",48.5642469120967,-5.30454545454551e-06,0.790288153681964
"WDR31",56.0533134063112,2.17161559999999e-05,0.0816435432230523
"ZNF394",50.0344564733659,0,0.689967982924226
"PRSS36",48.6427651733702,-5.02124999999998e-06,0.786019210245464
"INPPL1",48.7146640271138,-4.76183749999981e-06,0.781750266808965
"METTL18",56.873208967201,2.46743555555555e-05,0.071504802561366
"B3GNT4",43.6961957015512,-2.28685714285712e-05,0.92102454642476
"ACADS",32.8875862939556,-6.18662499999998e-05,0.981856990394877
"STYXL1",62.9293195896322,4.65249236111112e-05,0.0325506937033084
"ZNF433",100,0.000180276678767677,0.000533617929562413
"GZF1",50.281741910117,8.92210793650872e-07,0.287620064034152
"RHBDD3",49.7226095296387,-1.12515000000002e-06,0.718783351120598
"ZSWIM1",61.746619326264,4.2257717444445e-05,0.0378868729989328
"MAP3K11",56.0602684675972,2.174125e-05,0.0816435432230523
"RCOR2",50.0344564733659,0,0.689967982924226
"TESC",78.1530647280295,0.000101452500061728,0.00480256136606194
"ZNF256",47.5207617367998,-9.06946080357129e-06,0.824973319103522
"MED17",50.0344564733659,0,0.689967982924226
"TARBP2",55.9339476985449,2.12854821428572e-05,0.0848452508004269
"CHST14",50.0344564733659,0,0.689967982924226
"SDAD1",50.0344564733659,0,0.689967982924226
"RAP2A",49.1406144136226,-3.22500000000003e-06,0.758271077908218
"ZNF341",50.0344564733659,0,0.689967982924226
"CERCAM",55.2980921661832,1.89913026851851e-05,0.0997865528281751
"NACC1",50.0344564733659,0,0.689967982924226
"ELN",50.0344564733659,0,0.689967982924226
"DDAH2",54.6280284905442,1.65736995634922e-05,0.114194236926361
"PCDHB13",56.1062888964542,2.19072926262629e-05,0.0805763073639274
"GPC5",48.7312929539291,-4.70184000000007e-06,0.780149413020278
"TGFB3",50.0393344951494,1.7600000000062e-08,0.307897545357524
"PXN",79.1096553903283,0.000104903898272727,0.00480256136606194
"FXN",50.0344564733659,0,0.689967982924226
"TPGS1",38.9118725205779,-4.01305049999998e-05,0.958911419423693
"YIPF2",57.4833493039789,2.68757540740741e-05,0.0656350053361793
"PDAP1",46.2277430120358,-1.37346981818181e-05,0.866595517609392
"NMU",50.0344564733659,0,0.689967982924226
"B3GAT3",57.9598782425835,2.85950799999999e-05,0.0597652081109925
"PHF12",47.5260141477449,-9.05051000000001e-06,0.823906083244397
"PIGT",50.0324054869343,-7.39999999987972e-09,0.690501600853789
"FAM53C",44.5970073537006,-1.9618425e-05,0.905549626467449
"BRD4",51.834966325639,6.4962755000002e-06,0.197972251867663
"COL1A1",51.1951089251521,4.18765722222214e-06,0.226787620064034
"PPP1CA",49.8326837541432,-7.28000000000062e-07,0.710245464247599
"LRWD1",56.1659672543808,2.21226133333332e-05,0.0805763073639274
"IL12RB2",50.0344564733659,0,0.689967982924226
"FIZ1",50.0344564733659,0,0.689967982924226
"TOB2",50.0344564733659,0,0.689967982924226
"FOXP4",50.0344564733659,0,0.689967982924226
"SSH3",50.0344564733659,0,0.689967982924226
"ZNF547",83.3119746293489,0.00012006595,0.003735325506937
"CTSA",62.7512929665074,4.58825999999999e-05,0.0325506937033084
"GSTM2",52.7435594893802,9.77449777777784e-06,0.166488794023479
"ULK1",50.0344564733659,0,0.689967982924226
"AK8",50.0344564733659,0,0.689967982924226
"FBXL15",56.7365832964762,2.41814074074074e-05,0.0720384204909285
"KDELR1",46.4971050694454,-1.27628345000002e-05,0.860192102454643
"ZNF140",50.0344564733659,0,0.689967982924226
"CNOT3",50.0344564733659,0,0.689967982924226
"CASC4",50.0344564733659,0,0.689967982924226
"FBLN5",50.0344564733659,0,0.689967982924226
"CHKA",39.9604775459607,-3.63471171296297e-05,0.954642475987193
"CAMK2N2",44.4112730712132,-2.02885579999998e-05,0.909284951974386
"STIP1",49.7235959684446,-1.12159090909092e-06,0.718249733191035
"DIRAS1",50.0344564733659,0,0.689967982924226
"AKNA",44.1132987478701,-2.1363655308642e-05,0.915688367129136
"ADAD2",54.5092127502582,1.614501e-05,0.117395944503735
"PRKAB1",50.0344564733659,0,0.689967982924226
"LRCH4",50.0344564733659,0,0.689967982924226
"MEN1",51.3109399236597,4.60557777777781e-06,0.22145144076841
"PIGQ",50.0344564733659,0,0.689967982924226
"TMOD2",50.0344564733659,0,0.689967982924226
"RNF10",48.8581983039738,-4.24396296296314e-06,0.773745997865528
"TFPI",50.0344564733659,0,0.689967982924226
"PHF6",53.346347481204,1.19493688888888e-05,0.147278548559232
"TMEM164",63.3342775448967,4.798602e-05,0.0304162219850587
"CRTAC1",39.6740304799505,-3.73806238636363e-05,0.955709711846318
"FRMD7",50.0344564733659,0,0.689967982924226
"RPS27",63.8400588057979,4.98108888888891e-05,0.028281750266809
"KIAA1671",51.0746730617628,3.75312222222224e-06,0.234258271077908
