"","Overall","importance","pvalue"
"PDCL",63.6598739504992,0.000164835858333333,0.00304506699147378
"ASPM",47.189854032421,2.64610366666667e-05,0.109013398294763
"SEMA4G",44.0709315157735,2.57039999999931e-07,0.28258221680877
"PRPF4",48.2414236908051,3.5295923611111e-05,0.0864799025578563
"RC3H2",44.0403374100774,0,0.711936662606577
"SRSF1",44.0403374100774,0,0.711936662606577
"MIS18BP1",46.2680497502391,1.87163888888888e-05,0.146772228989038
"BLM",39.8517150970717,-3.5191206111111e-05,0.913520097442144
"NUP188",44.0403374100774,0,0.711936662606577
"PSMD5",48.7754806020315,3.97828659595958e-05,0.0773447015834349
"SCAI",44.0403374100774,0,0.711936662606577
"CNTRL",58.0322750367944,0.00011755492,0.00974421437271622
"TUBA4A",43.6447208391237,-3.32381944444449e-06,0.754567600487211
"CDK5RAP2",46.5392236581713,2.09946885714285e-05,0.136419001218027
"PIBF1",63.660050981354,0.000164837345679012,0.00304506699147378
"ZBED6CL",44.9462137755048,7.61082749999997e-06,0.207673568818514
"KIF14",66.91464234809,0.000192181180246914,0.002436053593179
"KCNK3",42.8046760034631,-1.03815555555555e-05,0.811205846528624
"ADORA1",41.3013350837087,-2.30120522222221e-05,0.8721071863581
"GTF3C4",61.3332419249587,0.000145288384,0.00548112058465289
"SET",44.0403374100774,0,0.711936662606577
"TRAPPC1",76.9705845802332,0.000276667369090909,0.000609013398294778
"GLO1",51.1532924148685,5.97603333333334e-05,0.0444579780755177
"ULK4",51.6309880797546,6.37737499999997e-05,0.03836784409257
"CDC26",75.3330625134526,0.000262909533636364,0.000609013398294778
"SYCP2L",68.9699780694842,0.000209449326571429,0.00121802679658956
"RNF219",49.0258391581201,4.1886283e-05,0.0730816077953715
"CRY1",44.2056951624072,1.38927272727285e-06,0.26857490864799
"ARID5A",64.017902216532,0.000167843875185185,0.00304506699147378
"RANBP9",49.530473088362,4.6126024691358e-05,0.0645554202192449
"CRABP1",54.4324047238846,8.73101834999999e-05,0.0200974421437271
"MAPK10",47.017877509578,2.50161555555555e-05,0.116930572472594
"NUP50",43.2959570139401,-6.25399999999998e-06,0.785627283800244
"MERTK",46.6903030544012,2.22640000000001e-05,0.130937880633374
"MSRB2",50.8385705099561,5.71161599999999e-05,0.0468940316686967
"GJB1",55.2182722886096,9.39127428571427e-05,0.0170523751522533
"ZBED4",54.2319389326439,8.56259464285714e-05,0.0207064555420219
"PDS5B",62.6404372217096,0.00015627094,0.00426309378806333
"UROS",55.096613234602,9.28906099158251e-05,0.0170523751522533
"ODC1",44.8355328838344,6.68092888888894e-06,0.213154689403167
"ZBTB6",61.8602613410289,0.0001497162,0.00426309378806333
"CEP135",45.6733972533433,1.37203455555555e-05,0.169305724725944
"KIAA0368",45.4547449678282,1.18833125e-05,0.178440925700365
"SMOC1",43.7123882632948,-2.7553035714285e-06,0.747259439707674
"ARHGAP11A",49.0994024647326,4.25043338271605e-05,0.0712545676004872
"DDX31",44.0403374100774,0,0.711936662606577
"TCEAL4",44.0403374100774,0,0.711936662606577
"UBE3A",49.4956128943557,4.58331426455028e-05,0.0651644336175395
"HNRNPH1",47.3649159396655,2.79318399999999e-05,0.105968331303289
"RAI1",49.7245756099894,4.77568000000002e-05,0.061510353227771
"PNN",44.0403374100774,0,0.711936662606577
"UTP18",58.7574270020001,0.000123647370061728,0.00913520097442144
"SRSF3",50.0953684015474,5.08720595238095e-05,0.0560292326431181
"BDP1",45.1884328086459,9.64585937499995e-06,0.194275274056029
"ZNF367",50.3255848186999,5.28062499999999e-05,0.0554202192448234
"GEN1",56.2457643848044,0.000102545339313131,0.0121802679658952
"WDR5",100,0.000470151728408529,0
"FZD8",45.4008496525227,1.14305046296297e-05,0.181485992691839
"USP1",45.5856519324802,1.29831428571427e-05,0.173568818514007
"TGM5",51.9379949486903,6.63531045454544e-05,0.0377588306942753
"PAM",44.0601085265412,1.66109375000056e-07,0.283191230207065
"AFAP1L2",53.2960153421744,7.77626736111114e-05,0.0249695493300852
"SMC2",44.8182827681128,6.5360000000001e-06,0.213763702801462
"STX8",49.6880248287857,4.74497142857142e-05,0.061510353227771
"RABGAP1",44.0403374100774,0,0.711936662606577
"DAB2",56.033310809438,0.000100760385454546,0.01278928136419
"TIPIN",44.0403374100774,0,0.711936662606577
"SYNE2",44.0403374100774,0,0.711936662606577
"NINJ1",44.0403374100774,0,0.711936662606577
"HNRNPR",44.0403374100774,0,0.711936662606577
"MAP2K3",50.900548248837,5.76368733086421e-05,0.0456760048721072
"MAPKAP1",44.0403374100774,0,0.711936662606577
"PRMT3",42.4332184684714,-1.35023999999999e-05,0.828867235079172
"ZNF326",45.0435017147723,8.42820363636343e-06,0.203410475030451
"KIF15",44.0403374100774,0,0.711936662606577
"TXNDC17",59.530644937704,0.000130143652063492,0.00730816077953711
"KIAA1143",39.9243737837309,-3.45807555555555e-05,0.912302070645554
"MMD",52.2881713931308,6.9295153388889e-05,0.0341047503045067
"ZBTB41",62.6078135070409,0.000155996848,0.00426309378806333
"TFRC",44.0403374100774,0,0.711936662606577
"RHEBL1",57.8131303527593,0.00011571375,0.00974421437271622
"REV3L",48.4008203651736,3.66351136363636e-05,0.0858708891595615
"CYB5A",44.0403374100774,0,0.711936662606577
"ACSL4",49.7291055573491,4.77948588888888e-05,0.061510353227771
"TTF1",65.3707243639684,0.000179209770571428,0.00304506699147378
"CSRNP1",44.0403374100774,0,0.711936662606577
"MRAS",44.5848477250336,4.57476785714284e-06,0.233252131546894
"NEK6",44.894007596849,7.17221111111122e-06,0.211327649208283
"SDCCAG3",44.0403374100774,0,0.711936662606577
"RPF1",44.0403374100774,0,0.711936662606577
"PRKCI",51.2477363884703,6.05538155555554e-05,0.0438489646772229
"GMNN",70.8055350680003,0.000224870975943563,0.000609013398294778
"PCF11",49.8080261989469,4.84579199999999e-05,0.0609013398294762
"DAGLA",59.815350025548,0.000132535635555556,0.00730816077953711
"COA5",44.0403374100774,0,0.711936662606577
"PARPBP",52.5077000593099,7.11395494603178e-05,0.0328867235079172
"DHX15",44.0403374100774,0,0.711936662606577
"UXT",47.6863397279867,3.063232e-05,0.097442143727162
"SRPK1",47.3244534309972,2.75918894444445e-05,0.107186358099878
"RIOK3",44.0403374100774,0,0.711936662606577
"RAB14",54.3233044271655,8.63935644444445e-05,0.0207064555420219
"LIMK1",57.2503849361133,0.000110985777777778,0.0109622411693058
"BPTF",47.5211482735841,2.92444444444444e-05,0.100487210718636
"SSX2IP",68.6237836113386,0.000206540732857143,0.00121802679658956
"VOPP1",51.9099167994642,6.61172026515151e-05,0.0377588306942753
"SFXN3",54.0520513961552,8.41145999999999e-05,0.0207064555420219
"ACOX3",40.9444353590679,-2.60105874999998e-05,0.888550548112058
"EGF",50.3007302534743,5.25974314285713e-05,0.0554202192448234
"WNT9A",44.0403374100774,0,0.711936662606577
"P2RX4",44.0403374100774,0,0.711936662606577
"A1BG",45.0692344194105,8.64439999999989e-06,0.200974421437272
"WDR76",44.0403374100774,0,0.711936662606577
"BRIP1",44.0403374100774,0,0.711936662606577
"UNC119",44.2792100393304,2.00691666666653e-06,0.261875761266748
"EIF3D",49.0156929456493,4.18010383950616e-05,0.0730816077953715
"RABEP2",44.0221563890493,-1.52749999999813e-07,0.716808769792936
"CD81",42.2767459956331,-1.48170219999999e-05,0.836784409257004
"SHISA4",44.0403374100774,0,0.711936662606577
"LEAP2",38.2217031454306,-4.88859444444445e-05,0.940925700365408
"PSMB7",44.0403374100774,0,0.711936662606577
"STXBP4",39.2560686779098,-4.01956000000001e-05,0.924482338611449
"WDR13",44.0403374100774,0,0.711936662606577
"NENF",43.3963471114166,-5.41056071428581e-06,0.778319123020706
"GALR3",52.407697333347,7.02993647222219e-05,0.0341047503045067
"FKBP15",53.7528545755547,8.16008625e-05,0.0225334957369062
"ERP27",53.5054662258415,7.95223999999999e-05,0.023142509135201
"SAMD13",42.1210554809851,-1.61250742857142e-05,0.843483556638246
"MTSS1",53.0848031198447,7.59881491269838e-05,0.02557856272838
"POU2F1",48.7281415923219,3.93851416666668e-05,0.0797807551766139
"RARRES3",41.4055197826893,-2.21367321428572e-05,0.868453105968331
"TYW3",44.0403374100774,0,0.711936662606577
"TLK2",47.199820876367,2.65447742857143e-05,0.109013398294763
"SASS6",44.0403374100774,0,0.711936662606577
"STIL",52.2293168525007,6.88006800000001e-05,0.035931790499391
"WDR5B",46.1613573427871,1.78199999999999e-05,0.151644336175396
"FGD6",72.4942580346372,0.000239058981818182,0.000609013398294778
"FAN1",38.9574132543258,-4.2704788888889e-05,0.929354445797808
"COMT",41.4981646556295,-2.13583652777776e-05,0.865408038976857
"ATAD5",44.0403374100774,0,0.711936662606577
"TMEM55A",37.6191474659578,-5.39483873015874e-05,0.946406820950061
"PHGDH",44.0403374100774,0,0.711936662606577
