"","Overall","importance","pvalue"
"ECSIT",60.8789592429357,0.000242523248740741,0.0175167439464193
"RUNDC1",54.360437950808,0.000137711386320347,0.0571870170015456
"PARD6A",54.0178678890212,0.00013220317294246,0.0623390005151984
"EFNA5",93.7194033178382,0.000770567563079365,0
"SRP14",45.7958100244661,0,0.68160741885626
"TEX29",40.2568346758061,-8.90616592592592e-05,0.902627511591963
"CCDC136",45.1362652327116,-1.06048772222227e-05,0.769191138588357
"RPAP1",54.7125125104286,0.000143372423333333,0.0520350334878928
"ITGB6",57.6837477560992,0.000191147169450056,0.0309119010819165
"PRDX2",55.3759368414586,0.00015403968,0.0463678516228748
"SBK1",40.5762153618339,-8.39263098412699e-05,0.896960329726945
"LIMD2",73.9281220358143,0.000452341855454546,0.00257599175682632
"UBTF",45.7958100244661,0,0.68160741885626
"TYRO3",58.33041660808,0.000201545013333333,0.0273055126223596
"OXNAD1",67.1482264477746,0.000343327333333333,0.00824317362184446
"GPR87",45.7958100244661,0,0.68160741885626
"GNB1L",65.1681109707642,0.000311488886904762,0.00927357032457499
"ELOF1",45.7958100244661,0,0.68160741885626
"MRI1",45.7958100244661,0,0.68160741885626
"BRD1",45.7958100244661,0,0.68160741885626
"FARSA",45.7958100244661,0,0.68160741885626
"GADD45GIP1",67.8113087760928,0.000353989090909091,0.00772797527047908
"PPP1R10",52.5503842169396,0.000108607377232143,0.0762493560020608
"CNPY3",53.5894301505542,0.000125314285833333,0.0690365790829469
"CCDC117",44.6221891877326,-1.887075e-05,0.801133436373004
"PRIMPOL",75.9689433039235,0.0004851563955,0.00154559505409579
"SLC41A2",57.8462620060086,0.00019376025,0.0293663060278208
"ANXA13",71.6924266641811,0.000416393918,0.00360638845955696
"MAN1B1",54.4380173213308,0.000138958791666667,0.0546110252447192
"TLCD1",45.2280685455307,-9.12876388888906e-06,0.762493560020608
"ACSL5",58.5156253148624,0.000204523,0.0267903142709943
"AHSA1",55.6915637256854,0.000159114671717172,0.044822256568779
"TMEM11",49.9640379292079,6.70212936507937e-05,0.117980422462648
"S100A3",45.7958100244661,0,0.68160741885626
"CRIM1",42.3786098422614,-5.49454545454544e-05,0.866563626996394
"BNC1",45.7958100244661,0,0.68160741885626
"FXR2",58.6666499034855,0.000206951337301587,0.0252447192168985
"PLXDC2",53.2058262418231,0.000119146285714286,0.0710973724884081
"PDE8A",56.775066976638,0.000176536413333333,0.0376094796496651
"NEBL",54.0114429392785,0.000132099865625,0.0623390005151984
"ADI1",45.7958100244661,0,0.68160741885626
"MTMR1",55.3798433999598,0.000154102493888889,0.0463678516228748
"TRABD",45.7958100244661,0,0.68160741885626
"IFNAR2",54.5007510174944,0.000139967492142857,0.0546110252447192
"VHL",44.665925436329,-1.81675111111113e-05,0.800618238021638
"EIF3G",57.2350453146017,0.000183932444444444,0.0350334878928388
"ATP13A1",98.2559071600298,0.000843510397085538,0
"MAU2",45.7958100244661,0,0.68160741885626
"TTLL12",48.3054892439959,4.03533472222224e-05,0.153013910355487
"ALCAM",45.7958100244661,0,0.68160741885626
"MMP7",43.3023367599936,-4.00927702821867e-05,0.846986089644513
"CAMK1G",45.8338040436991,6.10909090908995e-07,0.305512622359608
"PRELID2",37.8929261159564,-0.000127071147553572,0.933539412673879
"C11orf84",47.0505397109204,2.01749061447811e-05,0.193199381761978
"RAVER1",42.4146484855996,-5.4365986111111e-05,0.865018031942298
"CLDN11",47.624794497875,2.94083980714286e-05,0.173106646058733
"TIGD3",45.5095194255775,-4.60329107142843e-06,0.738794435857805
"RNF144A",43.7966558602775,-3.21445711111112e-05,0.83101494075219
"ST6GALNAC4",45.7958100244661,0,0.68160741885626
"NCAPH2",64.4690621434108,0.000300248820909091,0.0108191653786708
"RAC3",58.121137710109,0.00019818,0.0283359093250901
"PTPN11",41.1752764386359,-7.42939554545454e-05,0.889232354456466
"TBC1D8",45.7958100244661,0,0.68160741885626
"TMEM42",46.4396575790077,1.03524799999999e-05,0.233900051519835
"CCDC142",61.6542521607378,0.00025498925,0.0159711488923235
"FOSL1",45.4274747881357,-5.92249382716048e-06,0.748583204533745
"LMAN1",47.67299620807,3.01834374999999e-05,0.172076249356002
"STOM",45.7958100244661,0,0.68160741885626
"ZMAT3",45.7958100244661,0,0.68160741885626
"ZNF608",31.6123289227486,-0.000228057408,0.978876867594024
