"","Overall","importance","pvalue"
"SYCP2",100,0.000740405594223986,0
"P2RX5",34.7988986340017,0.000142322974636845,0.00230282095567069
"CA13",26.6117598504059,6.72232399999999e-05,0.0149683362118596
"PLS3",45.8923284550785,0.000244081801230159,0
"SMC1B",21.457838205848,1.99468766603537e-05,0.0823258491652274
"PALM2",54.5791184684791,0.00032376478231746,0
"LTK",26.477240437843,6.59893080423279e-05,0.0155440414507773
"ARPC3",25.2307930491035,5.45557815555555e-05,0.0218767990788716
"SORT1",20.5586426876849,1.16986538580246e-05,0.121473805411629
"MCTS1",40.8651856993714,0.00019796836686508,0
"GOLPH3L",21.6214007761933,2.14472183492065e-05,0.0794473229706391
"KCTD10",26.2926339233202,6.42959325396823e-05,0.0161197466896948
"PDE3B",19.2832919400419,0,0.739781232009211
"NPTN",23.1781172834079,3.57268097530865e-05,0.0454807138744963
"S100A6",28.7336384873254,8.66870022222219e-05,0.00805987334484748
"TMTC4",19.2832919400419,0,0.739781232009211
"CRTAP",47.2467837795522,0.000256506072777778,0
"PMEPA1",12.4971746513505,-6.22483166666667e-05,0.98272884283247
"PGRMC1",27.7448381823061,7.76168444444445e-05,0.0109383995394358
"LRBA",19.2832919400419,0,0.739781232009211
"LNX1",19.2832919400419,0,0.739781232009211
"SLC43A1",30.2212670201863,0.000100332857142857,0.00575705238917679
"C11orf80",29.5164738610487,9.3867866060606e-05,0.00575705238917679
"YWHAB",34.9722388805669,0.000143913005887446,0.00230282095567069
"DSG2",19.7162456667109,3.97143749999995e-06,0.186528497409326
"UNC13D",19.2832919400419,0,0.739781232009211
"DSC2",39.34747558287,0.000184046576845679,0
"RAB21",20.7799601976107,1.37287753333335e-05,0.109959700633276
"DSTN",17.4574129083432,-1.67485900000002e-05,0.90097869890616
"UBE2A",36.7023782827405,0.000159783386666667,0.00172711571675299
"SEMA6C",20.8124554284405,1.40268505555554e-05,0.109383995394358
"CCDC15",19.2832919400419,0,0.739781232009211
"GSN",27.8747363651169,7.88083863636364e-05,0.00978698906160047
"TMEM47",19.2832919400419,0,0.739781232009211
"AR",19.0880439455902,-1.79098864197536e-06,0.778353483016695
"SLC25A5",48.7011086331639,0.000269846436666667,0
"RAB1B",26.4984513540299,6.61838734722222e-05,0.0155440414507773
"FAM155B",19.2832919400419,0,0.739781232009211
"CTTN",18.9820445044617,-2.76330999999996e-06,0.793897524467473
"ACTR3",19.2832919400419,0,0.739781232009211
"ANLN",30.9528528285418,0.000107043614285715,0.00402993667242368
"PRRG2",19.4674139722287,1.68893139880977e-06,0.22279792746114
"TMEM167B",20.3662123320822,9.93351111111118e-06,0.134139320667818
"ACTN4",15.8176871690987,-3.17896160714284e-05,0.948762233736327
"MN1",19.2832919400419,0,0.739781232009211
"LY6K",35.171134491836,0.000145737453722222,0.00230282095567069
"TES",21.7759144568028,2.28645555555556e-05,0.0771445020149684
"SPECC1",23.8164261344692,4.15819475000001e-05,0.0351180195739781
"FAM184B",34.7307004386804,0.0001416974,0.00230282095567069
"SCNM1",17.9729308418711,-1.20198e-05,0.880829015544041
"SDC4",18.8873703175161,-3.63174603174587e-06,0.808290155440414
"IFNAR2",20.1115295188565,7.59733333333346e-06,0.157167530224525
"C1GALT1C1",27.6300138516328,7.65635733333334e-05,0.0109383995394358
"POU5F1",19.2832919400419,0,0.739781232009211
"IQGAP1",19.7496661540866,4.278e-06,0.181347150259067
"CRMP1",17.0251711893251,-2.07134963311688e-05,0.919401266551526
"TCF19",26.829795710647,6.92232592592592e-05,0.0138169257340242
"ZIC5",19.2832919400419,0,0.739781232009211
"RBX1",25.833059142284,6.00803030000001e-05,0.0184225676453655
"NIPAL3",21.2288909113457,1.78467680000001e-05,0.0955670696603339
"ACADL",39.1517494827766,0.000182251202592593,0
"SAYSD1",20.1123532019523,7.60488888888888e-06,0.157167530224525
"CHAMP1",33.6517396608634,0.00013180021,0.00345423143350609
"CDK2AP1",20.5087628047996,1.12411111111113e-05,0.1237766263673
"MSI1",28.2981270524664,8.26921031428574e-05,0.00863557858376507
"CDH3",19.2832919400419,0,0.739781232009211
"KCNK5",27.8771590820143,7.883060968254e-05,0.00978698906160047
"MYOF",31.6919377523566,0.00011382316,0.00345423143350609
"BAIAP2L1",19.2832919400419,0,0.739781232009211
"TGDS",41.6690671456249,0.000205342284040404,0
"GDPD1",21.2044116311615,1.76222222222222e-05,0.0955670696603339
"VAV3",19.2832919400419,0,0.739781232009211
"GLIPR1",15.91471277661,-3.08996107142856e-05,0.947035118019574
"PIK3R3",14.7753929262728,-4.13504679292929e-05,0.963730569948187
