"","Overall","importance","pvalue"
"ACAD9",96.8178265961968,0.000277278637373737,0
"ARPC1A",94.0493758390037,0.000266428672395383,0
"TFCP2L1",58.8209371287165,0.000128363248888889,0
"KLK10",26.068081770091,0,0.725317153888583
"POLR2J",53.9048799963918,0.000109096499217172,0
"MTG1",58.6130133958182,0.000127548365252525,0
"AANAT",26.068081770091,0,0.725317153888583
"GPAA1",5.38073566824957,-8.10767466666666e-05,0.996138996138996
"NDUFV1",29.9792375418904,1.53283937012987e-05,0.105901820187534
"PPM1G",30.3636810988087,1.68350844444445e-05,0.0992829564258135
"PRKACA",15.3341541853426,-4.20678381481481e-05,0.972972972972973
"TMSB10",27.4892816297696,5.5698909090911e-06,0.191947049089906
"PGRMC1",16.6752208204789,-3.6812001111111e-05,0.963596249310535
"BANF1",68.7298971491742,0.000167197918031746,0
"KRT83",30.0904336451225,1.57641875555556e-05,0.102592388306674
"EDN2",53.6093310190307,0.000107938199382716,0
"AP4M1",41.4752256254978,6.03828588293653e-05,0.0104798676227248
"PRICKLE1",24.1884186964811,-7.3666755555557e-06,0.833425261996691
"CBLC",27.8080012768323,6.81900000000013e-06,0.174296745725317
"LAPTM4A",57.0978423581124,0.0001216101875,0
"PDAP1",38.8970054820058,5.02784355555557e-05,0.0170987313844456
"ATG101",25.5227745928812,-2.13713888888889e-06,0.763375620518478
"ARF5",32.979019029984,2.70849777777777e-05,0.0595697738554881
"TEX261",27.5719870807701,5.89402571428588e-06,0.186982901268616
"TTC22",100,0.000289750042146465,0
"EIF1AD",28.2500625592586,8.55150306878327e-06,0.157198014340871
"PSD4",21.7626903441542,-1.6873461111111e-05,0.901820187534473
"KAZN",64.070746204616,0.000148938021428571,0
"RAB1B",18.0729436021883,-3.13341203174604e-05,0.94980694980695
"CCDC115",26.068081770091,0,0.725317153888583
"LCK",11.3886246475264,-5.75309476851853e-05,0.988968560397132
"HVCN1",28.7937942909946,1.06824675555555e-05,0.140650854936569
"C1orf122",26.068081770091,0,0.725317153888583
"MLF2",27.6993574492888,6.39320888888895e-06,0.180364037506895
"PCBP1",31.0473160018518,1.95143499999999e-05,0.081081081081081
"ABRACL",41.4722417854725,6.03711647222218e-05,0.0104798676227248
"TECR",35.4038487011298,3.65882412698411e-05,0.0369553226696084
"SULT1A4",22.1975381869195,-1.51692285714287e-05,0.892995035852179
"FGFR1OP",84.2205092568392,0.000227907901196428,0
"CGNL1",64.0300366538588,0.000148778474722222,0
"KRT14",26.068081770091,0,0.725317153888583
"FOXJ2",24.967856480331,-4.31194444444438e-06,0.794815223386652
"EIF4EBP2",34.6982872166051,3.38230422222223e-05,0.0463320463320464
"FAT2",65.9272330625186,0.000156213865992064,0
"HDAC11",25.4423786934948,-2.4522222222223e-06,0.768339768339768
"NARFL",22.9441113105453,-1.22432988888888e-05,0.872586872586873
"SNX17",26.068081770091,0,0.725317153888583
"RPS6KB2",34.764407616664,3.4082177777778e-05,0.0446773303916161
"RCE1",26.068081770091,0,0.725317153888583
"COPE",46.0201170391746,7.81949555555557e-05,0.00441257584114729
"CC2D1A",21.4100047392163,-1.8255687777778e-05,0.911748483177055
"GNG10",32.8091886284877,2.64193874999998e-05,0.0612244897959183
"GNB2",69.4875956621787,0.000170167449748678,0
"RAB15",26.068081770091,0,0.725317153888583
"NUDT8",26.068081770091,0,0.725317153888583
"CD276",22.581382913309,-1.36648847330447e-05,0.882515168229454
"ARPC3",29.5366300608615,1.35937499999998e-05,0.118036403750689
"ACADS",26.068081770091,0,0.725317153888583
"PPP1R7",43.0797350067143,6.66711666666666e-05,0.00772200772200771
"TMEM214",40.1373684153341,5.51396e-05,0.0126861555432984
"ATP6V1B1",32.7439990574394,2.61639e-05,0.0628792057363486
"PREB",29.701369147326,1.42393866666666e-05,0.114726971869829
"CACNB3",42.2164944028295,6.3288e-05,0.00882515168229459
"PPIF",23.5080239166346,-1.00332425925924e-05,0.854936569222283
"EMP2",41.9519435050366,6.2251186190476e-05,0.00992829564258135
"TCIRG1",22.2218622518077,-1.50738989898991e-05,0.891891891891892
"BCAM",29.0059660933964,1.1514e-05,0.135135135135135
"ARHGEF2",25.7162052981756,-1.37905555555551e-06,0.746276889134032
"COTL1",24.8046455609365,-4.95159200000006e-06,0.800330943188086
"SSH3",26.068081770091,0,0.725317153888583
"FBXO27",26.068081770091,0,0.725317153888583
"SNX8",41.3924170137925,6.00583197222224e-05,0.0104798676227248
"POLR2L",22.5554864715269,-1.37663766904763e-05,0.884169884169884
"APCDD1L",72.473770582816,0.000181870707689594,0
"DCST1",24.2127640603995,-7.27126249999999e-06,0.83177054605626
"C15orf61",36.6075961173743,4.13059041269836e-05,0.0281301709873139
"GABARAPL1",26.068081770091,0,0.725317153888583
"LPCAT3",26.068081770091,0,0.725317153888583
"DPY30",26.1676530270588,3.90234374999965e-07,0.267512410369553
"RFXANK",40.594457695929,5.69310000000001e-05,0.0115830115830116
"SLPI",22.9947963783423,-1.20446566666663e-05,0.870932156646442
"CAPG",24.3067006761733,-6.90311111111108e-06,0.82680639823497
"TSPAN18",32.6120003735099,2.56465777777777e-05,0.0639823496966354
"MRPS24",23.4331828921677,-1.03265555555556e-05,0.859349145063431
"TMPRSS3",34.3342020926,3.23961391666665e-05,0.0490899062327633
"GDF7",35.1773296879716,3.570048e-05,0.0408163265306123
"PIK3R3",34.0452431552782,3.12636666666668e-05,0.0507446221731936
"NXT1",28.7167825594177,1.03806472727273e-05,0.140650854936569
"NDUFB7",20.8419207196819,-2.0482092455808e-05,0.92388306674021
"PPP1CA",34.0285971610727,3.11984285714288e-05,0.0507446221731936
"BABAM1",35.8380884952927,3.82900907777777e-05,0.0330943188086045
"ADCK2",25.807361759534,-1.02179999999996e-06,0.742967457253171
"PLP2",26.068081770091,0,0.725317153888583
"TANC1",19.4494715983925,-2.59393049999999e-05,0.936569222283508
"AP2S1",24.4514646100922,-6.33576000000002e-06,0.819084390512962
"KLK6",26.068081770091,0,0.725317153888583
"LCT",26.0833780414743,5.99483333332262e-08,0.274131274131274
"STYK1",26.068081770091,0,0.725317153888583
"VAMP8",26.068081770091,0,0.725317153888583
"HRCT1",24.6629840206438,-5.50678437499985e-06,0.808052950910094
"JUNB",33.7703050922991,3.01861440317457e-05,0.0523993381136239
"IFITM10",26.068081770091,0,0.725317153888583
"ADCK5",63.7132029563338,0.000147536756944444,0
"USP5",34.6023182943688,3.3446925925926e-05,0.0474351902923331
"SEMA4C",16.9599954686705,-3.56959274545456e-05,0.959183673469388
"S100A16",26.068081770091,0,0.725317153888583
"GLTP",26.068081770091,0,0.725317153888583
"NACC1",26.068081770091,0,0.725317153888583
"PSMG3",22.3901384150577,-1.44143999999999e-05,0.888030888030888
"OTX1",26.068081770091,0,0.725317153888583
"NR2F6",28.2117639450574,8.4014051767678e-06,0.160507446221732
"KLK5",25.5786665762671,-1.91808999999998e-06,0.757859900717044
"COBLL1",33.1933359218716,2.79249171428571e-05,0.0579150579150579
"KRT5",33.6282412560938,2.96293750000001e-05,0.0535024820739106
"SERINC2",26.068081770091,0,0.725317153888583
"HADHB",19.3334125798482,-2.63941573333333e-05,0.938775510204082
"PPP4C",41.8682553439058,6.19232000000001e-05,0.00992829564258135
"LRCH4",33.3077527098094,2.83733333333334e-05,0.0568119139547711
"PODNL1",48.8988307699368,8.94770573160173e-05,0.00165471594043021
"CACNA1C",32.5086738030312,2.52416257777777e-05,0.0645339216767788
"ORAOV1",44.6098277190313,7.26678246527774e-05,0.00551571980143406
"CDKN1B",36.4587361348473,4.07225000000002e-05,0.0286817429674573
"PDCL3",28.9957734595357,1.14740535714286e-05,0.135135135135135
"NDUFC2",26.068081770091,0,0.725317153888583
"ZHX1",60.6203721966246,0.000135415499111111,0
"ASB8",21.7169205877887,-1.70528395061729e-05,0.903474903474903
"ABCB8",23.9227139765005,-8.40801136363622e-06,0.840044125758411
"ACTR3C",42.2276811589549,6.33318425396827e-05,0.00882515168229459
"HEBP1",26.068081770091,0,0.725317153888583
"PITPNM2",26.068081770091,0,0.725317153888583
"NECAP1",15.217656378121,-4.25244101587303e-05,0.97407611693326
"AACS",26.068081770091,0,0.725317153888583
"IRX3",26.068081770091,0,0.725317153888583
"IDH2",26.068081770091,0,0.725317153888583
"OVOL1",23.2456293231106,-1.10616055291004e-05,0.861555432984004
"FZD1",75.2074544022284,0.000192584415934343,0
"NIPSNAP3A",59.5443756054941,0.000131198510493827,0
