"","Overall","importance","pvalue"
"RABL6",61.7347794750499,3.53857375837743e-05,0.00116009280742457
"ING5",47.2326852278202,1.35530957936509e-05,0.0150812064965197
"CCDC74A",38.2301891290579,0,0.717517401392111
"PIK3AP1",53.205668785001,2.25453150000001e-05,0.00290023201856149
"CCDC88B",56.9604131041181,2.81980149711401e-05,0.00232018561484915
"MAP2K5",62.0592025120564,3.58741506249998e-05,0.00116009280742457
"DCLRE1B",55.6344208254877,2.62017574691358e-05,0.00290023201856149
"FUT6",62.5963919350477,3.66828796296297e-05,0.00116009280742457
"TRIM68",49.8357589319601,1.74719763888886e-05,0.00406032482598606
"PCDHB6",76.0329465677371,5.69113707142859e-05,0.000580046403712342
"KCNJ2",39.1667046805898,1.40990730158719e-06,0.200116009280742
"ATXN7L2",38.1458695849435,-1.26941555555593e-07,0.728538283062645
"PMPCA",38.2301891290579,0,0.717517401392111
"EPB41L3",39.2008085081727,1.46124999999997e-06,0.19953596287703
"KRT6C",38.2301891290579,0,0.717517401392111
"PGPEP1",45.2530230319053,1.05727500000001e-05,0.0284222737819025
"ZMYND19",38.3947761901051,2.47782857142775e-07,0.267401392111369
"TBX4",34.367380259407,-5.81538920634928e-06,0.925174013921114
"FAM189A2",34.6632251832266,-5.36999999999987e-06,0.914733178654292
"PADI3",70.6078607008269,4.87440016161615e-05,0.000580046403712342
"DHRSX",46.2634237575778,1.20938901010101e-05,0.0208816705336426
"ANAPC2",45.944049704566,1.16130782142858e-05,0.0232018561484919
"HNRNPM",39.0045575542534,1.16579772222236e-06,0.208236658932715
"SLC35D1",55.4309067260621,2.58953706565657e-05,0.00290023201856149
"SMAD3",51.4930489459178,1.99669966666667e-05,0.00290023201856149
"TUBB4B",37.1591337793506,-1.61245454545456e-06,0.805104408352668
"SSNA1",38.2301891290579,0,0.717517401392111
"FBXW5",38.2301891290579,0,0.717517401392111
"RBPMS2",100,9.2993338148148e-05,0
"PLEKHB1",38.2301891290579,0,0.717517401392111
"IVL",68.0460216136795,4.48871989944084e-05,0.000580046403712342
"RPA2",57.8838062097381,2.95881666666666e-05,0.00232018561484915
"LRG1",49.6109110826729,1.71334719999998e-05,0.00522041763341063
"DTYMK",35.0331528851288,-4.81308050505058e-06,0.904292343387471
"MYO1F",38.0784289466946,-2.28472222222331e-07,0.732598607888631
"FBXL13",49.5015442631158,1.69688222222222e-05,0.00638051044083532
"AGBL5",53.7663393521799,2.33893944444445e-05,0.00290023201856149
"CDT1",38.5360343306207,4.60444444444486e-07,0.248839907192575
"MTRF1L",37.4197248074155,-1.22013944444443e-06,0.794663573085847
"ATP5F1",38.2301891290579,0,0.717517401392111
"ALX3",45.0510020912736,1.02686111111112e-05,0.0295823665893271
