"","Overall","importance","pvalue"
"SNAPC1",35.8917614951313,7.72691503968259e-06,0.168853394181403
"UGDH",56.4130911182695,9.73854022222222e-05,0.00171135196805472
"PNN",28.3377447247808,-2.52768780000001e-05,0.939532230462065
"FST",40.1656328049693,2.6399625e-05,0.0581859669138619
"SALL4",42.1848363688966,3.5221603896104e-05,0.040501996577296
"FKBP3",31.9970170282042,-9.28937500000004e-06,0.851112378779236
"HOXA10",34.2292591814573,4.63377777778051e-07,0.286366229321164
"CALB2",34.350682758164,9.93882106481214e-07,0.276668568168853
"PPFIBP1",54.0855014629675,8.72160724999997e-05,0.00228180262407307
"TMBIM4",46.2499249719115,5.29821340909091e-05,0.0193953223046206
"RBM39",34.1231997506478,0,0.702795208214489
"RPRD1B",19.9767076757919,-6.18065740214644e-05,0.987450085567598
"DAXX",34.5156865294267,1.71479000000008e-06,0.260695949800342
"SUPT16H",34.182327934187,2.58333333333471e-07,0.289218482601255
"MGMT",35.8171559600492,7.40096055555561e-06,0.172846548773531
"GEMIN2",34.1231997506478,0,0.702795208214489
"TAF11",55.5688981629425,9.36970903703704e-05,0.00228180262407307
"SNRNP48",42.1485305446268,3.50629823379631e-05,0.0410724472333143
"PBX3",34.1231997506478,0,0.702795208214489
"PRPF4B",46.3582068987809,5.34552220404041e-05,0.0193953223046206
"MATR3",35.8505796367745,7.54698989898994e-06,0.171135196805476
"PCDHB6",34.1231997506478,0,0.702795208214489
"HOXA5",34.7855832479387,2.89397925925927e-06,0.237307472903594
"C11orf58",34.1231997506478,0,0.702795208214489
"IGSF8",35.3811423186407,5.49599999999995e-06,0.201939532230462
"DNAAF2",34.1231997506478,0,0.702795208214489
"CDC5L",45.123216280207,4.80595000000001e-05,0.0250998288648032
"NEMF",48.3154058156559,6.20063002222224e-05,0.0108385624643468
"ESCO1",51.7606791338127,7.70588333333333e-05,0.00513405590416427
"SNW1",32.107551763142,-8.80644444444445e-06,0.84654877353109
"DGAT2",34.1231997506478,0,0.702795208214489
"TSG101",35.5528047869804,6.24599999999997e-06,0.189389617798061
"TBCC",44.1929528410646,4.39951428571428e-05,0.0273816314888762
"AJUBA",42.9726380321794,3.86635399999997e-05,0.0370792926411866
"PIAS1",34.1231997506478,0,0.702795208214489
"CWH43",43.0464232295644,3.89859103968255e-05,0.0370792926411866
"GTF2H1",42.3516650747911,3.59504849999999e-05,0.0393610952652595
"COPB1",34.1231997506478,0,0.702795208214489
"SKAP2",50.9501072030855,7.35174130454546e-05,0.00741585852823734
"SMAD3",32.611827880637,-6.60324247619037e-06,0.816314888762122
"PNMA1",38.8229945500346,2.053358625e-05,0.0730176839703366
"N4BP2",34.7541565971947,2.7566750000001e-06,0.240730176839703
"ZKSCAN4",38.2398987953207,1.79860182215006e-05,0.0901312036508842
"ZNF644",41.1925901097347,3.08864414021162e-05,0.0473474044495151
"RICTOR",34.1231997506478,0,0.702795208214489
"CHAC2",72.2369056277748,0.000166520263190476,0
"NENF",34.1231997506478,0,0.702795208214489
"HOXA6",52.6993894563178,8.11600952380953e-05,0.00399315459212779
"KLHDC2",32.0824376711813,-8.9161688888888e-06,0.847689674843126
"PAPOLG",34.1231997506478,0,0.702795208214489
"RWDD3",34.1231997506478,0,0.702795208214489
"MTF2",34.1231997506478,0,0.702795208214489
"CCDC88B",40.740075245803,2.89093863636365e-05,0.0496292070735881
"APEX1",34.1231997506478,0,0.702795208214489
"PRMT5",40.1799367390904,2.64621194444445e-05,0.0581859669138619
"SSX2IP",42.87550911876,3.82391799999999e-05,0.0376497432972048
"GPANK1",34.2750987190075,6.63652499999889e-07,0.282943525385054
"CTNNBL1",34.1231997506478,0,0.702795208214489
"BRD3",34.1231997506478,0,0.702795208214489
"HOXA4",35.1549700345069,4.50784449494956e-06,0.209925841414718
"EAPP",34.1231997506478,0,0.702795208214489
"LY6D",42.4793039517406,3.65081442171717e-05,0.0387906446092413
"PPIL1",34.1231997506478,0,0.702795208214489
"CAPRIN1",33.7958992452933,-1.42998863636357e-06,0.730747290359384
"BAZ1A",25.7675291042153,-3.650625e-05,0.961209355390759
"ZNF326",32.7833512969277,-5.85385000000005e-06,0.803194523673702
"SASS6",34.1231997506478,0,0.702795208214489
"C14orf166",34.1231997506478,0,0.702795208214489
"ABL1",34.1231997506478,0,0.702795208214489
"TRIM27",34.417273580744,1.28481999999996e-06,0.270393610952653
"ARID4A",38.3128566565633,1.83047739545457e-05,0.0867084997147747
"MYLIP",27.6288274826791,-2.83741649999998e-05,0.949229891614375
"CTR9",45.4466140653532,4.94724375e-05,0.0239589275527667
"PRPF38B",41.6874590872304,3.30485432098764e-05,0.0450656018254421
"C12orf49",37.9906248260215,1.68969305555555e-05,0.0952652595550485
"RSBN1",42.6244280108074,3.71421968750001e-05,0.0382201939532231
"ACVR2A",33.9387727154771,-8.05768888888947e-07,0.719338277239019
"PARP2",34.1231997506478,0,0.702795208214489
"SLC2A9",35.6832984627972,6.81613194444441e-06,0.180832857957787
"TRIM33",38.397435299179,1.86743013333333e-05,0.08499714774672
"SIKE1",35.007055467635,3.86160000000002e-06,0.21905305191101
"PIK3C2A",34.6741075271668,2.40693750000021e-06,0.245864232743868
"IVL",33.4897888574172,-2.76739682539673e-06,0.759840273816315
"CDC14A",34.1231997506478,0,0.702795208214489
"FUBP1",35.0494734270498,4.04692571428589e-06,0.216200798630918
"PLXDC2",31.6274141439236,-1.0904184375e-05,0.863091842555619
"SETX",32.9002712399008,-5.34302222222216e-06,0.798060467769538
"TGM5",34.1231997506478,0,0.702795208214489
"FBXO33",36.6159022790046,1.08907142857142e-05,0.138049058756418
"SNX6",35.6802286928124,6.80271999999982e-06,0.180832857957787
"ADCY6",36.1697893682493,8.94162962962963e-06,0.152310325156874
"G2E3",29.7698029322277,-1.902016e-05,0.916714204221335
"RBM12",34.1231997506478,0,0.702795208214489
"RPF1",17.5035470838158,-7.26119088271604e-05,0.992584141471763
"PTBP2",34.1231997506478,0,0.702795208214489
"FUT3",34.1231997506478,0,0.702795208214489
"MEX3B",34.1231997506478,0,0.702795208214489
"UBXN7",34.1231997506478,0,0.702795208214489
"SLC37A1",32.4671267661441,-7.23544727272718e-06,0.825442099258414
"MNAT1",36.1422862125328,8.82146727272715e-06,0.15345122646891
"RC3H2",34.1231997506478,0,0.702795208214489
"ZC3HC1",38.0111639224649,1.69866666666667e-05,0.094124358243012
"ABCF1",37.4658700323179,1.46042564545457e-05,0.110096976611523
"MGST3",50.1456922502291,7.00028928333332e-05,0.00855675984027382
"NES",42.9921621329526,3.87488415555555e-05,0.0370792926411866
"WDR5",36.6620497644908,1.10923344444445e-05,0.135767256132345
"CAPRIN2",34.7173535263832,2.59588095238095e-06,0.244152880775813
"SIX4",34.1231997506478,0,0.702795208214489
"VCAN",34.1231997506478,0,0.702795208214489
"N4BP1",34.1231997506478,0,0.702795208214489
"PREP",32.8553694244784,-5.53920000000008e-06,0.799201369081574
"UBTF",34.1231997506478,0,0.702795208214489
"DR1",33.3543573788186,-3.35910222222213e-06,0.775812892184826
"NALCN",45.450657670163,4.94901041666667e-05,0.0239589275527667
"PCDHB14",65.3850608687712,0.000136584286975308,0.00057045065601824
"PRKAG1",30.0408484965109,-1.78359513888888e-05,0.908157444381061
"TTF1",48.8580588654177,6.43771725e-05,0.0102681118083285
"ZNF318",33.5243057656225,-2.61659111111112e-06,0.756417569880205
"ALKBH1",44.9481192727613,4.72944943650793e-05,0.0256702795208215
"RANBP9",34.0924378363213,-1.3440000000009e-07,0.706788362806617
"EXOC2",34.1231997506478,0,0.702795208214489
"SRSF11",33.5640238513411,-2.44306125000016e-06,0.755276668568169
"POU2F1",36.1830839754975,8.99971428571433e-06,0.151739874500856
"BNIPL",34.1231997506478,0,0.702795208214489
"MIS18BP1",34.1231997506478,0,0.702795208214489
"IMPACT",34.9100787071081,3.43790476190486e-06,0.224187107815174
"TRMT5",34.1231997506478,0,0.702795208214489
"EHMT2",26.4677900452385,-3.34467827160494e-05,0.956075299486594
"FANCM",46.5323294802573,5.42159703703704e-05,0.0182544209925841
"SLC25A21",34.1231997506478,0,0.702795208214489
"TRAPPC6B",49.5785514742201,6.75250327272727e-05,0.0096976611523103
"ZNF281",34.1231997506478,0,0.702795208214489
"DIO1",36.7621732343024,1.15297777777779e-05,0.132915002852253
"SLC26A9",32.004388977539,-9.25716666666676e-06,0.850541928123217
